assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
18,0,0,12332,0,9,837,2759,837,26303,7,7,0,0,False,False,False,False,8475,0,0,0,0,1,0,0,1,574,11634,2949,14701,0,0,0,0,7628,1109,11556,0,0,33,34,88,11,6,4,6,14,200,19,0,25274,5514,0,6883,1649,45,52,236,4,0,6010,680,795,0,3,4,0,93,7,9,46,True,1,0,0,1,0,0,0,0,0.7811493622736442,7,0.1656213871895833,7,11,0,3,0.0,7163.90380859375,0,0,20,0,0,0,0,0,1,894.4911811050562,0,0,2136.031363842854,0.0,0.0,8,0,0,0.0,0,0,2.7142857142857144,1,0,0,1,0.0,0,0,0,0,3,15,0.0,0,0,9.0,11,1.0,0,0.0,0,0,0,0,0,0,1,0,17,0,0,0,0,1,0,60,13,0,0,25,0,0,0,19,0,0,4,0,1,0.0408204652784664,0,0,0,0,1,3,0,1,0,-0.0718393921852111,2.6306537584905385,9,3,2,1124.5746839533251,0.0,0.0,0.0,1306.515828469005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.42053455012336,-0.0842684255703852,-28.34228046683957,266.2601353272272,133.08793345082842,759.8764828433538
3,0,0,6841,0,11,342,342,342,10502,5,8,0,0,False,False,False,False,4625,0,0,2,0,0,0,0,0,485,7136,2063,7700,0,0,0,0,4926,615,5564,0,0,20,19,35,5,4,14,2,4,200,11,0,18091,1979,0,2890,949,28,37,72,3,0,6028,700,420,0,0,9,0,39,9,3,26,False,0,0,0,0,0,0,0,0,0.5246890691695549,7,0.1608726866224831,5,1,0,0,0.0,2929.0341796875,0,0,11,0,0,0,0,0,1,883.6059017607431,0,0,1393.6392227138413,0.0,0.0,2,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,0,0,0,1,14,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,13,0,0,11,0,0,0,3,0,0,2,0,0,0.0785244843335447,0,0,0,0,1,0,0,0,0,-0.2469125390052795,1.6826514644249488,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.70235590179098,-0.3874747432470041,-80.29337735062919,214.7471132573396,145.47523971462522,589.133820732445
20,0,0,13682,0,23,509,1868,509,28143,8,16,0,1,False,False,False,False,10225,0,0,2,1,2,0,2,1,399,13062,7539,8846,4,0,0,0,7599,1568,17758,0,0,49,71,87,14,4,4,8,14,100,33,0,28505,6126,0,7006,2797,40,81,232,4,0,7843,1724,315,0,1,8,0,141,17,13,75,False,1,0,0,0,0,300,0,1,0.5169001394355002,16,0.1956785249412985,8,9,0,1,0.0,8924.5458984375,0,0,38,0,0,0,0,0,0,0.0,0,0,2109.686549626237,0.0,0.0,14,0,0,0.0,0,0,2.75,1,0,0,0,0.0,0,0,1,0,5,17,0.0,0,0,32.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,51,32,0,0,39,0,5,1,22,0,0,3,0,0,0.0869909622605826,0,0,0,0,0,1,0,0,0,0.5194777250289917,4.025312155080861,13,6,2,825.2321671867112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8201756088743677,-0.1706414633319719,19.39624633206748,279.68135840110205,308.0647218019867,765.6113654827808
4,0,0,6307,0,8,2053,2298,2053,12552,10,5,0,0,False,False,False,False,6060,0,0,0,0,2,0,0,1,231,27703,3810,5589,0,0,0,0,4198,1375,8496,0,0,27,42,43,4,3,14,3,4,100,14,0,32203,614,0,1353,742,51,59,184,3,0,302,302,775,0,0,5,0,15,5,2,9,False,0,0,0,0,0,0,0,0,0.7804037302637615,5,0.1735976847140143,10,0,0,0,0.0,1356.5572509765625,0,0,13,0,0,0,0,0,0,0.0,0,0,1373.2093305171295,0.0,0.0,4,0,0,0.0,0,0,0.6,0,0,0,1,0.0,0,0,0,0,3,10,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6,10,0,0,4,0,0,0,6,0,0,2,0,0,0.1086892918817543,0,1,0,0,3,0,0,1,0,-0.7761993408203125,0.6590884950942033,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.20274945895746,-0.2621595935882765,-78.64787807648297,267.315398928846,239.7449483364789,649.3693133181611
8,0,0,4704,0,5,1645,1645,1645,7067,3,2,0,0,False,True,False,False,4225,0,0,0,1,2,0,2,1,515,5809,2520,1657,0,0,0,0,6302,1498,6090,0,0,23,26,23,4,3,14,3,4,100,15,0,16390,1283,0,2035,672,21,35,58,4,0,4279,300,667,0,0,0,0,24,3,1,12,True,0,0,0,0,0,0,0,0,0.2434629833413774,2,0.2142130115363025,3,1,0,1,1.0,1956.561279296875,0,0,14,0,0,0,0,0,1,741.9484216168544,0,0,912.6785329247988,0.0,0.0,6,0,0,0.0,0,0,3.333333333333333,2,0,0,2,0.0,0,0,0,0,5,16,0.0,0,0,6.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,11,15,0,1,10,0,0,0,10,0,1,10,0,0,0.1032861618496155,0,1,0,0,5,0,0,0,0,0.0729420185089111,1.6151029028818655,1,1,0,558.7420145673512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.37761936753044,0.2629622494032902,63.24242098149131,337.0518631726673,283.9334887932027,553.2068321821719
15,0,0,13169,0,11,579,1230,579,19837,2,4,0,0,False,False,False,False,7875,1,3,0,0,1,0,0,1,707,9684,5260,6204,0,0,0,0,5103,221,9984,0,0,58,23,72,7,3,14,3,4,100,15,0,21068,4476,0,10757,3390,39,43,61,5,0,6280,666,548,0,3,3,0,90,8,10,40,True,0,0,0,1,0,0,0,1,0.1188188898753346,4,0.1382726872395462,2,6,0,1,0.0,7866.890625,0,0,16,0,0,0,0,0,1,971.430439699758,1,0,1754.062657358076,0.0,0.0,7,0,0,0.0,0,0,8.0,0,0,0,0,0.0,0,0,0,0,6,15,0.0,0,0,29.0,0,4.0,0,0.0,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,37,33,0,0,14,0,0,0,16,0,0,2,0,1,0.0720132864204368,0,0,0,0,0,3,0,1,0,1.3330447673797607,3.095178551748968,10,3,2,1326.1828917581718,0.0,0.0,0.0,1516.6683557969925,0.0,31.21418185204948,0.0,0.0,0.0,0.0,1.0,1638.2206238631156,0.0,0.0,75.01442405608384,0.4104756446297337,141.819335219573,276.2501088358108,210.2661489615811,572.5451116510402
5,0,0,7647,0,11,856,856,856,15257,8,8,0,0,False,False,False,False,7425,0,0,1,1,4,0,3,1,546,7759,4131,5023,0,0,0,0,3824,330,14147,0,0,31,39,22,9,2,14,2,4,200,22,0,16601,1886,0,2093,1293,35,52,201,5,0,5017,178,2628,0,0,8,0,61,9,7,34,False,0,0,0,0,0,300,0,0,0.5936957519802645,8,0.1812245064970934,8,3,0,0,0.0,3179.62548828125,0,0,26,0,0,0,0,0,0,0.0,0,0,1569.4555837500736,0.0,0.0,7,0,0,0.0,0,0,1.125,0,0,1,1,0.0,0,0,0,0,2,15,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,20,19,0,0,15,0,0,0,9,0,0,7,0,0,0.0603888208554837,0,0,0,0,3,0,0,0,0,-0.1225067973136901,2.3605733745100568,7,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.563698168911607,-0.5734472573282581,-135.90699998679716,291.3112067227551,177.38635160020783,833.3335543494246
9,0,0,11184,0,16,155,3529,155,15741,4,12,0,0,False,True,False,False,7300,0,0,2,0,2,0,0,1,1142,7713,2747,4265,4,0,0,0,4859,581,12109,0,0,29,64,73,8,8,4,6,14,100,28,0,20643,3000,0,3629,1414,34,183,122,5,0,8070,802,333,0,1,10,0,91,14,11,48,False,0,0,0,0,0,0,0,1,0.5634357324550091,11,0.1368565514413278,4,14,0,2,0.0,4414.60009765625,0,0,24,0,0,0,0,0,0,0.0,0,0,2032.9411607055283,0.0,0.0,7,0,0,0.0,0,0,2.75,0,0,0,0,0.0,0,0,0,1,4,15,0.0,0,0,18.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,75,15,0,0,36,0,0,0,11,0,1,6,1,0,0.050409526527753,0,1,0,0,0,1,5,0,0,-0.2286038994789123,2.709575289969574,11,6,4,786.9865495195279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.296875203927108,-0.1770833347065798,-20.42361126949221,235.3732657141624,121.89236205636249,493.0885454904716
7,0,0,8065,0,15,0,1959,0,17104,9,13,0,0,True,False,False,False,5625,0,0,2,0,1,0,0,1,281,9802,4291,9407,0,0,0,0,5005,1324,9449,0,0,40,37,45,5,4,14,4,4,200,19,0,22433,2222,0,3009,1099,33,52,189,5,0,7626,520,194,0,0,10,0,80,13,9,50,False,0,0,0,0,0,0,0,1,0.5985397746434128,12,0.1641280265861523,9,3,0,0,0.0,3322.24658203125,0,0,21,0,0,0,0,0,0,0.0,0,2,1668.7975001330526,0.0,0.0,3,0,0,0.0,0,0,0.8888888888888888,1,0,0,0,0.0,0,0,1,0,5,12,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,21,26,0,0,15,0,0,0,8,0,0,3,0,0,0.0636562165882187,0,0,0,0,0,0,0,0,0,0.1347546577453613,2.8951058274274977,10,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.16600126027048,-0.5752645242598096,-51.55808298678543,224.0295781664296,220.61394505363697,684.9962322623682
0,0,0,3152,0,6,155,155,155,3753,3,3,0,0,False,False,False,False,3125,0,0,0,0,0,0,0,0,327,2260,546,1860,0,0,0,0,3771,343,2882,0,0,4,14,11,2,2,14,3,4,200,4,0,10908,334,0,247,161,30,11,40,3,0,4875,184,194,0,0,1,0,13,3,0,11,False,0,0,0,0,0,0,0,0,0.6120367916672158,3,0.1182417952852382,3,0,0,0,0.0,496.5851135253906,0,0,4,0,0,0,0,0,0,0.0,0,0,945.639795737602,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,18,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,0,2,0,0,0,0,0,0,0,0.0490317396142744,0,0,0,0,1,0,0,1,0,-0.3815393447875976,0.8322688633344584,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.54668527675815,-0.4441437446828247,-28.42519965970078,198.3419065540729,68.14434025562196,313.24823821415794
