assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
21,0,0,13298,0,20,201,445,201,43305,5,16,0,0,True,False,False,False,8800,0,0,0,0,2,36,0,1,592,19297,10045,9082,0,0,0,0,5337,1553,13668,0,0,47,60,59,9,8,14,11,4,100,56,0,33734,0,0,6270,854,44,218,122,4,0,9099,1759,697,0,1,5,0,101,18,13,57,True,1,0,0,1,0,700,0,1,0.762061559119173,16,0.1630529800354052,5,0,0,0,0.0,854.0074462890625,0,0,75,0,0,0,0,0,0,0.0,0,0,2049.307916040212,0.0,0.0,17,0,0,0.0,0,0,4.6,6,0,0,0,0.0,0,0,0,10,0,16,0.0,0,0,8.0,7,3.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,6,19,0,0,41,0,2,0,23,0,0,3,0,1,0.1271164585559007,0,0,0,0,1,1,0,2,0,-0.3059092164039612,2.9710063223036287,15,9,0,0.0,0.0,0.0,0.0,1588.9710474445408,0.0,21.254783324367963,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.66033026051282,0.2635035934684809,98.90168208183653,307.4501372236132,391.0978890613299,686.5439736936012
10,0,0,9443,0,7,0,230,0,21288,6,5,0,0,True,False,False,False,5375,0,0,1,0,0,0,0,0,393,14413,4133,5903,0,0,0,0,3444,421,8958,0,0,29,48,25,6,7,14,8,4,200,30,0,25470,0,0,1453,373,37,179,116,3,0,7613,1012,1460,0,0,7,0,43,5,2,27,True,0,0,0,0,0,0,0,0,0.6168493093609786,4,0.1299247418596953,6,2,0,0,0.0,373.9605712890625,0,0,42,0,0,0,0,0,0,0.0,0,0,1596.1614143864,0.0,0.0,9,0,0,0.0,0,0,1.6666666666666667,5,0,0,0,0.0,0,0,2,6,1,16,0.0,0,1,5.0,13,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,11,0,0,22,0,6,0,10,0,0,1,0,0,0.0698688041371357,0,1,0,0,0,0,0,1,0,-0.191726803779602,1.616866425384145,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.42906838942831,-0.263131282472116,-3.9093790538714375,241.4041565765613,209.2645499317528,613.5093801753436
10,0,0,13159,0,13,93,1377,93,38151,7,7,0,0,False,False,False,False,7600,0,0,4,0,1,0,0,1,593,17148,7474,7178,0,0,0,0,5021,1070,11959,0,0,84,45,36,8,7,14,11,4,200,39,0,28487,0,0,4440,913,37,77,200,4,0,6318,1333,2853,0,0,10,0,70,10,3,25,False,0,0,0,1,0,0,0,1,0.5693480747503652,6,0.1279444571405429,7,10,0,1,0.0,913.47900390625,0,0,58,0,0,0,0,0,1,867.9091849791715,1,1,2116.0513161966355,0.0,0.0,6,0,0,0.0,0,0,1.5714285714285714,1,0,0,0,0.0,0,0,0,4,0,15,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,57,18,0,0,18,0,2,0,11,0,0,3,0,1,0.0723765462903876,0,2,0,0,0,0,0,1,0,-0.1479160785675048,1.9891570897007795,3,3,0,1161.8967373164537,0.0,0.0,0.0,1800.7868755925604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-37.00288334251527,-0.567093997586441,-5.415747676950511,227.0644366336109,280.0877254079432,623.5198503462918
16,0,0,7495,0,6,0,0,0,17828,2,3,0,0,False,False,False,False,5950,0,0,0,1,2,0,2,1,983,8647,5130,2526,0,0,0,0,2403,741,9268,0,0,75,34,25,6,5,14,4,4,100,35,0,16370,0,0,2443,935,29,108,61,4,0,5319,625,144,0,0,2,0,45,4,5,18,True,1,0,0,0,0,0,0,0,0.5612483209697701,3,0.1465940476409869,2,1,0,0,0.0,935.4774780273438,0,0,45,0,0,0,0,0,1,668.523016420614,0,2,1378.7811859564688,0.0,0.0,11,0,0,0.0,0,0,9.0,3,0,0,0,0.0,0,1,0,6,1,13,0.0,0,0,23.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,10,10,0,0,15,0,2,0,18,0,0,9,0,0,0.096778921139668,0,1,0,0,0,0,5,0,0,0.4029912948608398,1.9989087226672,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,24.619389972001954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.668662048897925,0.3046168632687306,18.27701179612384,267.45360594994554,282.72796580813474,519.5458186521965
31,0,0,14621,0,11,0,1543,0,36826,12,8,0,0,True,False,False,False,8500,0,0,1,0,0,22,0,0,372,19659,9003,13210,0,0,0,0,6611,1646,10926,0,0,29,45,56,13,7,4,8,3,100,65,0,33324,0,0,2432,888,51,215,323,4,0,7052,0,4879,0,0,6,0,81,8,19,38,True,2,0,0,0,0,0,0,1,0.5560226676203508,8,0.1553394265754414,12,17,0,2,0.0,888.7464599609375,0,0,86,0,0,0,0,0,1,866.3343611328326,0,4,2035.5143079041973,0.0,0.0,19,0,0,0.0,0,0,2.583333333333333,4,0,0,0,0.0,0,0,2,12,3,20,0.0,0,1,7.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,0,90,18,0,0,30,0,1,0,31,0,2,9,0,1,0.056676403332993,0,2,0,0,0,0,0,1,0,-0.3892923593521118,2.411202311445613,19,5,1,949.203094118734,0.0,0.0,0.0,1861.7058317705992,0.0,14.719967656818651,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-167.01430133892256,0.2358126386712637,34.16335602749934,263.1963813369643,313.9255752311199,855.3219170405076
18,0,0,14558,0,9,483,1870,483,46783,10,6,0,0,True,False,False,False,9700,0,0,3,0,2,3,0,1,347,13351,6004,17522,0,0,0,0,5647,1440,14773,0,0,58,70,26,11,6,14,7,4,200,39,0,26448,245,0,3584,274,36,178,308,4,0,7449,968,666,0,1,11,0,107,7,9,43,False,1,0,0,1,0,0,0,0,0.8199136638486688,6,0.1597853663378577,10,18,0,2,1.0,520.3450317382812,0,0,48,0,0,0,0,0,0,0.0,0,3,2363.3824260841498,0.0,0.0,15,0,0,0.0,0,0,2.0,3,0,0,1,0.0,0,0,1,6,4,15,0.0,0,0,7.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,94,22,0,0,37,0,4,0,20,0,0,5,0,1,0.0618159309035753,0,1,0,0,1,1,0,0,0,0.1488239765167236,2.7323379568226587,9,6,2,832.4246900444613,0.0,0.0,0.0,1868.3949140277496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.528840659875098,-0.0253873428767992,-10.535747293871696,248.7451855068792,213.55832827963545,836.8175959050574
22,0,0,10074,0,10,838,889,838,24593,7,4,1,0,True,False,False,False,8775,0,0,0,1,4,0,2,2,373,13428,7960,7340,0,0,0,0,3231,1547,10971,0,0,29,52,47,9,7,14,8,4,200,60,0,21839,0,0,2654,1293,29,220,157,5,0,5179,1098,273,1,2,2,0,67,7,11,26,True,0,0,0,0,0,0,0,0,0.7218407294543064,4,0.1465796684331601,7,36,0,0,0.0,1293.6204833984375,0,0,78,0,0,0,0,0,1,844.8036011685836,1,0,1630.2188665043425,0.0,0.0,20,0,0,0.0,0,0,3.7142857142857135,5,0,0,2,1.0,0,0,0,12,6,13,0.0,0,0,21.599999994039536,2,3.0,0,0.0,0,0,1,1,0,1,0,0,21,0,0,0,0,0,0,180,17,0,1,22,0,2,0,26,0,0,9,0,1,0.0955245533144242,0,2,0,0,0,2,10,0,0,0.0139423608779907,2.494590792038193,11,9,1,0.0,0.0,0.0,0.0,1225.8260137196426,0.0,19.56961264533652,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,84.2095517483292,0.4784633622064159,115.89854827600028,335.4396217807134,390.3156889383877,684.0185835850954
21,0,0,10472,0,8,863,2605,863,22191,1,6,0,0,True,False,False,False,7650,0,0,0,1,2,0,2,1,1444,18366,7137,4181,0,0,0,0,5554,1481,8866,0,0,48,52,39,7,8,14,7,4,200,53,0,31092,0,0,1493,575,32,231,40,4,0,7171,1065,707,0,3,0,0,70,6,8,30,True,0,0,0,1,0,0,0,0,0.7317662354502964,6,0.1447993959879094,1,2,0,1,1.0,575.6522216796875,0,0,66,0,0,0,0,0,1,775.6370339,0,1,1588.5919318,0.0,0.0,18,0,0,0.0,0,0,23.0,5,0,0,1,0.0,0,0,0,9,4,15,1.0,0,0,18.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,19,0,0,0,1,0,0,18,12,0,0,24,0,2,1,23,0,0,11,0,1,0.123678590982618,0,2,0,0,2,3,10,1,0,0.1839839220046997,2.6733372844237087,11,7,1,1189.8916722,0.0,0.0,0.0,1329.4170746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6658120422414,0.7553859339070829,144.2409440795575,314.35385639543256,365.7578691978096,519.5166760445962
23,0,1,8328,0,8,998,5405,998,13916,2,6,0,0,True,False,False,False,6400,0,1,0,1,4,0,3,1,529,16433,4831,4276,1,0,0,0,4568,1297,5420,0,0,28,55,40,5,5,14,7,4,200,51,0,28271,0,1,966,506,26,234,22,4,0,7270,602,2232,0,3,1,0,38,6,5,13,True,1,0,0,0,0,0,0,0,0.815800697935334,6,0.1318961510393302,2,24,0,2,1.0,506.611328125,0,0,66,1,0,0,0,0,1,816.8433273088082,1,1,1280.1560435343974,0.0,0.0,18,0,0,0.0,0,0,13.5,5,0,1,0,1.0,0,0,0,10,4,15,0.0,0,0,8.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,21,0,0,0,1,1,0,129,16,0,0,6,0,2,0,27,0,1,13,1,0,0.0795372829786201,0,2,0,0,0,3,5,0,0,-0.1330745816230774,1.823130200092765,5,5,1,443.7449966373693,0.0,0.0,0.0,0.0,0.0,23.51152344791172,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.84293643094594,0.7499085793865606,118.8136405465582,366.0959945992765,315.4771654906837,559.056845932681
4,0,0,3769,0,5,580,580,580,3218,2,3,0,0,True,False,False,False,2625,0,1,0,0,0,0,0,0,211,2461,902,203,0,0,0,0,1605,222,3561,0,0,10,9,12,0,2,14,1,4,200,12,0,10068,0,0,70,36,21,56,20,2,0,6001,148,58,0,3,0,0,19,3,4,8,True,0,0,0,0,0,0,0,0,0.567587059074455,3,0.1446645493246353,2,0,0,0,0.0,36.43670654296875,0,0,12,0,0,0,0,0,1,650.8362476176937,0,0,811.5468425858775,0.0,0.0,4,0,0,0.0,0,3,2.0,1,0,0,0,0.0,0,0,0,0,1,14,0.0,0,0,16.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,5,0,0,0,4,0,0,4,0,0,0.0492664308603605,0,1,0,0,1,3,5,0,0,2.312735319137573,1.4673774391807963,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.41079183319672,0.1478657715155877,114.96563735336946,277.3961873632426,94.0426306839138,282.64542225204593
