assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
19,0,0,11345,0,8,3026,7017,3026,7484,9,5,0,0,False,False,True,False,8545,0,1,0,0,0,415,0,0,249,279,119,4713,0,0,0,0,37363,12345,9574,0,0,75,42,32,8,5,7,5,4,200,27,0,38170,1626,0,9085,4668,22,134,213,5,0,526,494,833,1,6,2,0,103,5,20,32,True,1,0,0,1,0,0,0,0,0.7793125580076611,5,0.149594872142819,9,0,0,2,0.0,6295.27294921875,0,0,22,0,0,0,0,0,1,850.6830556908255,0,2,1838.54117575054,0.0,0.0,3,0,0,0.0,0,0,2.111111111111111,0,0,0,0,0.0,0,0,0,0,3,0,0.0,0,0,0.0,5,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,7,28,0,0,26,0,0,0,19,0,0,2,0,1,0.1177472391665695,0,0,0,0,1,6,0,0,0,0.4031211137771606,3.382906826840058,20,9,0,869.7572484139195,0.0,0.0,0.0,1303.2528411456046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.32012594957757,0.1305382784815933,8.909237506368743,305.2963987988264,422.94402228036233,493.4673272300431
24,0,0,12959,0,10,1198,5610,1198,17121,5,8,0,0,False,False,False,False,10500,0,1,0,1,3,297,3,1,1039,0,0,7166,4,0,0,0,38524,21198,25493,0,0,79,42,29,10,6,4,6,3,200,40,0,38526,1971,0,16184,3603,22,237,192,6,0,2,2,2529,1,4,5,0,101,8,15,36,True,1,0,0,2,0,0,0,1,0.8304968410222476,8,0.2330032404561888,5,4,0,2,0.0,5575.677734375,0,0,19,0,0,0,0,0,0,0.0,0,3,2061.568182630321,0.0,0.0,9,0,0,0.0,0,0,5.4,5,0,1,0,0.0,0,1,0,0,3,9,0.0,0,0,1.0,4,1.0,0,0.0,0,0,0,0,0,1,1,0,19,0,0,0,0,0,1,28,34,0,0,28,0,9,0,27,0,0,5,0,2,0.1530408383148694,0,2,0,0,3,4,5,0,0,0.408746600151062,2.949735760193052,15,12,0,823.278284518224,0.0,0.0,0.0,1309.521679975731,0.0,27.71866211398583,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,108.61634453161967,0.3492486962431501,-0.9604339146686628,346.571122905286,617.0060300295652,1024.1426976750174
30,0,0,19749,0,8,2536,14281,2536,24381,5,5,0,0,True,False,True,False,19050,0,0,0,2,6,1567,2,1,998,288,288,18824,4,0,0,0,98505,34644,18087,0,0,123,48,59,14,6,7,3,4,100,29,4,101584,4775,0,35467,12431,38,233,251,5,0,2790,920,1675,0,3,9,0,150,6,27,59,True,0,0,1,0,0,300,0,1,0.3821126110819465,5,0.175150173722989,5,20,0,3,0.0,17207.455078125,0,0,14,0,0,0,0,0,1,823.85102629196,0,4,2813.47490057167,0.0,0.0,3,0,0,0.0,0,1,7.2,5,0,0,0,0.0,0,1,0,0,2,5,1.0,0,0,0.0,1,3.0,0,0.0,0,0,0,0,0,0,0,0,28,0,0,0,1,3,0,102,32,0,0,54,0,0,0,36,0,0,7,0,0,0.1904372182134881,0,1,2,0,5,3,5,0,0,0.024009346961975,3.204757620237189,27,8,0,702.4345411470962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.54762665514033,0.4904966451698566,75.40852770959187,342.6438955627863,764.5989660554291,822.904089007359
14,0,1,10740,0,8,4544,10899,4544,3450,3,3,1,0,False,False,False,False,9900,0,2,0,1,6,394,4,3,973,581,187,4954,4,0,0,0,54663,13251,3802,0,0,65,37,25,7,3,7,2,4,100,18,0,55774,1812,0,8939,5989,45,154,99,5,1,529,362,65,1,7,1,0,75,6,12,23,True,0,0,0,1,0,0,0,1,0.3370632241815076,3,0.0835340936954835,3,0,0,2,0.0,7802.09423828125,0,0,11,0,0,0,0,0,0,0.0,0,2,1643.8592485,0.0,0.0,4,0,0,0.0,1,0,6.666666666666667,4,0,1,3,0.0,0,0,0,0,4,12,1.0,0,0,32.0,0,2.0,0,0.0,0,1,2,0,0,2,0,0,17,0,0,0,0,3,1,6,15,0,0,19,0,3,0,20,0,0,8,0,1,0.1614563409710306,0,1,2,0,3,7,10,1,0,0.3612488508224487,2.740174882137889,13,8,0,789.8601580999999,0.0,0.0,0.0,1301.9991717,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,120.484767890394,0.5839916044369293,33.10502407651843,395.0703204015827,503.72925830212887,321.9983708964119
15,0,2,12152,0,5,3382,10855,3382,9547,4,3,0,0,False,False,False,True,9095,1,1,0,1,3,1567,2,1,789,651,571,6340,0,0,0,0,54514,18935,10198,0,0,76,35,32,9,5,3,3,4,100,28,0,57370,2104,0,11991,3188,20,203,96,5,0,2204,637,1679,1,3,4,0,60,3,8,26,True,0,0,0,0,0,0,0,1,0.3704529996008148,3,0.155373018984801,3,14,0,2,0.0,5293.083984375,0,0,14,0,0,0,0,0,1,980.5125301459476,1,1,1686.6003164374106,0.0,0.0,7,0,0,0.0,0,0,4.5,3,0,0,1,0.0,0,0,0,0,1,6,0.0,0,0,13.0,4,2.0,0,0.0,0,0,0,0,0,0,1,0,16,0,0,0,1,1,0,73,31,0,0,23,0,0,1,18,0,0,1,0,0,0.2267551348738705,0,2,0,0,4,3,5,0,0,0.827283501625061,2.163815304420921,8,4,0,918.796493946481,0.0,0.0,0.0,0.0,0.0,23.65741430643789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,131.80360387312277,0.426894263556673,98.64814940355453,360.0141622661275,716.6131704238016,648.0966411229557
7,0,7,10357,0,5,8737,14825,8737,8298,2,2,2,1,True,False,False,False,9850,0,2,0,1,9,488,7,2,989,879,398,2711,4,0,0,0,81981,21213,9106,0,0,94,34,13,6,3,4,4,21,100,24,0,85575,522,0,11707,4706,43,231,22,5,0,2715,110,322,3,9,1,0,47,2,10,18,True,0,0,1,1,0,0,0,1,0.6783849745839431,2,0.135649192979103,2,0,0,1,0.0,5229.6142578125,0,0,13,0,0,0,0,0,1,711.4631779306318,0,1,1420.9999201685432,0.0,0.0,2,0,0,0.0,0,1,8.0,0,0,1,4,0.0,0,0,0,0,8,5,0.0,0,0,16.400000005960464,1,4.0,0,0.0,0,0,2,0,0,3,0,0,12,0,0,0,0,1,0,7,21,0,1,14,0,0,1,16,0,0,8,0,1,0.3081492763964701,0,1,0,0,4,9,5,1,0,0.0070403814315795,2.01962041422726,10,7,1,1078.2579966409965,0.0,0.0,0.0,1217.379468185644,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,271.2456169274685,0.4644616728210077,188.3180964346995,492.75161107465095,917.1429086677372,512.5967916406395
11,0,0,8148,0,11,388,6608,388,11308,8,6,0,0,False,False,True,False,8350,0,0,1,0,3,4081,0,1,280,623,574,6109,0,0,0,0,32808,14048,14842,0,0,67,29,21,7,4,4,5,7,200,32,0,37513,673,0,9588,3109,28,147,182,5,0,4081,0,2503,0,1,7,0,74,8,12,31,False,0,0,0,0,0,300,0,1,0.8203257393539685,6,0.1877408776677159,8,15,0,0,0.0,3782.9150390625,0,0,20,0,0,0,0,0,1,841.2181502,0,0,1610.2210114,0.0,0.0,6,0,0,0.0,0,0,1.75,5,0,0,1,0.0,0,1,1,0,3,5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,8,0,77,25,0,1,25,0,2,0,14,0,0,7,0,0,0.2211958598216139,0,1,0,0,3,1,5,0,0,0.1116504669189453,2.788098889552448,12,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-136.60236603716697,-0.3726196564025286,-156.79835141418403,318.5898062241619,544.8444615917773,874.016666057771
5,0,0,7755,0,7,48,5478,48,5555,4,2,1,1,False,False,False,False,6625,0,0,3,1,3,293,2,2,504,0,0,4899,4,0,0,0,26236,11346,6459,0,0,52,28,13,5,4,3,2,4,100,29,0,26497,469,0,5766,2098,7,182,110,5,0,260,260,878,0,0,11,0,46,3,2,26,False,0,0,0,0,0,450,0,1,0.0958290326632735,2,0.122731838138945,4,4,0,2,0.0,2567.5400390625,0,0,15,0,0,1,0,0,0,0.0,0,1,1496.2333084842178,0.0,0.0,2,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,1,0,0,1,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,25,18,0,0,22,0,1,0,8,0,0,3,0,0,0.1938283373620841,0,0,0,0,0,0,0,0,0,-0.1996738910675048,1.8807451300169096,2,1,1,705.9117820921383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-30.79733604292104,-0.4411076776980878,-97.9259044489755,281.42669837138004,465.4087006694552,490.7122410901365
0,0,0,3934,0,6,480,480,480,3390,5,3,0,0,False,False,False,False,4000,0,0,0,0,1,205,0,1,241,0,0,3638,0,0,0,0,15553,5770,5109,0,0,30,19,13,2,2,3,2,4,200,20,0,15553,149,0,2979,86,15,117,75,3,0,0,0,54,0,0,4,0,16,4,0,11,False,0,0,0,0,0,0,0,1,0.7254136888431458,3,0.2065500409249513,5,0,0,0,0.0,236.3045654296875,0,0,14,0,0,0,0,0,0,0.0,0,0,919.0509309681923,0.0,1.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,2,9,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,13,0,1,8,0,0,0,1,0,0,1,0,0,0.3377267761858595,0,0,0,0,1,0,0,0,0,-0.2302116751670837,1.0772470028367866,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-99.82036567152451,-0.5222779106423782,-24.09006862837969,271.9109372281881,376.6929430508152,574.6362711842766
4,0,0,3375,0,5,81,81,81,2708,4,1,0,0,False,False,False,False,3650,0,0,0,0,2,225,0,1,301,0,0,2084,0,0,0,0,9780,5402,4018,0,0,24,15,9,1,2,4,2,21,200,9,0,9780,155,0,1998,466,3,56,42,3,0,0,0,136,0,0,0,0,5,2,1,3,False,0,0,0,0,0,0,0,0,0.2094556350323905,1,0.1839002348014944,4,0,0,0,0.0,621.97705078125,0,0,7,0,0,0,0,0,0,0.0,0,0,673.9615406108477,0.0,0.0,0,0,0,0.0,0,0,1.5,0,0,0,2,0.0,0,0,0,0,5,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,0,1,2,0,0,0,6,0,0,6,0,0,0.3118072039530408,0,0,0,0,0,0,0,0,0,-0.3288367390632629,0.5204818648903159,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.89984570982504,-0.2670775543614199,32.04930652337039,335.36038242648965,480.9176495534635,555.4322872202997
