assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,0,12586,0,5,2092,9652,2092,11732,3,2,2,1,False,True,False,False,9850,1,2,0,2,11,0,6,3,505,53206,21298,7975,4,0,0,0,2880,1019,10731,0,0,77,40,66,19,6,14,5,4,100,38,0,59225,0,0,7111,0,27,167,89,1,1,3139,1516,1236,0,3,1,0,63,2,8,26,True,0,0,0,1,0,675,0,1,0.8176248427863131,2,0.1980442942059837,3,4,0,3,1.0,0.0,0,0,35,0,0,0,0,0,1,763.8873781713095,0,0,1571.80911889507,0.0,0.0,8,0,0,0.0,0,0,6.666666666666667,1,0,2,1,1.0,0,2,0,8,6,2,1.0,0,0,19.0,3,3.0,0,0.0,0,0,3,2,0,5,0,0,16,0,0,0,1,0,0,26,35,0,2,21,1,0,0,20,0,0,7,0,1,0.2850483261416376,0,2,1,0,4,3,5,0,0,0.1124260425567627,2.442641090064249,8,5,2,476.70976355407146,0.0,0.0,0.0,1293.1284003500425,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,176.09008414111202,0.3817257406050552,114.28868673715355,435.014653993521,909.8051301580888,761.2756444886618
9,0,0,10284,0,2,1385,1506,1385,32691,14,0,0,0,False,False,False,False,10100,0,0,2,0,5,0,0,1,281,49502,16133,16963,1,0,0,0,4303,800,21912,0,0,67,34,73,21,5,4,6,3,100,65,1,54951,0,0,7346,0,39,486,337,1,0,1145,1145,4077,0,2,11,0,38,0,3,19,False,0,0,1,0,0,1200,0,1,0.0,0,0.2986634536361952,14,2,0,0,0.0,0.0,0,0,50,0,0,0,0,0,1,749.6571570856174,0,0,1717.4497194492387,0.0,1.0,3,0,0,0.0,0,1,1.0,2,0,0,2,0.0,0,1,0,4,7,5,0.0,0,0,9.0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,18,36,0,1,18,0,0,1,14,0,0,6,0,0,0.2435806571157507,0,1,0,0,5,2,0,1,0,-0.4755119085311889,1.3361021501551302,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.249003412914717,-0.3842907262587299,-49.01453535827256,358.3336344759812,631.5992763665072,1500.5854149992026
7,0,0,8411,0,2,976,976,976,15535,11,0,0,0,True,False,False,False,5900,0,0,1,0,1,0,0,1,508,34359,11435,13427,0,0,0,0,4250,671,15590,0,0,47,30,60,15,4,4,5,3,100,41,0,39185,0,0,4456,0,28,321,275,1,0,575,575,798,0,0,5,0,43,0,7,15,False,0,0,0,0,0,375,0,1,0.0,0,0.2585291963931783,11,6,0,0,0.0,0.0,0,0,27,0,0,0,0,0,1,720.0371083503768,0,0,1637.350081732268,0.0,1.0,3,0,0,0.0,0,0,0.7272727272727273,1,0,0,0,0.0,0,0,0,3,6,5,0.0,0,0,23.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,37,29,0,0,15,0,0,0,8,0,0,5,0,0,0.1761313980492248,0,2,2,0,4,0,0,1,0,-0.282700777053833,1.598086629580924,9,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.5487827178189555,-0.6596023734016563,-94.98274176983853,258.45419664454903,464.7631612140671,1092.5580423872434
20,0,1,14047,0,12,1777,3602,1777,22770,9,9,0,0,False,False,False,False,11025,0,1,0,1,7,0,4,1,771,75303,31302,19247,0,0,0,0,6780,2700,24530,0,0,118,71,115,16,9,3,6,4,100,97,0,83794,0,0,16529,0,51,705,265,1,0,1710,1556,1682,1,3,6,0,109,9,13,47,True,0,0,0,0,0,825,0,1,0.7778575456436548,9,0.2320774999864149,9,27,0,1,0.0,0.0,0,0,66,0,0,0,0,0,1,635.2597534119408,1,4,2076.9075608401467,0.0,1.0,10,0,0,0.0,0,1,3.0,3,0,1,3,0.0,0,1,0,10,11,5,1.0,0,0,30.0,13,3.0,0,0.0,1,0,0,0,0,1,0,0,23,0,0,0,0,0,0,142,73,0,0,38,0,4,1,27,0,1,10,0,1,0.2099572728657332,0,0,0,0,5,3,0,2,0,0.4235397577285766,3.16674549349268,13,10,1,1998.994582103073,0.0,0.0,0.0,1591.6154235953743,0.0,38.99487900017539,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.90697227065423,-0.231112837687312,44.60477767365122,386.9406684979821,1027.2387853106802,1313.2987001581505
18,0,1,11448,0,5,1461,4339,1461,8610,3,3,0,0,True,False,False,False,8375,0,2,0,0,2,0,0,1,592,44570,16683,8496,2,0,0,0,5099,1377,8437,0,0,67,48,75,12,7,14,4,4,200,58,0,51430,0,2,6747,0,30,249,61,1,0,1760,1741,1157,2,3,2,0,85,3,11,28,True,1,0,0,1,0,0,0,1,0.7240138114953811,3,0.1723109872345352,3,7,0,1,0.0,0.0,0,0,57,3,0,0,0,0,0,0.0,1,0,1814.698435797047,0.0,0.0,9,0,0,0.0,0,0,6.666666666666667,2,0,0,1,0.0,0,0,0,8,7,4,0.0,0,0,0.0,1,2.0,0,0.0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,42,45,0,0,23,0,4,0,20,0,0,8,0,1,0.1815974899780344,0,0,0,0,1,3,0,0,0,0.7371398210525513,2.837095658109837,11,6,0,737.7179861480965,0.0,0.0,0.0,1447.6943202938105,0.0,23.263313896266936,0.0,0.0,1.0,1.0,1.0,1699.309567879763,0.0,0.0,-51.11593098346293,0.3636967922497363,-47.64427978471545,309.0100200332759,654.7203527390252,598.1820332165662
13,0,0,10242,0,10,1344,4251,1344,19924,9,6,0,0,False,False,False,False,8500,0,0,1,0,2,0,0,1,384,33224,12287,9556,0,0,0,0,3805,416,18470,0,0,64,37,60,17,7,14,5,4,100,42,0,39094,0,0,7745,0,32,381,194,1,0,2064,2064,1791,1,1,9,0,80,8,13,29,False,0,0,0,0,0,300,0,0,0.8183401590193893,6,0.194041495310592,9,5,0,2,0.0,0.0,0,0,26,0,0,0,0,0,1,670.8277369432453,0,0,1910.3839967915271,0.0,0.0,4,0,0,0.0,0,0,1.6666666666666667,2,0,0,0,0.0,0,0,0,4,6,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,28,36,0,0,23,0,0,0,15,0,0,5,0,0,0.1259438151771879,0,2,0,0,1,1,10,1,0,0.067969799041748,2.542198333090942,13,3,1,963.8774842379972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.75639664284093,-0.2512583861706106,-53.54944355261138,283.4822741969914,463.8229808709472,936.5028198544084
23,0,1,11097,0,4,2563,6180,2563,13320,2,2,0,0,False,False,False,False,9350,0,1,0,0,2,0,0,1,914,41194,19764,6711,0,0,0,0,3017,865,11687,0,0,57,41,71,15,4,6,4,4,100,41,0,45402,0,0,7417,0,25,156,43,1,0,1190,1026,1375,1,4,2,0,78,2,11,37,True,1,0,0,0,0,375,0,1,0.1738848005341814,2,0.1661547627146812,2,5,0,3,0.0,0.0,0,0,46,0,0,0,0,0,0,0.0,0,4,1782.581214503486,0.0,0.0,9,0,0,0.0,0,0,12.5,1,0,0,1,0.0,0,0,0,9,14,4,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,1,0,20,0,0,0,1,0,0,31,77,0,0,30,0,4,0,25,0,0,6,1,0,0.2108410144086892,0,1,0,0,1,4,5,0,0,-0.1216602325439453,2.639156844746957,11,5,0,509.1390855109598,0.0,0.0,0.0,0.0,0.0,3.925922814327123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37674095058416,0.4039086657830321,2.961996882408902,328.6133586699785,728.9205055164452,665.574163099473
16,0,8,9368,0,2,5410,6849,5410,10775,1,0,0,0,True,False,False,False,8750,0,1,0,1,9,0,8,1,415,39198,13186,6070,0,0,0,0,3503,2003,10869,0,0,49,41,67,7,4,6,3,4,100,47,0,43062,0,0,6115,0,35,343,12,1,0,360,216,908,3,5,5,0,44,0,7,19,True,0,0,0,1,0,0,0,1,0.0,0,0.1750493690487024,1,3,0,0,0.0,0.0,0,0,41,0,0,0,0,0,0,0.0,0,1,1408.05872896156,0.0,1.0,11,0,0,0.0,0,1,25.0,4,0,1,2,0.0,0,0,0,11,21,7,1.0,1,0,22.0,0,2.0,0,0.0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,21,39,0,1,18,0,2,0,25,0,0,15,1,1,0.2104017724993137,0,2,0,0,7,5,5,1,0,-0.1870124340057373,1.9105525618068404,7,7,0,0.0,0.0,0.0,1362.556885235058,1246.689224121873,0.0,39.21016087178987,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,157.79171381854025,0.6391778847631929,134.99436926198635,444.4843010643244,656.4782995107834,760.5364591502312
11,0,0,14844,0,3,762,3818,762,17697,14,1,0,0,False,False,False,False,9375,0,0,5,0,3,0,0,1,295,44429,15112,24835,0,0,1,0,6428,1671,12874,0,0,75,51,55,11,5,14,6,4,200,29,0,54144,0,0,5842,0,26,196,405,1,0,3286,1403,1554,0,1,10,0,59,1,5,29,False,0,0,0,2,0,150,0,1,0.6483662526591393,1,0.1750100850202596,14,2,0,1,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,0,0,2337.263861333256,0.0,0.0,3,0,0,0.0,0,0,1.0,2,0,0,0,0.0,0,0,0,4,3,1,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,25,0,0,28,0,0,0,14,0,0,3,0,2,0.1215660350407196,0,1,0,0,0,1,0,0,0,-0.3282899260520935,1.5345058004476606,5,3,0,1789.0931003821652,0.0,0.0,0.0,1823.2785879841265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.63491901530097,-0.4364077230964229,-20.84488653848797,264.5400933240376,466.8792505855673,1007.9221430549916
9,0,0,9064,0,6,657,3799,657,13200,7,2,1,0,False,False,False,False,8685,0,0,2,2,6,0,2,2,559,22818,13165,7463,0,0,0,0,1836,926,16802,0,0,41,33,61,12,3,4,6,14,100,55,0,26148,0,0,7429,0,16,225,194,1,0,1493,1493,1338,0,0,8,0,68,2,11,25,False,0,0,0,1,0,150,0,0,0.1034330136740692,2,0.1781873861839661,7,6,0,1,0.0,0.0,0,0,47,0,0,0,0,0,1,973.5106120836832,0,1,1824.657904710784,0.0,0.0,9,0,0,0.0,0,0,2.142857142857143,2,0,0,0,0.0,0,0,1,10,10,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,13,0,0,0,0,0,0,39,39,0,1,23,0,0,0,15,0,0,8,1,1,0.1845612128806938,0,0,0,0,2,0,0,0,0,-0.1018817424774169,2.236670550308112,11,6,0,807.394098319774,0.0,0.0,0.0,1393.789045895157,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.52702001693066,-0.2301801334462044,-19.959905857406586,305.9093973500057,512.5125085560775,841.9331623938026
