assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
15,0,0,14913,0,22,167,695,167,42627,15,17,0,0,False,False,False,False,9875,0,1,3,0,3,0,0,1,476,23653,11079,25187,0,0,0,0,9043,1061,17998,0,0,63,31,34,12,9,14,7,4,100,44,0,38187,2179,0,1545,797,53,190,516,5,0,5489,1405,1346,0,1,10,0,126,15,12,59,False,0,0,0,0,0,150,0,0,0.7316306570480968,16,0.1926374800872635,15,13,0,1,0.0,2976.94091796875,0,0,64,0,0,0,0,0,1,984.5156448806538,0,1,2660.34973680319,0.0,0.0,11,0,0,0.0,0,0,1.2,1,0,0,1,1.0,0,0,1,10,1,17,0.0,0,0,29.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,69,20,0,0,42,0,2,0,18,0,0,6,0,0,0.0794438125221185,0,0,1,0,0,1,0,1,0,0.0190417766571044,2.8630155329807963,18,7,1,1118.1641057866043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.00133906087639,-0.0451068513060234,-79.27529117033615,243.3740162216493,305.50870389569656,1004.3491511799172
20,0,0,10529,0,15,699,2251,699,14434,6,10,0,1,False,False,False,False,7450,0,1,1,0,1,0,0,1,1217,14755,9329,14809,4,0,0,0,5689,1582,9798,0,0,62,41,26,17,8,14,9,4,200,49,0,25582,2191,0,1013,0,29,176,231,1,0,5137,906,331,0,4,6,0,87,12,7,40,True,1,0,0,0,0,0,0,0,0.6316904268092293,10,0.163196316756554,6,12,0,2,0.0,2191.878173828125,0,0,69,0,0,0,0,0,1,668.8620039991789,1,4,2020.2081382529825,0.0,0.0,11,0,0,4.0,0,0,3.5,5,0,0,0,0.0,0,0,0,8,1,16,1.0,0,1,29.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,67,23,0,0,30,0,0,0,21,0,0,9,0,0,0.0876726783822592,0,0,0,0,2,4,0,0,0,0.0637563467025756,2.592147386665949,7,4,1,369.5531613280924,0.0,0.0,0.0,0.0,0.0,40.59122461547827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.39589577262007,0.0593998201114923,-26.729919050171556,250.63754096044192,350.99353703880826,740.6860568802538
13,0,1,8473,0,19,0,198,0,10169,4,17,0,0,True,False,False,False,6775,0,0,4,0,1,0,0,1,558,10249,5068,9625,0,0,0,0,3262,888,8573,0,0,41,24,26,6,7,14,5,4,100,42,0,19993,1257,0,630,0,43,245,65,1,0,6481,1130,69,0,0,9,0,69,17,20,34,False,1,0,0,0,0,150,0,0,0.780479482347018,17,0.1676148703958299,4,0,0,1,0.0,1257.4991455078125,0,0,57,0,0,0,0,0,0,0.0,0,0,1698.1359797364723,0.0,1.0,9,0,0,0.0,0,0,3.5,1,0,0,0,0.0,0,0,0,9,1,15,0.0,0,0,18.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,17,0,0,17,0,4,0,14,0,1,8,0,0,0.0873313985271324,0,0,0,0,0,0,0,1,0,-0.417091965675354,2.444518894726822,20,10,2,833.251710010762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.69864960198116,0.0,-11.271182183519995,251.49929398838665,250.3686424840837,645.4606775189445
8,0,0,3577,0,9,0,0,0,5037,5,5,0,0,False,False,False,False,4125,0,0,0,0,1,0,0,1,484,4036,2362,4709,0,0,0,0,2535,759,3134,0,0,16,18,10,2,4,3,6,4,100,18,0,8107,556,0,0,0,21,112,79,0,0,1536,0,121,0,0,0,0,27,7,5,11,False,0,0,0,0,0,0,0,0,0.6649827949333873,5,0.1417448868091406,5,0,0,0,0.0,556.4224243164062,0,0,22,0,0,0,0,0,0,0.0,0,0,926.5337951137844,0.0,1.0,5,0,0,0.0,0,0,1.8,1,0,0,0,0.0,0,0,0,4,2,16,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,6,0,0,6,0,1,0,9,0,2,9,0,0,0.0763071501250541,0,0,0,0,1,0,0,0,0,-0.2074233293533325,1.808871532714336,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-10.490712860404969,-0.3237874339631163,-6.151961245299209,271.01008222712835,202.1728737665698,515.8581397900368
7,0,0,5282,0,8,0,354,0,7893,8,4,0,0,False,False,False,False,4350,0,0,1,0,0,0,0,0,313,3758,2227,3060,0,0,0,0,2582,425,11209,0,0,19,12,12,3,4,14,7,4,200,17,0,10243,274,0,320,0,21,109,146,1,0,3903,272,475,0,0,7,0,42,6,3,17,False,0,0,0,0,0,0,0,0,0.3496916338967596,4,0.1732202263829267,8,2,0,1,0.0,274.0,0,0,22,0,0,0,0,0,1,816.1240242505156,0,2,1394.19298000184,0.0,0.0,2,0,0,0.0,0,0,0.875,0,0,0,0,0.0,0,0,0,2,2,10,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,17,7,0,0,13,0,2,0,7,0,0,3,0,0,0.0430169850499091,0,2,0,0,0,0,10,0,0,-0.0401676297187805,1.8477336873493868,3,3,2,729.8978955667691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.77839178316724,-0.6024990887551962,-189.4429277643124,214.53271124604663,125.8362382514424,634.560647406812
11,0,1,7185,0,5,475,475,475,7670,4,2,0,0,False,False,False,False,4375,0,1,0,0,2,0,0,1,306,6616,3225,3729,0,0,0,0,3848,661,6177,0,0,25,14,15,4,3,14,3,4,100,25,0,15431,734,0,0,0,31,133,83,0,0,4965,312,240,1,2,2,0,27,3,0,12,True,0,0,0,0,0,0,0,0,0.0,2,0.1808160283281773,4,2,0,0,0.0,734.7824096679688,0,0,32,0,0,0,0,0,1,740.8828069211672,0,0,1191.3155491344626,0.0,1.0,7,0,0,0.0,0,0,3.25,0,0,0,0,0.0,0,1,0,7,1,15,0.0,0,0,18.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,11,12,0,1,10,0,0,0,13,0,0,6,0,0,0.0772992193307935,0,2,0,0,0,2,5,0,0,-0.2784022092819214,1.3813677137190117,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86680664237917,0.3021869396916326,102.0384566358746,296.84830375708043,211.4804932941942,511.0484795084993
7,0,0,5994,0,7,0,2704,0,8714,5,4,0,0,False,False,False,False,4775,0,0,0,0,1,0,0,1,505,8883,3928,3047,4,0,0,0,4562,625,9700,0,0,21,14,16,7,5,14,9,4,100,28,0,19135,550,0,439,0,35,155,89,1,0,5689,490,136,0,0,4,0,41,5,7,16,False,0,0,0,0,0,0,0,0,0.3550754010616394,4,0.1619726317052637,5,1,0,1,0.0,550.42578125,0,0,33,0,0,0,0,0,0,0.0,0,2,1333.4462934078629,0.0,0.0,6,0,0,0.0,0,0,1.6,0,0,0,0,0.0,0,0,0,5,1,15,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,13,7,0,0,12,0,5,0,8,0,0,6,0,0,0.1175637674409833,0,1,0,0,0,0,5,1,0,-0.1364769339561462,1.857360020301304,7,6,0,812.7442037632534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-64.65952204167834,-0.0899923758408884,-38.06677498069581,245.4092089181028,226.96077187072063,579.6858889790828
9,0,0,5237,0,10,0,503,0,8438,7,6,0,0,False,False,False,False,5350,0,0,1,0,1,0,0,1,395,6197,3091,4487,0,0,0,0,3585,629,5034,0,0,18,21,19,4,3,14,4,4,100,23,0,13063,1080,0,387,464,34,67,89,4,0,3281,320,622,0,0,7,0,42,8,9,21,False,0,0,0,0,0,0,0,0,0.7686800889657872,6,0.1385422286118792,7,0,0,1,0.0,1544.37548828125,0,0,33,0,0,0,0,0,0,0.0,0,0,1294.4783282386943,0.0,0.0,7,0,0,0.0,0,0,1.4285714285714286,0,0,0,1,0.0,0,0,0,7,1,14,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,8,0,0,15,0,0,0,10,0,0,6,0,0,0.0942691808325243,0,1,0,0,0,0,0,1,0,-0.2019235491752624,1.9734490451839928,9,9,1,387.289918089155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-46.953277373673046,-0.2317535901958196,-83.01413600814257,257.9880966059864,187.3032515962614,470.1816837892788
23,0,0,9499,0,10,257,4345,257,14211,5,6,0,0,False,False,False,False,7400,0,0,0,0,1,0,0,1,555,9697,6034,9454,0,0,0,0,5912,1293,7630,0,0,53,22,23,9,8,14,11,4,100,55,0,26580,1363,0,1461,0,34,190,129,1,0,10970,1056,304,0,1,2,0,70,8,9,31,True,1,0,0,1,0,0,0,1,0.6216982325775616,6,0.1308767294906895,5,3,0,0,0.0,1363.197509765625,0,0,71,0,0,0,0,0,1,849.0401541128438,0,2,1668.7975001330526,0.0,0.0,15,0,0,0.0,0,0,4.8,4,0,0,0,0.0,0,0,2,12,4,11,0.0,0,0,4.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,19,23,0,0,24,0,4,0,24,0,0,10,0,1,0.0829307221061492,0,2,0,0,1,1,5,0,0,-0.1187522411346435,2.5513055384778816,9,5,1,0.0,0.0,0.0,0.0,1457.1939502915752,0.0,19.340406152348805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.16600126027048,0.5752645242598096,51.55808298678543,313.1955794267001,301.40265667937393,625.2046757721142
0,0,0,8,0,2,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,2,0,0,0,1,4,0,14,100,0,0,280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.840812037017392,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.732809219045106,0.0,4.586247375236085,292.3732701713004,0.0,0.0
