assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
18,0,0,11429,0,14,293,1206,293,4953,4,11,0,0,False,False,False,False,7700,0,1,1,0,1,0,0,1,650,10281,7949,4327,0,0,1,0,1424,313,4463,0,0,78,73,85,10,8,3,7,7,100,30,0,11705,13114,0,11619,10234,4,239,116,5,0,0,0,356,0,3,8,0,82,12,2,44,False,1,0,0,1,0,0,0,0,0.2049602101435,11,0.0553737280648483,4,11,0,3,0.0,23348.4921875,0,0,0,0,0,0,0,0,0,0.0,0,2,2020.2081382529825,0.0,1.0,0,0,0,0.0,0,0,4.75,7,0,0,0,0.0,0,0,0,0,10,2,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,1,0,0,1,15,0,57,136,0,0,33,0,0,0,19,0,0,2,0,1,0.0716765122118701,0,2,0,0,0,3,5,0,0,-0.0599350929260253,2.4367868471860312,2,1,1,1108.9876926410548,0.0,0.0,0.0,1657.6832209356255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.39589577262007,-0.0593998201114923,26.729919050171556,249.24164518782183,245.3806568805749,271.66507727991024
6,0,0,8863,0,2,449,583,449,3897,5,0,0,0,False,False,False,False,5300,0,0,1,0,0,0,0,0,763,8405,5280,2472,0,0,0,0,1207,143,4923,0,0,49,85,60,8,4,14,4,3,100,13,0,10450,4374,0,3197,3006,4,117,117,5,0,838,838,867,0,1,8,0,20,0,1,13,False,0,0,0,0,0,0,0,0,0.0,0,0.0844335052494615,5,0,0,0,0.0,7381.00927734375,0,0,0,0,0,0,0,0,0,0.0,0,0,1725.3816263511014,0.0,0.0,0,0,0,0.0,0,0,1.2,0,0,0,0,0.0,0,0,1,0,3,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,7,63,0,0,13,0,0,0,6,0,0,1,0,0,0.0778905104548124,0,2,0,0,0,1,0,0,0,-0.7213437557220459,0.702300231804553,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-91.00595346669566,-0.1390996613934973,-19.752151917876628,196.5130466336634,217.7605199115201,287.3451255236172
13,0,0,9539,0,9,162,272,162,5174,5,6,0,0,False,False,False,False,7025,0,0,2,1,4,0,3,1,619,11810,10119,2605,0,0,0,0,1004,374,7110,0,0,80,87,66,8,6,14,6,3,200,23,0,16815,6649,0,4551,3939,9,211,114,5,0,4001,996,450,0,0,10,0,42,7,6,26,False,0,0,0,0,0,300,0,0,0.9304737704380994,6,0.0742840395330918,5,0,0,0,0.0,10589.1943359375,0,0,0,0,0,0,0,0,0,0.0,0,1,1572.8865300558289,0.0,1.0,0,0,0,0.0,0,0,3.4,4,0,1,1,0.0,0,0,0,0,11,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,14,0,0,0,0,3,0,2,100,0,1,20,0,0,0,17,0,2,6,1,0,0.1272413917620947,0,0,0,0,0,0,0,0,0,-0.4912290573120117,1.6063822659277014,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-47.56859351916778,0.0,28.87684466239776,284.1527290491426,438.2642910518994,387.7965691386204
21,0,0,13269,0,16,0,1867,0,3548,2,12,0,0,False,False,False,False,7600,0,0,2,0,0,0,0,0,1169,13988,9943,766,0,0,0,0,1091,294,5045,0,0,95,95,85,9,7,3,5,7,200,20,0,15080,7499,0,7161,6269,3,196,31,5,0,0,0,392,0,0,8,0,71,14,2,40,False,1,0,0,2,0,0,0,0,0.7358405398165762,12,0.0477317654287717,2,1,0,1,0.0,13768.365234375,0,0,0,0,0,0,0,0,0,0.0,0,2,1987.166538429372,0.0,0.0,0,0,0,0.0,0,0,10.5,3,0,0,0,0.0,0,0,0,0,9,0,0.0,0,0,0.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,12,97,0,0,28,0,0,0,21,0,0,4,0,2,0.1020198720283561,0,0,0,0,0,0,0,0,0,-0.1885081529617309,2.1687230117386567,2,0,0,548.8236377321767,0.0,0.0,0.0,1251.3246702198028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378093044419093,0.2415499610713982,100.3942025702999,238.440005322604,309.093368935988,187.3219948108693
8,0,0,9450,0,9,311,489,311,4258,4,5,0,0,False,False,False,False,6800,0,0,1,0,2,0,0,1,1017,6848,4831,675,1,0,0,0,2577,383,6345,0,0,52,107,77,5,5,3,6,14,200,13,1,10158,5081,0,4602,4205,3,133,137,5,0,732,732,242,0,0,8,0,43,6,0,26,False,0,0,1,1,0,300,0,0,0.4910522427763307,5,0.0659810935645882,4,2,0,0,0.0,9286.76171875,0,0,0,0,0,0,0,0,0,0.0,0,1,1657.459687919472,0.0,0.0,0,0,0,0.0,0,0,2.5,1,0,0,0,0.0,0,0,0,0,6,3,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,12,61,0,0,21,0,0,0,10,0,0,2,0,1,0.086908725947189,0,0,0,0,1,0,0,0,0,-0.3676632642745971,1.5815253690834206,0,0,0,0.0,0.0,0.0,0.0,1410.239526195962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.434594278156116,-0.2895998035418409,-8.977593909797069,265.8164196759672,215.24505398247325,262.9204216405488
9,0,1,9567,0,16,0,611,0,2967,3,14,0,0,False,True,False,False,6835,0,0,1,0,3,0,0,1,1113,10574,8869,1332,0,0,0,0,1875,512,4505,0,0,90,128,84,6,5,14,6,3,200,22,0,13045,6981,0,4747,3743,6,200,42,5,0,596,596,694,0,0,7,0,71,16,4,49,False,0,0,0,0,0,0,0,0,0.6809386319490657,13,0.0722422062576722,3,1,0,2,0.0,10724.48828125,0,0,0,0,0,0,0,0,0,0.0,0,0,1793.1725078738734,0.0,0.0,0,0,0,0.0,0,0,4.0,1,0,0,1,0.0,0,0,0,0,10,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,11,0,10,98,0,0,35,0,0,0,12,0,0,6,1,1,0.1243800188055321,0,0,0,0,0,0,0,0,0,-0.1509292721748352,2.378657889509357,4,2,0,491.77208818738393,0.0,0.0,0.0,1690.3107261450616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.60551325194471,-0.0669204995465168,9.502710935605393,248.5427353157635,333.8329119877992,218.562351518924
21,0,1,12730,0,11,1733,2110,1733,3724,1,8,0,0,False,False,False,False,8550,0,1,0,0,2,0,0,1,1609,8107,4208,897,0,0,0,0,2483,761,5436,0,0,75,155,117,6,5,3,5,7,100,17,0,10591,8419,0,6389,4675,9,167,44,5,0,0,0,309,1,8,4,0,73,10,6,42,True,1,0,0,1,0,0,0,1,0.654639739340692,8,0.0608314887236643,1,0,0,1,0.0,13094.7744140625,0,0,0,0,0,0,0,0,1,861.465662,2,0,1738.9414075999998,0.0,0.0,0,0,0,0.0,0,0,23.0,9,0,0,1,0.0,0,0,0,0,8,0,1.0,0,0,0.0,1,4.0,0,0.0,0,0,0,0,0,0,0,0,22,0,0,0,0,12,0,4,65,0,0,31,0,0,1,23,0,0,8,0,1,0.0549462621389708,0,1,0,0,2,8,5,0,0,-0.0218978524208068,2.528305259634471,7,5,0,1455.8450377,0.0,0.0,0.0,1339.3581276999998,0.0,33.81479420000005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.40043437079404,0.5520600037496054,153.9557335456712,332.20210725632506,171.44913491448682,229.20841280678928
6,0,0,9379,0,6,0,151,0,5277,4,5,0,0,False,False,False,False,5535,0,0,1,0,0,0,0,0,978,6373,4349,2914,0,0,0,0,731,325,5323,0,0,25,52,68,7,5,3,5,14,200,14,0,8139,6791,0,3179,2944,7,133,105,4,0,1034,1034,30,0,0,9,0,33,6,2,17,False,0,0,0,0,0,0,0,0,0.7714072249145549,5,0.0714782259356651,4,7,0,0,0.0,9736.2216796875,0,0,0,0,0,0,0,0,0,0.0,0,0,1686.6003164374106,0.0,0.0,0,0,0,0.0,0,0,1.5,2,0,0,0,0.0,0,0,0,0,5,2,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,38,59,0,0,12,0,0,0,6,0,0,5,0,1,0.0752145268295052,0,0,1,0,1,0,0,0,0,-0.4527395367622375,1.1841705608390176,3,3,0,0.0,0.0,0.0,0.0,1473.314185397957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.80360387312277,-0.426894263556673,-98.64814940355453,228.2105583930048,203.0593713651241,294.0945730685846
19,0,0,14122,0,2,680,1329,680,6845,7,0,0,0,False,False,False,False,8550,0,2,1,0,2,0,0,1,680,13652,9051,4609,0,0,0,0,1995,509,6925,0,0,106,147,115,11,5,14,6,3,200,25,0,16681,10096,0,4603,3972,5,198,254,5,0,1033,1033,332,1,4,3,0,42,0,2,27,True,0,0,0,1,0,0,0,0,0.0,0,0.0685034032953682,7,0,0,1,0.0,14069.42578125,0,0,0,0,0,0,0,0,1,921.816338090278,0,1,2157.2371611912386,0.0,0.0,0,0,0,0.0,0,0,3.0,4,0,0,0,0.0,0,0,0,0,9,2,0.0,0,1,0.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,0,7,0,7,115,0,0,26,0,0,0,21,0,0,5,0,1,0.0798965370947495,0,2,0,0,1,4,5,0,0,-0.5722748041152954,1.1762762984055948,2,2,0,634.22721456431,0.0,0.0,0.0,1228.794894964532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.796885810518,0.0,0.0,-24.19761764681212,-0.0834400608510762,-22.30630960085439,251.62741017322904,294.65466821876737,330.0888807268578
36,0,0,16425,0,12,836,3587,836,3212,2,10,0,0,False,False,False,False,9150,0,1,0,0,2,0,0,1,854,19868,10647,1522,0,0,0,0,988,352,4768,0,0,118,155,136,10,5,3,7,7,200,20,0,20856,13464,0,9927,8335,0,205,64,5,0,0,0,329,0,6,3,0,74,10,0,41,True,2,0,0,2,0,0,0,1,0.6786329467129715,10,0.0497459152275526,2,0,0,3,0.0,21799.875,0,0,0,0,0,0,0,0,0,0.0,0,3,1972.3425032008688,0.0,0.0,0,0,0,0.0,0,0,19.0,11,0,0,1,0.0,0,0,0,0,9,0,0.0,0,0,0.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,86,0,1,30,0,0,0,38,0,0,7,0,2,0.0932062486567055,0,0,0,0,3,6,0,0,0,0.5196093320846558,2.2638268730830013,0,0,0,1150.493355346591,0.0,0.0,0.0,1322.8739568665856,0.0,46.50469295991388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.590229543023256,0.8517790380086455,118.579810362775,316.2838092205674,334.5970585377533,201.3849011291869
