assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,0,9995,0,9,0,9634,0,4595,5,4,1,0,False,False,False,False,9550,0,1,0,3,6,0,2,2,856,40219,18917,6237,0,0,0,0,3100,1066,5345,0,0,55,66,28,16,4,14,3,4,200,41,0,46356,0,0,959,0,20,154,133,1,0,3036,1326,497,0,0,2,0,49,6,7,18,True,0,0,0,1,0,675,0,0,0.382438225230986,4,0.1034019690636799,5,1,0,0,0.0,0.0,0,0,22,0,0,0,0,0,1,1008.8268806609142,0,0,1733.2237808387486,0.0,0.0,11,0,0,0.0,0,0,3.4,2,0,0,1,0.0,0,3,2,0,1,2,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,16,0,0,0,1,0,0,12,17,0,0,14,0,0,0,17,0,0,6,0,1,0.1842280001167124,0,0,0,0,0,0,0,0,0,-0.3970365524291992,1.6994966808721552,7,5,0,0.0,0.0,0.0,0.0,1558.9348775801757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.48365320183122,0.1038527176870915,-22.293716730162323,336.2750998708025,737.6658537314114,418.1802765533553
7,0,0,9724,0,7,54,398,54,8442,13,3,0,0,False,False,False,False,8575,0,0,2,1,4,0,2,1,469,41102,17714,13456,0,0,0,0,2240,848,11087,0,0,90,87,37,8,4,4,5,14,100,60,0,44198,0,0,1969,0,27,337,312,1,0,855,855,539,0,0,9,0,73,5,8,29,False,0,0,0,0,0,700,0,1,0.4089542030021456,3,0.1764515325545764,13,0,0,1,0.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,0,1866.8350177,0.0,1.0,2,0,0,0.0,0,0,0.8461538461538461,1,0,0,0,0.0,0,2,0,0,1,4,0.0,0,0,25.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,7,19,0,0,26,0,0,0,11,0,0,7,1,0,0.1950560277582633,0,0,0,0,0,0,0,0,0,0.1320509910583496,2.3589123916119568,8,5,0,751.8526343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-44.89952202807343,-0.6427991700511586,-169.12046164045984,296.16971760107134,624.0615742441673,806.1665791196606
7,0,0,8457,0,11,1188,4687,1188,6121,10,8,0,0,False,False,False,False,6200,0,0,0,0,0,0,0,0,261,30587,10700,7478,0,0,0,0,2604,758,7357,0,0,61,79,42,12,4,4,4,14,100,29,0,33694,0,0,1326,0,26,193,199,1,0,502,502,471,1,3,4,0,67,9,3,41,True,0,0,0,1,0,0,0,1,0.6377346188180977,8,0.1406439989243365,10,0,0,1,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,1,0,1723.202351531491,0.0,1.0,1,0,0,0.0,0,0,0.7,1,0,0,0,0.0,0,0,0,0,6,4,0.0,0,0,9.0,13,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,13,0,0,33,0,0,0,7,0,0,2,0,1,0.1310791137819086,0,0,0,0,2,3,0,0,0,-0.2893019914627075,2.361993833887268,3,1,0,1638.3402007419766,0.0,0.0,0.0,1563.793726081441,0.0,16.90257821489945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.953996756442574,-0.3481889398924924,15.459588931226666,248.25871414334716,416.433972111421,532.9728102934382
9,0,0,8163,0,13,912,1440,912,6236,9,8,0,0,False,False,False,False,6375,0,0,2,0,1,0,0,1,388,29519,11949,4938,4,0,0,0,6286,766,10184,0,0,68,67,25,7,4,3,3,4,200,34,4,35805,0,0,1109,0,15,142,235,1,0,0,0,479,0,0,10,0,75,9,8,37,False,0,0,3,0,0,0,0,1,0.7248007200744381,7,0.1336874288246256,9,4,0,0,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,0,0,1614.0075268995474,0.0,1.0,3,0,0,0.0,0,0,1.1111111111111112,0,0,0,0,0.0,0,0,0,0,2,3,0.0,0,0,8.800000011920929,0,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,28,15,0,0,29,0,0,0,10,0,0,4,0,0,0.1684726065335255,0,0,0,0,3,0,0,0,0,0.0386186838150024,2.794184080185875,8,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-66.76548789521647,-0.4089200260842879,-142.60156545993894,258.43745648527,472.71155015343686,579.9972951788236
10,0,1,8162,0,15,2136,2136,2136,2778,2,9,0,0,False,False,False,True,7175,0,0,0,0,2,0,0,1,377,30374,8836,1246,0,0,0,0,3216,409,4644,0,0,57,58,26,4,3,14,3,4,200,14,0,33939,0,0,717,0,22,98,28,1,0,347,347,0,1,4,1,0,64,11,7,29,True,0,0,0,0,0,0,0,1,0.6970292477437044,9,0.0725887454563343,2,3,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,829.8671941377794,0,0,1380.445335727773,0.0,0.0,3,0,0,0.0,0,1,6.0,0,0,0,1,0.0,0,1,0,0,1,1,1.0,0,0,7.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,6,0,0,20,0,0,1,12,0,0,5,0,0,0.1425400083723902,0,0,0,0,5,4,0,0,0,0.8359309434890747,2.8119872901182594,7,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.4902783303978,0.3042496425826057,27.38246783243451,353.1903708037505,416.95240304213377,256.04780635059
6,0,0,9628,0,14,491,491,491,4377,6,9,0,0,False,False,False,False,6360,0,0,1,0,2,0,0,1,497,29540,9270,8649,0,0,0,0,2942,847,8889,0,0,79,65,32,9,6,14,4,4,100,30,0,33395,0,0,1974,0,23,264,140,1,0,912,912,493,0,0,8,0,56,12,3,29,False,0,0,0,0,0,0,0,1,0.0,7,0.1737006542921629,6,3,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1538.122594,0.0,1.0,7,0,0,0.0,0,0,1.3333333333333333,0,0,0,1,0.0,0,0,0,0,4,6,1.0,0,0,6.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19,12,0,0,20,0,0,0,8,0,0,5,0,0,0.2046913806583885,0,0,0,0,3,0,0,0,0,-0.0051127076148986,2.188985033299943,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.368962543176842,0.078017188271015,29.21743700749513,261.0065033606808,430.2257847205124,703.4029694514714
8,0,0,5557,0,7,0,5624,0,3503,3,4,0,0,False,False,False,False,5325,0,0,0,0,1,0,0,1,431,20681,7730,3683,0,0,0,0,4085,174,4928,0,0,43,45,34,4,4,7,2,4,100,30,0,26337,0,0,997,450,14,150,54,3,0,1570,0,178,0,0,2,0,33,5,1,18,True,0,0,0,0,0,0,0,1,0.0344008744873579,4,0.1467402098617189,3,11,0,1,0.0,450.0001220703125,0,0,18,0,0,0,0,0,1,892.122922523365,0,0,1147.077233718616,0.0,0.0,6,0,0,0.0,0,0,3.0,2,0,0,0,0.0,0,1,0,0,3,8,0.0,0,0,7.0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,58,14,0,0,14,0,0,0,9,0,0,5,0,0,0.1600405434414276,0,2,0,0,0,0,0,0,0,-0.2905161380767822,1.7704490084900495,1,1,0,1130.969209305331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.996778679448143,0.2092274111499568,-24.793448221269884,280.6262652048796,413.48567128510217,459.7772360020301
13,0,0,11663,0,8,1310,3910,1310,9472,6,6,1,0,False,False,False,False,10100,0,0,1,3,7,0,2,2,639,68922,26023,3595,0,0,0,0,4842,1224,10775,0,0,101,101,55,14,5,4,6,14,200,56,0,75248,0,0,2188,0,45,272,173,1,0,1483,1483,2403,0,2,9,0,81,6,9,35,False,0,0,0,0,0,0,0,1,0.7986402650030197,6,0.1326917673080519,6,1,0,1,0.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,2,1903.791753847885,0.0,0.0,11,0,0,0.0,0,0,3.333333333333333,5,0,0,3,0.0,0,2,0,0,3,9,1.0,0,0,21.0,0,2.0,0,0.0,0,0,1,0,0,3,0,0,16,0,0,0,0,0,0,10,20,0,0,29,0,0,0,20,0,0,6,0,0,0.2960325927462856,0,0,0,0,3,2,0,1,0,0.4638298749923706,2.567840022434889,9,6,1,779.4474795250854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.24763923754446,-0.0945481561395512,-65.93158088131376,338.6399792398262,905.456175296436,528.6187409762312
10,0,0,12518,0,13,0,4663,0,7478,8,7,0,0,False,False,False,False,11050,0,0,2,0,5,0,0,1,507,47602,29730,4615,0,0,0,0,2915,777,13941,0,0,105,97,40,15,8,14,4,4,200,50,0,55908,0,0,1136,0,8,178,224,1,0,5390,5390,267,0,0,7,0,110,8,4,57,False,0,0,0,0,0,0,0,1,0.8087736626673734,7,0.0972857873895269,8,5,0,3,0.0,0.0,0,0,29,0,0,0,0,0,0,0.0,1,1,2329.610387833064,0.0,0.0,9,0,0,0.0,0,0,1.875,1,0,0,0,0.0,0,1,0,0,6,1,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,28,58,0,0,50,0,2,0,15,0,0,6,2,2,0.2661437939614875,0,1,0,0,0,0,5,0,0,-0.0654900074005127,2.8401201014432216,4,0,1,469.0844397288921,0.0,0.0,0.0,1387.7247556489374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.37451223341835,-0.4893522135520673,-72.99074595823994,307.4162116293408,924.5666190574796,484.8192667317956
11,0,0,10095,0,18,893,1722,893,4171,3,13,0,0,True,False,False,False,7675,1,1,0,0,1,0,0,1,900,26089,8406,6442,0,0,0,0,3982,893,4807,0,0,88,73,28,6,4,14,2,4,100,21,0,31192,0,0,426,0,31,150,26,1,0,1120,1060,442,0,1,4,0,73,16,10,35,True,0,0,0,0,0,0,0,1,0.7619869097959392,13,0.1413486265698605,3,21,0,2,0.0,0.0,0,0,12,0,0,0,0,0,1,978.0545842506042,0,0,1587.120290556422,0.0,0.0,3,0,0,0.0,0,0,4.0,1,0,0,0,0.0,0,1,0,0,3,8,0.0,0,0,6.0,2,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,108,10,0,1,21,0,0,0,12,0,0,4,0,1,0.1379837258672386,0,1,0,0,1,1,0,1,0,0.0629909038543701,2.76948384061156,10,7,0,611.1632768037273,0.0,0.0,0.0,1416.0648642730634,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-15.877813515423732,0.1512172715754641,54.400413449273216,304.85401949613566,391.6149290625582,442.0458891329755
