tier,rank,summonerId,summonerName
DIAMOND,III,1nICuLJ_ge3P5WSC0lmr03EyUdWFHt-pYSJOFiE41EUOMJzE,가락사냥꾼김주원
DIAMOND,III,8_VJv8UWTojRfRU2iPFRGCFGC-cmzvxGZ-wQN7L_DhC8HH88,못한다고하면울어
DIAMOND,III,pbUEb33jj22RvuLDl4ryBkKKRJc4nGi183v8Ca86VpBb09CF,llIIIllIlllIlIl
DIAMOND,III,Ukypmw1rVcSQliHHfd7et1krGhVf0_T-xr_WTSOm3jNYztCg,박보영 귀욤이
DIAMOND,III,IzcwVS-qCEGy8P67eJRKOVLSVoMeTnpvOMrcHtmwJYXqGBT2,jikbakgurl
DIAMOND,III,eQ4TIMdm618KMN5LazE7oQ1TlB3SRWMkf2UA0RFAK1-Csb0,펜타닐마약바니걸
DIAMOND,III,Q0iPQ3ij4qLBduSoqyVBLgN1lzbMdEEC1HNCtSgzVViBxiWa,Broken Chain
DIAMOND,III,qJB23w-EChPBSbaz4H3SoonUSGY1HIC_1qcEVsSs7IT2fGOh,Ciara bravo
DIAMOND,III,A_h6PRdV-2X4cABtUJicYGLHqPZpwYSOLGEtwsvGNZCT7IdR,원챔충혐오자
DIAMOND,III,f1p3Rf6pMBwxzV9W7gcchAn30Hjd-InS7EoEzN5D2KYG7G4,BTOB 그리워하다
DIAMOND,III,YJ11yYwxSQGm_mrVwzxCjIDVROFAvbt0-ehaGm9Sgbs24bc,비피트
DIAMOND,III,ewsvO1sAvNmSU8tnb0AGQEGABcgDyomR66VhbH5oFfgNRog,나나나눈누
DIAMOND,III,mnrEWYXl5m8YIYwvoVz4jK0FHpHCK3sasA3SfpxZWpJlDjA,나도 늙는구나
DIAMOND,III,AUQWY68bItdjY_YlRHo-xx9j6HVKDaiTlXTmQAE07WW7hfK0,동화나라뚜뚜공주
DIAMOND,III,Db6Z-sHvsy9aXwoOhKmj2P4myJ8FXiUI2gTKmOgTuxwWjapp,미지의남자
DIAMOND,III,rzkSR8kG28a6pQ01LTpOMeFCRNV3Gtvj5Q5JEK3TUtqaKu4,케이크많이먹기
DIAMOND,III,vmJHCHh-uH0fkv0c2Sz4T30dlm02qEWZF2irpxUtLbQS91bA,멘탈 주사위
DIAMOND,III,GUh1hLjHBE2S8Cqv4nzMw_OYOdRASUR3s4bFk1Sm-g4nEEm0,JamkeyLove
DIAMOND,III,CnsR2RPSxl3Xy0P4Op9cHx1f4HSLp4vvH6FrOCE8McJiQd4,누나 제발
DIAMOND,III,0JYykZwovRgtROOoa3exmbtPR_Nu8b_tNpACDMHaK79k11l_,탱글 탱별 햇님
DIAMOND,III,pykkEF5JO0hWYMso3CsTLBrfxVO2Qzj3P77dQ5B5nDd1B-zU,멍멍왈왈멍멍멍왈
DIAMOND,III,WyDOISf5kSapsqE2QDrlNLbT0bATWXOhFBZ-54xpECeaNihU,잡초밭
DIAMOND,III,TUuCmyaIDIcZL-Vg0i03f9MyoSNf1mesncSxF48TaV82mZUi,이쁜 말들 하자요
DIAMOND,III,C1TKMviZIgBBoqRHEgLSqm58Gw1o2SPEG8yFea9mJd8BlM5w,Love Xie
DIAMOND,III,TzvfX4xeW4ujtdF9a1rAJYI38qVyQ9B8ElT9niQ2YSM3DjCG,숟가락 정점
DIAMOND,III,isTi74ICRRNuYt9Gcwrp6uIHt0gdXkoyTyhmEbezzYS1sgc,viper888
DIAMOND,III,OjuQZQvyJYXR2TZx9ip-YxIiOMudNbJXwBVbIeJtc2owWEI,별수호자 김인직
DIAMOND,III,TPzTZVqFOdh2Rz85DaqWl1FN_Kxy7KmPEtrQv4tVcoUMRRbZ,춘식이 간식도둑
DIAMOND,III,ORo4-q3QYkn7ZJKf5ZsJee0LxFPhYUE4aynqMmjG75nQh9lZ,족밥처럼 굴지마
DIAMOND,III,Yntjte1pMceqvsk0BUb3ham4Q0aIbA9bOifvfD7NcjxjYC0,누누십니까
DIAMOND,III,4d5Sw-A9-09bONRT6rluFiUi0cRkvbI6DMSJhhHHSvgDbnPV,김민교보단김민규
DIAMOND,III,LRFmDmqax-MkxYBMUQMA0HzfgGGvL_erLYEAzcjR8oeCHp5q,눈 예뻐지고 시포
DIAMOND,III,gofv-lglxDa_HYk5IFLuBdAzpU_G42UUCJdbazaXkR-TfQPn,한결같은 소환사
DIAMOND,III,CUxWUfBzQxRYq9xtNL9d1sHnvqXHOMyJTD1S2FAHIEHZuJw4,이쁜이 혜미 여신
DIAMOND,III,S2685oAVn_dkHAmgC6vfRY46cRERzdrpSUUKsG--GG762ScP,KOR961010
DIAMOND,III,-_Y98-CVbC-0B9nKSMZ5BLggXh6-YufX7QrMFmO2nBT-b3KP,콜쿠에요
DIAMOND,III,BCburP6hBBmFERI0BpoosMqhEi-nrLQa0asW4CicyukgGac,배터린
