assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,0,8006,0,1,634,1072,634,8669,7,0,0,0,False,False,False,False,8900,0,0,2,0,2,610,0,1,454,181,181,4540,0,0,0,0,91303,6588,10552,0,0,47,83,15,7,3,4,3,1,200,4,0,91637,0,0,2113,0,187,47,150,1,0,152,152,312,0,0,9,0,12,0,1,7,False,0,0,0,0,0,150,0,0,0.0,0,0.1811043916361709,7,0,0,0,0.0,0.0,0,0,7,0,0,0,0,0,1,883.6059017607431,0,0,1393.6392227138413,0.0,0.0,0,0,0,0.0,0,0,0.5714285714285714,0,0,0,1,0.0,0,0,0,0,2,66,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,7,16,0,0,7,0,0,0,4,0,0,3,0,0,0.1608569744368035,0,0,0,0,1,0,0,7,0,-0.4495883584022522,0.5292681083771925,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.21687808570712,-0.6027384894953397,-165.96834835746677,385.7956860262671,298.0111303061958,663.2276021911221
12,0,0,13009,0,7,1460,16545,1460,9694,6,3,0,0,False,False,False,False,12375,0,0,1,1,5,954,3,1,508,0,0,9449,8,0,0,0,181018,21133,7409,0,0,81,225,18,8,5,7,4,4,200,14,4,185775,0,4,5362,468,209,74,169,3,0,4757,312,1084,1,1,8,0,31,4,9,10,False,0,0,1,1,0,0,0,0,0.3238613093824001,3,0.1629606682126372,6,0,0,3,0.0,468.695068359375,0,0,24,3,0,0,0,0,1,709.1261712885894,0,1,1864.204860365332,0.0,0.0,8,0,0,0.0,0,0,2.833333333333333,3,0,1,0,0.0,0,1,0,9,0,68,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,2,25,0,1,3,0,1,0,17,0,0,6,0,1,0.2400985014895703,0,1,0,0,2,1,0,8,0,0.5585908889770508,1.0038811324620176,9,2,0,677.0983701844068,0.0,0.0,0.0,1365.414057477867,0.0,9.058737302526424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.054307125840346,-0.0321853039200003,-16.607616822720175,427.9358009203245,690.2138425644072,577.500908236566
1,0,6,2540,0,2,78,78,78,1303,1,0,1,0,False,False,False,False,3975,0,0,0,1,6,0,6,2,90,401,401,1424,0,0,0,0,16887,5385,2363,0,0,17,33,5,1,2,7,2,4,200,5,0,17523,0,0,1281,244,51,36,6,3,0,234,120,138,0,0,0,0,3,1,0,2,False,0,0,0,0,0,0,0,0,0.0,0,0.1892247744013887,1,6,0,0,0.0,244.0,0,0,5,0,0,0,0,0,0,0.0,0,0,561.1931734851097,0.0,0.0,3,0,0,0.0,0,0,7.0,1,0,1,4,0.0,0,2,0,3,2,40,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,37,6,0,0,2,0,0,0,7,0,0,7,0,0,0.4218781255194339,0,0,0,0,0,0,0,1,0,-0.1500446796417236,0.3217386384456885,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195.76146893902828,0.5345752838313169,-24.26971788594179,499.1864000416838,631.4403252615516,419.6415978075838
3,0,1,5357,0,1,2300,5002,2300,2856,3,0,0,0,True,False,False,True,6100,0,0,0,0,3,587,0,1,250,0,0,1169,0,0,0,0,57765,8877,5021,0,0,38,61,8,3,3,4,4,7,100,4,0,57765,0,0,2278,339,124,27,36,2,0,0,0,600,2,2,0,0,9,0,2,5,True,0,0,0,0,0,0,0,0,0.0,0,0.1728777294370194,3,0,0,2,0.0,339.79998779296875,0,0,7,0,0,0,0,0,1,741.9484216168544,0,0,912.6785329247988,0.0,0.0,2,0,0,0.0,0,1,2.0,3,0,0,3,0.0,0,0,0,2,2,58,0.0,0,0,22.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,3,8,0,0,5,0,0,1,6,0,1,6,0,0,0.2122398642915231,0,1,0,0,5,2,0,4,0,-0.0473842620849609,0.6227963687363133,2,2,1,558.7420145673512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.21346771029206,0.0657405623508225,40.03600247165095,502.4551180473369,583.578971988252,446.44415892443607
2,0,0,5525,0,3,2641,2641,2641,5459,5,2,0,0,False,True,False,False,7575,0,0,1,0,3,597,0,1,488,2568,170,6100,0,0,0,0,69964,8575,5559,0,0,40,57,7,4,3,6,2,4,200,3,0,72533,0,0,2621,0,134,42,89,1,0,0,0,648,1,1,5,0,14,2,1,8,False,0,0,0,0,0,300,0,0,0.0,2,0.197474821570406,5,11,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1037.5141715,0.0,0.0,2,0,0,0.0,0,0,1.0,0,0,0,0,1.0,0,0,0,2,0,71,0.0,0,0,19.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,58,7,0,0,6,0,0,0,5,0,1,4,0,0,0.2974795458032215,0,0,0,0,0,1,0,6,0,-0.1454126834869384,0.8268677978805388,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.236004761887727,-0.231322141511587,-82.69766559039238,438.4132886998353,505.7858624150851,711.7782294311534
6,0,0,13716,0,4,5297,22684,5297,8740,4,3,0,1,False,False,False,True,13025,0,0,0,1,3,1200,2,1,948,0,0,7245,19,0,0,0,205022,14829,7760,0,0,73,156,16,12,4,4,4,7,200,7,15,205868,0,0,5076,647,235,59,163,3,0,845,61,404,2,3,5,0,31,3,6,11,True,0,0,10,2,0,0,0,0,0.8011404791476576,3,0.1313226226426586,4,0,0,3,1.0,647.603271484375,0,0,12,0,0,0,0,0,1,836.098175672414,1,2,1799.561393379992,0.0,0.0,4,0,0,0.0,0,1,2.25,2,0,0,1,0.0,0,1,0,4,2,74,1.0,0,0,35.400000005960464,3,2.0,0,0.0,0,0,0,0,0,0,1,0,7,0,0,0,0,2,0,7,15,0,1,4,0,2,1,9,0,0,4,0,2,0.1634617741476623,0,2,0,0,5,3,5,10,0,-0.1852895021438598,1.066538405000404,6,2,0,635.4929468403044,0.0,0.0,0.0,1232.2347644777628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.90996854612703,-0.2000487459468314,40.44318813891776,462.0792616795228,496.45430452472,513.8252039644366
2,0,0,7750,0,4,180,180,180,5905,9,1,0,0,False,False,False,False,7025,0,0,3,0,1,509,0,1,345,0,0,7957,0,0,0,0,75958,8056,8060,0,0,58,133,11,4,3,4,3,1,200,6,0,83593,0,0,1597,0,157,43,187,1,0,7635,0,102,0,0,11,0,10,1,1,6,False,0,0,0,0,0,0,0,0,0.160041607683412,1,0.1683723419213975,9,5,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,1450.1255620058748,0.0,0.0,1,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,1,0,1,3,61,0.0,0,0,15.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,17,0,0,5,0,0,0,3,0,0,2,0,0,0.1688765674520806,0,0,0,0,0,0,0,6,0,-0.495134949684143,0.4461045530200786,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.94251909263812,-0.4965087292193275,-150.64902359063095,303.98746946453326,333.3228602159085,666.9767262512967
4,0,0,11733,0,3,7714,12735,7714,21157,8,0,2,0,False,False,False,False,14300,0,0,1,4,12,1233,4,2,406,0,0,8364,8,0,0,0,200180,21902,11582,0,0,74,177,18,6,4,1,4,4,100,9,4,205382,0,0,4952,0,209,54,264,1,0,5201,241,551,2,3,5,0,22,0,3,8,False,0,0,1,0,0,0,0,0,0.0,0,0.1783229346113077,8,2,0,0,0.0,0.0,0,0,15,0,0,0,0,0,1,874.9627894175421,0,0,1718.8744806203435,0.0,0.0,4,0,0,0.0,0,0,2.0,1,0,3,5,0.0,0,1,0,5,3,83,0.0,0,0,15.0,0,1.0,0,0.0,0,0,2,1,0,3,0,0,12,0,0,0,0,0,1,16,23,0,0,5,0,9,0,16,0,0,10,2,0,0.2689818942933246,0,1,0,0,3,3,5,10,0,-0.1441050171852111,0.7884953168077032,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.06432130401996,0.0349065627982014,-150.97088410222148,545.3801371591002,772.9709266033739,715.5147242375342
8,0,0,13976,0,1,5610,14788,5610,15471,8,0,0,0,False,False,False,False,13200,0,0,2,1,4,1002,2,1,520,904,676,9683,4,0,0,0,175770,17634,12437,0,0,80,144,16,9,3,1,5,4,100,7,4,177919,0,0,5376,0,224,91,198,1,0,1243,59,1061,2,3,10,0,28,0,10,9,False,0,0,1,1,0,0,0,0,0.0,0,0.1462375093423085,8,3,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,2,2021.3461761,0.0,0.0,5,0,0,0.0,0,0,1.5,0,0,0,1,0.0,0,0,0,5,3,54,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,16,30,0,0,6,0,1,0,12,0,0,3,1,1,0.1968226232942668,0,1,0,0,3,3,0,9,0,-0.2809199690818786,0.8542043442889732,10,2,0,0.0,0.0,0.0,0.0,1791.4355416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.42498252039016,-0.3265150758458449,-45.29654597643266,415.26781009848816,545.3098598512742,688.1156807507614
6,0,0,9874,0,4,5523,6363,5523,12376,7,2,2,0,False,False,False,False,12550,0,0,2,2,8,831,3,2,372,0,0,6092,12,0,0,0,142921,16714,9080,0,0,64,177,20,5,4,1,3,4,200,12,12,143387,0,0,3931,0,184,139,182,1,0,466,0,1047,1,1,9,0,12,2,3,7,False,0,0,5,0,0,825,0,0,0.710673193000425,2,0.1934694032820534,7,4,0,0,1.0,0.0,0,0,19,0,0,0,0,0,1,764.4231541812708,0,2,1515.2291654945373,0.0,0.0,3,0,0,0.0,0,0,2.0,0,0,1,4,1.0,0,0,0,4,6,60,1.0,0,0,32.0,0,2.0,0,0.0,0,0,2,0,0,2,0,0,9,0,0,0,0,0,0,26,23,0,2,5,0,1,0,14,0,0,10,0,0,0.347378784858981,0,1,0,0,4,1,5,7,0,-0.5361486673355103,0.4855991097744356,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.11153432108539,-0.1583918825385527,-91.43171419537956,508.35874700748496,661.8404811873426,642.2790836938312
