assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,3,13244,0,5,6379,22219,6379,7915,5,0,1,0,False,False,False,False,10400,1,2,0,2,6,517,3,2,608,19592,7908,3066,6,0,0,0,134389,17362,11414,0,0,255,38,45,10,3,7,3,4,200,1,4,154569,0,2,3603,202,191,32,106,2,0,588,84,642,2,3,1,0,16,2,5,9,True,0,0,1,1,0,0,0,0,0.0,0,0.1369789026365017,5,2,0,2,0.0,202.0,0,0,0,2,0,0,0,0,1,810.0684414867068,0,0,1698.1359797364723,0.0,0.0,0,0,0,0.0,0,0,2.8,0,0,1,2,0.0,0,0,0,0,14,71,0.0,0,0,19.0,3,2.0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,12,76,0,1,5,0,4,0,14,0,1,5,0,1,0.2925214659267532,0,2,0,0,1,3,0,9,0,-0.0185750722885131,0.5980588947335317,5,2,0,1185.8673792709403,0.0,0.0,0.0,1308.659848038748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.1693177709967,0.0,0.0,20.98771854862344,-0.0706657190189341,51.691973462350326,423.0049940473398,895.8646528625377,534.3388343616706
3,0,0,9180,0,3,987,1552,987,11268,6,2,0,0,False,False,False,False,9650,0,0,1,0,2,483,0,1,758,13352,5161,5562,4,0,0,0,113505,13990,13023,0,0,244,37,30,13,3,1,3,4,100,5,4,134228,0,0,2731,0,210,32,145,1,0,7370,846,1227,1,1,8,0,25,2,4,11,False,0,0,1,0,0,375,0,0,0.0,2,0.2024467800663506,6,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1725.3816263511014,0.0,0.0,0,0,0,0.0,1,0,0.8333333333333334,0,0,0,0,0.0,0,0,1,0,11,80,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,84,0,0,8,0,0,0,5,0,0,0,0,0,0.2487214346425267,0,2,0,0,0,1,0,9,0,0.3596909046173095,0.8817371314987525,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.6493569638424,-0.3825240688321177,-190.04491237886575,341.52444363638443,695.3939822214417,688.9606228819924
8,0,1,11698,0,3,2361,10410,2361,8691,7,1,0,0,False,False,False,False,11625,0,1,1,0,4,532,0,1,501,10739,4419,10679,25,0,0,0,123836,13306,8401,0,0,221,26,38,7,5,1,3,4,200,3,14,135874,0,3,4536,0,178,64,227,1,0,1298,300,741,2,2,7,0,35,1,8,5,False,0,0,5,1,0,700,0,0,0.0,1,0.1594238383338511,7,12,0,0,0.0,0.0,0,0,0,5,0,0,0,0,1,831.2609225713818,0,1,1926.4700713427933,0.0,0.0,0,0,0,0.0,0,0,1.7142857142857142,2,0,0,1,0.0,0,1,0,0,18,75,0.0,0,0,23.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,69,58,0,0,4,0,0,0,12,0,0,1,0,1,0.2047337081347416,0,1,0,0,2,2,5,8,0,0.3068263530731201,1.0980263710672793,9,3,0,0.0,0.0,0.0,0.0,1425.4147077842222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.869621237045404,0.0,-104.05560043830572,385.5756759731292,561.4206086503738,617.3571122083496
3,0,0,7912,0,5,910,3937,910,3479,4,0,0,0,False,False,False,False,6610,0,0,0,0,2,0,0,1,692,6383,2279,2885,0,0,0,0,66622,7057,4423,0,0,155,14,8,7,3,7,2,4,200,0,0,75500,0,0,2108,392,158,0,63,3,0,2495,0,783,0,0,2,0,13,0,3,7,False,0,0,0,0,0,0,0,0,0.0,0,0.1576750964920337,4,5,0,1,0.0,392.199951171875,0,0,0,0,0,0,0,0,1,790.8170862256419,0,0,1221.7945075915973,0.0,0.0,0,0,0,0.0,0,0,1.25,2,0,0,2,0.0,0,1,0,0,4,73,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,40,0,0,7,0,2,0,5,0,0,5,0,0,0.2510109002589307,0,1,0,0,0,0,5,7,0,-0.3197908401489258,0.6848370422950265,3,3,0,1080.1582610414591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.15848133688864,-0.1964323775469315,-43.85352828735248,349.74784822231163,458.4731691945383,397.38269977744255
6,0,0,7827,0,3,223,2210,223,4843,3,1,0,0,False,False,False,False,7775,0,0,0,1,3,336,2,1,632,8442,2100,3769,9,0,0,0,83519,11124,6981,0,0,207,25,26,9,3,4,3,1,100,0,3,91962,0,0,3313,0,148,0,81,1,0,0,0,304,0,0,0,0,16,1,3,8,True,0,0,3,0,0,0,0,0,0.2065136816817361,1,0.1724424667957474,3,5,0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,951.6186792896816,0,0,1233.1450565834607,0.0,0.0,0,0,0,5.0,0,0,3.0,0,0,0,1,0.0,0,0,0,0,18,76,0.0,0,0,21.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,29,67,0,1,5,0,0,0,9,0,0,8,1,0,0.2313061678505542,0,2,0,0,0,0,5,6,0,0.0415568351745605,0.8148122083158275,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26682772009443,0.2432803816537018,51.67275306324626,383.2639132572418,643.4766094740412,537.9415799126654
15,0,0,11422,0,4,2942,18560,2942,8406,8,2,0,1,False,False,False,False,12455,0,0,1,2,5,602,2,1,348,19535,7476,8385,33,0,0,0,151587,14295,10282,0,0,296,57,50,13,4,4,6,7,100,4,22,173952,0,1,6347,790,163,68,210,3,0,2829,626,1335,0,1,7,0,25,3,5,8,False,0,0,22,1,0,0,0,0,0.1774658791080314,2,0.1539715041042668,8,0,0,2,0.0,790.1280517578125,0,0,0,1,0,0,0,0,0,0.0,0,0,1661.8206749105982,0.0,0.0,0,0,0,0.0,1,0,2.5,3,0,0,0,0.0,0,0,0,0,11,48,0.0,0,0,1.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,1,7,80,0,0,4,0,2,0,20,0,0,10,2,1,0.25161400663401,0,1,0,0,2,1,5,6,0,-0.1749399304389953,0.932108234062302,5,3,0,484.1442919916473,0.0,0.0,0.0,1260.8883199311472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-62.10056329065223,0.1444199146294237,-4.0076526309665095,465.7542246798917,808.6793119674585,722.207888083091
4,0,0,11388,0,1,0,3227,0,9043,9,0,2,0,True,False,False,False,11400,0,0,0,4,8,469,2,2,480,10426,3963,7023,8,0,0,0,105749,17800,10797,0,0,211,28,37,8,5,3,4,4,100,7,6,118171,0,0,2189,0,188,80,231,1,0,1994,990,678,0,0,4,0,13,0,3,7,False,0,0,3,0,0,450,0,0,0.0,0,0.1675222689540413,9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1536.52618209659,0.0,0.0,0,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,1,0,0,8,61,0.0,0,0,29.599999994039536,0,1.0,0,0.0,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,8,76,0,0,5,0,2,0,12,0,0,2,0,0,0.2425460511812499,0,1,0,0,0,0,0,8,0,-0.595641016960144,0.5123203566817663,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.7583907363191,-0.5857368461967566,-103.9878147614642,438.0140135859346,888.5237465574,722.3306787298402
8,0,0,10540,0,3,4532,6823,4532,9225,2,2,0,0,False,True,False,False,10883,0,0,2,2,7,0,5,1,1010,10199,5671,4247,0,0,0,0,117425,19297,13379,0,0,221,30,25,11,4,4,5,7,100,1,0,127799,0,0,6961,348,208,14,72,3,0,175,175,180,1,1,10,0,16,2,3,9,False,0,0,0,0,0,300,0,0,0.3461641133992318,2,0.1692843820400688,2,6,0,2,0.0,348.0,0,0,0,0,0,0,0,0,0,0.0,0,4,1476.474508419691,0.0,0.0,0,0,0,0.0,0,1,7.5,5,0,1,2,0.0,0,1,0,0,10,77,0.0,0,0,50.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,36,81,0,0,4,0,1,0,15,0,1,8,1,0,0.3392850936558982,0,0,0,0,5,1,0,9,0,-0.5653635859489441,0.6611646947652574,3,3,0,339.74189835172115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01111286730071,-0.0406373423027936,-38.48356316074561,469.28002891266135,1021.7853348614442,723.629154385847
5,0,0,11223,0,7,1963,2507,1963,7726,9,5,1,0,False,False,False,False,10850,0,0,1,2,7,538,2,2,571,26060,6670,7464,8,0,0,0,97420,15044,12207,0,0,207,28,23,12,4,7,3,4,200,5,4,124668,0,0,3198,178,169,55,264,2,0,1188,626,1768,0,0,8,0,36,6,3,14,False,0,0,1,0,0,600,0,0,0.485372265408732,5,0.1782490784952677,9,4,0,0,0.0,178.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1569.4555837500736,0.0,0.0,0,0,0,0.0,0,0,1.3333333333333333,0,0,0,2,1.0,0,1,0,0,6,52,0.0,0,0,1.0,0,2.0,0,0.0,0,0,1,0,0,3,0,0,9,0,0,0,0,0,1,22,76,0,1,5,0,0,0,12,0,0,4,0,0,0.2907579135980514,0,0,0,0,3,0,0,7,0,0.0451618432998657,1.3911063136405886,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3440683543969549,-0.2676087200865204,8.984007031476043,433.7555054430944,854.0541152475524,819.6472798078569
9,0,5,15594,0,1,9573,11485,9573,11636,5,0,3,0,False,False,False,True,14550,0,1,0,4,14,616,5,2,512,22416,9143,14812,8,0,1,0,186718,31544,11676,0,0,336,63,54,17,4,4,6,3,200,12,8,215968,0,0,10008,0,235,149,166,1,0,6833,2152,946,3,5,4,0,19,0,6,6,True,0,0,4,0,0,875,0,0,0.0,0,0.1965989143007283,5,13,0,3,0.0,0.0,0,0,0,0,0,0,0,0,1,900.4193161860303,0,0,1937.2983683958428,0.0,0.0,0,0,0,0.0,0,0,4.6,0,0,3,2,0.0,0,1,1,0,18,64,0.0,0,0,56.400000005960464,1,2.0,0,0.0,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,72,135,0,2,4,0,2,1,23,0,0,9,0,1,0.3775475088890063,0,1,0,0,0,5,5,10,0,-0.24777352809906,0.5934622258245333,6,4,0,853.5275677237373,0.0,0.0,0.0,1860.2489903213789,1.0,23.60901259817365,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123.85288911314136,0.1858257901172413,112.26974819583332,523.8429023405034,1326.7961414371034,849.6884253110861
