assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,2,11533,0,7,2425,15986,2425,12315,9,2,0,0,False,True,False,False,14700,0,0,0,5,12,439,2,1,249,20506,5863,7724,24,0,0,0,142435,20553,13309,0,0,80,44,197,5,6,6,4,4,200,1,20,173807,0,0,4491,0,190,23,213,1,0,10865,2404,1700,2,2,4,0,31,4,8,11,True,0,0,9,0,0,1425,0,0,0.7402449937737668,2,0.1993523980433151,9,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,798.6143112766538,1,0,1661.8206749105982,0.0,0.0,0,0,0,0.0,0,0,1.7777777777777777,3,0,0,3,0.0,0,3,0,0,4,59,0.0,0,0,29.0,7,1.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,12,16,0,1,4,0,0,0,16,0,0,9,1,0,0.2708517700163235,0,1,0,0,2,2,0,8,0,0.2120329141616821,1.1297458878669568,8,4,1,1641.120266135369,0.0,0.0,0.0,0.0,1.0,42.34851538143676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.10056329065223,-0.1444199146294237,4.0076526309665095,527.854787970544,1040.5815898836556,820.8105847963301
2,0,0,8613,0,2,3190,10709,3190,4151,1,0,1,0,False,False,False,False,9050,0,0,0,1,5,349,5,2,1359,8602,2346,1850,0,0,0,0,95758,5199,4988,0,0,58,18,79,4,3,6,1,4,200,0,0,113598,0,0,1730,0,192,0,0,1,0,9236,377,151,2,2,3,0,16,0,4,6,False,0,0,0,0,0,0,0,0,0.0,0,0.0954408149278965,1,16,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,799.3391569791754,0,0,1376.4288279212633,0.0,0.0,0,0,0,0.0,0,1,7.0,0,0,1,2,0.0,0,0,0,0,0,63,0.0,0,0,21.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,82,8,0,2,5,0,4,1,7,0,0,6,0,0,0.1977855667999284,0,2,0,0,5,2,0,8,0,0.4217261075973511,0.7140528046586776,4,2,0,811.1249291020096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.56304213929355,-0.0871821321711408,-22.14426157146977,454.0009532812157,345.41560766205987,304.7451430042227
16,0,2,13834,0,2,7306,23101,7306,7961,3,0,3,0,False,False,False,False,12820,2,2,0,2,11,447,8,3,832,17950,6553,3815,5,0,0,0,138481,17795,8107,0,0,80,24,96,6,5,6,2,4,200,3,4,165654,0,0,2797,0,210,59,71,1,1,9222,2952,426,3,6,0,0,13,0,4,5,True,0,1,1,1,0,0,0,0,0.0,0,0.1237838710145383,3,3,0,1,0.0,0.0,0,0,0,1,0,0,0,0,1,795.7750570999999,3,1,1531.4825823,0.0,0.0,0,0,0,0.0,0,0,9.0,5,0,1,1,0.0,0,0,0,0,2,66,0.0,1,0,22.0,0,2.0,0,0.0,0,0,4,2,0,2,0,0,20,0,0,0,0,0,0,17,12,0,0,5,0,2,0,27,0,0,11,0,1,0.2875693346592385,0,2,0,0,1,6,0,9,0,0.0618515014648437,0.5312566621800745,6,6,0,1259.8959189,0.0,0.0,1407.4105345,1230.5045886,1.0,14.682183000000125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.979443068655264,0.3917772274621056,66.56295094581174,547.0777204280843,1069.5910086942945,483.8056981929542
7,0,4,13525,0,4,5654,23752,5654,8605,4,1,3,1,False,False,False,False,12075,0,1,0,3,11,1425,4,2,872,18840,5862,7606,12,0,0,0,157468,12630,5999,0,0,82,31,80,6,4,1,4,4,100,0,4,186076,0,0,2929,0,255,5,139,1,0,9767,1445,427,2,5,5,0,20,1,6,10,True,0,0,1,0,0,0,0,0,0.3470895443689038,1,0.1137556740628718,4,0,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,1,5,1864.204860365332,0.0,0.0,0,0,0,0.0,0,0,4.5,2,0,2,3,0.0,0,0,0,0,3,68,0.0,0,0,47.599999994039536,4,1.0,0,0.0,0,0,3,2,0,2,0,0,15,0,0,0,1,0,0,3,20,0,0,5,0,6,0,18,0,0,5,0,0,0.2238105615417602,0,1,0,0,0,5,5,11,0,-0.3583948016166687,0.6440953434836189,6,4,0,1670.9001510334558,0.0,0.0,0.0,0.0,0.0,10.870083477061598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.054307125840346,0.0321853039200003,16.607616822720175,460.9901080461648,641.7105895569667,451.6241846054447
6,1,2,11438,0,1,7733,13803,7733,8944,4,0,0,0,False,True,False,False,13650,0,0,0,3,8,486,3,1,739,14638,4922,2628,22,0,0,0,141548,15843,13944,0,0,79,19,79,4,3,7,3,4,200,3,4,165384,0,10,5206,411,209,90,96,3,0,9197,1846,122,2,4,2,0,20,0,6,6,True,0,0,1,1,0,0,1,0,0.0,0,0.2173782043212808,4,0,0,1,0.0,411.5999755859375,0,0,0,10,0,0,0,0,1,723.057766611481,0,0,1373.2093305171295,0.0,0.0,0,0,0,0.0,0,1,3.5,0,0,1,2,0.0,0,0,0,0,2,72,1.0,0,0,78.80000004172325,0,3.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,1,0,1,1,6,8,0,2,5,0,0,1,14,0,1,7,1,1,0.320333175866984,0,1,0,0,7,4,5,9,0,-0.0568044185638427,0.8901255291394579,6,5,0,1338.8805168434626,0.0,0.0,0.0,1301.862537191569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.7102637456234,0.2621595935882765,185.25944613571545,610.7881597950864,987.9921217030184,729.4590691593795
4,0,0,4748,0,2,0,115,0,3321,4,1,0,0,False,False,False,False,4425,0,0,0,0,1,260,0,1,305,3519,1235,2377,0,0,0,0,31298,3040,5656,0,0,34,12,67,2,4,6,3,4,200,0,0,35631,0,0,522,0,100,0,43,1,0,813,81,264,0,0,2,0,9,1,1,5,False,0,0,0,0,0,150,0,0,0.1206536337895451,1,0.1546736693694085,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,912.6785329247988,0.0,0.0,0,0,0,0.0,0,0,1.25,1,0,0,0,0.0,0,0,0,0,1,53,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,0,0,4,0,0,0,5,0,0,5,0,0,0.1945743560243282,0,0,0,0,0,0,0,3,0,0.0497412681579589,0.6537750137811541,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.21346771029206,-0.0657405623508225,-40.03600247165095,347.2416503370448,286.4316301625339,545.5151863871257
3,0,0,8317,0,3,3519,5802,3519,5378,3,1,1,0,False,False,False,False,7600,0,0,0,2,5,321,3,2,534,5907,1855,1224,0,0,0,0,69360,6505,8097,0,0,42,15,20,3,2,1,3,4,200,0,0,79140,0,0,2140,0,171,0,71,1,0,3872,636,581,1,1,1,0,14,2,5,6,True,0,0,0,0,0,0,0,0,0.0,1,0.1758247757421692,3,4,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,926.8758651757151,0,0,1166.2135193031074,0.0,0.0,0,0,0,0.0,0,0,2.6666666666666665,1,0,1,2,0.0,0,3,0,0,3,75,0.0,0,0,23.0,2,2.0,0,0.0,0,0,1,0,0,3,0,0,7,0,0,0,0,0,0,24,8,0,1,4,0,0,0,8,0,0,5,0,0,0.2039053304663839,0,1,0,0,0,1,0,7,0,0.1814806461334228,0.7537154674749921,5,5,1,639.4663260515446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0864192200246,0.2572427733295963,104.38911741715016,418.7397864259168,462.8311977746096,509.54648541126426
4,0,0,11807,0,5,2364,8473,2364,9643,4,3,0,0,True,False,False,False,10975,0,0,2,1,3,429,2,1,849,16716,4853,3533,7,0,0,0,152317,7519,11635,0,0,77,57,154,5,5,4,4,7,100,0,7,182116,0,0,4645,604,251,27,81,3,0,13082,750,251,0,0,10,0,20,3,6,11,False,0,0,6,0,0,0,0,0,0.5219796326720165,3,0.1263154161182366,4,8,0,1,0.0,604.0,0,0,1,0,0,0,0,0,0,0.0,0,0,2032.9411607055283,0.0,0.0,0,0,0,0.0,0,0,1.75,1,0,0,0,0.0,0,1,0,0,5,58,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,44,28,0,0,5,0,0,0,7,0,1,6,0,0,0.1601634177913317,0,1,0,0,0,0,5,11,0,-0.1029459238052368,0.612861068497904,6,4,0,1118.8578929481346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.15625087750452,-0.2951388911776331,-130.09722323110066,358.0625027767045,387.3107668924079,455.1041701959102
16,0,1,18688,0,4,5679,41184,5679,22203,10,0,2,0,True,False,False,True,17300,0,0,2,2,14,644,8,2,560,31033,7627,15107,24,0,0,0,231932,29240,15334,0,0,106,51,169,10,8,6,5,4,100,7,16,282948,0,8,7090,0,245,95,325,1,0,19982,4261,998,1,2,9,0,16,0,3,7,False,0,0,4,2,0,525,1,0,0.0,0,0.2020928348007089,10,2,0,2,1.0,0.0,0,0,0,3,0,0,0,0,1,688.369005,0,2,2061.5752096,0.0,0.0,0,0,0,0.0,0,1,3.0,5,0,2,6,0.0,0,1,1,0,2,63,1.0,1,0,98.40000000596046,0,3.0,0,0.0,0,0,2,0,0,3,0,0,23,0,0,0,0,0,0,17,14,0,5,4,0,1,1,30,0,0,12,0,2,0.369114318944962,0,0,0,0,6,2,0,11,0,-0.5665968656539917,0.4713730767494341,3,0,0,460.3093023,0.0,0.0,823.3914745,1267.7944581,1.0,24.092526200000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.87202902073544,0.1746237529068122,80.64706988412944,563.1616031244694,1197.0458261761976,915.028465231696
0,0,0,5183,0,1,0,3814,0,3149,3,0,0,0,False,False,False,False,4600,0,0,0,0,1,234,0,1,543,4150,1202,2616,0,0,0,0,26685,3177,3393,0,0,30,14,70,2,3,7,1,4,100,1,0,34618,0,0,883,366,103,6,64,3,0,3782,72,340,0,0,4,0,7,0,1,4,False,0,0,0,0,0,375,0,0,0.0,0,0.0929036430389575,3,0,0,0,0.0,366.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1158.3503306167788,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,3,59,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0,4,0,1,0,1,0,0,1,0,0,0.1007865326959028,0,1,0,0,0,0,0,4,0,-0.1126366257667541,0.3861614453430037,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211.12783718012216,-0.4661802096715161,-101.05750989656975,278.9829565878651,230.60381038417663,328.8642390227173
