assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,4,13790,0,3,5885,13844,5885,10387,2,2,1,0,True,False,False,False,11250,0,2,0,2,9,0,5,2,906,43346,11861,5431,18,0,0,0,102528,9369,11871,0,0,32,28,40,51,2,4,4,6,200,14,11,169466,0,6,4186,0,207,455,61,1,0,23591,1726,983,3,6,3,0,27,2,4,9,True,0,0,11,1,0,375,1,0,0.583298190346821,2,0.1450168455691932,2,1,0,3,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,0,1813.083309573935,0.0,0.0,0,0,0,0.0,0,0,7.0,4,0,2,3,0.0,0,0,0,0,2,82,0.0,0,0,33.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,11,29,0,0,5,0,6,0,14,0,1,2,0,1,0.2634558827941916,0,2,0,0,3,6,5,9,0,0.1438798904418945,0.9250825965575976,4,2,1,1043.9770852958595,0.0,0.0,0.0,1602.218140547675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.92085392263998,0.1654639907696786,110.56303863229928,459.4935023673976,759.7444600180565,605.1349070428688
5,0,0,13986,0,8,1211,15644,1211,17826,8,3,0,0,False,True,False,False,12050,0,0,1,1,4,0,2,1,420,85055,11682,11280,28,0,0,0,119445,7642,11590,0,0,31,45,34,38,7,6,4,4,100,12,20,214371,0,0,4799,0,225,374,196,1,0,9870,2911,1500,1,1,5,0,39,4,9,12,False,0,0,17,1,0,525,0,0,0.0,3,0.174978722559337,8,2,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,1949.4232145226288,0.0,0.0,0,0,0,0.0,0,0,1.125,1,0,0,2,0.0,0,0,0,0,8,56,0.0,0,0,39.00000002980232,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,2,14,25,0,0,7,1,2,0,9,0,0,4,0,1,0.249799849182308,0,1,0,0,1,1,0,10,0,-0.0383828282356262,1.2210772155675085,9,5,0,0.0,0.0,0.0,0.0,1433.7648713592591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-80.05444832984391,-0.430896684589702,-10.187628757085095,410.367535402464,684.3870484669009,750.129571201444
4,0,5,21696,0,3,2590,16138,2590,27700,4,1,2,0,False,False,False,False,21035,0,0,6,2,9,0,5,3,559,145682,18805,6719,41,0,0,0,203060,12160,21176,0,0,24,43,55,66,6,6,6,4,200,17,36,373496,0,2,10000,0,343,677,114,1,1,24751,2553,317,1,1,11,0,21,1,5,8,False,0,0,27,1,0,1025,0,0,0.5282055264237232,1,0.1580634377454966,4,0,0,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,2200.1277841,0.0,0.0,0,0,0,0.0,0,0,3.25,1,0,2,1,0.0,0,0,0,0,8,75,0.0,0,0,140.55000001192093,0,2.0,0,0.0,0,0,3,0,0,1,0,0,9,0,0,0,0,0,0,8,40,0,0,5,0,2,0,13,0,0,1,0,1,0.3127811444384911,0,0,0,0,2,1,0,16,0,-0.5453795790672302,0.596905023356266,7,3,0,1918.9755623,0.0,0.0,0.0,1640.4220901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.42797472783388,0.0,109.0027596274834,563.2036506947178,914.128722219976,769.4280360594988
15,0,0,15917,0,2,9779,26189,9779,13471,11,1,1,0,False,False,False,False,14275,0,2,0,2,9,457,5,2,602,54560,12378,5366,14,0,0,0,121131,12644,17999,0,0,22,55,40,64,5,4,4,7,200,14,8,192350,0,2,8757,510,187,418,233,4,0,16657,3762,2221,7,7,3,0,37,1,7,10,True,0,0,4,0,0,375,0,0,0.0,1,0.1777065127327224,11,0,0,2,0.0,510.7470703125,0,0,0,1,0,0,0,0,0,0.0,0,3,2061.5752096,0.0,0.0,0,0,0,0.0,0,0,2.1818181818181817,3,0,1,0,0.0,0,2,0,0,12,32,0.0,0,0,6.0,7,1.0,0,0.0,0,0,1,0,0,2,0,0,13,0,0,0,0,1,1,8,30,0,2,5,0,8,0,24,0,0,5,0,0,0.2260736465272005,0,2,0,0,1,7,0,8,0,1.3073208332061768,1.0876089147041057,7,2,0,1150.5150474,0.0,0.0,0.0,0.0,0.0,16.656345199999805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.87202902073544,-0.1746237529068122,-80.64706988412944,459.28957410373386,837.7574545704315,744.6829942711006
4,0,6,9182,0,1,4112,4112,4112,6104,2,0,3,0,False,False,False,False,12100,0,0,0,3,16,0,6,2,592,29938,9889,2872,7,0,0,0,61866,10574,6539,0,0,33,35,17,32,3,4,5,6,100,4,7,97038,0,0,2917,0,146,65,51,1,0,5233,103,627,1,1,0,0,6,0,0,6,True,0,0,8,0,0,0,0,0,0.0,0,0.1388211018333388,2,5,0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,875.9524480942288,0,0,1140.9823032264148,0.0,0.0,0,0,0,0.0,0,0,10.0,2,0,3,1,0.0,0,3,0,0,7,58,1.0,0,0,74.60000002384186,0,3.0,0,0.0,0,0,3,0,0,2,0,0,18,0,0,0,0,0,0,29,27,0,1,4,0,4,0,20,0,0,13,0,0,0.2935639690395432,0,0,0,0,4,1,0,6,0,-0.1354808807373047,0.3642453395821873,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.7666886036657,0.5784489366168816,202.66747288376925,647.3369463412556,1081.489166405708,527.9135340633522
0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,369,0,0,0,0,0,2,0,0,1,6,0,4,200,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.866404609522553,0.0,-4.586247375236085,286.6404609522553,0.0,0.0
5,0,0,13106,0,4,1781,4243,1781,14184,8,1,0,0,False,False,False,False,13525,0,0,3,1,4,0,2,1,363,32647,11088,5975,16,0,0,0,131096,7425,13259,0,0,44,31,22,40,4,4,6,6,200,8,16,174797,0,0,4412,0,233,255,225,1,0,11054,2412,795,1,1,11,0,22,3,4,9,False,0,0,11,0,0,450,0,0,0.0,1,0.2069309747224352,8,4,0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1847.5961202539563,0.0,0.0,0,0,0,0.0,0,1,1.125,0,0,0,0,0.0,0,0,0,0,9,52,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,23,27,0,0,5,0,2,0,9,0,0,5,0,0,0.2983380437889111,0,1,0,0,5,1,0,10,0,-0.4437349438667297,0.7227903117820506,4,3,0,811.3392396141771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.33005563261441,-0.324746297863804,-125.4494948647875,464.19235816652144,679.53162828001,650.4343599914131
1,0,0,10784,0,3,4995,8860,4995,9954,4,1,4,0,False,True,False,True,13925,1,1,0,4,19,0,6,3,417,37698,14118,6189,28,0,0,0,127372,19512,9796,0,0,36,28,18,46,5,6,3,4,100,10,8,176430,0,16,3629,0,204,271,79,1,1,11359,1671,2315,3,4,2,0,15,1,4,5,True,0,0,7,0,0,0,1,0,0.2428847286624299,1,0.2274395692018656,4,5,0,0,0.0,0.0,0,0,0,6,0,0,0,0,1,798.8080096665585,0,0,1324.9725715617774,0.0,0.0,0,0,0,0.0,0,1,5.0,8,0,4,9,0.0,0,1,0,0,8,77,1.0,0,0,90.00000002980232,0,2.0,0,0.0,0,0,5,0,0,3,0,0,19,0,0,0,0,0,1,25,21,0,0,3,1,2,1,20,0,0,10,0,0,0.4462209363415954,0,0,0,0,4,4,0,8,0,0.0637762546539306,0.7160432304365058,4,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.246648315364,0.5886914316125013,70.95995948744535,696.6936673352564,1598.6142245218862,828.6963998852902
3,0,0,7595,0,4,0,2190,0,7576,5,0,0,0,False,True,False,False,7650,0,0,3,0,2,0,0,1,405,14268,4898,3633,1,0,0,0,43392,7040,10491,0,0,20,22,15,8,5,6,4,4,200,6,1,78282,0,0,1857,0,123,135,106,1,0,20622,2384,808,0,0,11,0,13,0,2,7,False,0,0,3,0,0,600,0,0,0.0,0,0.1622528271123773,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1388.9324605,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,7,32,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,22,0,0,6,0,0,0,5,0,1,3,0,0,0.2601774432383718,0,0,0,0,0,0,0,4,0,-0.097901165485382,0.5658448752114958,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.16626960026326,-0.5615823822845992,-189.8580438569857,336.0854564749371,618.734189343255,645.0853626658401
10,0,0,17741,0,1,1569,19569,1569,19904,10,0,0,0,False,False,False,False,14400,1,1,1,2,8,0,4,1,291,75842,13326,12555,27,0,0,0,123475,10580,14496,0,0,48,35,32,53,6,1,4,4,100,10,18,212724,0,7,5959,0,236,345,242,1,0,13407,4127,1262,0,1,7,0,23,0,3,11,True,0,0,16,1,0,0,0,0,0.0,0,0.1590304302816423,10,5,0,2,0.0,0.0,0,0,0,8,0,0,0,0,1,846.1677981855402,0,1,2076.173660110966,0.0,0.0,0,0,0,0.0,0,0,1.8,3,0,1,0,0.0,0,1,1,0,10,68,0.0,0,1,6.0,5,1.0,0,0.0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,32,34,0,0,5,0,0,0,18,0,0,3,0,1,0.1998700989614148,0,1,0,0,0,1,5,10,0,-0.3040201663970947,0.6679368669061053,3,1,0,1600.2293928801555,0.0,0.0,0.0,1860.5136837183309,0.0,12.362224794575924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-99.00905880340152,-0.2889931663847096,6.849138043317618,419.2712857909368,810.163442642895,818.2263519850284
