assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,1,6549,0,2,0,1436,0,2684,3,1,0,0,False,True,False,False,5325,0,0,0,1,5,307,2,1,433,3072,1476,2258,4,0,0,0,44184,5815,4129,0,0,23,20,14,4,3,1,3,4,200,0,0,47257,0,0,976,0,129,0,45,1,0,0,0,22,0,0,0,0,15,1,3,7,True,0,0,0,0,0,0,0,0,0.0936722667582417,1,0.1215643363101102,3,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,3,926.5337951137844,0.0,0.0,0,0,0,0.0,0,0,3.0,5,0,0,1,1.0,0,0,0,0,2,77,0.0,0,0,47.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,4,8,0,0,6,0,0,0,9,0,4,8,0,0,0.1616312351980458,0,1,0,0,0,0,0,6,0,0.5523136854171753,1.0229261523137654,3,3,0,835.3419985911654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.80211744157471,0.0,71.8160528530192,433.680889050198,472.2115936918088,415.1602478275077
3,0,0,10449,0,4,2452,13696,2452,9112,4,2,2,0,False,False,False,False,11050,0,0,2,2,6,3710,3,2,764,13279,7130,7683,0,0,0,0,136762,19548,7354,0,0,72,39,34,10,4,1,3,4,100,0,0,153751,0,0,2701,0,222,0,99,1,0,3710,0,828,0,1,11,0,24,2,2,11,False,0,0,0,0,0,600,0,0,0.2954062771197268,2,0.1382816337080676,4,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,896.8234121689176,0,2,1813.083309573935,0.0,0.0,0,0,0,0.0,0,0,2.25,2,0,1,0,0.0,0,0,1,0,1,66,0.0,0,0,9.0,0,1.0,0,0.0,0,0,2,1,0,0,0,0,8,2,0,0,0,0,0,16,19,0,0,5,0,4,1,9,0,0,3,0,0,0.2829942795488226,0,0,0,0,1,1,0,9,0,-0.125782310962677,0.8087235595427658,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.92085392263998,-0.1654639907696786,-110.56303863229928,393.5726484447577,882.8827619488513,525.0172427121904
3,0,1,8713,0,2,1939,1939,1939,6280,7,0,0,0,False,False,False,False,7550,0,0,1,0,1,344,0,1,388,9732,4072,3808,4,0,0,0,85991,10856,8821,0,0,50,37,23,6,4,3,3,4,200,2,4,115007,0,0,1117,0,174,13,142,1,0,19283,488,639,0,0,7,0,15,0,2,7,False,0,0,1,0,0,0,0,0,0.0,0,0.1263030433642759,7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1569.9501064,0.0,0.0,0,0,0,0.0,0,0,0.5714285714285714,0,0,0,0,0.0,0,1,0,0,15,70,0.0,0,0,31.99999997019768,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,49,0,0,6,0,5,0,4,0,0,2,0,1,0.2263760872070337,0,0,0,0,4,0,0,8,0,-0.4401615262031555,0.5944889834080699,2,1,0,0.0,0.0,0.0,0.0,1297.8743086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.65179968040287,-0.4968310755993333,-37.30054844499611,341.78156223729525,589.1652201107172,507.0734393116889
8,0,7,14317,0,5,4645,19550,4645,11007,5,3,3,0,False,False,False,False,14725,1,1,0,4,15,631,7,2,386,16237,8393,9039,12,0,0,0,190032,26617,8734,0,0,91,37,64,16,5,1,3,4,200,0,8,211892,0,0,5200,0,236,37,122,1,0,5622,182,2109,2,2,5,0,41,3,11,11,True,0,0,7,1,0,450,0,0,0.0,3,0.1636697857738616,5,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,1,737.4122031078754,0,3,1949.4232145226288,0.0,0.0,0,0,0,0.0,0,0,4.6,2,0,2,1,0.0,0,1,0,0,2,59,0.0,0,0,14.0,1,1.0,0,0.0,0,0,3,0,0,3,1,0,16,0,0,0,0,0,1,15,20,0,0,5,0,0,0,23,1,0,6,1,1,0.3142487505723207,0,1,0,0,1,2,5,10,0,0.039914846420288,1.269816349350629,11,4,1,660.1197429580128,0.0,0.0,0.0,1835.771722796396,1.0,25.690098584208727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.05444832984391,0.430896684589702,10.187628757085095,490.4219837323079,1083.18193005467,611.9656271212174
2,0,0,10494,0,3,1508,1508,1508,11757,15,0,0,0,False,False,False,False,9600,0,0,2,0,4,420,0,1,230,5827,2280,5335,0,0,0,0,104214,13742,17257,0,0,58,33,43,8,4,4,7,14,200,0,0,114001,0,0,1008,0,173,1,330,1,0,3960,1990,878,0,0,10,0,19,0,3,7,False,0,0,0,0,0,300,0,0,0.0,0,0.1715111135068381,15,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1572.8865300558289,0.0,0.0,0,0,0,0.0,0,0,0.4,0,0,0,0,0.0,0,1,0,0,8,57,0.0,0,0,18.99999997019768,0,0.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,18,30,0,1,5,0,0,0,6,0,1,3,0,0,0.1994879939624906,0,0,0,0,2,0,0,8,0,0.5891673564910889,0.7373927531460339,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.03428198128985,-0.5721963935745924,-152.12794783836495,369.2955524130419,687.1315758306088,895.3347702392838
4,0,0,10321,0,9,0,0,0,8030,4,2,1,0,False,False,False,False,9375,0,0,2,1,4,467,3,2,968,13046,3383,5920,4,0,0,0,102891,9493,9227,0,0,60,48,47,15,4,4,5,7,200,2,4,124989,0,0,2400,545,194,40,100,4,0,9050,612,1390,0,0,10,0,23,4,4,10,False,0,0,3,0,0,525,0,0,0.0,1,0.1683796022862632,4,5,0,0,0.0,545.455322265625,0,0,0,0,0,0,0,0,0,0.0,0,0,1571.80911889507,0.0,0.0,0,0,0,0.0,0,0,2.0,1,0,1,0,1.0,0,1,0,0,1,60,0.0,0,0,7.0,0,1.0,0,0.0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,33,16,0,0,5,1,0,0,8,0,0,3,0,0,0.1842044270046847,0,0,0,0,0,0,0,9,0,-0.3468087315559387,0.8903056414392077,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.81437529572132,-0.3053805924840442,-139.4825856170872,387.0317283994656,514.9098515021591,631.2980298126404
13,0,0,15119,0,4,4086,13059,4086,10631,8,2,0,1,False,False,False,False,11850,0,1,1,1,6,718,2,1,880,6131,2084,10980,14,0,0,0,133729,13856,11422,0,0,71,40,52,13,6,4,5,1,200,2,10,142899,0,0,1138,0,194,49,248,1,0,3039,734,710,2,5,5,0,32,2,2,14,True,0,0,5,1,0,300,0,0,0.0,2,0.1529923288265519,8,0,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,6,2021.823570892832,0.0,0.0,0,0,0,0.0,0,0,2.375,3,0,0,1,0.0,0,1,1,0,3,50,0.0,0,1,8.0,6,1.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,54,0,0,6,0,7,0,19,0,0,3,0,1,0.1182627791511872,0,0,0,0,0,5,0,8,0,0.0420958995819091,0.9686077392326964,2,1,0,708.2510628041912,0.0,0.0,0.0,1864.3944188666887,0.0,35.430367365496295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-150.93305093146287,-0.2670856190293287,-26.204066844766363,387.06641433328167,494.8502997015619,685.8758696673162
3,0,2,10572,0,7,6853,12438,6853,8069,4,3,3,0,False,False,False,True,10875,0,0,0,4,14,403,5,3,745,13027,6393,3039,4,0,0,0,101991,21068,10465,0,0,60,36,50,10,4,4,4,1,100,3,4,116056,0,0,1153,0,153,34,135,1,1,1038,438,1845,3,4,2,0,20,3,3,8,True,0,0,1,1,0,0,0,0,0.4870599422286777,3,0.1585222435578381,4,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,859.660368457227,0,1,1355.1010014689025,0.0,0.0,0,0,0,0.0,0,0,4.25,6,0,3,6,0.0,0,0,0,0,2,75,1.0,0,0,58.0,0,2.0,0,0.0,0,0,4,0,0,2,0,0,16,1,0,0,0,0,0,33,17,0,1,5,0,1,1,17,0,0,7,0,1,0.3620692431792348,0,2,0,0,4,4,5,7,0,1.6959214210510254,0.9034215784134912,3,2,0,0.0,0.0,0.0,0.0,1296.0689536277018,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,206.1986521278593,0.5756028511192122,72.65879066820209,534.8678801169294,1235.3322727866168,679.6541357446082
4,0,0,8228,0,9,1847,12823,1847,7765,7,5,0,0,False,True,True,False,10525,0,0,1,1,5,1425,3,1,710,14871,5363,4549,0,0,0,0,88364,15333,10167,0,0,58,41,43,12,6,14,4,4,200,0,0,106027,0,0,0,0,161,0,183,0,0,2792,1367,1927,0,1,8,0,23,5,3,13,False,0,0,0,0,0,600,0,0,0.5334700136576588,5,0.1769636494569778,7,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,775.2171903867647,0,1,1460.93173416865,0.0,0.0,0,0,0,0.0,0,1,1.2857142857142858,1,0,1,2,0.0,0,0,0,0,5,75,0.0,0,0,56.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,8,44,0,0,6,0,0,0,9,0,0,4,1,0,0.3249674043226584,0,2,0,0,5,1,5,7,0,0.2893739938735962,0.9598876191957424,3,2,3,841.98990815574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.57777918717149,-0.2053484040243101,-96.6780286146452,439.4455846120237,906.2025069592806,683.5637673161235
6,0,0,11681,0,2,9317,10433,9317,6422,2,0,1,0,False,True,False,False,9575,0,1,0,1,6,509,5,3,803,5083,1123,4716,12,0,0,0,124528,9346,7460,0,0,67,32,33,11,5,3,3,4,100,3,4,134348,0,4,2554,0,205,78,53,1,1,4736,84,716,3,5,0,0,16,0,5,5,True,0,1,1,0,0,0,0,0,0.0,0,0.1617685302819462,2,5,0,1,0.0,0.0,0,0,0,1,0,0,0,0,1,726.4631985,1,2,1377.2252912,0.0,0.0,0,0,0,0.0,0,0,6.0,4,0,1,2,0.0,0,0,0,0,0,79,0.0,0,0,46.0,0,2.0,0,0.0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,1,30,7,0,0,5,0,0,0,12,0,0,7,0,1,0.1622655387988208,0,2,0,0,0,5,5,9,0,0.7533179521560669,0.7183207838996807,5,5,0,1134.6633583,0.0,0.0,0.0,1281.8660203,0.0,11.640348000000015,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,143.85445959053993,0.2178292846616292,106.12642748714576,514.5563362277005,459.7504882068346,561.7381592854094
