assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,5440,0,1,483,483,483,4324,3,0,0,0,False,False,False,False,6250,0,0,0,2,5,255,2,1,507,4608,1220,2443,0,0,0,0,37615,8960,5613,0,0,69,9,12,3,0,1,3,4,100,1,0,42224,0,0,1507,0,96,1,43,1,0,0,0,218,0,0,0,0,10,0,3,4,False,0,0,0,0,0,525,0,0,0.0,0,0.1472338465139055,3,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,926.5337951137844,0.0,0.0,2,0,0,0.0,0,0,3.0,3,0,0,0,0.0,0,1,0,0,6,57,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,4,21,0,0,4,0,0,0,9,0,2,8,0,0,0.2487870265877023,0,0,0,0,1,0,0,3,0,-0.3558003306388855,0.6589687039579856,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80211744157471,0.0,-71.8160528530192,458.4830064917727,659.2312155489047,535.8034457221648
8,0,0,12430,0,6,1610,6936,1610,14892,6,1,1,0,False,False,False,False,14000,0,0,2,1,7,573,5,2,780,13012,3314,6533,6,0,0,0,127665,13212,12151,0,0,140,14,19,5,4,1,4,4,100,2,6,149454,0,0,5178,0,239,14,176,1,0,8776,196,601,1,1,11,0,14,2,3,6,False,0,0,3,0,0,375,0,0,0.4198325336814301,1,0.1375284784597956,6,4,0,1,0.0,0.0,0,0,24,0,0,0,0,0,0,0.0,0,2,1838.54117575054,0.0,0.0,4,0,0,0.0,0,0,2.5,1,0,1,3,0.0,0,0,0,0,4,66,1.0,0,0,20.74999997019768,0,1.0,0,0.0,0,0,1,0,0,2,0,0,14,1,0,0,1,0,0,25,18,0,0,4,0,0,0,15,0,0,8,0,0,0.225764269378216,0,2,0,0,3,1,5,10,0,-0.1598893404006958,0.4776576017024126,5,5,0,1197.867415105866,0.0,0.0,0.0,0.0,0.0,46.221396283121976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.266067734267363,0.0,-29.76272749380328,466.6090764324553,545.7479077619213,629.3903096990022
12,0,2,9689,0,4,4503,11499,4503,6580,3,1,0,1,False,False,False,False,8550,0,1,0,2,5,391,3,1,876,7923,1785,8530,12,0,0,0,90569,13192,4244,0,0,111,10,17,7,1,1,3,4,100,5,4,98598,0,0,4245,0,165,5,92,1,0,105,105,1084,2,3,3,0,27,2,6,8,True,0,0,6,0,0,0,0,0,0.0,1,0.1402320464988216,3,2,0,1,0.0,0.0,0,0,57,0,0,0,0,0,1,851.0729379999999,0,1,1569.9501064,0.0,0.0,6,0,0,0.0,0,0,5.666666666666667,0,0,1,2,1.0,0,1,0,0,6,60,0.0,0,0,5.0,3,1.0,0,0.0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,1,16,22,0,0,5,0,2,0,17,0,0,5,0,0,0.1922356397705053,0,2,0,0,1,3,10,6,0,0.7862294912338257,1.0618937761723046,6,3,0,1247.2094764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.65179968040287,0.4968310755993333,37.30054844499611,408.43336191769816,576.4387010203651,529.6601443639355
9,0,11,14051,0,5,2539,10594,2539,13291,3,1,5,0,False,False,False,True,15530,0,0,0,3,18,730,11,3,794,11234,3915,9852,12,0,0,0,110072,24438,9086,0,0,81,11,31,10,5,1,3,4,200,4,4,122739,0,2,9075,0,171,27,77,1,2,1432,912,1419,1,1,2,0,32,2,3,10,True,0,0,2,1,0,150,0,0,0.0,1,0.1595686311465311,3,1,0,0,0.0,0.0,0,0,30,2,0,0,0,0,1,955.0618139711344,0,1,1536.52618209659,0.0,0.0,5,0,0,0.0,0,0,9.0,0,0,2,3,0.0,0,2,1,0,0,66,1.0,1,0,30.0,2,2.0,0,0.0,0,0,7,0,0,3,0,0,16,0,0,1,0,0,1,10,14,0,3,9,0,0,1,27,0,0,8,0,1,0.3224041543049946,0,0,0,0,2,1,0,7,0,1.4730501174926758,1.2669939214633985,3,3,0,0.0,0.0,0.0,1402.9696362493148,1262.8782260510968,1.0,37.31280825443332,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,180.7583907363191,0.5857368461967566,103.9878147614642,618.7724043222537,1142.7725869298722,795.0010967813179
14,0,6,15337,0,4,5581,15347,5581,20459,9,1,3,1,False,False,False,False,15550,1,1,1,4,13,917,6,4,631,21954,5067,16084,20,0,0,0,184672,22484,16115,1,0,161,17,39,12,5,4,6,1,100,9,14,211687,0,0,11606,0,240,50,311,1,1,5059,992,516,2,5,6,0,31,2,7,11,True,0,0,5,1,0,300,0,0,0.6076818357417614,1,0.1649771778241097,9,6,0,3,0.0,0.0,0,0,81,0,0,1,0,0,0,0.0,0,5,2058.519131674075,0.0,0.0,9,0,0,0.0,0,0,3.0,2,0,1,1,0.0,0,0,0,0,3,58,0.0,0,1,25.99999997019768,11,1.0,0,0.0,0,0,5,1,0,2,0,0,21,1,0,0,0,0,0,37,17,0,0,5,0,2,0,27,0,0,9,0,1,0.2210373446804299,0,0,0,0,1,5,0,10,0,0.138901948928833,0.9307779454595864,7,4,0,532.5269122265336,0.0,0.0,0.0,1602.0410559380932,0.0,10.064518103365344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.63546649767045,0.058294333122088,41.826184015098185,519.0235949525111,831.9767223184408,953.5787012111166
7,0,0,13679,0,4,1602,12927,1602,23478,10,0,4,0,False,False,False,False,15150,0,0,2,3,11,605,4,3,518,11519,3791,7881,8,0,0,0,147866,29755,20775,0,0,164,13,27,10,4,1,3,4,100,8,8,161202,0,0,6933,0,228,41,292,1,1,1816,920,1189,1,1,7,0,36,0,9,11,False,0,0,2,0,0,600,0,0,0.0,0,0.1854666800722425,10,21,0,2,0.0,0.0,0,0,76,0,0,0,0,0,0,0.0,0,4,2164.419690854467,0.0,0.0,4,0,0,0.0,0,0,1.8,3,0,2,3,0.0,0,0,0,0,6,56,0.0,0,0,0.0,0,1.0,0,0.0,0,0,5,2,0,3,0,0,12,0,0,0,1,0,0,107,26,0,0,6,0,4,0,18,0,0,4,0,1,0.2778424555189273,0,1,0,0,2,1,5,9,0,-0.2841074466705322,1.024342539408482,9,4,0,820.5125994994946,0.0,0.0,0.0,1261.1064758161915,0.0,6.117550724356761,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.2249858064977,-0.1108842250022467,-60.18241311996941,446.8079846465532,955.4339247318588,827.3626448542639
5,0,11,12590,0,5,6266,31889,6266,13588,3,3,5,1,False,False,False,True,14700,0,2,0,3,21,759,11,3,552,12421,3491,7999,20,0,0,0,158545,29532,14612,0,0,153,15,29,12,3,4,4,7,100,5,8,172802,0,8,13988,646,180,34,75,3,2,1835,899,756,3,5,2,0,30,4,11,11,True,0,0,7,1,0,0,1,0,0.6266779740012016,3,0.1758688988123783,3,3,0,1,0.0,646.4000244140625,0,0,31,7,0,0,0,0,1,849.0401541128438,0,2,1668.7975001330526,0.0,0.0,6,0,0,0.0,1,0,8.666666666666666,5,0,3,2,1.0,0,1,0,0,4,58,0.0,1,0,26.000000059604645,1,1.0,0,0.0,0,0,7,0,0,6,0,0,23,0,0,0,1,0,0,20,36,0,0,5,0,6,1,26,0,0,11,1,1,0.3355810160429047,0,2,0,0,5,5,5,7,0,-0.0346174836158752,1.0913304724292672,11,6,0,1315.3593497912975,0.0,0.0,1643.482652991401,1457.1939502915752,1.0,19.340406152348805,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,227.08567095155985,0.4674024259610952,74.06530749845048,626.3552048206338,1219.6326994963288,840.1738376814518
3,0,1,9856,0,9,0,1562,0,10627,8,5,0,0,False,True,False,False,9250,0,0,1,0,4,421,0,1,303,10348,1967,8587,8,0,0,0,80186,11741,8668,0,0,109,10,23,5,3,1,3,4,200,3,8,91397,0,0,3969,0,181,27,193,1,0,861,61,734,0,0,7,0,22,6,2,12,True,0,0,7,0,0,375,0,0,0.8584540256044396,5,0.1432023435319872,8,1,0,0,0.0,0.0,0,0,42,0,0,0,0,0,0,0.0,0,0,1596.1614143864,0.0,0.0,2,0,0,0.0,0,0,0.875,3,0,0,1,0.0,0,1,2,0,2,57,0.0,0,1,2.0,13,1.0,0,0.0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,12,21,0,0,6,0,2,0,7,0,0,1,0,0,0.172822859865549,0,1,0,0,0,0,0,7,0,-0.3374931216239929,0.8503722845910422,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.95431968831295,-0.3383116488927205,-89.08873420841641,395.1855960899079,517.6168228058624,676.2098057701278
5,0,0,11435,0,2,785,1706,785,16515,7,0,2,0,False,False,False,False,13650,0,0,1,2,9,710,4,2,651,15675,4034,9933,12,0,0,0,126422,17948,13667,0,0,128,14,28,9,3,7,3,4,100,2,12,145454,0,0,8920,362,189,55,167,3,0,3357,432,822,0,0,8,0,9,0,3,3,False,0,0,8,0,0,1050,0,0,0.0,0,0.1788863122291612,7,5,0,1,0.0,362.52001953125,0,0,0,0,0,0,0,0,0,0.0,0,0,1601.086649757617,0.0,0.0,0,0,0,0.0,0,0,2.0,3,0,2,0,0.0,0,2,0,0,2,59,0.0,0,0,0.0,0,0.0,0,0.0,0,0,2,0,0,4,0,0,11,0,0,0,0,2,0,28,16,0,0,3,0,0,0,14,0,0,4,0,0,0.3075112357175575,0,1,0,0,2,0,0,8,0,-0.5182115435600281,0.3455680297265807,3,3,0,413.6623671757629,0.0,0.0,0.0,0.0,0.0,37.78607200639885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.49736719045409,-0.1124236467946626,-60.18412558407605,534.6493896064837,839.9920143007874,915.2783831042798
7,0,0,12287,0,2,5826,28141,5826,21333,10,1,2,0,False,False,False,False,15925,0,1,1,3,11,638,4,4,310,19586,4666,17318,14,0,0,0,160473,32837,16166,1,0,153,23,42,15,5,4,5,1,100,0,10,185620,0,4,8960,0,186,3,326,1,1,5561,0,868,2,3,10,0,33,1,4,10,False,0,0,17,1,0,1125,0,0,0.0,1,0.2486755065060691,10,4,0,2,0.0,0.0,0,0,6,6,0,0,0,0,0,0.0,1,3,1952.0392955,0.0,0.0,1,0,0,0.0,0,0,1.8,7,0,1,1,1.0,0,1,0,0,3,52,0.0,0,0,30.60000005364418,0,2.0,0,0.0,0,0,4,2,0,2,0,0,14,1,0,0,0,0,0,27,21,0,0,4,0,6,0,18,0,0,7,0,1,0.3434940511811649,0,0,0,0,1,3,0,8,0,0.3346256017684936,1.0404191301685333,4,1,1,825.9182495,0.0,0.0,0.0,1403.4394571,1.0,32.70249879999983,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.80749753918056,0.0307370861530896,-18.99551924260943,480.9739241235475,1152.7329419993227,1055.880383530937
