assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,8,10743,0,2,12898,26293,12898,7953,3,0,3,0,False,False,False,False,11200,0,1,0,3,15,522,8,4,400,27057,4398,4597,0,0,0,0,125572,22025,12085,1,0,48,31,46,7,3,1,3,4,100,7,0,164309,0,0,4754,0,195,46,66,1,1,11679,2540,1809,3,6,3,0,14,0,3,7,True,0,0,0,1,0,675,0,0,0.0,0,0.1997771930618474,2,4,0,1,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,1,0,1394.19298000184,0.0,0.0,4,0,0,0.0,0,0,6.666666666666667,6,0,3,2,0.0,0,1,0,4,0,74,0.0,1,0,39.0,1,2.0,0,0.0,0,0,5,1,1,4,0,0,13,0,0,0,0,0,0,29,0,0,0,5,0,3,0,20,0,0,8,1,1,0.4380475536821983,0,0,0,0,4,6,0,9,0,-0.1934321522712707,0.6371297481381792,3,3,0,1096.423506638556,0.0,0.0,1365.5136477577626,1240.978028102193,1.0,10.889098900530826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,232.7367908562929,0.6024990887551962,92.1393249303482,634.0872552656472,1246.4845433361072,795.8152249472206
8,0,0,17699,0,2,7610,21889,7610,11314,7,0,0,0,True,False,False,False,14550,1,2,0,2,5,723,2,1,993,39032,4124,6641,24,0,0,0,154405,11219,13308,0,0,57,30,40,6,5,3,3,4,100,6,21,195176,0,0,3845,0,246,100,211,1,0,1738,172,1825,3,4,4,0,48,0,11,13,True,0,0,18,1,0,300,0,0,0.0,0,0.1542001701155245,7,14,0,1,0.0,0.0,0,0,5,0,0,0,0,0,1,583.2066998,0,1,2200.1277841,0.0,0.0,2,0,0,0.0,0,0,1.8571428571428568,1,0,0,1,0.0,0,1,0,3,0,53,0.0,0,0,1.0,6,0.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,72,0,0,1,7,0,0,0,13,0,0,2,0,1,0.1182541113480575,0,2,0,0,1,4,10,10,0,1.1996371746063232,1.3129745105333188,11,6,1,903.4725626,0.0,0.0,0.0,2013.899076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.8401259,0.0,0.0,-144.42797472783388,0.0,-109.0027596274834,418.7756759668839,423.139058889175,593.8291445805481
9,0,9,9600,0,4,8125,14697,8125,5952,0,3,2,0,False,False,False,True,9475,0,1,0,1,9,416,9,2,0,17036,1627,2260,12,0,0,0,96482,11803,9728,0,0,22,29,33,4,4,7,1,4,200,4,8,121559,0,4,4960,131,149,61,0,3,0,8040,1597,0,3,4,3,0,19,3,2,9,True,0,0,7,0,0,0,1,0,0.2828577349842738,3,0.1850622283044776,0,6,0,1,0.0,131.72018432617188,0,0,3,1,0,0,0,0,1,779.9938529801641,0,0,1294.4783282386943,0.0,0.0,3,0,0,0.0,0,1,18.0,4,0,1,5,0.0,0,0,0,3,0,45,1.0,1,0,12.0,2,1.0,0,0.0,0,1,2,0,0,0,0,0,17,0,0,0,0,0,0,37,0,0,0,6,0,0,1,18,0,0,9,1,0,0.2571805875699307,0,1,0,0,4,4,10,5,0,4.784911155700684,0.9073731591434832,2,2,1,1054.6220137819453,0.0,0.0,1170.9514986069416,0.0,0.0,20.495239956161186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.34617982653114,0.6489100525482948,47.50948599014301,512.4535386409963,696.5585906925553,555.6987585715362
5,0,0,13963,0,4,8363,35788,8363,9781,4,2,1,1,False,False,False,True,15300,1,1,0,3,7,754,3,2,1010,28808,887,12599,30,0,0,0,189657,20278,10183,0,0,37,34,40,3,4,1,3,4,100,7,24,238919,0,0,7635,0,232,71,61,1,0,20453,2198,527,5,5,1,0,30,2,5,10,True,0,0,18,1,0,0,0,0,0.1563342355893408,2,0.1991320363183419,4,4,0,2,0.0,0.0,0,0,2,1,0,1,0,0,1,743.9993586855906,1,2,1793.1725078738734,0.0,0.0,0,0,0,0.0,1,1,3.0,1,0,1,1,0.0,0,1,1,0,0,70,0.0,0,0,6.0,3,2.0,0,0.0,0,0,1,0,0,2,0,0,7,0,0,0,1,0,0,25,0,0,0,4,0,4,1,12,0,0,4,1,1,0.3150573030563474,0,2,0,0,5,5,5,10,0,-0.0004360079765319,1.017585926357672,5,4,0,1158.7339335914558,0.0,0.0,0.0,1310.6183038811496,1.0,17.19583620822391,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.15472129492964,-0.0334602497732584,12.68143466406494,505.5509138241614,781.7652757024097,779.9249619648805
5,0,0,11864,0,5,1242,6618,1242,9057,5,2,0,0,False,False,False,False,10325,0,0,1,0,3,414,0,1,958,24329,1997,2463,8,0,0,0,102055,8835,16360,0,0,35,23,32,4,4,7,2,4,200,2,8,136700,0,0,4143,527,196,17,124,5,0,10316,0,906,1,1,9,0,20,2,2,12,False,0,0,7,0,0,0,0,0,0.3001272118559581,2,0.1580815192906154,5,26,0,0,0.0,527.7978515625,0,0,4,0,0,0,0,0,0,0.0,0,0,1724.8485084,0.0,0.0,0,0,0,0.0,0,0,1.6,1,0,0,1,0.0,0,0,0,0,0,58,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,133,0,0,0,5,0,0,0,8,0,0,3,0,0,0.1594834775681487,0,0,0,0,0,1,0,8,0,-0.0256109237670898,0.7135112273638079,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.31412356793156,-0.173928318074893,-99.59135492968376,352.44834374696325,376.8330939410632,686.3211431235279
2,0,0,8456,0,1,2571,2571,2571,7743,4,0,1,0,False,False,False,False,9400,0,0,0,1,5,364,4,2,844,23710,1581,3479,5,0,0,0,70859,8087,10001,0,0,21,26,19,3,3,4,4,1,200,3,5,99878,0,0,1696,0,168,31,129,1,0,5309,856,308,1,1,4,0,13,0,3,8,False,0,0,2,0,0,0,0,0,0.0,0,0.1570989684182923,4,18,0,0,0.0,0.0,0,0,4,0,0,0,0,0,1,900.5649876,0,0,1447.4741616,0.0,0.0,1,0,0,0.0,0,0,1.75,2,0,1,3,0.0,0,1,0,2,0,73,0.0,0,0,23.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,90,0,0,1,8,0,4,0,7,0,1,5,0,0,0.2236111603660454,0,1,0,0,1,1,0,8,0,-0.1164410710334777,0.5521113859478092,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.274669853008311,-0.2487091027601249,-108.72732942330126,389.3541003709755,436.2357662412591,571.5749696598937
5,0,0,10561,0,5,12223,37916,12223,6301,3,2,1,0,False,True,False,True,14200,0,1,0,3,16,551,9,2,576,20930,1672,5211,20,0,0,0,144451,27202,7515,0,0,45,31,44,6,3,4,4,1,200,10,8,180119,0,4,4064,0,177,133,41,1,0,14738,3676,409,3,5,2,0,17,3,2,9,True,0,0,7,1,0,0,1,0,0.0445128249053686,2,0.2016433404501313,3,0,0,2,1.0,0.0,0,0,4,1,0,0,0,0,1,661.9153062539831,1,3,1377.0574315818133,0.0,0.0,0,0,0,4.0,0,1,7.0,6,0,3,2,0.0,0,2,0,0,0,67,0.0,1,0,45.0,1,2.0,0,0.0,0,0,1,0,0,1,0,0,19,1,0,0,1,0,1,2,0,0,0,5,0,5,1,21,0,0,11,0,1,0.4903131534394088,0,1,0,0,6,5,5,7,0,0.1445381641387939,0.7516933903718042,2,2,0,967.5150702523496,0.0,0.0,1345.5292198091988,1242.7857962916785,1.0,16.75204378137505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,343.29722868346016,0.697138679900414,122.56569415999157,674.6559574736257,1418.2850730898986,572.3944273657337
1,0,0,13382,0,2,9069,10248,9069,12871,11,1,0,0,False,False,False,False,10430,0,0,1,0,2,416,0,1,266,21143,1483,7697,24,0,0,0,144246,11992,15657,0,0,43,33,42,6,4,4,3,1,100,4,16,186700,0,6,4022,0,183,23,268,1,0,21311,1245,1830,2,2,8,0,22,1,6,9,False,0,0,6,0,0,0,0,0,0.1224600816605786,1,0.1826891977342674,11,4,0,0,0.0,0.0,0,0,5,8,0,0,0,0,1,729.0743889652991,0,0,1787.808462375377,0.0,0.0,0,0,0,0.0,0,0,0.2727272727272727,0,0,0,0,0.0,0,0,0,2,0,50,0.0,0,0,1.800000011920929,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,27,0,0,2,5,0,0,0,3,0,0,1,0,0,0.1312380571922355,0,2,0,0,0,2,5,8,0,0.286742091178894,0.7690359999620794,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.8851863474685,-0.5705309161837023,-69.06780150035644,365.30758956821177,494.0126521308293,845.2583326472193
3,0,0,4955,0,2,72,3517,72,3499,3,1,0,0,False,True,False,False,5775,0,0,0,1,3,269,2,1,351,9628,1325,3585,0,0,0,0,32226,3531,4486,0,0,19,19,17,2,2,7,2,4,200,1,0,43551,0,0,1380,163,104,7,60,2,0,1695,0,77,0,0,2,0,8,1,1,5,False,0,0,0,0,0,0,0,0,0.1374054773950068,1,0.1567828420940343,3,0,0,1,0.0,163.2000274658203,0,0,2,0,0,0,0,0,0,0.0,0,0,961.3390335527812,0.0,0.0,1,0,0,0.0,0,0,2.0,3,0,0,0,0.0,0,1,0,1,0,46,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,4,0,8,0,6,0,0,6,0,0,0.144755962630818,0,0,0,0,0,0,0,3,0,-0.1999279856681823,0.5473359598474766,1,1,0,433.8056643839938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.05186228142722,-0.1872388342901061,-135.12402541269327,366.800876374318,303.0772597709185,508.6030868766917
8,0,1,9761,0,2,3280,3745,3280,4872,8,0,1,0,False,False,False,False,11750,0,0,1,2,7,479,2,2,355,24904,1600,4468,10,0,0,0,106450,13962,10816,0,0,31,26,31,2,2,1,3,4,100,4,10,139909,0,0,856,0,202,53,206,1,0,8554,1106,706,1,1,7,0,14,0,8,6,False,0,0,12,0,0,150,0,0,0.0,0,0.1562664591287421,8,18,0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,1,1572.2796323188395,0.0,0.0,0,0,0,0.0,0,1,1.875,0,0,0,1,0.0,0,2,0,0,0,63,0.0,0,0,16.000000029802322,0,1.0,0,0.0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,96,0,0,0,5,0,0,0,15,0,0,9,0,0,0.2527274481383314,0,1,0,0,5,1,5,8,0,-0.1661112904548645,0.5666234821322703,8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5400944397207,0.0,-101.96659468491356,471.0230831571437,636.1082211088412,610.2349609305586
