assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,8411,0,4,2132,14153,2132,8860,4,2,0,0,False,False,False,True,8500,0,0,1,1,3,316,2,1,886,60,60,1032,0,0,0,0,63357,8840,12269,0,0,92,0,10,7,2,4,5,7,100,8,0,85394,0,0,4417,685,170,52,95,3,0,21976,1646,1142,1,1,7,0,23,2,2,11,False,0,0,1,0,0,375,0,0,0.0,2,0.1622312637079798,4,2,0,0,0.0,685.60009765625,0,0,13,0,0,0,0,0,1,870.7976964443069,0,0,1498.8338281616489,0.0,0.0,1,0,0,0.0,0,0,2.0,1,0,0,0,0.0,0,0,0,1,4,68,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,13,35,0,0,6,0,0,1,8,0,0,4,0,0,0.2188818907399298,0,0,0,0,0,1,0,6,0,0.285138726234436,0.945093433993926,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.57331217701554,-0.120093366334528,-82.0638003285942,366.16467395397615,422.2082449100892,578.2095277786412
9,0,0,14742,0,1,4127,25141,4127,23839,8,0,1,3,True,False,False,False,12650,0,0,0,2,6,239,3,2,412,0,0,11859,20,0,0,0,119847,13228,14206,0,0,146,0,8,8,6,6,3,4,100,9,8,150005,0,0,9139,0,217,105,179,1,0,30157,4726,2916,2,4,4,0,14,0,5,5,True,0,0,2,1,0,150,0,0,0.0,0,0.2086378344340527,8,5,0,3,0.0,0.0,0,0,10,0,0,1,0,0,0,0.0,0,2,1998.7446319,0.0,0.0,2,0,0,4.0,0,0,1.875,5,0,1,0,0.0,0,1,0,2,0,43,0.0,0,0,1.0,0,1.0,0,0.0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,29,53,0,0,4,0,2,0,15,0,0,2,0,1,0.1539753131836448,0,0,0,0,0,4,0,9,0,-0.4148159027099609,0.4232969219307778,5,0,1,557.8956021,0.0,0.0,0.0,1858.0627995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-37.67364714741976,0.0,5.073184356903538,416.5714752707124,538.9883143680653,870.0361077877825
3,1,2,15576,0,9,6453,29826,6453,13790,12,2,5,1,False,True,False,False,14525,0,1,1,5,14,265,3,3,308,14351,2044,11931,28,0,0,0,150582,19715,16633,0,0,168,0,12,12,8,6,4,4,200,9,12,206263,0,4,7294,0,207,97,379,1,1,41329,10520,1164,2,2,3,0,19,3,5,8,True,0,0,3,1,0,375,1,0,0.7077379453467538,2,0.21807031920426,12,1,0,2,0.0,0.0,0,0,12,1,1,0,0,0,1,731.6268444910087,0,1,2066.4557029441908,0.0,0.0,2,0,0,0.0,0,0,1.4166666666666667,1,0,2,1,0.0,0,3,0,2,10,50,0.0,0,1,2.0,4,1.0,0,0.0,0,0,6,1,0,2,0,0,9,0,0,0,0,0,1,11,82,0,1,3,0,8,0,17,0,0,7,2,2,0.2442383308131147,0,2,0,0,0,2,10,9,0,-0.1907166242599487,0.557720233914516,5,2,0,1378.0261026650082,0.0,0.0,0.0,1311.762662058227,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1647.8203814735857,0.0,0.0,13.240061212548005,-0.0580704439146842,-7.113629379548818,496.85071813403823,937.2569647830036,863.1881135698237
14,0,0,13704,0,15,8708,28559,8708,9624,3,5,3,0,False,True,False,False,13325,1,2,0,2,12,287,9,3,1184,165,165,3546,8,0,0,0,118597,22342,12389,0,0,109,0,9,8,4,7,2,4,100,13,8,139022,0,0,9862,350,170,95,28,3,1,20259,6038,3602,3,5,2,0,34,5,4,14,True,0,0,2,1,0,0,0,0,0.7470404790555778,5,0.1649450542547116,3,0,0,3,0.0,350.80712890625,0,0,12,0,0,0,0,0,0,0.0,2,4,1886.7603448262755,0.0,0.0,4,0,0,0.0,0,0,8.666666666666666,3,0,1,4,0.0,0,0,0,4,9,38,0.0,1,0,8.0,1,2.0,0,0.0,0,0,4,0,0,2,0,0,21,0,0,0,0,0,0,4,81,0,0,6,0,0,0,26,0,0,8,0,1,0.2598036564183384,0,0,0,0,3,5,0,7,0,0.441367506980896,1.0946535408566065,4,0,0,371.437284407548,0.0,0.0,1872.1634796175083,1600.109135303675,0.0,17.134742954113563,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112.79651948567718,0.6678113643076462,88.11929954745179,475.7678962574616,907.7782478821936,621.3189731353709
15,0,3,20225,0,6,12857,43892,12857,40801,5,2,9,1,False,False,False,False,21450,3,3,1,6,26,840,9,3,734,2594,2594,12297,24,0,0,0,235578,39694,19021,0,0,175,0,17,14,8,7,5,4,200,26,8,275460,0,12,16882,1315,249,136,188,5,2,37287,13600,1808,5,7,7,0,55,2,11,16,True,0,0,4,1,0,1400,2,0,0.657107866799416,2,0.1621393313255122,5,1,0,3,0.0,1315.42919921875,0,0,22,6,0,1,0,0,0,0.0,0,9,2589.488594107029,0.0,0.0,7,0,0,0.0,1,0,8.2,11,0,3,5,0.0,0,0,0,7,3,57,0.0,2,1,3.0,6,1.0,0,0.0,0,0,11,1,0,2,0,0,31,0,0,0,0,1,0,9,108,0,0,6,0,0,0,41,0,0,7,1,1,0.3128484790381222,0,0,0,0,2,7,0,11,1,0.2294270992279052,1.2842523131737311,22,4,0,983.6190175259976,0.0,0.0,1730.404973809991,1293.9655546030735,0.0,23.00305395697842,1.0,0.0,0.0,0.0,0.0,2558.5188971816606,0.0,0.0,93.5628759096925,0.5097531624599393,39.714405475288,571.1320773397747,1294.9815680328886,767.5724096732005
6,0,0,14739,0,6,2345,26459,2345,14016,6,4,0,0,False,False,False,False,11525,0,0,1,1,3,595,2,1,460,0,0,8043,8,0,0,0,132332,10201,12020,0,0,128,0,8,8,4,4,4,6,200,8,4,152246,0,4,5231,0,228,41,127,1,0,19913,2372,333,2,2,8,0,36,5,7,14,False,0,0,1,1,0,0,1,0,0.2915703095596723,4,0.1373768307055967,6,3,0,3,0.0,0.0,0,0,11,1,0,0,0,0,1,943.1498272,0,1,2009.5370773,0.0,0.0,1,0,0,0.0,0,0,1.5,2,0,0,0,0.0,0,0,0,1,9,66,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,48,0,0,5,1,3,0,9,0,0,3,0,1,0.139734677247579,0,2,0,0,0,2,5,9,0,0.2806116342544555,1.0786980825587666,7,2,0,422.5652732,0.0,0.0,0.0,1617.2028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.263234670649,-0.0895728683154464,-7.076256596920269,361.7250998805446,375.399891110036,608.9760740539485
6,0,0,16083,0,1,3349,8056,3349,22134,10,0,1,0,False,False,False,False,14280,0,0,1,2,6,311,3,2,597,9295,1312,13849,26,0,0,0,173835,13575,13353,0,0,183,0,19,13,6,7,4,4,200,14,24,225533,0,2,9040,768,246,157,244,3,0,42401,5906,1291,1,1,8,0,32,0,10,12,False,0,0,17,1,0,900,0,0,0.0,0,0.1499838743067933,10,5,0,0,0.0,768.0,0,0,23,1,0,0,0,0,0,0.0,0,1,2227.615089305176,0.0,0.0,6,0,0,0.0,0,0,1.2,0,0,1,1,0.0,0,1,0,6,5,62,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,34,56,0,0,6,0,0,0,12,0,0,3,1,1,0.1569151141949225,0,1,0,0,3,1,0,11,0,0.2983986139297485,0.8684207728232916,10,5,0,0.0,0.0,0.0,0.0,1696.8219050633004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.690045034918457,-0.1077385411655024,-42.52978912508208,426.7792961918464,560.1057408841556,767.4754979924563
7,0,1,7163,0,4,3682,4389,3682,5008,1,1,0,0,True,False,True,False,7775,0,0,0,1,5,0,4,1,1002,1834,1224,3729,4,0,0,0,61716,9900,6613,0,0,78,0,6,4,4,6,2,4,200,9,0,79153,0,0,3214,0,156,17,30,1,0,15602,2553,94,0,1,1,0,14,1,3,7,True,0,0,0,0,0,0,0,0,0.3698153882793449,1,0.1840863136851986,1,1,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,891.2462828868338,0,0,1133.6389017295337,0.0,0.0,4,0,0,0.0,0,0,12.0,1,0,1,3,0.0,0,0,0,4,10,63,1.0,0,0,30.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,1,8,44,0,0,5,0,4,0,12,0,1,9,0,0,0.2614754607493338,0,1,0,0,4,1,0,6,0,0.9173284769058228,0.784674589290116,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2514500219592,0.5821959699804519,110.56430738992398,468.9853172724349,723.9342252175109,552.3451947923631
4,0,0,8925,0,6,0,2697,0,9435,7,5,1,0,False,False,False,False,10785,0,0,0,1,7,260,6,3,573,0,0,6279,8,0,0,0,74324,12701,10052,0,0,102,0,12,7,5,6,3,4,200,10,8,98920,0,0,3671,0,150,10,186,1,1,24596,3708,1776,0,0,3,0,34,5,10,14,False,0,0,9,0,0,800,0,0,0.8094180024459702,5,0.1572545108933533,7,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,2,1575.3767370463056,0.0,0.0,4,0,0,0.0,0,0,1.5714285714285714,0,0,1,0,0.0,0,0,0,4,4,66,0.0,0,0,7.0,0,1.0,0,0.0,0,0,2,1,0,1,0,0,10,0,0,0,0,0,0,5,56,0,0,6,0,0,0,11,0,0,1,0,0,0.2336653128363453,0,1,0,0,0,0,0,7,0,0.0296177864074707,1.3244392013236463,10,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.03656307260555,-0.495119663543104,-126.40785871535095,407.7881721196935,624.9552737752919,689.7016913155439
3,0,0,13371,0,8,3540,21607,3540,13697,5,4,0,0,False,False,False,False,13200,0,0,3,2,6,179,3,1,1135,8764,844,6755,15,0,0,0,142258,10952,12464,0,0,160,0,17,9,5,6,5,4,200,13,15,194161,0,0,6090,0,256,86,184,1,0,43137,4556,640,1,1,9,0,47,4,16,16,False,0,0,10,0,0,150,0,0,0.5346652246201592,4,0.1314345704672104,5,2,0,1,0.0,0.0,0,0,22,0,0,0,0,0,1,931.9178928729056,0,1,2026.0042607237529,0.0,0.0,4,0,0,0.0,0,0,1.8,2,0,1,1,0.0,0,1,0,4,7,67,0.0,0,0,60.599999994039536,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,16,52,0,0,5,0,4,0,9,0,0,3,1,0,0.1715167037254461,0,1,0,0,4,1,0,11,0,0.5416765213012695,1.4041692608569174,16,9,1,1406.8585434391964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.34546560394444,-0.2073045985845867,-47.53198296118025,409.2785074912841,484.2931572362496,588.1823760697824
