assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,17,12924,0,4,1182,39285,1182,10921,1,2,0,2,False,False,False,False,12325,0,0,0,1,18,0,17,1,198,137260,14735,5478,110,0,0,0,20259,2518,13498,0,0,73,22,68,4,10,11,3,4,100,14,63,183900,0,10,9963,0,52,286,10,1,0,26380,595,618,2,2,0,0,17,3,3,2,True,0,0,35,0,0,150,0,0,0.4158917210345276,2,0.3056203910102244,1,3,0,2,0.0,0.0,0,0,4,14,0,0,0,0,1,951.6186792896816,0,0,1233.1450565834607,0.0,0.0,3,2,1,35.00000002980232,0,0,22.0,1,0,1,6,0.0,0,3,0,0,6,17,1.0,1,0,45.5,2,4.0,1,-57.00000008940697,0,0,0,0,0,1,0,0,18,0,0,0,2,0,4,16,22,0,1,0,0,4,0,22,0,0,13,0,0,0.3121723815145578,0,2,0,0,4,2,5,2,0,0.122326374053955,0.8520742611871207,3,3,0,676.5396574618358,0.0,6.0,741.6900179012742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.84836906578124,0.7298411449611054,252.86562869085765,673.5947207227696,868.4623064273846,953.4158157008574
3,1,0,16721,0,5,1619,24513,1619,25736,7,4,0,1,False,False,False,False,12540,1,1,0,1,2,0,2,1,536,181130,11160,16537,183,0,1,0,37632,2485,22426,0,0,119,44,137,5,18,11,5,4,200,21,136,275773,0,15,18022,0,28,490,157,1,0,57011,1136,1625,0,1,3,0,52,4,14,6,True,0,0,101,3,1,300,1,0,0.12794253538506,4,0.2956178442353222,7,2,0,1,0.0,0.0,1,0,6,17,0,1,0,0,0,0.0,0,0,2258.5714589,0.0,0.0,0,2,1,48.80000007152557,0,0,0.7142857142857143,0,0,0,0,0.0,0,0,0,0,1,1,0.0,0,0,13.000000059604645,15,1.0,0,-20.900000005960464,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,16,43,0,1,2,0,0,0,5,0,0,2,0,2,0.1465005936077226,1,0,0,0,0,1,0,0,0,-0.1048821806907653,1.3936221172664554,15,2,2,2106.9235838,0.0,0.0,0.0,1669.4597276,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2106.9235838,0.0,-36.63377559915556,-0.2390891808501813,0.8766603297839982,344.89942610865603,392.6906968141534,1078.2656401697789
9,0,0,11339,0,3,0,14789,0,24926,9,2,0,1,False,False,False,False,10100,0,0,2,0,6,0,0,1,309,135670,13859,7694,110,0,0,0,26410,2296,28217,0,0,117,39,69,8,5,4,18,11,200,15,72,199350,0,29,13917,0,46,493,205,1,0,37269,3054,721,0,0,10,0,19,2,3,3,False,0,0,53,0,0,0,2,0,0.8643759748217618,2,0.26767833517487,9,2,0,1,0.0,0.0,0,0,0,24,0,0,0,0,0,0.0,0,1,1572.8865300558289,0.0,0.0,0,2,1,46.00000008940697,1,0,1.6666666666666667,1,0,0,0,0.0,0,1,0,0,14,5,0.0,0,0,21.20000007748604,0,1.0,0,-18.099999994039536,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,14,71,0,1,1,0,0,0,15,0,2,8,0,0,0.2127359249682176,0,0,0,0,0,0,0,1,0,-0.3943054676055908,0.736971335717498,3,2,0,402.5071107127135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.68605341803007,-0.3814642623830616,-160.63460088950723,408.2812000285908,732.7928480378613,1397.379885961631
3,0,1,5327,0,1,0,5141,0,6921,5,0,0,0,False,False,False,False,5150,0,0,0,0,2,0,0,1,360,48036,3198,4265,69,0,0,0,14903,925,10662,0,0,50,13,38,2,3,4,11,11,200,5,63,82336,0,0,6123,0,5,255,65,1,0,19395,204,356,0,0,2,0,2,0,1,0,False,0,0,43,0,0,0,0,0,0.0,0,0.2848839974555505,5,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,912.6785329247988,0.0,0.0,1,2,0,41.250000059604645,0,0,1.0,1,0,0,0,0.0,0,0,0,0,6,2,0.0,0,0,7.750000029802322,0,1.0,0,-33.000000059604645,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,18,0,0,0,0,0,0,5,0,0,5,0,0,0.1932980517504064,0,0,0,0,0,0,0,0,0,-0.8649076223373413,0.1544903152549244,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.23264617536853,-0.5916650611574031,-137.39777531321917,349.6740511440252,284.52515385436004,1004.778754969972
10,2,0,16115,0,1,0,26721,0,27069,9,0,0,1,False,False,False,False,13650,0,0,2,2,8,0,3,1,405,189517,12801,8674,144,0,0,0,26293,1849,23436,0,0,120,49,98,10,15,11,4,4,200,13,100,247904,0,10,14163,0,50,423,179,1,0,32094,970,4705,0,0,8,0,21,0,6,2,False,0,0,70,2,0,600,0,0,0.0,0,0.2832211318058636,9,16,0,1,0.0,0.0,0,0,4,9,0,0,0,0,0,0.0,0,2,1987.166538429372,0.0,0.0,2,1,1,46.00000008940697,0,0,2.0,2,0,1,0,0.0,0,5,0,0,9,3,0.0,0,0,14.400000035762789,0,1.0,0,-28.0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,3,82,61,0,1,2,0,6,0,18,0,0,5,0,2,0.1556717833999532,0,0,0,0,0,0,0,1,0,-0.3679997324943542,0.6349601985792095,6,3,1,548.8236377321767,0.0,0.0,0.0,1251.3246702198028,0.0,15.385455837964855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.15726005723024,-0.0603874902678495,20.682715416738475,430.6231931000352,471.656492737039,1111.6129208505747
1,0,0,8531,0,3,0,4503,0,8572,2,2,1,0,False,False,False,False,7600,0,0,0,2,5,0,3,2,814,76363,5489,5942,107,0,0,0,20594,1216,8426,0,0,68,28,60,1,12,11,2,4,200,7,81,118374,0,7,6865,0,19,272,66,1,0,21416,291,204,0,0,4,0,18,2,2,3,False,0,0,48,0,0,300,0,0,0.0,2,0.2353997752240893,2,0,0,0,0.0,0.0,0,0,2,11,0,0,0,0,0,0.0,0,0,1162.5742521,0.0,0.0,1,2,2,63.600000113248825,0,0,3.0,0,0,1,2,0.0,0,2,0,0,3,5,0.0,0,0,21.600000083446503,0,1.0,0,-35.90000003576279,0,0,1,0,0,2,0,0,4,0,0,0,0,0,4,7,19,0,2,1,0,2,0,6,0,0,3,0,0,0.169255965859399,0,0,0,0,0,0,0,0,0,-0.3343906998634338,0.9607890089772252,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.44353614108396,-0.3096576406622794,34.47521732706711,396.61982808160286,361.11241861899487,752.1067995618996
7,0,1,13439,0,3,5207,38423,5207,17460,2,0,0,0,False,False,False,False,11125,0,1,0,1,8,0,6,1,1028,138207,12982,6956,125,0,0,0,25593,2059,17653,0,0,95,35,79,4,16,11,4,4,200,18,81,197238,0,12,13029,0,30,411,54,1,0,33437,843,396,2,5,0,0,11,1,2,0,True,0,0,53,1,0,0,2,0,0.0,0,0.2279485235539178,2,2,0,1,0.0,0.0,0,0,5,3,0,0,0,0,1,736.8628249669174,0,2,1494.4963511252645,0.0,1.0,3,2,2,64.00000005960464,0,1,7.5,1,0,1,2,0.0,0,0,0,0,5,0,0.0,0,0,17.44999995827675,0,2.0,0,-33.00000008940697,0,0,0,0,0,1,0,0,7,0,0,1,2,0,5,14,26,0,5,0,0,0,1,15,0,0,5,0,1,0.2098095588488985,0,2,0,0,4,5,5,0,0,-0.5723094940185547,0.4503189136530117,2,1,0,908.5415430385508,1.0,2.0,0.0,1229.1215189141988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.507205943121,0.0,0.0,130.92035979390647,0.1204419133338605,72.42573721809484,524.9661529178537,637.7399311027918,1003.9234949421726
8,1,11,12944,0,4,5481,33478,5481,14662,2,3,3,0,False,False,False,True,11625,0,1,0,1,12,0,11,2,299,147430,18451,4017,135,0,0,0,24878,3103,16730,0,0,104,37,86,5,14,11,2,4,100,13,89,207444,0,10,11193,0,31,556,24,1,0,35135,867,3279,3,7,0,0,23,3,4,4,True,0,0,57,1,0,0,1,0,0.6974932384480063,3,0.2831937380837055,2,2,0,1,0.0,0.0,0,0,2,6,0,0,0,0,1,782.0113231805113,0,0,1450.1255620058748,0.0,0.0,1,2,0,56.000000059604645,0,1,10.0,2,0,1,5,0.0,0,0,0,0,8,1,0.0,1,0,14.84999993443489,1,3.0,0,-45.000000059604645,0,0,3,0,0,0,0,0,14,0,0,1,1,0,5,11,30,0,1,1,1,6,1,20,0,0,8,0,1,0.3171605982230042,0,1,0,0,3,7,5,1,0,-0.0112673044204711,0.971430009155557,4,4,0,856.5390162373938,0.0,1.0,1286.1179928174254,1275.4570328522775,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1416.644525273015,0.0,0.0,215.56753993605804,0.5792601840892154,128.51300941293593,557.413800003565,927.7265605463134,994.1346030793984
1,0,0,3946,0,2,0,10756,0,6328,3,0,0,0,True,False,False,False,4125,0,0,0,0,0,0,0,0,592,39528,1771,2639,54,0,0,0,10061,837,9431,0,0,40,19,32,1,9,11,0,4,100,9,37,70603,0,4,4498,0,5,217,58,1,0,21013,151,164,0,0,1,0,5,1,0,1,False,0,0,32,0,0,0,0,0,0.0,0,0.2469533781388362,3,3,0,0,0.0,0.0,0,0,3,6,1,0,0,0,0,0.0,0,0,917.7584537,0.0,0.0,0,1,1,40.00000008940697,0,0,0.3333333333333333,1,0,0,0,0.0,0,0,0,0,3,4,0.0,0,0,4.000000029802322,0,1.0,0,-45.000000059604645,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17,10,0,0,1,0,6,0,1,0,0,1,0,0,0.151987203585018,0,1,0,0,1,0,0,0,0,-0.5347846746444702,0.3746848740659909,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.96001607770316,-0.326883395942071,-195.5416474525469,278.50465334264453,180.4396345600232,799.8182931910595
7,1,1,20948,0,8,4360,87027,4360,53002,8,6,2,5,False,False,False,False,19650,1,2,1,3,17,0,7,3,954,300010,39141,13675,201,0,0,0,35932,2940,37571,0,0,188,68,147,14,29,11,7,4,200,39,107,400533,0,41,23744,0,57,579,421,1,1,64589,8077,5702,1,3,5,0,54,6,7,9,True,0,0,70,2,0,0,3,0,0.4555280119251399,6,0.2512182871774923,8,3,0,5,0.0,0.0,0,0,11,30,2,3,0,0,1,929.8503178054696,0,1,2712.322342940993,0.0,0.0,4,2,1,56.000000059604645,0,0,3.0,1,0,2,5,0.0,0,1,1,0,12,3,1.0,0,1,98.09999999403954,3,3.0,0,-27.500000059604645,0,1,3,0,0,3,0,0,22,0,0,0,2,0,4,20,98,0,1,3,0,1,0,24,0,0,7,1,2,0.2142268837913264,1,2,0,0,0,3,10,2,0,0.3806735277175903,1.2006540276138944,7,2,1,552.3672664167814,0.0,1.0,0.0,1521.92214526295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.5086058375848,2669.7846696875927,0.0,78.70745914680698,-0.0442425290313698,44.97253076038746,446.47348172006895,1109.5805068422403,1259.783892903741
