assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,1,0,14444,0,12,549,31607,549,21110,12,10,0,2,False,False,False,False,11600,0,0,0,0,3,0,0,1,421,109340,12790,14952,117,0,0,0,26913,1385,20524,0,0,217,214,123,207,5,4,21,11,200,26,74,174523,0,6,11671,0,39,177,351,1,0,38267,2292,1276,0,1,4,0,63,12,12,11,True,0,0,44,1,0,300,0,0,0.8612470345012286,10,0.2250108936588299,12,17,0,3,0.0,0.0,0,0,15,3,0,0,0,0,1,894.4911811050562,0,0,2136.031363842854,0.0,0.0,6,2,0,24.0,0,0,0.9166666666666666,0,0,0,2,0.0,0,0,0,0,0,1,0.0,0,0,16.54999989271164,11,1.0,0,-34.50000008940697,0,0,0,0,0,0,1,0,9,0,0,0,0,0,5,89,3,0,0,1,0,0,0,11,0,0,2,0,1,0.1418667650381496,0,0,0,0,0,1,0,1,0,0.7760183811187744,1.7720369463824954,12,6,1,744.4566327510079,0.0,1.0,0.0,1306.515828469005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-189.6320470085569,-0.3932526526617977,6.432489818539406,325.6131964039686,462.5774774310347,1032.3724816627896
7,0,2,11208,0,6,1570,20838,1570,13949,4,5,0,2,False,False,False,False,10175,0,0,0,3,9,0,4,1,601,81098,20353,10569,92,0,0,0,17684,1617,13857,0,0,158,136,103,139,16,11,3,4,200,24,67,129003,0,4,11758,0,26,91,105,1,0,30220,1398,308,0,0,4,0,28,5,5,7,True,0,0,41,0,0,450,1,0,0.6010427610929737,4,0.216897212250798,4,0,0,2,0.0,0.0,0,0,17,1,0,0,0,0,1,798.6143112766538,1,0,1661.8206749105982,0.0,0.0,6,2,1,44.00000002980232,0,0,4.0,0,0,1,2,0.0,0,1,0,0,0,3,0.0,0,0,0.0,7,0.0,0,-35.50000008940697,0,0,0,0,0,1,0,0,12,0,0,0,1,0,2,8,2,0,2,2,0,1,0,16,0,0,11,0,0,0.2196102476822406,0,1,0,0,3,0,0,0,0,0.0816730260848999,1.0121321404246613,5,5,2,913.5568455310143,0.0,4.0,0.0,0.0,0.0,42.34851538143676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.669511230115816,-0.1805248932867797,-47.40583697710836,409.82761273964735,843.7011412650937,893.0566470896993
6,0,0,11051,0,10,0,8282,0,18993,5,9,1,2,False,False,False,False,9760,0,0,1,2,4,0,2,2,874,92195,10751,6459,117,0,0,0,23220,1178,14597,0,0,158,137,62,161,15,11,5,4,200,28,95,156436,0,2,7348,0,27,182,119,1,0,41020,1064,1428,0,0,7,0,31,9,8,10,False,0,0,68,0,0,0,0,0,0.832070378632571,9,0.2486662059787065,5,6,0,2,0.0,0.0,0,0,17,1,0,0,0,0,0,0.0,0,0,1793.1725078738734,0.0,0.0,4,2,1,50.500000059604645,0,0,2.0,0,0,0,0,0.0,0,0,1,0,0,5,0.0,0,0,4.0,0,1.0,0,-32.50000008940697,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,33,1,0,0,1,0,5,0,10,0,0,8,0,1,0.1619912292789768,0,0,0,0,0,0,0,0,1,-0.3750776052474975,1.0638119077920514,8,4,1,491.77208818738393,0.0,2.0,0.0,1690.3107261450616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.39459336638805,-0.167301248866292,-150.8722662276222,331.3903137543514,434.8159458034932,752.3871764014888
4,0,4,5712,0,4,0,16863,0,3566,0,3,0,2,True,False,False,False,5375,0,0,0,1,4,0,4,1,0,40216,3340,1731,80,0,0,0,14948,1017,6077,0,0,76,71,30,85,9,11,2,4,100,11,37,77138,0,20,5551,0,12,156,0,1,0,21972,522,194,0,0,0,0,11,3,1,3,True,0,0,22,0,0,0,3,0,0.5459497179499625,3,0.232788913125248,0,0,0,2,0.0,0.0,0,0,5,7,0,1,0,0,1,817.283129914869,0,0,945.639795737602,0.0,0.0,3,2,1,36.00000002980232,0,0,8.0,1,0,1,1,0.0,0,0,0,0,0,8,0.0,0,0,0.0,1,1.0,0,-34.500000059604645,0,0,0,0,0,1,0,0,7,0,0,0,1,0,2,3,0,0,0,0,0,0,0,8,0,0,8,0,0,0.1801528845774647,0,1,0,0,1,0,0,0,0,0.2902742624282837,0.7480934014363357,3,3,0,483.66748969222266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.17200536203173,0.4441437446828247,21.44579795754211,393.574806895366,309.6316391503121,507.7197492788519
0,0,0,8,0,1,0,0,0,101,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,495,0,281,0,0,0,2,0,3,0,11,0,4,100,0,0,965,0,0,164,0,0,0,0,1,0,176,0,0,0,0,0,0,1,0,0,1,True,0,0,0,0,0,0,0,0,0.0,0,0.952694723651772,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,-4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8112133264514321,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.46168758092851,0.0,-181.73005224372983,286.6404609522553,0.0,161.09193905516747
18,1,0,15075,0,6,1399,23051,1399,22392,12,4,1,1,False,False,False,False,12825,0,0,1,2,7,0,2,2,279,114278,21641,16231,128,0,0,0,25568,1951,22157,0,0,181,158,105,181,15,11,6,4,100,32,73,174571,0,24,11876,0,29,159,358,1,0,34724,863,1458,1,1,7,0,34,5,5,6,False,0,0,47,1,0,0,2,0,0.7227734815709427,4,0.233270884172322,12,1,0,1,0.0,0.0,0,0,19,16,2,0,0,0,1,800.6958606613621,0,3,2021.823570892832,0.0,0.0,6,3,1,48.000000059604645,2,0,2.083333333333333,5,0,0,2,0.0,0,0,0,0,0,1,0.0,0,0,12.000000089406967,0,1.0,0,-10.499999940395355,0,0,1,0,0,3,0,0,17,0,0,0,2,0,4,11,0,0,1,2,0,3,0,25,0,0,9,0,1,0.208150067045867,0,2,0,0,2,1,5,0,0,-0.2055014967918396,1.0092235463674195,5,1,1,1435.2250464828337,0.0,1.0,0.0,1369.8784212068924,0.0,7.316446312754579,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.96578478197543,-0.1780570793528858,-80.33341896804366,411.8163483633328,725.7606554423627,1182.506740162407
10,1,0,15701,0,6,794,36788,794,24550,5,5,1,2,False,False,False,True,13375,0,0,3,2,7,0,5,2,821,156485,23298,12695,148,0,0,0,26913,1333,21405,0,0,201,187,63,162,18,11,5,4,100,37,100,237776,0,8,14130,0,37,180,164,1,0,54377,2775,653,1,1,10,0,39,5,8,7,False,0,0,72,1,0,0,2,0,0.8627888226358452,5,0.2450483486843439,5,15,0,2,0.0,0.0,0,0,23,2,0,0,0,0,1,785.0399066047986,0,4,2312.114718563703,0.0,0.0,7,3,1,40.00000002980232,0,1,3.4,0,0,1,4,0.0,0,0,0,0,0,3,0.0,0,0,27.5,0,1.0,0,-36.500000059604645,0,0,1,0,0,0,0,0,12,0,0,0,2,0,3,75,3,0,0,2,0,4,1,17,0,0,9,0,1,0.1984172421841988,0,2,0,0,3,1,0,1,0,-0.0836199522018432,1.0340211863420032,8,5,1,530.0712701032714,0.0,5.0,0.0,1969.9302041176304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.03760729625522,0.0,37.082935077400535,378.04352568759344,711.2190354557848,901.8756652764018
10,2,0,15834,0,10,385,30665,385,14833,4,8,1,2,False,True,False,False,11825,0,1,0,1,12,0,10,2,1229,78973,17811,10622,108,0,0,0,16692,1243,14774,0,0,137,147,63,170,19,11,4,4,200,28,49,129267,0,14,10934,0,23,139,109,1,0,33600,2735,592,0,2,1,0,50,9,14,9,True,0,0,25,2,0,0,1,0,0.8265237529896888,8,0.2496204371049179,4,16,0,2,0.0,0.0,0,0,17,6,1,0,0,0,1,773.145954173633,0,0,1922.0608419266323,0.0,0.0,7,2,1,40.00000002980232,0,0,5.5,1,0,1,5,0.0,0,1,0,0,0,3,0.0,1,0,4.000000029802322,1,2.0,0,-37.000000059604645,1,0,1,0,0,2,0,0,18,0,0,0,1,0,5,83,0,0,2,1,0,8,0,22,0,0,11,0,2,0.1860152142737239,0,1,0,0,1,2,0,0,0,0.3442459106445312,1.591398610747015,14,9,2,926.2393392530348,0.0,2.0,1248.7822540484117,1431.4540778350283,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1825.51287607326,0.0,0.0,-46.13797756324357,0.1872989616911105,62.58906969844611,417.80155054563727,680.2073958748832,811.2854525650454
12,1,0,11935,0,5,0,34175,0,14273,4,4,1,3,False,False,False,False,9850,0,0,0,3,7,0,2,2,535,105530,13547,11913,134,0,0,0,26597,1049,14527,0,0,159,136,61,108,15,11,4,4,200,23,88,167547,0,8,14887,0,12,105,113,1,0,35419,1165,383,0,0,1,0,39,4,11,5,True,0,0,59,1,0,0,1,0,0.6550648691032623,4,0.3971494206929454,4,0,0,3,0.0,0.0,0,0,14,7,0,0,0,0,1,889.5776830273375,2,10,1686.2270430817143,0.0,0.0,6,2,2,48.00000002980232,0,0,4.75,3,0,0,3,0.0,0,2,0,0,0,1,0.0,0,0,10.999999970197678,1,2.0,0,-41.000000059604645,0,0,1,0,0,2,0,0,16,0,0,0,1,0,5,8,4,0,0,1,0,6,0,19,0,0,6,0,1,0.2150187527138475,0,1,0,0,0,0,5,0,0,1.120251178741455,1.3960816100323137,11,5,1,611.3741298351363,1.0,1.0,0.0,1495.606822715979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.746537369582185,0.4269887634373023,43.73076585537039,374.5758927253735,560.8853231718498,954.42663347323
6,0,0,9553,0,9,0,12553,0,12467,8,6,0,1,False,False,False,False,9975,0,0,3,2,7,0,3,1,349,63448,11842,9442,78,0,0,0,15697,285,14413,0,0,120,127,47,107,11,11,4,4,200,21,54,99486,0,4,7684,0,23,77,164,1,0,20340,967,568,0,0,11,0,29,8,7,7,False,0,0,20,0,0,800,1,0,0.803144889395317,6,0.2449981387512,8,9,0,2,0.0,0.0,0,0,11,1,1,0,0,0,0,0.0,0,1,1522.2945986999998,0.0,0.0,6,3,1,40.0,0,0,1.625,3,0,1,0,0.0,0,2,0,0,0,1,0.0,0,0,3.9999999701976776,0,1.0,0,-29.000000059604645,0,0,0,0,0,0,0,0,12,0,0,0,1,0,3,50,0,0,0,1,0,0,0,13,0,0,8,0,0,0.2222628039878813,0,1,0,0,2,0,0,0,0,0.7706964015960693,1.1452461968256311,7,6,2,809.9253269999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.6502609564176,-0.3153134750723727,-151.50812477227507,399.42334454792814,516.1681586934741,962.6126252115698
7,1,1,13961,0,11,1990,45862,1990,13792,2,7,1,2,False,False,False,False,11050,1,2,0,1,11,0,10,2,1351,113357,23088,11718,124,0,0,0,22884,579,13806,0,0,161,146,69,163,15,11,4,4,100,24,78,178217,0,10,14298,0,21,94,56,1,0,41974,1555,1252,2,5,3,0,31,10,7,7,True,0,0,51,1,0,0,1,0,0.7941138989592244,7,0.2634615839533225,2,4,0,2,0.0,0.0,0,0,17,4,1,1,0,0,1,741.5218207965586,0,0,1690.254830470234,0.0,0.0,9,2,1,44.000000059604645,0,0,9.0,1,0,1,3,0.0,0,1,0,0,0,7,0.0,1,0,2.7500000298023224,2,2.0,0,-49.000000059604645,0,0,1,0,0,5,0,0,15,0,0,2,2,0,2,24,0,0,2,0,0,5,0,18,0,0,5,0,1,0.3158988509969112,0,2,0,0,3,5,5,0,0,-0.0557025074958801,1.1261153202630831,9,8,0,1166.180836945708,0.0,2.0,1471.4399942825448,1324.2574687108088,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1672.3445009980835,0.0,0.0,87.92757004495793,0.4259712719174385,65.95455193521673,465.5866002057603,895.3206183584696,950.519395677771
11,1,0,16000,0,4,2456,42315,2456,23090,8,2,0,4,False,False,False,False,12725,1,1,0,2,7,0,3,1,510,116858,18652,12358,101,0,0,0,22308,1491,22176,0,0,179,179,86,201,21,11,5,4,100,30,61,181154,0,8,16547,0,48,147,173,1,0,41986,1472,830,1,3,4,0,30,3,7,3,True,0,0,42,1,0,450,0,0,0.0999066083108403,2,0.2272440665091765,8,10,0,4,0.0,0.0,0,0,20,6,1,2,0,0,0,0.0,0,2,2102.702799158044,0.0,0.0,11,2,1,32.0,0,0,2.25,3,0,1,0,0.0,0,2,0,0,0,7,0.0,0,0,0.0,6,0.0,0,-42.00000002980232,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,54,3,0,1,1,0,0,0,18,0,0,5,0,1,0.1523790104837715,0,1,0,0,0,3,10,1,0,-0.3027517795562744,0.870140703585614,7,3,1,656.7787603386528,0.0,0.0,0.0,1754.9109487364003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-80.55346674186313,-0.1141388122449353,-57.64010018369236,374.2040959450206,616.8061413716307,1009.158308463596
11,1,1,11638,0,7,2735,37080,2735,10659,3,5,1,2,False,False,True,False,9935,0,2,0,1,5,0,3,2,664,86577,11934,4272,109,0,0,0,20035,724,12404,0,0,141,130,41,118,4,4,13,11,200,21,68,138827,0,8,7367,0,19,61,67,1,0,32214,982,343,0,5,1,0,29,6,4,6,True,0,0,37,1,0,0,0,0,0.734639698139917,5,0.2056910095401383,3,1,0,2,0.0,0.0,0,0,12,7,0,1,0,0,1,804.6387058464846,1,2,1619.1767832283738,0.0,0.0,5,2,1,35.0,0,1,5.333333333333333,4,0,1,3,0.0,0,0,0,0,0,3,0.0,0,0,6.999999970197678,0,1.0,0,-29.500000059604645,0,0,1,0,0,0,0,0,10,0,0,0,2,0,3,14,0,0,0,1,0,6,0,16,0,0,10,0,1,0.1679982699843885,0,2,0,0,4,5,10,0,0,0.2264026403427124,1.0927696019432842,4,3,0,875.4955165065093,0.0,2.0,0.0,1442.394023199817,0.0,10.70598067771698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-10.264475239610611,0.1852793364550651,28.421850212207,409.61555703485806,505.4790857167088,630.6908612930418
5,0,0,11554,0,7,410,19498,410,16113,7,4,0,0,False,False,False,False,9035,0,0,1,0,1,0,0,1,761,87316,9439,8143,123,0,0,0,19733,544,18832,0,0,161,141,44,175,18,11,5,4,200,14,78,149863,0,16,9561,0,28,106,209,1,0,42814,1072,1282,0,1,7,0,32,6,8,4,False,0,0,47,0,0,0,2,0,0.8300603556126532,4,0.231042502531518,7,6,0,0,0.0,0.0,0,0,7,9,0,1,0,0,0,0.0,0,0,1735.1892686713493,0.0,0.0,3,2,1,56.000000059604645,0,0,0.8571428571428571,1,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0,16.000000029802322,0,2.0,0,-25.0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,4,33,2,0,0,0,0,0,1,6,0,0,2,0,0,0.1284516791076654,0,2,0,0,2,1,0,0,0,-0.2466354370117187,1.114804948332235,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.04366878670552,-0.4840970464525728,-91.49434177953626,327.9065922506963,382.29835325568894,977.1153099040572
11,0,0,14038,0,8,493,42938,493,19271,7,6,0,2,False,False,False,False,12725,0,0,0,1,6,0,4,1,611,100100,21124,10905,116,0,0,0,18526,1018,20274,0,0,174,181,61,182,19,11,4,4,200,24,77,160474,0,0,12586,0,15,115,260,1,0,41848,1892,409,1,1,3,0,39,7,9,6,True,0,0,40,1,0,0,0,0,0.7732435219402441,6,0.2319035779170161,7,3,0,4,0.0,0.0,0,0,16,0,0,1,0,0,1,896.320694351994,0,0,2031.4486958756363,0.0,0.0,7,2,1,40.00000002980232,0,0,2.4285714285714284,3,0,1,1,0.0,0,1,0,0,0,0,0.0,0,0,4.0,0,1.0,0,-33.000000059604645,0,0,0,0,0,1,0,0,14,0,0,0,2,0,5,16,0,0,0,0,0,4,0,17,0,0,8,1,1,0.1656144902798933,0,2,0,0,2,1,0,0,0,-0.2119448781013488,1.1737543996672974,9,2,1,912.4997443489718,0.0,4.0,0.0,1546.9223406305705,0.0,49.60394846835584,0.0,0.0,0.0,0.0,1.0,1986.821455222675,0.0,0.0,-48.82230114959877,0.0,-102.72472074912557,375.4857317089227,709.8579466602885,932.9696604437544
4,0,0,6887,0,2,0,594,0,9373,9,0,0,0,False,False,False,False,6525,0,0,1,0,4,0,0,1,484,47467,9960,7669,74,0,0,0,17603,920,14578,0,0,123,99,63,97,14,11,4,4,200,18,60,86666,0,4,6044,0,21,141,253,1,0,21595,1085,1048,0,0,6,0,15,1,5,0,False,0,0,38,0,0,300,1,0,0.0,0,0.2624771336107913,9,0,0,0,0.0,0.0,0,0,9,1,0,0,0,0,0,0.0,0,0,1431.10634606378,0.0,0.0,2,2,1,40.000000059604645,0,0,0.8888888888888888,0,0,0,1,0.0,0,1,0,0,0,12,0.0,0,0,5.000000029802322,0,0.0,0,-26.500000059604645,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,9,0,0,0,0,0,0,0,8,0,0,5,0,0,0.2279327114813727,0,0,0,0,0,0,0,0,0,-0.294243574142456,0.6694121880966651,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.83441308507184,-0.3773304489112606,-228.5364752239202,320.1019974930528,501.6817946302384,976.6989042040808
4,0,0,8826,0,3,0,13145,0,10749,4,2,0,0,False,False,False,False,8735,0,0,3,2,6,0,2,1,439,66172,7226,4830,85,0,0,0,17613,999,14511,0,0,122,91,40,103,13,11,4,4,100,21,62,115920,0,4,7546,0,44,145,107,1,0,32134,964,1164,0,0,11,0,20,2,8,3,False,0,0,50,0,0,0,0,0,0.0,2,0.2478258738574951,4,2,0,0,0.0,0.0,0,0,12,6,0,0,0,0,0,0.0,0,1,1435.402187561105,0.0,0.0,3,1,0,44.00000008940697,0,0,2.5,1,0,0,1,0.0,0,0,1,0,0,7,0.0,0,0,6.750000089406967,0,1.0,0,-45.50000002980232,0,0,0,0,0,1,0,0,9,0,0,0,1,0,2,17,2,0,1,1,0,2,0,10,0,0,6,1,0,0.2055837514387291,0,1,0,0,0,0,0,1,0,-0.1653354167938232,0.8539732682404682,8,8,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.1431869978778,-0.2926009195468922,-76.45244026446656,377.8731875291294,384.1850073650695,857.1534937469389
8,1,0,12298,0,11,0,24750,0,17826,5,9,0,2,False,False,False,False,10100,0,0,0,1,4,0,2,1,707,107031,14966,6975,146,0,0,0,28930,1142,20276,0,0,171,144,74,175,17,11,3,4,200,24,94,176965,0,22,13712,0,20,164,177,1,0,41004,1422,1175,1,1,4,0,41,10,10,10,False,0,0,54,1,0,150,2,0,0.7864284410434571,9,0.2991113575726179,5,0,0,2,0.0,0.0,0,0,14,13,0,0,0,0,0,0.0,0,1,1810.9880336493263,0.0,0.0,5,3,1,55.60000002384186,0,0,2.4,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,14.999999940395355,0,1.0,0,-21.800000071525574,0,0,0,0,0,1,0,0,9,0,0,0,1,0,2,9,1,0,2,1,0,4,0,12,0,0,5,0,1,0.239841739994377,0,1,0,0,0,1,5,0,0,0.5287958383560181,1.3903807782684257,10,7,1,561.7786346773271,0.0,0.0,0.0,1372.6440518174384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.08342240188976,-0.0993932575232325,-107.90794658438944,343.93380211622565,580.8541969657709,941.8173772043104
8,0,0,14556,0,1,2658,7967,2658,16225,6,0,0,0,False,False,False,False,11600,0,0,2,0,1,0,0,1,668,143113,6887,16697,153,0,0,0,38048,1085,13794,0,0,213,177,68,180,16,11,2,4,200,19,122,227821,0,8,12730,0,79,379,113,1,0,46660,1397,558,1,1,10,0,22,0,10,2,False,0,0,74,0,0,300,2,0,0.0,0,0.2117928791381003,6,2,0,0,0.0,0.0,0,0,9,2,0,0,0,0,0,0.0,0,0,1839.9001332,0.0,0.0,4,2,1,51.60000002384186,0,0,1.5,0,0,0,0,0.0,0,0,0,0,0,9,0.0,0,0,25.59999987483025,0,1.0,0,-57.00000011920929,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,13,0,0,0,2,0,0,0,9,0,0,5,0,0,0.1590184129440846,0,0,0,0,2,1,0,3,0,-0.1683782339096069,0.7307151913549703,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.83808751799921,-0.0652209311987455,-3.6523721471297512,388.0971510981354,305.560062666123,1012.5223463949254
