assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,0,5366,0,3,0,5778,0,8893,4,2,0,0,False,False,False,False,4900,0,0,0,0,3,0,0,1,579,44743,6855,5081,68,0,0,0,13140,737,10076,0,0,98,58,51,3,11,11,4,4,100,19,54,74315,0,0,7295,0,9,284,49,1,0,16431,511,85,0,0,0,0,13,2,3,2,False,0,0,38,0,0,0,0,0,0.3468777098534784,2,0.2712277957764646,4,0,0,0,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,0,926.5337951137844,0.0,0.0,4,2,1,44.000000059604645,0,0,1.25,1,0,0,1,0.0,0,0,0,4,1,5,0.0,0,0,9.000000029802322,0,1.0,0,-34.50000002980232,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,7,8,0,0,0,0,0,0,5,0,0,4,0,0,0.1980374166885574,0,0,0,0,0,0,0,0,0,-0.183901846408844,0.8719580256050817,3,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.669516158895,-0.8418473283041024,-80.49355608323071,357.26705463490254,524.7299154806262,987.0983711799564
17,0,4,14295,0,5,1288,20216,1288,21473,4,4,1,0,False,False,False,False,11650,0,1,0,2,8,0,4,2,1027,145829,24988,10068,135,0,0,0,24079,1594,18049,0,0,251,145,54,8,10,11,5,4,100,46,107,203147,0,8,13740,0,16,474,146,1,0,33238,1698,911,1,3,5,0,31,4,10,5,True,0,0,74,0,0,300,1,0,0.7535364387312236,4,0.2353182573021132,4,0,0,1,0.0,0.0,0,0,49,7,0,0,0,0,0,0.0,1,5,1864.204860365332,0.0,0.0,17,2,1,48.00000008940697,0,0,6.25,3,0,2,1,0.0,0,1,1,17,0,7,0.0,0,0,3.0,4,1.0,0,-41.00000008940697,0,0,1,1,0,0,0,0,20,0,0,0,1,0,3,7,9,0,0,1,0,3,0,25,0,0,9,0,0,0.317470624138938,0,1,0,0,0,3,5,0,0,-0.1569377779960632,1.0188093655439303,10,3,0,1670.9001510334558,0.0,1.0,0.0,0.0,1.0,10.870083477061598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.087533597840043,0.1609265196000016,48.40669709568051,418.2802097443244,910.2647654654496,934.2750021897698
2,0,1,8700,0,3,0,27375,0,11092,1,2,0,2,False,False,False,False,7000,0,0,0,1,5,0,4,1,805,102892,6775,3867,120,0,0,0,19289,1044,12698,0,0,147,90,64,4,14,11,2,4,200,20,74,156024,0,16,11997,0,12,485,27,1,0,33842,366,1218,0,0,1,0,10,2,1,3,True,0,0,55,0,0,0,1,0,0.6203649898948599,2,0.3157148675632978,1,10,0,2,0.0,0.0,0,0,26,11,0,0,0,0,1,926.8758651757151,0,0,1166.2135193031074,0.0,0.0,4,2,1,50.00000008940697,0,0,7.0,0,0,1,1,0.0,0,2,0,4,1,3,0.0,0,0,18.000000029802322,2,2.0,0,-45.00000008940697,0,0,0,0,0,0,0,0,6,0,0,0,1,0,3,53,7,0,1,1,0,4,0,7,0,0,4,0,0,0.1855288221874394,0,1,0,0,0,0,0,0,0,-0.3470569849014282,0.5164511462423141,1,1,0,639.4663260515446,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.476024255934975,0.205794218663677,81.90609902814344,400.0639610821881,421.1064199405491,914.961096178708
17,1,0,16916,0,6,282,31374,282,31741,5,5,1,1,False,False,False,False,13675,0,1,2,4,13,0,6,2,588,180218,33858,8584,136,0,0,0,22679,2357,28824,0,0,283,138,89,11,20,11,5,4,100,45,90,245970,0,12,21441,0,32,558,133,1,0,43073,2936,2049,1,1,7,0,31,5,6,6,False,0,0,65,1,0,600,0,0,0.810765686891801,5,0.3243023937437393,5,0,0,1,0.0,0.0,0,0,65,18,1,0,0,0,0,0.0,0,2,1921.66081868455,0.0,0.0,20,2,1,40.000000059604645,0,0,6.0,4,0,2,0,0.0,0,3,1,20,2,7,0.0,0,0,14.000000059604645,0,2.0,0,-48.00000008940697,0,0,1,0,0,2,0,0,20,0,0,0,0,0,5,2,14,0,1,1,0,7,0,30,0,0,6,1,1,0.2980998732416065,0,0,0,0,0,1,0,1,0,0.0698938369750976,0.9799210988904764,7,3,1,1675.493064724047,0.0,2.0,0.0,1504.610958903068,1.0,16.88058940056726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.85977042410953,0.5307908607400493,102.16162919655535,454.0759698672081,1222.4425752761415,1231.9655877776545
0,1,0,12113,0,5,256,13511,256,23784,4,2,0,0,False,False,False,False,8425,0,0,1,1,2,0,2,1,1266,150103,9375,8190,152,1,0,0,23852,425,22706,0,0,188,113,71,10,11,11,3,4,200,18,120,206884,0,16,13382,0,24,564,166,1,0,32927,694,428,0,0,9,0,13,3,2,2,False,0,0,81,1,0,0,0,0,0.7702584975552064,2,0.2708348680436735,4,12,0,0,0.0,0.0,0,0,19,11,1,0,1,1,0,0.0,0,0,1686.6003164374106,0.0,0.0,2,2,0,44.00000002980232,0,0,0.5,1,0,0,1,0.0,0,1,0,2,0,11,0.0,0,0,16.0,0,1.0,0,-38.50000011920929,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,62,6,0,0,0,0,2,0,2,0,0,2,0,1,0.1382970227469065,0,0,0,0,1,0,0,0,0,-0.6887602806091309,0.4900099175267036,2,2,0,0.0,0.0,1.0,0.0,1473.314185397957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.70008557896166,-0.3913197415936169,-83.102083305699,328.1393905872293,373.3546080022736,1114.3719004927318
8,1,9,15856,0,1,3698,51788,3698,27119,2,0,3,2,False,False,False,False,11900,2,2,0,1,11,0,9,3,454,186568,18053,6671,167,0,0,0,28694,1189,25423,0,0,241,135,86,8,19,11,5,4,200,21,101,268207,0,28,21608,0,36,524,43,1,1,52944,1518,1074,3,3,3,0,19,0,1,9,True,0,0,61,1,0,0,3,0,0.0,0,0.3031465602276381,2,4,0,2,0.0,0.0,0,0,33,19,0,1,0,0,1,849.6639503676051,0,0,1599.2481098937862,0.0,0.0,12,2,1,67.20000007748604,0,0,9.5,3,0,1,3,0.0,0,0,0,13,0,2,0.0,1,0,60.50000002980232,0,3.0,0,-25.90000006556511,0,0,4,0,0,2,0,0,14,0,0,0,2,0,3,28,6,0,1,8,0,2,0,19,0,0,3,0,1,0.1978176881170943,0,2,0,0,1,3,10,1,0,0.1991956233978271,0.7484117139656493,1,1,0,1079.136036327142,0.0,1.0,1584.2893675823216,1262.4941129958108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.471630159587,0.0,0.0,186.65021278019503,0.3751763070958694,204.88378130505436,543.1052221519807,778.866013531025,1244.4222930062897
0,0,0,5187,0,2,0,0,0,6681,5,0,0,0,False,False,False,False,4860,0,0,0,1,3,0,2,1,285,40673,2963,4048,60,0,0,0,11912,370,7716,0,0,67,61,27,3,9,11,2,4,200,9,48,64850,0,0,5366,0,21,247,96,1,0,12265,163,736,0,0,0,0,11,1,4,0,False,0,0,28,0,0,375,0,0,0.0,0,0.2719262954199871,5,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,2,2,1,44.000000059604645,0,0,0.6,0,0,0,0,0.0,0,1,1,2,1,12,0.0,0,0,0.0,0,0.0,0,-49.000000059604645,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0.1228707921292907,0,0,0,0,0,0,0,0,0,-0.0475204586982727,0.7447769346489955,4,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-96.25818993842688,-0.3278548703624893,-107.7986813751865,348.7720110916162,229.30169633152505,819.7683178543684
10,0,0,12655,0,9,1100,22826,1100,21550,7,7,1,1,True,False,False,False,11300,0,1,0,3,11,0,3,2,633,90198,21169,14693,98,0,0,0,18245,1729,18644,0,0,200,123,73,9,18,11,5,4,200,39,64,139720,0,8,14680,0,18,335,189,1,0,31275,1557,475,1,4,1,0,34,8,5,8,True,0,0,43,1,0,0,2,0,0.6805464135991119,7,0.2773031666331286,7,6,0,1,0.0,0.0,0,0,49,2,0,0,0,0,1,621.9995301334254,0,1,1740.11556056679,0.0,0.0,16,2,2,48.00000002980232,0,0,3.0,1,0,2,2,0.0,0,0,0,16,2,0,0.0,0,0,16.0,1,1.0,0,-38.500000059604645,0,0,1,1,0,0,0,0,19,0,0,0,2,0,4,37,9,0,0,1,0,7,0,21,0,0,6,0,1,0.193137144102649,0,2,0,0,2,4,5,0,0,0.0027928352355957,1.173904327564522,5,1,0,402.7828159605616,1.0,0.0,0.0,1260.9797341528374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.34088651351763,-0.1034414058922445,-22.41230460998632,437.76402973597897,843.219860364947,1165.8880858114885
9,0,1,5584,0,3,285,9593,285,6832,1,2,0,1,True,False,False,False,6335,0,0,0,1,5,0,4,1,803,51891,6324,2008,76,0,0,0,12975,932,8955,0,0,86,64,22,3,10,11,2,4,200,17,57,84269,0,4,7955,0,3,232,27,1,0,19402,249,975,0,1,0,0,7,2,1,3,True,0,0,43,0,0,0,1,0,0.4417590586610523,2,0.4216304193916094,1,0,0,1,0.0,0.0,0,0,26,1,2,0,0,0,1,730.8691966,0,0,911.8203068,0.0,1.0,9,2,1,48.000000059604645,1,1,14.0,0,0,1,1,0.0,0,0,0,9,0,1,0.0,0,0,3.0,0,2.0,0,-41.50000008940697,0,0,0,0,0,1,0,0,11,0,0,0,1,0,1,7,3,0,0,1,0,0,1,14,0,0,14,0,0,0.2503885329841755,0,1,0,0,4,1,5,0,0,0.1006087064743042,0.5078768993358719,1,1,0,673.1006722999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.67068018187285,0.8554317053295089,53.89219743575906,456.80053064595774,493.9131061694841,785.6153176868467
4,0,0,9061,0,2,0,8808,0,19853,6,0,0,0,False,False,False,False,6935,0,0,1,0,1,0,0,1,548,111621,9848,14225,120,0,0,0,21001,827,15792,0,0,171,96,61,11,17,11,5,4,200,30,110,165544,0,4,15359,0,15,379,174,1,0,32919,698,382,0,0,7,0,13,0,3,4,False,0,0,82,0,0,0,0,0,0.0,0,0.2780207584057224,6,3,0,0,0.0,0.0,0,0,43,6,0,0,0,0,0,0.0,0,0,1560.1950427687689,0.0,0.0,4,2,0,46.00000008940697,0,0,0.8333333333333334,0,0,0,0,0.0,0,0,0,4,0,1,0.0,0,0,4.000000029802322,0,1.0,0,-33.00000002980232,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,18,10,0,0,4,0,0,0,5,0,0,2,0,0,0.1593275560069311,0,0,0,0,0,0,0,0,0,-0.6414104104042053,0.5383184534680093,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.82742131083975,-0.5768509547388595,-104.25619588646988,305.4233521690681,437.3683938830033,1169.0461448737726
