assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,0,14491,0,9,0,17995,0,50717,5,7,1,2,True,False,False,False,12375,0,0,1,2,8,142,4,2,636,19702,3850,10064,162,0,0,0,167001,14720,18601,0,0,277,62,69,9,18,11,7,6,100,23,115,217845,0,14,16712,0,27,253,184,1,0,31141,980,4522,0,0,7,0,30,7,3,9,False,0,0,78,0,0,900,1,0,0.7953920172007612,7,0.2922152063847961,5,8,0,2,0.0,0.0,0,0,70,14,0,0,0,0,0,0.0,0,1,1813.931468693631,0.0,0.0,13,2,1,63.3500000834465,1,0,3.4,3,0,1,2,0.0,0,2,0,11,0,0,0.0,0,0,3.849999994039536,0,1.0,0,-41.40000006556511,0,0,1,0,0,1,0,0,16,0,0,0,0,0,4,44,19,0,0,2,0,2,0,17,0,0,5,0,0,0.2088985199886296,0,0,0,0,0,0,0,1,0,-0.2652286291122436,1.0022997543562635,3,0,0,399.38735162238856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.334874369797014,0.0,-56.529147748811,423.621296207737,646.694773339382,1097.737171644114
9,1,10,15865,0,5,2102,41187,2102,32463,0,4,2,4,False,True,False,False,13075,0,3,0,1,10,0,10,3,1749,24388,3539,8147,170,0,0,0,187117,12885,25065,0,0,324,69,65,8,7,6,21,11,100,30,94,253063,0,31,23421,0,22,315,0,1,1,41556,1210,1498,1,3,3,0,30,4,4,7,True,0,0,75,1,0,0,3,0,0.304211071170156,4,0.2867547171838816,0,2,0,4,0.0,0.0,0,0,79,22,0,0,0,0,1,971.430439699758,1,0,1754.062657358076,0.0,0.0,12,2,1,54.00000011920929,0,0,19.0,1,0,1,3,0.0,0,0,0,8,0,2,0.0,1,0,21.550000071525574,0,3.0,0,-34.00000002980232,0,0,3,0,0,1,1,0,15,0,0,0,0,0,4,13,13,0,0,3,0,2,0,19,0,0,5,0,1,0.2065815092129987,0,0,0,0,0,3,0,0,0,0.5765894651412964,1.0524036925211442,4,4,1,612.487870384274,0.0,1.0,1411.8635256192156,1516.6683557969925,0.0,31.21418185204948,0.0,0.0,0.0,0.0,1.0,1638.2206238631156,0.0,0.0,96.94066474005544,0.4788882520680226,124.75038966371991,456.3805042208256,603.262372390832,1187.335008395224
12,0,3,14994,0,5,4337,55806,4337,33088,3,4,2,1,False,False,False,True,12300,0,1,0,3,9,329,4,3,635,20336,2989,13560,155,0,0,0,180252,16416,18599,0,0,414,65,63,8,19,11,6,6,100,23,90,248011,0,19,19803,0,39,790,99,1,1,47422,1911,1899,2,5,2,0,30,4,3,5,True,0,0,58,0,0,150,2,0,0.7306827263918186,4,0.3388560302736021,3,5,0,2,1.0,0.0,0,0,64,14,0,0,0,0,1,859.5382999453725,1,4,1657.459687919472,0.0,0.0,11,3,1,60.00000008940697,0,0,7.0,1,0,2,5,0.0,0,0,0,11,0,4,0.0,0,0,72.74999997019768,1,3.0,0,-33.500000059604645,0,0,3,0,0,2,0,0,13,0,0,0,2,0,6,26,8,0,0,1,0,2,1,21,0,0,5,0,0,0.2424604110472063,0,2,0,0,3,5,5,1,0,1.2400095462799072,1.1122327976554482,3,1,1,1066.5274854316929,1.0,1.0,0.0,0.0,0.0,20.651389696180104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.56049040090448,0.3981997298700312,143.20710285144034,507.4874557316335,771.6748765126778,1232.9711635793876
15,2,1,20356,0,6,915,32156,915,67530,7,5,1,2,False,False,False,False,14925,1,2,1,2,11,0,8,2,770,24714,4322,23747,152,0,0,0,180816,21727,28366,0,0,321,78,87,13,25,11,9,6,100,37,93,248526,0,19,28708,0,58,299,237,1,0,42994,1597,3699,2,4,8,0,49,5,15,6,True,0,0,67,2,0,300,1,0,0.7180148729333726,5,0.2995966971449753,7,17,0,3,0.0,0.0,0,0,105,13,1,0,0,0,1,652.5370131649926,2,2,2369.065795310996,0.0,0.0,14,2,1,60.00000008940697,0,0,3.7142857142857135,2,0,1,2,0.0,0,0,0,15,0,2,0.0,1,1,12.000000029802322,6,1.0,0,-34.50000002980232,0,0,1,0,0,1,0,0,18,0,0,0,1,0,4,89,14,0,3,1,0,8,0,26,0,0,4,0,2,0.1829370416675987,0,1,0,0,1,4,5,2,0,0.0862393379211425,1.248065620889927,15,4,2,1089.4106655789294,0.0,0.0,1363.39105513437,1783.1022255151704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.7360440652207005,0.1772850719601331,78.15739029556728,416.847857055976,700.2253813648231,1413.5445316158446
0,0,0,6189,0,1,335,12192,335,9166,4,0,0,0,False,False,False,False,5700,0,0,0,0,2,0,0,1,326,7487,607,5420,84,0,0,0,64939,3374,10113,0,0,152,30,27,3,10,11,4,6,100,4,67,95365,0,0,7487,0,20,122,90,1,0,22939,813,965,0,0,3,0,8,0,0,4,False,0,0,47,0,0,0,0,0,0.0,0,0.3410892781495028,4,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,0,953.7159018982828,0.0,0.0,0,2,1,52.00000008940697,0,0,0.5,0,0,0,0,0.0,0,1,0,0,0,4,0.0,0,0,10.000000029802322,0,1.0,0,-49.000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,0,2,4,0,5,0,2,0,0,2,0,0,0.1979544156786759,0,1,0,0,3,0,0,0,0,-0.573930025100708,0.5511325475627502,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3774709001742065,-15.916689624012372,379.9244610253388,301.66216105588666,1037.9191518456764
5,0,0,9838,0,4,73,12476,73,16598,6,3,0,1,False,False,False,False,7675,0,0,3,0,1,0,0,1,363,11741,1161,9239,131,0,0,0,138196,5039,16359,0,0,221,50,47,5,12,11,4,6,200,11,110,173199,0,0,13581,0,35,154,155,1,0,23262,773,263,0,0,11,0,23,3,3,5,False,0,0,78,0,0,150,0,0,0.6888744425339166,3,0.2701120511245227,6,5,0,1,0.0,0.0,0,0,31,0,0,0,0,0,0,0.0,0,0,1450.1255620058748,0.0,0.0,3,2,2,60.000000059604645,0,0,1.0,1,0,0,0,0.0,0,1,0,3,0,10,0.0,0,0,17.0,0,1.0,0,-47.500000059604645,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,27,7,0,1,2,0,2,0,6,0,0,4,0,0,0.1462074501637195,0,0,0,0,0,0,0,1,0,0.0113956928253173,0.9825001438719904,3,3,0,472.0287055893236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-215.56753993605804,-0.5792601840892154,-128.51300941293593,341.846260067507,288.5543231312992,1070.0176871950855
0,0,6,6937,0,4,0,15299,0,8602,0,2,1,2,False,False,False,False,3950,0,0,0,1,6,0,6,2,0,6685,1110,4121,109,0,0,0,83671,8264,10954,0,0,206,34,29,2,11,11,2,6,200,12,45,111180,0,38,10298,0,13,199,0,1,0,20822,609,456,0,0,0,0,12,3,1,3,True,0,0,28,0,0,0,3,0,0.1771447377515995,2,0.439011305072981,0,0,0,2,0.0,0.0,0,0,33,25,0,0,0,0,1,892.0301528,0,0,917.7584537,0.0,1.0,3,3,1,64.00000008940697,0,0,6.0,1,0,1,1,0.0,0,1,0,4,0,0,1.0,0,0,63.94999998807907,1,3.0,0,-10.500000059604645,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3,2,3,0,2,1,0,0,0,6,0,0,5,0,0,0.2419939790975784,0,0,0,0,1,0,0,0,0,1.1495420932769775,0.8054009519357699,1,1,1,376.0997547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.96001607770316,0.326883395942071,195.5416474525469,449.4646694203477,652.7861416963159,1015.3652044752612
15,1,2,20131,0,5,2519,38514,2519,70086,4,3,2,2,False,False,False,False,16095,0,1,1,3,13,0,9,2,1328,30929,3033,18636,177,0,0,0,238274,23396,23116,0,0,389,93,83,12,23,11,9,6,200,29,109,311155,0,30,23500,0,66,1052,207,1,0,41951,2725,6322,2,3,3,0,49,3,4,18,True,0,0,71,1,0,1025,3,0,0.7597738184878223,3,0.2774814298709379,4,2,0,2,0.0,0.0,0,0,81,22,1,0,0,0,1,921.816338090278,0,1,2157.2371611912386,0.0,1.0,9,2,1,60.00000008940697,0,0,7.0,3,0,1,5,0.0,0,0,0,12,0,14,0.0,1,1,71.79999992251396,3,3.0,0,-37.00000008940697,0,0,2,0,0,0,0,0,21,0,0,0,1,0,4,15,11,0,6,14,0,8,0,28,1,0,11,0,1,0.2198840455703125,0,2,0,0,1,3,5,2,0,0.1543128490447998,1.382261733864058,4,0,1,634.22721456431,2.0,0.0,1085.9775631619364,1228.794894964532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.796885810518,0.0,0.0,31.03970263660037,0.0556267072340508,67.6142626429888,501.5860191294365,810.9261380579933,1337.1269751384973
8,1,0,14481,0,4,0,41838,0,35591,6,2,0,2,False,False,False,False,12075,0,0,0,1,6,0,2,1,632,15188,3077,6801,192,0,0,0,194819,15886,22654,0,0,405,57,48,6,15,11,7,6,200,17,119,248831,0,14,18481,0,17,176,214,1,0,38824,1119,4376,0,0,1,0,36,3,11,4,True,0,0,78,1,0,0,1,0,0.2616499830990795,2,0.3299553672189287,6,6,0,2,0.0,0.0,0,0,45,8,0,0,0,0,1,630.1300988124488,0,3,1808.768730666985,0.0,0.0,8,3,2,72.00000005960464,0,0,2.333333333333333,1,0,0,0,0.0,0,0,2,7,0,0,0.0,0,0,62.04999998211861,0,2.0,0,-49.00000008940697,0,0,0,0,0,2,0,0,9,0,0,0,2,0,8,33,10,0,0,2,0,0,0,14,0,0,3,2,1,0.2014913767865817,0,2,0,0,2,0,0,0,0,1.00146222114563,1.2247495540638702,11,4,1,389.1616030022744,0.0,1.0,0.0,1707.1444973824755,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-9.818834049309878,0.0663434733061478,4.245982291593461,415.14428421322,666.1879872036834,1122.2661944467966
5,0,0,8868,0,3,0,13301,0,22411,7,2,1,1,False,False,False,False,9000,0,0,1,2,6,0,3,2,675,13153,2286,5504,119,0,0,0,120678,13103,23111,0,0,251,44,43,7,4,6,14,11,200,16,69,156935,0,26,12800,0,31,148,199,1,0,23102,779,2322,0,0,8,0,20,2,3,3,False,0,0,52,0,0,300,1,0,0.5500011102157838,2,0.3043358589688547,7,5,0,1,0.0,0.0,0,0,47,23,0,0,0,0,0,0.0,0,1,1386.132621210042,0.0,0.0,7,2,1,56.000000059604645,0,0,1.5714285714285714,2,0,1,1,0.0,0,1,0,6,0,7,0.0,0,0,12.0,0,1.0,0,-45.00000008940697,0,0,1,0,0,0,0,0,10,0,0,0,0,0,3,28,10,0,0,1,1,2,0,11,0,0,7,0,0,0.2580633974609331,0,0,0,0,0,0,0,1,0,-0.1811518669128418,0.9009304249859644,3,3,1,419.7690296696074,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.61377238478178,-0.4761449156458381,-124.96639740632132,405.5023245245647,699.8897400979597,1339.1359323032086
