assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,0,1150,0,1,0,0,0,1707,1,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,257,1476,180,1190,24,0,0,0,9330,270,1476,0,0,10,5,15,0,2,11,0,4,200,1,20,14939,0,0,1238,0,0,53,10,1,0,4132,40,14,0,0,0,0,4,0,0,2,False,0,0,12,0,0,0,0,0,0.0,0,0.1292231810545649,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,561.1931734851097,0.0,0.0,0,2,1,24.00000002980232,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,8.0,0,1.0,0,-49.00000011920929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0.0350260661897765,0,0,0,0,0,0,0,0,0,0.1805540323257446,0.5028055112564541,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.22841157768931,-0.3207451702987902,-271.136583959244,215.540754440787,52.38837781546906,286.5323521335859
12,0,0,8300,0,6,1281,16035,1281,25088,11,4,0,2,True,False,False,False,7200,0,0,2,1,3,0,2,1,213,5221,628,9257,71,0,0,0,70475,7484,18110,0,0,70,50,68,10,16,11,4,4,100,24,54,93224,0,0,7397,0,16,303,265,1,0,17527,890,879,0,1,10,0,22,4,4,6,False,0,0,33,0,0,300,0,0,0.8241567648134102,4,0.2685360314591132,11,6,0,2,0.0,0.0,0,0,8,0,1,0,0,0,0,0.0,0,4,1476.474508419691,0.0,0.0,4,2,0,32.000000059604645,0,1,1.3636363636363635,1,0,0,1,0.0,0,0,2,0,0,2,0.0,0,0,4.0,0,1.0,0,-32.00000002980232,0,0,0,0,0,1,0,0,14,0,0,0,0,0,2,34,0,0,0,2,0,2,1,15,0,1,7,0,0,0.1214909951402249,0,0,0,0,4,1,0,0,0,-0.2198212146759033,0.9303108180952516,4,4,1,339.74189835172115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.40918098655888,-0.3657360807251431,-120.12398384705811,328.30908846427013,365.8579927520515,1147.923645369316
21,0,0,14761,0,6,637,21947,637,47714,7,3,2,2,False,False,True,False,14200,0,0,2,2,8,27,3,2,414,22380,2507,12778,132,0,0,0,140306,17416,19643,0,0,112,84,108,13,23,11,5,4,200,32,92,205406,0,4,11959,0,46,510,228,1,0,42719,1926,1802,1,2,11,0,29,4,3,9,False,0,0,64,0,0,0,0,0,0.2957804189436867,3,0.266581481469367,7,14,0,2,0.0,0.0,0,0,16,6,1,0,0,0,1,715.6224672073657,0,3,2049.307916040212,0.0,0.0,10,2,1,44.000000059604645,0,1,4.142857142857143,1,0,1,1,0.0,0,0,0,0,0,7,0.0,0,0,15.000000029802322,0,1.0,0,-32.500000059604645,0,0,2,0,0,2,0,0,28,0,0,0,2,0,5,73,0,0,0,6,0,5,0,29,0,0,11,0,0,0.1821324366828568,0,2,0,0,4,2,0,1,0,-0.307569682598114,0.8633688712984179,3,1,0,925.9336513916317,0.0,2.0,0.0,0.0,0.0,11.650644258128978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85165155918665,0.2049472393643741,-13.643630506256905,437.6794687511469,639.7281685873677,1002.016331429477
1,0,0,6607,0,5,490,7937,490,15111,7,3,0,1,False,True,False,False,6800,0,0,1,1,5,0,2,1,434,3989,58,7510,89,0,0,0,69750,4641,10367,0,0,68,46,55,7,3,4,14,11,200,8,74,94193,0,0,6189,0,6,301,139,1,0,20452,313,746,1,1,6,0,20,4,4,4,False,0,0,44,0,0,0,0,0,0.5312908784553577,3,0.2809139088679037,7,1,0,1,0.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0,0,1191.3155491344626,0.0,0.0,2,2,1,48.000000059604645,0,0,0.8571428571428571,0,0,0,3,0.0,0,0,0,0,0,2,0.0,0,0,4.0,0,1.0,0,-47.1000000834465,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,12,0,0,0,1,0,0,0,6,0,0,5,0,0,0.129594397869692,0,0,0,0,0,1,0,0,0,-0.2507109642028808,1.0245648397740108,5,5,0,577.8551760424564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.3784207761391,-0.4029159195888434,-145.04973105198363,351.89669127090616,252.47718811235904,938.038625292776
13,0,0,12808,0,10,218,35596,218,44423,5,8,0,2,False,False,True,False,10150,0,0,1,2,4,0,2,1,960,11517,2200,9304,120,0,0,0,118098,13490,15540,0,0,107,66,80,12,19,11,5,4,100,30,64,165163,0,17,10144,0,17,595,163,1,0,35546,1500,3700,0,2,7,0,27,8,2,9,False,0,0,34,0,0,375,1,0,0.4846957766668602,8,0.2299891752486146,5,8,0,2,0.0,0.0,0,0,14,13,0,0,0,0,1,1097.655884758051,0,0,1769.8046090733235,0.0,0.0,7,3,2,52.000000059604645,0,0,3.4,2,0,0,1,0.0,0,0,1,0,0,1,0.0,0,0,21.000000059604645,0,2.0,0,-43.50000002980232,0,0,0,0,0,1,0,0,15,0,0,0,1,0,6,46,0,0,1,1,0,10,0,17,0,0,6,0,0,0.1799933513312663,0,1,0,0,2,2,0,0,0,0.2501198053359985,0.9158906288579493,2,2,0,514.5155367637988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.9474314556298,-0.1356081901751091,-89.63701370574717,368.68476703857806,582.8100993250755,967.7339471371228
23,0,0,16991,0,9,1345,43956,1345,69685,3,7,1,2,True,False,False,False,14200,0,1,0,1,9,0,8,2,1752,15660,1687,13132,172,0,0,0,193610,19730,22302,0,0,158,92,119,14,26,11,6,4,100,30,131,267819,0,6,19771,0,15,511,153,1,0,58548,853,1676,1,4,6,0,44,8,8,9,True,0,0,96,0,0,0,0,0,0.6442691098835222,7,0.2602108306444743,3,7,0,4,1.0,0.0,0,0,17,7,1,1,0,0,0,0.0,1,2,2258.4980137432703,0.0,0.0,12,1,1,52.000000059604645,0,0,10.666666666666666,5,0,1,1,0.0,0,1,0,0,0,1,1.0,1,0,19.0,0,2.0,0,-38.50000008940697,0,0,1,1,0,1,0,0,21,0,0,0,0,0,4,40,0,0,2,2,0,9,0,32,0,0,10,1,0,0.186093506753857,0,0,0,1,0,4,0,0,0,-0.0130810737609863,1.1858439661084736,8,4,0,394.4823983620836,0.0,3.0,1647.1702627099348,0.0,0.0,43.36454813337059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.906160448893477,0.5313265686743293,31.959293105760903,407.0758505898374,591.6587005472994,985.9295808320854
7,0,0,12767,0,4,0,23923,0,46427,7,3,0,1,False,True,False,False,10700,0,0,2,0,2,0,0,1,784,16634,1324,13671,151,0,0,0,131979,10555,14763,0,0,91,87,80,11,5,4,25,11,100,23,125,200485,0,0,10991,0,22,464,263,1,0,51872,655,1557,0,0,7,0,20,3,7,5,False,0,0,82,0,0,0,0,0,0.3759869966188364,3,0.223211641807932,7,42,0,1,1.0,0.0,0,0,15,0,1,0,0,0,0,0.0,0,1,2113.4101240694413,0.0,0.0,4,2,1,56.000000059604645,0,0,1.2857142857142858,2,0,0,1,0.0,0,0,1,0,0,1,0.0,0,0,13.499999940395355,0,1.0,0,-47.50000011920929,0,0,0,0,0,1,0,0,6,0,0,0,1,0,3,214,0,0,0,2,0,1,0,9,0,0,4,0,0,0.1111016977253721,0,1,0,0,1,0,0,0,0,-0.3017786741256714,0.5837900327302448,7,1,1,1098.9479609343014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.1413626335206,-0.340681627195774,-128.46536358840646,305.76176040820724,355.87034974158564,851.476946904638
6,0,0,7330,0,5,0,4857,0,18584,8,3,0,1,False,False,False,False,5475,0,0,2,0,0,0,0,0,500,5433,661,6286,74,0,0,0,59672,4118,14041,0,0,60,45,64,3,2,4,14,11,200,13,60,85421,0,0,5678,0,3,279,185,1,0,20315,305,1294,0,0,10,0,18,4,3,4,False,0,0,42,0,0,0,0,0,0.651402233467926,3,0.2381914788729629,8,0,0,1,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,1,1376.1852531899403,0.0,0.0,1,2,0,39.60000005364418,0,0,0.75,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,4.000000029802322,0,0.0,0,-34.500000059604645,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,9,0,0,0,1,0,0,0,6,0,0,2,0,0,0.1343910114571216,0,0,0,0,0,0,0,0,0,0.0220497846603393,0.7892146314582308,3,3,0,499.4598285139714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-351.5805730939777,-0.3923890324709572,-196.8484979562636,256.0120442966068,221.69980334609085,942.692851120782
19,0,0,11140,0,5,2999,30285,2999,29400,8,4,0,3,False,False,False,False,9650,0,2,0,0,3,0,0,1,318,6261,776,3598,131,0,0,0,119856,12609,14035,0,0,103,53,83,9,14,11,3,4,100,18,73,162812,0,12,6466,0,11,303,164,1,0,36694,404,4797,1,6,0,0,44,4,10,16,True,0,0,59,0,0,0,2,0,0.781064651588003,4,0.3665937207893556,8,3,0,3,0.0,0.0,0,0,11,3,1,1,0,0,1,802.7308241999999,0,2,1424.0468648,0.0,0.0,8,2,1,51.60000005364418,0,0,2.75,0,0,0,1,0.0,0,0,0,0,0,4,0.0,0,0,19.2000000178814,1,2.0,0,-42.90000006556511,0,0,0,0,0,1,0,0,19,0,0,0,1,0,6,15,0,0,0,0,0,4,1,22,0,0,12,0,1,0.204788032449434,0,1,0,0,2,6,0,0,0,0.9583098888397216,1.887412426238113,10,10,0,444.7802166,0.0,2.0,0.0,1314.0413151,0.0,14.980329700000084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.51969031012469,0.5898682274884076,87.17409733382252,465.3217645987124,581.0202040760814,945.0953007708908
20,0,0,12470,0,10,2605,26570,2605,22792,3,7,0,2,False,False,False,False,8225,0,2,0,0,1,0,0,1,852,10494,1268,5725,117,0,0,0,121505,8696,13208,0,0,113,74,78,8,5,4,18,11,100,14,93,171792,0,2,11143,0,30,424,57,1,0,39792,553,991,0,6,3,0,36,9,10,9,True,1,0,64,0,0,0,0,0,0.7737090492829817,7,0.2765878484752183,3,1,0,3,0.0,0.0,0,0,7,2,0,1,0,0,0,0.0,0,3,1547.0943883999998,0.0,0.0,3,2,0,46.250000059604645,0,0,7.0,5,0,0,0,0.0,0,1,0,0,0,1,0.0,0,0,36.85000005364418,2,2.0,0,-31.50000002980232,0,0,0,0,0,1,0,0,16,0,0,0,1,0,1,8,0,0,1,2,0,11,0,21,0,1,6,0,1,0.1317839294578329,0,1,0,0,2,6,0,0,0,0.2974981069564819,1.4158586155888566,11,6,0,767.3201068999999,0.0,0.0,0.0,1313.5896839,0.0,13.017340699999975,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.48924165976893,0.5041709192718833,128.6411491711413,387.6686545416728,407.91305606935913,772.7388897301751
