assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,0,12635,0,4,232,17828,232,14188,8,3,0,1,False,True,False,False,10475,0,0,0,1,5,0,2,1,567,187271,25214,9933,144,0,0,0,5009,49,16446,0,0,492,20,238,6,3,3,13,11,100,14,124,224255,0,0,9165,0,44,163,281,1,0,31973,2906,723,0,0,4,0,19,3,1,4,False,0,0,87,0,0,0,0,0,0.3906899932328944,3,0.2454491131101165,8,2,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,2,1536.52618209659,0.0,0.0,0,2,0,72.00000008940697,0,0,1.875,2,0,0,1,0.0,0,2,1,0,0,7,0.0,0,0,33.00000002980232,0,2.0,0,-47.500000059604645,0,0,0,0,0,1,0,0,13,0,0,0,1,0,1,11,0,0,0,1,0,0,0,15,0,0,4,0,0,0.3002686850218723,0,1,0,0,3,0,0,1,0,-0.1954395771026611,0.7649627191337816,1,1,0,1198.4121803220482,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.02021441941534,-0.2342947384787026,-57.519358296521496,429.8917959853396,1099.9747480344292,1058.3483828313797
2,0,1,3313,0,2,255,7051,255,2746,2,1,0,1,False,True,False,False,3875,0,0,0,0,3,0,0,1,188,50081,4697,1574,60,0,0,0,2750,189,6314,0,0,205,4,66,1,4,11,2,3,100,3,45,63666,0,4,3593,0,10,50,22,1,0,10835,279,21,0,0,0,0,3,1,0,4,True,0,0,33,0,0,0,0,0,0.0703090044255945,1,0.3383282777557422,2,0,0,1,1.0,0.0,0,0,0,6,0,0,0,0,0,0.0,0,1,561.1931734851097,0.0,0.0,0,2,1,60.00000011920929,0,0,2.5,3,0,0,1,0.0,0,0,0,0,0,10,0.0,0,0,46.00000008940697,2,3.0,0,-16.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,5,0,0,0.3387378574296275,0,0,0,0,2,0,0,0,0,-0.1529400944709777,0.4259063762316981,0,0,0,541.5617936565803,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.05619449298445,0.3207451702987902,-13.364382095782924,505.7082185044258,552.4300983112829,845.6980990211434
12,1,1,10224,0,4,0,23510,0,8462,5,3,0,1,False,False,False,False,7325,0,0,0,0,4,0,0,1,464,125532,14401,3429,120,0,0,0,6415,228,14019,0,0,405,19,105,4,11,11,4,3,200,13,83,151667,0,8,7059,0,19,135,104,1,0,19719,410,724,0,0,2,0,29,3,6,5,True,0,0,55,1,0,0,1,0,0.6194368642950667,3,0.2807973152639146,5,0,0,1,0.0,0.0,0,0,0,4,0,0,0,0,1,750.936259167784,0,0,1289.7568129469846,0.0,0.0,0,2,1,56.00000008940697,0,0,3.2,0,0,0,1,0.0,0,0,0,0,0,6,0.0,0,0,29.899999976158146,2,2.0,0,-43.60000005364418,0,0,0,0,0,1,0,0,12,0,0,0,1,0,3,3,0,0,0,2,0,2,0,16,0,0,7,1,1,0.2676003878568926,0,1,0,0,1,0,0,0,0,0.6941138505935669,1.37453761377187,6,5,1,369.59977236638974,0.0,1.0,0.0,1266.8627956281268,1.0,16.066934849572817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.61004464530537,0.3256427845807115,108.85773084555215,443.75807458791536,699.6667828705574,845.4617095671217
3,0,0,9662,0,3,0,2531,0,10989,8,1,0,0,False,False,False,False,8750,0,0,2,2,4,0,2,1,343,135571,13176,5960,110,0,0,0,5220,210,15820,0,0,370,18,191,3,13,11,5,3,200,12,89,161912,0,8,6063,0,45,163,221,1,0,21120,1462,1290,0,0,10,0,20,2,2,4,False,0,0,60,0,0,450,0,0,0.0,1,0.2603757927049924,8,0,0,0,0.0,0.0,0,0,0,12,0,0,0,0,0,0.0,0,0,1404.0492429627095,0.0,0.0,0,2,1,66.00000011920929,0,0,0.875,1,0,0,0,0.0,0,3,0,0,0,4,0.0,0,0,32.00000008940697,0,1.0,0,-28.50000002980232,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,8,0,0,1,1,0,2,0,7,0,0,4,1,0,0.3075838590250668,0,0,0,0,0,0,0,1,0,-0.2939793467521667,0.8672220965034281,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.45738376600325,-0.5128025271255552,-123.37174131762316,386.3967041891058,634.5503937739473,985.8628583988798
11,0,0,13143,0,2,286,3292,286,12619,11,1,1,0,False,False,False,False,13675,0,0,2,2,10,0,3,2,297,181439,33807,7970,99,0,0,0,2332,74,16513,0,0,429,23,99,7,17,11,6,3,100,21,89,215965,0,0,6001,0,78,284,256,1,0,32193,1897,2054,1,1,9,0,23,1,8,3,False,0,0,75,0,0,1000,0,0,0.0,1,0.1943028798599422,11,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1736.7657412785836,0.0,1.0,0,2,1,52.00000008940697,0,0,1.9090909090909087,1,0,1,0,0.0,0,1,0,0,0,10,0.0,0,0,25.00000002980232,0,1.0,0,-32.000000059604645,0,0,1,0,0,3,0,0,16,0,0,0,0,0,1,18,0,0,1,2,0,0,0,21,0,0,9,1,0,0.3966361978870668,0,0,0,0,0,1,0,3,0,-0.0753462314605712,0.8092507689038994,8,5,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.456559578554282,0.0345469734771649,-112.657680509035,479.9956494917302,1236.090711012963,916.8075821370044
8,0,0,13436,0,7,530,15870,530,12263,10,4,1,1,False,False,False,False,12500,0,0,2,2,11,0,5,2,391,164722,32762,11260,115,0,0,0,5314,418,16659,0,0,406,31,156,10,13,11,6,3,200,21,90,196445,0,6,7299,0,44,244,268,1,0,26407,2581,2496,0,0,10,0,25,6,7,5,False,0,0,73,0,0,450,1,0,0.7359309976886176,4,0.2511939275830177,9,4,0,1,0.0,0.0,0,0,0,6,0,0,0,0,0,0.0,0,1,1836.49996312547,0.0,1.0,0,3,0,52.00000008940697,0,0,1.9,2,0,2,3,0.0,0,2,0,0,0,15,0.0,0,0,15.250000029802322,0,1.0,0,-41.000000059604645,0,0,1,0,1,0,0,0,15,0,0,0,1,0,1,21,0,0,3,1,0,0,0,19,0,0,10,0,0,0.4506200870110411,0,1,0,0,4,0,0,1,0,-0.5311142206192017,0.8323069094867787,7,4,0,775.7099673755447,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.01606390686086,0.0653416838603015,-95.92159190692274,435.3389687192594,1168.3419782641226,993.7163281474668
2,0,0,7021,0,7,0,9004,0,7169,9,4,0,0,False,False,False,False,6300,0,0,0,1,2,0,2,1,300,79788,8964,7002,89,0,0,0,4774,410,10419,0,0,299,13,94,3,11,11,3,3,100,12,76,105334,0,4,5883,0,18,124,195,1,0,20771,772,1322,0,0,3,0,13,6,3,6,False,0,0,48,0,0,300,0,0,0.2951595019563692,4,0.3020619718260209,9,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,1174.1451089656975,0.0,0.0,0,2,1,44.000000059604645,0,0,0.4444444444444444,0,0,0,0,0.0,0,1,0,0,0,15,0.0,0,0,12.0,0,1.0,0,-41.000000059604645,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,9,0,0,1,2,0,0,0,4,0,0,4,0,0,0.2739819096769897,0,1,0,0,0,0,0,0,0,-0.233410894870758,0.7141995381128239,3,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.83605783628167,-0.5621111010558081,-93.46374580282482,333.2296809077204,518.5730412285764,957.8373161990968
12,0,2,13305,0,4,0,22813,0,18920,14,2,2,2,False,False,False,False,12800,0,0,1,5,12,0,2,2,193,181248,35340,12308,111,0,0,0,3352,264,19122,0,0,481,38,83,6,4,4,13,11,100,28,85,212707,0,8,6985,0,39,291,358,1,0,28106,2957,1491,0,0,8,0,33,2,8,9,False,0,0,61,0,0,975,1,0,0.0,2,0.2229985007916729,14,8,0,2,0.0,0.0,0,0,0,7,1,1,0,0,0,0.0,0,0,1740.11556056679,0.0,1.0,0,2,0,40.000000059604645,0,0,1.7142857142857142,2,0,0,2,0.0,0,6,1,0,0,6,0.0,0,0,34.60000005364418,0,2.0,0,-30.50000002980232,0,0,2,0,0,2,0,0,19,0,0,0,0,0,1,40,0,0,2,7,0,1,0,24,0,0,12,1,0,0.4038353082192029,0,0,0,0,0,0,0,1,0,-0.0027850270271301,1.1706349545165564,8,2,0,782.1471317230646,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.34088651351763,0.1034414058922445,22.41230460998632,497.1049162494966,1329.6358313389117,1135.2004687301226
20,3,0,22838,0,10,785,67786,785,27991,13,9,0,4,False,False,False,False,15075,0,0,0,2,7,0,2,1,676,269772,39828,16108,198,0,0,0,10775,244,32544,0,0,665,53,137,9,8,3,23,11,200,35,142,330942,0,4,15829,0,72,461,513,1,0,50397,5416,2230,1,1,5,0,56,9,13,16,True,0,0,91,3,0,300,0,0,0.885331018005656,9,0.2029313509788703,13,6,0,4,0.0,0.0,0,0,0,1,2,1,0,0,1,1038.007975751691,0,2,2565.283197010885,0.0,0.0,0,2,0,64.00000008940697,0,0,2.076923076923077,8,0,0,1,0.0,0,0,2,0,0,0,0.0,0,0,20.0,10,1.0,0,-42.500000059604645,0,0,0,0,0,0,0,0,26,0,0,0,1,0,4,35,0,0,0,7,0,0,0,27,0,0,5,0,3,0.2401770775018483,0,1,0,0,0,1,5,2,0,0.2794138193130493,1.320084033210824,13,1,0,586.5184160293273,0.0,1.0,0.0,1384.7610241079608,0.0,47.64652800909789,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-105.6959326424222,-0.046778461005719,-72.01544071830449,425.8009413045577,1063.952706344577,1190.1142156770013
10,1,1,12392,0,5,0,27675,0,12849,6,4,2,1,False,False,False,False,12350,0,0,0,2,10,0,7,3,526,153089,23942,7350,135,0,0,0,5832,37,17646,0,0,477,24,207,7,12,11,5,3,200,16,102,191236,0,16,9579,0,18,189,175,1,1,32314,1695,866,0,0,4,0,18,4,2,5,True,0,0,61,1,0,0,1,0,0.5626476147731984,4,0.2696915724121552,6,2,0,2,0.0,0.0,0,0,0,16,0,0,0,0,0,0.0,1,0,1654.0636124,0.0,0.0,0,2,0,56.000000059604645,0,0,3.333333333333333,7,0,1,2,0.0,0,5,1,0,0,5,0.0,0,0,23.25000011920929,2,2.0,0,-39.00000002980232,1,0,3,0,0,1,0,0,18,0,0,0,0,0,1,14,0,0,1,1,0,0,0,20,0,0,7,0,1,0.3043030404384974,0,0,0,0,0,0,0,0,0,-0.3901444673538208,0.6647363340219024,2,1,0,550.839558,0.0,0.0,0.0,1292.9041177,1.0,27.972999800000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.363469125306295,0.4715659023949156,56.04379378462651,454.0816897061195,931.306382929774,938.1622256645924
