assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,14798,1,5,327,20891,327,34253,4,2,1,1,False,False,False,False,12275,0,0,2,2,9,0,5,2,997,329,233,12535,143,0,0,0,183930,17192,24962,0,0,183,81,39,16,17,11,3,4,100,27,97,216603,0,12,24563,0,58,390,107,1,0,32342,1758,4830,1,1,11,0,20,3,5,3,False,0,0,74,0,0,0,1,0,0.7279004169026205,2,0.3018329416522315,4,6,0,1,0.0,0.0,0,0,17,3,0,0,0,0,0,0.0,0,2,1838.54117575054,0.0,0.0,7,2,2,59.750000059604645,0,0,3.25,0,0,2,4,0.0,0,1,0,0,0,9,0.0,0,0,17.749999970197678,0,1.0,0,-37.00000008940697,0,0,1,0,0,3,0,0,13,0,0,0,2,0,5,34,0,0,0,1,0,6,0,13,0,0,4,0,0,0.2589989966781,0,2,0,1,4,1,5,2,0,-0.296049952507019,0.6733892666491755,5,3,0,1197.867415105866,0.0,2.0,0.0,0.0,0.0,46.221396283121976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.54687863329637,-0.3263456962039833,-61.67933658255284,416.3192046474215,626.094218167342,1381.3234283226
19,0,1,19063,1,5,1533,28461,1533,77082,5,2,2,2,False,False,False,False,14725,0,0,1,3,13,0,5,2,636,0,0,22373,156,0,0,0,251769,32522,29983,0,0,272,87,51,22,7,4,25,11,100,49,87,283606,0,25,37900,0,57,537,199,1,0,31836,3444,9350,0,3,6,0,47,3,4,4,True,0,0,66,1,0,700,2,0,0.7672030008535691,2,0.3111700148715175,5,36,0,3,0.0,0.0,0,0,35,20,0,0,0,0,0,0.0,0,5,2058.519131674075,0.0,0.0,16,2,1,60.00000008940697,0,0,6.4,1,0,2,1,0.0,0,1,0,0,0,5,0.0,0,1,74.70000007748604,11,3.0,0,-26.50000002980232,1,0,2,0,0,1,0,0,22,0,0,0,0,0,7,185,0,0,2,2,0,11,1,32,0,0,9,1,1,0.2785162661894091,0,0,0,2,0,3,0,2,0,0.1900036334991455,1.3717742175040573,4,2,1,532.5269122265336,0.0,3.0,0.0,1602.0410559380932,0.0,10.064518103365344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.95138117763386,0.2040301659273082,165.73078906609638,493.840443043769,1048.3361397010706,1798.584206982344
6,0,2,8519,1,5,191,15658,191,12271,3,4,0,1,False,False,False,False,6700,0,0,0,2,6,0,4,1,530,0,0,3962,93,0,0,0,103721,9133,13874,0,0,122,42,27,10,12,11,6,14,200,9,65,124412,0,12,11256,0,12,206,43,1,0,20690,1606,904,0,0,1,0,19,4,2,5,True,0,0,45,0,0,0,1,0,0.4574660389749958,4,0.3068034176605336,3,0,0,1,0.0,0.0,0,0,3,5,0,0,0,0,1,685.7260799882001,0,0,1158.3503306167788,0.0,0.0,1,1,1,49.6000000834465,1,0,4.0,0,0,1,1,0.0,0,0,0,0,0,4,0.0,0,0,19.2000000178814,2,2.0,0,-27.400000035762787,0,0,0,0,0,1,0,0,11,0,0,0,1,0,2,5,0,0,0,1,0,1,0,12,0,0,7,0,0,0.2202901175649107,0,1,0,0,0,0,0,0,0,0.4717804193496704,1.020082294654224,2,2,1,691.0810742897461,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68993301013613,0.2589890053730645,109.44875367065706,409.2026284894419,556.256585740268,970.6907921382458
11,2,2,16576,1,1,3345,36972,3345,48767,6,0,2,2,False,False,False,False,14250,0,1,0,4,12,0,5,2,716,21,21,15093,145,0,0,0,191975,17458,25615,0,0,200,66,53,16,24,11,5,4,100,15,92,220454,0,12,27395,0,40,183,202,1,0,28457,1083,8568,0,4,3,0,16,0,3,1,True,0,0,71,2,0,1275,1,0,0.0,0,0.3328143757819715,6,2,0,2,0.0,0.0,0,0,10,8,2,0,0,0,0,0.0,0,3,1936.8823306241304,0.0,0.0,7,1,1,52.00000008940697,0,0,3.8333333333333335,4,0,2,2,0.0,0,0,1,0,0,10,0.0,0,0,18.500000089406967,8,2.0,0,-42.500000059604645,0,0,2,2,0,2,0,0,16,0,0,0,0,0,4,16,0,0,1,1,0,6,0,23,0,0,5,0,2,0.1460910404108419,0,0,0,0,0,4,0,1,0,-0.6416435241699219,0.5241591934232978,3,1,1,1236.9992385593832,0.0,3.0,0.0,1381.421766253317,0.0,35.1161461144859,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,133.85428526081782,0.1239104700400998,83.91836583465759,502.2091350725245,575.0684914561032,1526.4840580414996
16,1,2,15529,2,0,1138,23856,1138,22330,14,0,1,0,False,False,False,False,13100,0,1,0,3,10,0,2,2,297,4072,4072,17338,117,0,0,0,167341,26256,24337,0,0,205,84,89,23,6,4,24,11,100,16,89,198902,0,16,12758,0,19,274,425,1,0,27488,3767,1055,0,2,6,0,26,0,2,13,True,0,0,64,1,0,300,0,0,0.0,0,0.2181454178151478,14,55,0,2,0.0,0.0,0,0,0,16,0,0,0,0,1,635.2597534119408,1,4,2076.9075608401467,0.0,0.0,0,2,1,44.000000059604645,0,0,1.8571428571428568,3,0,0,3,0.0,0,0,0,0,2,0,0.0,0,0,16.0,13,2.0,0,-34.500000059604645,1,0,1,0,0,3,0,0,18,0,0,0,0,0,1,278,28,0,4,13,0,2,0,26,0,1,8,0,1,0.2013197032643707,0,0,0,0,1,2,0,0,0,-0.4049081206321716,0.7565011951843521,2,1,0,1688.0101614078624,0.0,2.0,0.0,1591.6154235953743,0.0,39.53141654131218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-83.11395425329958,-0.231112837687312,21.117935543678136,417.44756307270734,984.9740251186128,1234.4603334020662
3,1,3,16045,2,5,1145,45242,1145,17610,1,4,1,3,False,False,False,False,10925,0,0,0,2,5,0,3,2,1241,600,600,8105,208,0,0,0,256070,6371,19043,0,0,212,82,63,9,4,4,20,11,200,4,128,298261,0,34,18086,0,44,296,41,1,0,41590,688,938,0,2,2,0,28,5,7,6,True,0,0,93,1,0,150,2,0,0.5631202001119463,4,0.3032407561408315,1,7,0,3,0.0,0.0,0,0,0,24,0,1,0,0,1,855.2632140722012,1,1,1702.9861521757791,0.0,0.0,0,2,1,76.00000008940697,0,0,8.0,0,0,1,1,0.0,0,0,0,0,3,0,0.0,0,0,85.10000011324883,9,3.0,0,-55.50000008940697,0,0,1,1,0,1,0,0,8,0,0,0,1,0,4,42,14,0,0,2,0,0,0,8,0,0,2,1,1,0.0934079253644006,0,1,0,0,2,2,0,1,0,-0.2719598412513733,0.9998887123561386,7,6,1,770.5667807626107,0.0,0.0,0.0,1308.6811048984955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.17118357673776,0.070464460234562,182.78480984845396,455.8698254874991,269.8788826983726,989.567647304072
0,0,0,0,0,1,0,0,0,89,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,202,0,0,3,0,0,0,0,11,0,4,200,0,0,747,0,0,96,0,0,0,0,1,0,106,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0.0,0,0.9426112205612516,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,103.80156569029928,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,-4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.02233669684092,0.0,-187.85843807192555,289.0129816491162,0.0,116.76124458624297
10,1,2,12309,2,2,794,25592,794,16445,7,1,1,0,False,False,False,False,10575,0,0,0,3,8,0,3,2,530,1725,1725,6764,143,0,0,0,185954,15177,21029,0,0,139,69,55,12,17,11,4,4,100,10,108,214048,0,13,13493,0,22,235,196,1,0,26367,1578,692,0,0,3,0,11,1,0,5,True,0,0,81,1,0,375,1,0,0.0,1,0.4084869726792223,7,3,0,0,1.0,0.0,0,0,0,11,0,0,0,0,0,0.0,0,2,1447.4741616,0.0,0.0,0,2,1,55.50000011920929,0,0,2.571428571428572,2,0,1,2,0.0,0,0,0,0,9,0,0.0,0,0,11.5,3,2.0,0,-34.50000002980232,0,0,1,0,0,1,0,0,12,0,0,0,1,0,2,21,30,0,0,4,0,0,0,18,0,1,9,0,1,0.2818938707685057,0,1,0,0,3,0,0,0,0,-0.5202726721763611,0.4861300183339678,0,0,1,0.0,0.0,3.0,0.0,1428.7240828,1.0,30.94082449999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1102918390084,0.3730636541401873,40.29087464714024,511.3459152748168,766.0654880183114,1180.7879168708196
4,0,0,12745,2,5,0,10418,0,15364,8,4,0,0,True,False,False,False,11950,0,0,3,3,9,0,3,1,400,2725,2167,16769,105,0,0,0,176824,16640,13804,0,0,120,66,73,12,18,11,3,4,100,10,86,200364,0,6,11145,0,74,236,237,1,0,20815,1462,1410,0,0,11,0,30,4,10,5,False,0,0,63,1,0,300,0,0,0.801491256824367,4,0.2205835168436827,8,2,0,0,0.0,0.0,0,0,0,8,0,0,0,0,0,0.0,0,0,1685.4679107711725,0.0,0.0,0,1,1,50.50000008940697,0,0,1.625,1,0,1,0,0.0,0,2,1,0,0,6,0.0,0,0,1.0,0,1.0,0,-44.00000008940697,0,0,0,0,0,2,0,0,8,0,0,0,0,0,2,19,0,0,2,1,0,0,0,13,0,0,7,0,1,0.3082664155004223,0,0,0,0,0,0,0,3,0,-0.1601823568344116,1.0683350334360335,10,4,2,0.0,0.0,1.0,0.0,1240.9189193093434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-51.79570577529214,-0.177992116066296,-130.85980373194084,432.6276373107391,721.5444401095508,1138.5799680528824
12,0,9,18925,2,3,1118,17706,1118,20001,3,1,1,0,False,False,False,False,14725,0,0,0,3,21,0,10,2,883,4540,4540,8019,170,0,0,0,273638,28265,22052,0,0,207,82,81,11,11,11,3,4,200,9,70,302117,0,67,17810,0,67,368,64,1,0,23938,1244,2735,2,2,2,0,25,1,3,6,True,0,0,46,1,0,0,4,0,0.0,1,0.2711922681337951,3,7,0,1,0.0,0.0,0,0,0,57,0,0,0,0,0,0.0,1,0,1620.22515985311,0.0,0.0,0,2,2,58.000000059604645,0,0,11.0,3,0,2,11,0.0,0,1,0,0,0,6,0.0,2,0,116.50000020861626,1,6.0,0,-22.0,1,0,1,0,0,0,0,0,18,0,0,5,0,0,6,39,0,0,12,5,0,0,0,33,0,0,13,0,1,0.3312603493315084,0,0,1,0,0,2,0,2,0,0.2171635627746582,0.9374193014396291,3,3,1,1006.415150501418,0.0,0.0,1131.767479680978,1321.824985744372,1.0,7.670706394884519,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,226.1907845161627,0.9628291416863506,334.2128078353582,649.2060647270544,1260.9358567084707,1214.90521735785
