assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,1,0,14215,0,11,1698,36318,1698,24451,10,9,4,0,False,False,False,False,17525,0,0,1,5,20,0,5,2,608,2054,2054,19455,124,0,0,0,157245,27631,19670,0,0,194,106,47,41,19,11,6,4,100,10,83,192379,0,12,14261,0,16,182,423,1,0,33079,2605,996,0,0,9,0,35,9,2,11,False,0,0,56,1,0,500,1,0,0.7334323777067355,9,0.281792759384241,10,9,0,0,1.0,0.0,0,0,0,10,0,0,0,0,0,0.0,0,1,2136.031363842854,0.0,0.0,0,2,2,52.00000008940697,1,0,2.5,3,0,3,2,0.0,0,1,0,0,10,8,1.0,0,0,36.00000008940697,0,3.0,0,-14.499999970197678,0,0,4,0,0,3,0,0,20,0,0,0,2,0,3,48,46,0,2,2,1,2,0,25,1,0,11,0,1,0.2278854456821057,0,2,0,0,5,0,0,0,0,-0.4369427561759949,0.997758209193568,2,0,2,0.0,0.0,2.0,0.0,1690.7131894721435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.6320470085569,0.3932526526617977,-6.432489818539406,515.2452434125255,907.0372433644366,1127.0059235783322
8,0,0,15318,0,4,0,20882,0,23102,8,3,0,0,False,False,False,False,14125,0,0,2,2,7,0,2,1,725,1626,1626,14088,152,0,0,0,176801,25432,22396,0,0,188,101,46,24,24,11,4,4,100,11,116,229371,0,16,13032,0,36,357,272,1,0,50943,2197,648,0,0,8,0,35,3,10,4,False,0,0,78,0,0,150,1,0,0.6982551730117026,3,0.2699139509150617,8,5,0,1,0.0,0.0,0,0,0,14,0,0,0,0,0,0.0,0,0,2109.686549626237,0.0,0.0,0,2,1,52.00000008940697,0,0,1.875,2,0,0,0,0.0,0,0,0,0,8,7,0.0,0,0,33.00000008940697,0,2.0,0,-27.49999997019768,0,0,0,0,0,1,0,0,11,0,0,0,0,0,3,31,64,0,1,1,0,4,0,15,0,0,4,0,0,0.2349474707203099,0,0,0,0,0,0,0,0,0,-0.3445723056793213,0.9999416122384236,10,4,0,825.2321671867112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.20162192738525,-0.3412829266639439,-160.77269870260625,399.89826931847625,832.0477752066953,1056.0715763176856
7,0,0,9781,0,6,0,18299,0,19096,7,3,0,0,False,False,False,True,10725,0,0,1,0,3,0,0,1,411,1321,1321,5333,140,0,0,0,132548,13744,19046,0,0,192,69,27,22,3,4,17,11,200,8,86,170038,0,29,10743,0,9,156,167,1,0,36167,1589,707,1,1,7,0,22,3,1,9,False,0,0,53,0,0,375,2,0,0.521993228004407,3,0.2947279948719521,7,3,0,0,0.0,0.0,0,0,0,22,1,1,0,0,1,816.1240242505156,0,2,1394.19298000184,0.0,0.0,0,1,1,70.00000008940697,0,1,1.4285714285714286,0,0,0,1,0.0,0,1,0,0,1,0,0.0,0,0,44.20000007748604,0,2.0,0,-27.500000059604645,0,0,0,0,0,1,0,0,7,0,0,0,2,0,3,23,19,0,1,6,0,2,1,10,0,0,5,0,0,0.2449596941104919,0,2,0,0,2,1,10,0,0,-0.2142919898033142,0.9754815007370242,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.98754247050823,-0.0430356491967997,18.76354304980468,455.0159189577635,716.7157017235027,1079.6783670493116
12,1,0,15269,0,7,0,28003,0,23169,10,5,1,2,False,False,False,False,11375,0,0,6,1,3,0,2,2,690,2498,1727,15805,146,0,0,0,163849,13570,24534,0,0,187,104,51,28,5,4,25,11,200,6,119,208771,0,1,14644,0,18,144,328,1,0,42423,1462,580,0,0,11,0,25,6,5,6,False,0,0,75,1,0,150,0,0,0.3064258885652787,5,0.2292472843248,10,5,0,2,0.0,0.0,0,0,0,4,1,1,0,0,0,0.0,0,0,2200.1277841,0.0,0.0,0,2,0,49.6000000834465,0,0,1.5,1,0,0,0,0.0,0,0,1,0,12,1,0.0,0,0,3.200000017881393,0,0.0,0,-37.90000003576279,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,28,37,0,0,1,0,0,0,15,0,0,4,0,1,0.156394253660389,0,0,0,0,0,0,0,0,0,-0.3662609457969665,0.7043603644850508,5,3,0,564.4648075,0.0,0.0,0.0,1640.4220901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.36457438145035,-0.2454402893788718,-83.80422325125257,331.18076380189103,457.064361109988,1115.935182375937
6,1,1,11354,0,1,219,25329,219,17023,8,0,1,3,False,False,False,False,10500,0,1,0,2,8,0,3,2,274,802,802,9558,128,0,0,0,134821,12763,15607,0,0,163,78,37,17,16,11,3,4,100,7,82,160346,0,16,9858,0,10,173,193,1,0,24721,1544,373,0,1,2,0,9,0,0,1,True,0,0,52,1,0,600,3,0,0.0,0,0.3124585174349449,8,0,0,3,1.0,0.0,0,0,0,4,0,1,0,0,0,0.0,0,1,1451.6954310919311,0.0,0.0,0,3,1,48.00000002980232,0,0,1.75,0,0,1,1,0.0,0,4,0,0,13,6,0.0,0,0,44.0,3,2.0,0,-21.000000059604645,0,0,1,0,0,2,0,0,10,0,0,0,0,0,3,6,52,0,2,1,0,0,0,14,0,0,8,0,1,0.2142466275317292,0,1,0,0,0,1,0,0,0,-0.5419548749923706,0.4123307347937242,0,0,1,602.2704291626703,0.0,1.0,0.0,1308.9907520924403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.3285079169208,-0.0413309835623505,114.07351463208752,477.4141911287112,624.5524926106792,1055.5106582153085
9,1,2,16287,0,3,1904,55960,1904,23469,4,2,4,3,False,False,False,False,14350,1,1,0,5,24,0,14,4,495,1723,1723,11627,152,0,0,0,195654,34424,19409,1,0,208,97,42,27,5,4,15,11,100,11,99,239441,0,16,14392,0,21,454,132,1,2,42063,2165,779,1,3,3,0,22,2,5,4,True,0,0,61,1,0,450,1,0,0.6301164515844868,2,0.3050749333908923,4,1,0,3,0.0,0.0,0,0,0,9,1,1,0,0,1,770.7668109338974,1,1,1569.4555837500736,0.0,0.0,0,2,1,64.00000005960464,1,0,8.25,3,0,3,1,0.0,0,0,2,0,13,5,0.0,1,0,25.0,0,3.0,0,-51.50000008940697,0,0,7,1,0,5,0,0,22,0,0,1,1,0,3,10,69,0,7,2,0,2,0,33,0,0,12,3,1,0.386386916965299,0,1,0,0,0,3,0,0,0,-0.3015361428260803,0.8784633570782093,5,5,1,452.1701102627412,1.0,1.0,1250.0411551262384,1245.1745238135968,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,228.5760767710437,0.7645963431043441,166.79669224821268,672.691862663202,1464.6989846678368,1216.3198626103906
6,0,3,8925,0,4,680,34647,680,15259,2,2,0,2,False,True,False,False,8075,0,0,0,2,10,0,6,1,659,882,882,4615,113,0,0,0,109934,14214,16135,0,0,161,73,24,5,14,11,3,4,200,8,62,145692,0,17,10958,0,7,195,44,1,0,34874,1587,0,2,2,0,0,15,3,2,4,True,0,0,38,0,0,0,2,0,0.508599282099248,2,0.3218564966593151,2,4,0,2,0.0,0.0,0,0,0,10,1,0,0,0,1,719.2554432999999,0,0,1139.9371816,0.0,1.0,0,2,2,52.00000002980232,1,0,8.0,0,0,2,7,0.0,0,0,0,0,13,1,1.0,0,0,52.00000002980232,0,3.0,0,-25.000000059604645,0,0,0,0,0,3,0,0,13,0,0,0,2,0,4,24,39,0,1,2,1,2,0,16,0,0,10,0,0,0.2996259082286708,0,2,0,0,1,2,5,0,0,0.3459944725036621,0.8345072971179499,2,2,1,476.0281225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.9087281930273,0.4737103137929614,173.32534036891354,577.5055069929302,878.2062872928401,1092.1654456893275
6,1,0,15216,0,6,529,51908,529,23345,3,4,0,2,False,False,False,False,14200,0,1,0,1,9,0,8,1,1525,2779,1891,12417,175,0,0,0,217762,17879,21795,0,0,226,117,59,27,21,11,6,4,200,9,102,261585,0,38,19684,0,10,308,20,1,0,41042,1983,604,0,1,3,0,35,4,5,6,True,0,0,70,1,0,450,4,0,0.7374405925274102,4,0.3117238531354978,3,2,0,3,0.0,0.0,0,0,0,15,0,1,0,0,1,898.9079644544196,0,2,2032.9411607055283,0.0,0.0,0,2,1,52.00000002980232,0,0,5.0,1,0,1,0,0.0,0,0,0,0,2,0,0.0,1,0,4.0,7,1.0,0,-34.500000059604645,0,0,0,0,0,1,0,0,11,0,0,0,1,0,3,13,36,0,0,2,0,0,0,15,0,0,2,0,1,0.213503263944618,0,1,0,0,1,1,0,0,0,-0.1106183528900146,1.0507498001413935,5,2,1,409.8874994392782,0.0,2.0,1979.817565076041,1615.53706732235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.25694515212416,0.1475694455888165,39.72569475250941,434.0902811440628,642.0451438678231,1027.6145913022829
15,1,6,16067,0,4,1004,46696,1004,22904,2,3,1,3,False,False,False,False,12325,0,1,0,2,11,0,6,2,910,1185,1185,8648,180,0,0,0,191220,17503,21353,0,0,217,91,41,20,19,11,3,4,200,11,101,236118,0,25,15600,0,17,337,68,1,0,43711,2010,173,1,1,2,0,35,3,4,5,True,0,0,61,1,0,0,3,0,0.2017735749813354,3,0.2627785832219904,2,1,0,3,0.0,0.0,0,0,0,15,0,0,0,0,0,0.0,0,3,1637.350081732268,0.0,0.0,0,3,2,68.00000005960464,0,0,13.0,1,0,2,3,0.0,0,0,0,0,5,1,0.0,0,0,99.20000004768372,3,4.0,0,-29.000000089406967,0,0,1,1,0,3,1,0,18,0,0,0,0,0,8,13,30,0,1,2,0,0,0,26,0,0,8,0,1,0.2093975185437057,0,0,0,0,1,1,0,0,0,0.6724056005477905,1.31794399914687,4,1,0,580.8024409436846,0.0,1.0,0.0,1414.1859302652688,0.0,23.92781596174177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,121.73328246890568,0.5496686445013803,243.68643239561192,508.37020701117655,758.5060848356047,1105.7500898552769
9,0,0,9317,0,3,0,12221,0,10245,6,2,0,0,True,False,False,False,8400,0,0,1,0,3,0,0,1,371,499,499,3528,92,0,0,0,102691,7997,16652,0,0,134,67,41,12,13,11,4,4,100,4,75,127912,0,2,7980,0,26,133,164,1,0,24721,493,782,0,0,6,0,19,2,4,3,False,0,0,50,0,0,0,0,0,0.5416900653721446,2,0.2367565495750599,6,1,0,1,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,0,1418.470274119039,0.0,0.0,0,2,0,40.00000002980232,0,0,2.0,1,0,0,1,0.0,0,1,1,0,11,4,0.0,0,0,10.5,0,1.0,0,-26.50000002980232,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,10,29,0,0,1,0,4,0,12,0,0,9,0,0,0.1562097079903366,0,0,0,0,0,0,0,0,0,0.038724660873413,0.8351618188023278,4,4,0,603.5603013986504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.45062985585965,-0.2114954436999529,-111.16200520869526,372.27428000065714,380.26880777251534,886.7157972564227
