assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,0,16200,0,7,2663,66756,2663,18526,4,4,1,3,False,False,False,False,12200,0,1,0,1,5,1425,5,2,773,27167,2678,10432,194,0,0,0,224255,13323,18728,0,0,215,58,62,5,4,4,18,11,200,6,126,297294,0,28,18030,3520,30,280,172,9,0,45872,2013,750,1,3,3,0,41,6,12,4,True,1,0,78,1,0,0,2,0,0.6145788711254617,4,0.2515529169711612,4,3,0,3,0.0,3520.60595703125,0,0,0,28,1,2,0,0,1,804.2351939814524,1,5,1813.931468693631,0.0,0.0,0,2,1,67.75000008940697,0,0,4.25,0,0,1,2,0.0,0,0,0,0,3,7,1.0,0,0,36.85000002384186,4,2.0,0,-40.60000005364418,0,0,1,0,0,2,0,0,12,0,0,0,2,2,3,19,27,0,2,0,0,5,0,17,0,0,7,0,1,0.1959745741162128,0,2,0,0,2,3,0,0,0,0.3609675168991089,1.364097439823872,12,6,0,726.5913987078674,0.0,3.0,0.0,1417.5628303748097,0.0,13.09965311238966,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.334874369797014,0.0,56.529147748811,444.956170577534,595.8880027471212,989.408933564912
3,0,0,8612,0,3,0,4802,0,9194,4,2,0,0,False,False,False,False,7725,0,0,2,0,2,387,0,1,280,15731,697,5464,115,0,0,0,93984,4010,11819,0,0,125,37,28,1,11,11,3,4,200,6,104,134878,0,0,8886,1001,8,144,76,8,0,25160,645,217,0,0,9,0,17,2,5,4,False,0,0,65,0,0,0,0,0,0.7960361869756972,2,0.2057431144286461,4,0,0,0,0.0,1001.996826171875,0,0,0,0,0,0,0,0,1,883.6059017607431,0,0,1393.6392227138413,0.0,1.0,0,2,0,39.75000002980232,0,0,1.25,0,0,0,1,0.0,0,0,0,0,7,4,0.0,0,0,4.899999916553497,0,1.0,0,-40.00000011920929,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,15,0,0,2,0,0,0,5,0,0,4,0,0,0.1243998813830278,0,0,0,0,0,0,0,0,0,0.061922550201416,0.7706299889735023,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.49472298230032,-0.6457912387450069,-125.41265856428032,338.9112420933796,230.4613667334681,753.4661646184244
12,1,9,15550,0,3,2399,56109,2399,15508,6,2,2,3,True,False,False,False,13500,1,1,0,2,13,1567,9,2,359,37711,4794,8379,139,0,0,0,140286,16704,9664,0,0,151,47,33,2,4,4,14,11,100,9,55,213204,0,32,11519,2227,42,101,88,13,0,35206,723,478,1,2,0,0,31,2,6,2,True,0,0,31,1,0,150,2,0,0.8294755912038273,2,0.1489887966905825,6,2,0,3,0.0,2227.219970703125,0,0,0,22,0,0,0,0,1,599.5137606831759,2,2,1572.8865300558289,0.0,0.0,0,2,1,39.60000005364418,0,0,4.166666666666667,2,0,1,2,0.0,0,0,0,0,5,8,0.0,1,0,26.74999988079071,3,3.0,0,-27.900000035762787,0,0,2,0,0,0,0,0,18,0,0,0,2,0,5,15,36,0,0,0,0,0,0,25,0,1,10,0,1,0.197526235645257,0,2,0,0,2,2,0,1,0,0.6509971618652344,1.2167376160575618,6,3,0,756.3887904299424,0.0,2.0,1543.907170320292,1328.9838147177495,0.0,18.71271504156197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,177.68605341803007,0.3814642623830616,160.63460088950723,585.9672534466209,847.6898838676394,706.5481067859066
5,1,1,15457,0,5,5632,75082,5632,16707,6,4,2,3,False,True,False,False,12425,0,1,0,2,8,548,4,2,436,30723,2614,7659,170,0,0,0,206841,12647,23304,0,0,214,60,112,6,17,11,4,4,200,10,108,296690,0,17,19818,4686,54,367,215,12,0,59125,2230,917,4,5,5,0,32,4,9,5,True,0,0,70,2,0,450,0,0,0.6528828803609286,4,0.2716803377077785,6,7,0,4,0.0,4686.9892578125,0,0,0,18,2,0,0,0,1,836.098175672414,1,2,1799.561393379992,0.0,0.0,0,2,1,48.000000059604645,0,0,2.1666666666666665,1,0,1,2,0.0,0,0,1,0,4,4,0.0,0,0,84.00000002980232,3,3.0,0,-32.500000059604645,0,0,2,1,0,2,1,0,12,0,0,0,2,1,3,40,32,0,0,1,0,4,0,13,0,0,5,0,2,0.1920289485503188,0,2,0,0,3,5,5,2,0,0.0423754453659057,1.0843070805045345,9,5,0,635.4929468403044,1.0,2.0,0.0,1232.2347644777628,0.0,9.116730536580462,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.2093104758448,-0.0333414576578052,70.98396335346736,495.7207924562483,583.242118807987,1062.9923530461467
5,0,1,5732,0,3,1984,20162,1984,3780,3,2,2,2,True,False,True,False,6975,0,0,0,2,9,1282,5,2,314,10387,1207,775,65,0,0,0,52723,9619,7711,0,0,99,28,40,2,9,11,2,4,200,4,28,82074,0,16,5188,1055,7,147,53,5,0,18963,403,1170,0,2,2,0,27,2,5,7,True,0,0,14,0,0,0,2,0,0.8089718632356934,2,0.2681145828013144,3,0,0,2,0.0,1055.1478271484375,0,0,0,12,1,1,0,0,1,513.3660361119632,0,0,954.4913042602265,0.0,0.0,0,2,1,34.500000059604645,0,1,4.666666666666667,3,0,1,2,0.0,0,0,0,0,7,1,0.0,0,0,0.0,0,0.0,0,-33.50000002980232,0,0,2,0,0,0,0,0,11,0,1,0,1,1,2,5,19,0,2,5,0,0,1,14,0,0,13,1,0,0.3279385289158703,0,1,0,0,3,2,0,0,0,3.515098094940185,1.7422754381822088,5,5,0,389.68499559596296,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.85743374405126,0.7543285064896765,10.93776334410031,499.8054962582849,705.925760656589,607.0458655975672
7,0,5,12758,0,6,3192,40592,3192,16684,0,5,1,1,False,False,False,False,8175,0,1,0,1,5,431,5,2,0,30424,3634,4611,154,0,0,0,127628,8526,14907,0,0,175,51,36,2,18,11,3,4,200,4,88,208508,0,25,14299,2760,25,271,0,7,0,50454,2074,8,2,3,2,0,45,5,11,7,True,0,0,59,1,0,0,2,0,0.736489062095558,5,0.2686257229160328,0,0,0,1,0.0,2760.0,0,0,0,17,1,1,0,0,1,869.2903987,1,3,1556.9927805,0.0,0.0,0,2,1,64.40000012516975,0,0,12.0,1,0,1,0,0.0,0,0,0,0,2,2,0.0,0,0,46.30000001192093,1,2.0,0,-34.70000001788139,0,0,1,1,0,0,0,0,10,0,0,0,1,0,6,4,22,0,0,2,0,0,0,12,0,0,2,0,1,0.2427973480440519,0,1,0,0,1,3,0,0,0,1.091240644454956,1.7687962985494408,11,9,0,1501.4772194,0.0,1.0,0.0,1256.5879005,0.0,15.43663800000013,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,139.8465058586057,0.308286593240244,123.4302447685627,426.1676793304823,548.5189210227041,752.5275740994356
11,0,1,17277,0,1,1098,43716,1098,33285,13,0,0,3,False,False,False,False,13050,0,0,0,0,4,660,0,1,480,39590,8063,18334,181,0,0,0,188010,17310,20749,0,0,239,53,98,6,21,11,6,4,100,13,101,284823,0,35,17267,3320,58,264,435,9,0,57221,4264,976,0,2,5,0,42,0,17,0,True,0,0,65,0,0,0,2,0,0.0,0,0.2154662053130329,12,3,0,3,0.0,3320.980712890625,0,0,0,15,1,1,0,0,1,767.5324716598113,0,1,2370.8982380043644,0.0,0.0,0,3,0,36.00000002980232,0,0,1.1538461538461535,0,0,0,0,0.0,0,0,1,0,3,8,0.0,0,0,48.80000001192093,6,2.0,0,-18.50000002980232,0,0,0,0,0,1,0,0,12,0,0,0,1,0,5,21,35,0,1,0,0,0,0,15,0,0,6,1,0,0.2232782885259412,0,1,0,0,2,2,0,2,0,-0.010196030139923,1.0791268658138424,17,2,0,796.0336866194774,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.19805965615752,-0.0759205929274762,-43.93271644069958,360.6987369984396,750.070151259156,1013.7929842248992
9,0,0,14531,0,4,0,21854,0,22371,11,2,1,1,False,True,False,False,19725,0,0,3,2,5,483,2,2,309,37155,5396,8013,114,0,0,0,136710,9784,22867,0,0,219,61,26,3,15,11,4,4,100,4,81,217621,0,16,11488,1350,68,98,296,6,0,43756,4189,953,0,0,10,0,45,3,17,3,False,0,0,63,0,0,0,1,0,0.9415870003927448,2,0.2258978036283858,11,2,0,1,0.0,1350.0,0,0,0,6,0,0,0,0,1,869.9797471241646,0,1,2157.1541094224,0.0,0.0,0,2,1,42.000000059604645,0,0,1.2727272727272727,1,0,0,2,0.0,0,0,1,0,4,3,0.0,0,0,2.0,0,1.0,0,-16.60000005364418,0,0,1,0,0,0,0,0,13,0,0,0,1,1,1,15,41,0,1,1,0,6,0,14,0,1,9,0,0,0.2103127375291396,0,1,0,0,0,0,0,2,0,-0.205362856388092,1.2610497738201043,17,9,0,393.5790487884617,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-174.229554744531,-0.4728452156221307,-149.61378910773183,348.3478517912685,538.7654015647454,885.4165734646639
5,0,4,7203,0,6,1053,26370,1053,5160,0,4,1,1,True,False,True,False,7350,0,0,0,1,4,394,4,2,0,13369,1122,1595,90,0,0,0,72321,4789,7264,0,0,110,34,46,1,3,4,9,11,100,4,45,113276,0,19,6322,1156,18,183,0,6,0,27585,796,258,0,2,0,0,19,5,3,6,True,0,0,27,0,0,0,2,0,0.5595410417348275,4,0.2485200872458439,0,0,0,1,1.0,1156.7999267578125,0,0,0,14,0,1,0,0,1,738.8831365423069,0,0,930.4343302135684,0.0,0.0,0,2,1,60.00000008940697,0,2,9.0,1,0,1,2,0.0,0,0,0,0,2,10,1.0,0,0,31.500000059604645,0,2.0,0,-26.900000035762787,0,0,1,0,0,0,0,0,8,0,0,0,1,0,4,4,9,0,0,2,0,0,1,9,0,1,9,0,0,0.1665234057125553,0,1,0,0,5,2,0,0,0,0.9666794538497924,1.2602915483297832,3,3,0,751.1512712218785,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,202.42159374834023,0.4514020886391786,-5.545797088995623,496.413325477771,432.50768692899584,587.9834634588615
5,0,0,12851,0,8,0,37939,0,21534,6,7,0,3,False,True,False,False,12500,0,0,1,3,10,585,5,1,468,24610,3941,7514,133,0,0,0,146382,13125,18621,0,0,155,52,53,5,15,11,4,4,100,8,86,200676,0,16,13008,1725,29,161,201,7,0,29684,910,1587,1,1,8,0,40,7,12,8,False,0,0,50,0,1,600,1,0,0.53384264975461,7,0.2230990031712456,6,3,0,3,0.0,1725.000244140625,0,0,1,8,1,1,0,0,0,0.0,0,0,1861.5773752,0.0,0.0,0,2,0,40.000000059604645,0,0,2.5,3,0,1,5,0.0,0,1,0,0,9,7,0.0,0,0,2.0,0,0.0,0,-37.00000008940697,0,0,0,0,0,2,0,0,12,0,0,0,1,0,2,23,29,0,2,1,0,4,0,15,0,0,8,2,0,0.2190934097649823,0,1,0,0,0,1,5,0,0,-0.106366217136383,1.2904698186217027,14,6,0,937.9650651,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.023757405192598,-0.1611536560320353,-116.03063234306543,422.6738090408223,579.4118548975798,893.5325612352232
