assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,11403,0,4,0,16900,0,20783,8,3,0,0,False,False,False,False,8875,0,0,2,2,5,0,3,1,566,102805,11258,14471,125,0,0,0,23257,983,19414,0,0,133,47,51,6,3,4,15,11,100,28,106,196905,0,10,15822,0,66,586,230,1,0,70842,3038,1072,0,0,10,0,27,3,7,7,False,0,0,81,0,0,0,1,0,0.6695073042620786,3,0.3003328876396998,8,6,0,1,0.0,0.0,0,0,8,9,0,0,0,0,0,0.0,0,3,1531.4825823,0.0,0.0,2,3,1,52.00000011920929,0,0,1.125,2,0,1,1,0.0,0,3,0,0,2,20,0.0,0,0,59.85000020265579,0,2.0,0,-17.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,31,9,0,1,4,0,0,0,9,0,0,3,0,0,0.2189628319055382,0,0,0,0,1,0,0,2,0,0.0913653373718261,1.096973621498739,7,7,0,540.0603775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.07197565736232,-0.6268435639393689,-61.15642520683468,389.8575190475413,598.6747812848436,1369.614009484775
18,1,0,15581,0,6,150,27021,150,32660,4,5,1,2,True,False,False,False,12480,0,1,0,2,6,0,3,2,812,144407,19080,8750,163,1,0,0,23329,1054,28193,0,0,171,73,72,9,18,11,5,4,100,50,111,247526,0,14,18721,0,61,735,170,1,0,79789,5605,1356,0,1,1,0,29,6,3,11,True,0,0,81,2,0,0,0,0,0.6457853221887059,5,0.373911954218835,4,2,0,2,0.0,0.0,0,0,16,19,1,1,1,1,1,855.460253583011,0,2,1737.597372629716,0.0,1.0,7,2,1,50.00000011920929,0,0,6.0,8,0,1,1,0.0,0,0,0,0,1,23,0.0,0,0,79.00000017881393,0,2.0,0,-41.00000002980232,0,0,1,0,0,3,0,0,20,0,0,0,1,0,3,16,18,0,0,6,0,0,0,24,0,2,11,0,2,0.2187735581580378,0,1,0,0,0,1,0,2,0,0.2069225311279297,1.0073398441782506,3,1,1,777.0518521109173,0.0,2.0,0.0,1300.5235907926094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,116.02227488114488,0.1726521947636084,90.53881093403626,482.2175799747584,888.8134986430563,1322.5158118892407
4,0,0,7962,0,5,668,13028,668,11994,8,4,0,0,False,False,False,False,7950,0,0,1,0,1,0,0,1,472,62668,5121,6743,99,0,0,0,17116,98,19231,0,0,105,44,41,5,10,11,3,4,100,16,85,120895,0,0,12759,0,27,225,249,1,0,41110,1355,1231,1,1,9,0,20,4,6,5,False,0,0,54,0,0,150,0,0,0.4067339019607816,4,0.2715149868873726,8,5,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1442.9178841606667,0.0,0.0,1,2,1,56.80000007152557,0,0,0.625,1,0,0,0,0.0,0,0,0,0,0,4,0.0,0,0,14.5,0,1.0,0,-38.50000008940697,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,30,9,0,0,1,0,0,0,5,0,0,4,0,0,0.1762199482550552,0,1,0,0,4,1,0,0,0,0.0219666957855224,0.8703624002928069,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.7755345987534,-0.4158240788241494,-192.02755960099225,344.9676557925144,273.44591423476066,1131.290988848981
3,0,0,10395,0,2,134,4584,134,14001,6,1,1,0,False,False,False,False,9060,0,0,3,1,6,0,5,2,646,94059,14483,10745,85,0,0,0,13221,868,16966,0,0,150,67,70,8,17,11,3,4,100,27,65,154052,0,4,13404,0,57,358,134,1,0,46771,4383,1278,0,0,9,0,16,1,4,1,False,0,0,45,0,0,150,0,0,0.0,1,0.2345855372654015,6,9,0,0,0.0,0.0,0,0,8,7,0,0,0,0,0,0.0,0,0,1599.2481098937862,0.0,0.0,1,2,1,43.40000006556511,0,0,1.5,2,0,1,1,0.0,0,1,0,0,0,7,0.0,0,0,2.0999999940395355,0,1.0,0,-51.40000006556511,0,0,1,0,0,0,0,0,9,0,0,0,0,0,3,51,13,0,0,0,0,6,0,9,0,0,3,1,0,0.2568219344571356,0,0,0,0,0,0,0,2,0,-0.1661077141761779,0.6240947753240305,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186.65021278019503,-0.3751763070958694,-204.88378130505436,356.4550093717856,740.4104420536985,1087.6736319016352
1,0,0,8901,0,3,168,10170,168,21173,8,2,0,0,False,False,False,False,7035,0,0,2,0,3,0,0,1,233,82418,6753,7995,112,0,0,0,16331,443,22730,0,0,130,50,54,7,14,11,5,4,200,15,77,148768,0,13,12728,0,21,265,199,1,0,50018,2091,941,0,0,10,0,14,2,3,2,False,0,0,57,0,0,0,1,0,0.6154859312508141,2,0.2842991591193493,8,6,0,0,0.0,0.0,0,0,5,16,0,0,0,0,1,857.8637230378554,0,0,1502.0933831076509,0.0,0.0,3,2,2,52.00000008940697,0,0,0.5,1,0,0,3,0.0,0,0,0,0,0,2,0.0,0,0,14.0,0,1.0,0,-35.500000059604645,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,38,11,0,0,0,0,4,0,4,0,0,3,0,0,0.1772901813331852,0,1,0,0,2,0,0,0,0,-0.1979756355285644,0.5719778619253495,3,3,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.3394952569846,-0.399442542486055,-178.99020328800125,324.38728875292526,371.0022334610479,1264.9146992905903
10,0,10,8322,0,2,720,19855,720,8635,0,1,2,1,False,True,False,False,7225,0,0,0,1,10,0,10,2,0,83409,9969,3063,114,0,0,0,12465,967,13987,0,0,136,47,51,3,10,11,2,4,200,20,55,147981,0,31,11925,0,21,295,0,1,0,52107,4501,571,1,2,0,0,17,1,1,3,True,0,0,44,0,0,0,4,0,0.3975044534538681,1,0.4435445266587309,0,1,0,1,1.0,0.0,0,0,5,19,0,0,0,0,1,715.2754808,0,0,911.3236311,0.0,1.0,4,2,1,68.5500001013279,0,1,20.0,1,0,1,1,0.0,0,0,0,0,3,5,1.0,1,0,70.3500000834465,0,4.0,1,-18.40000006556511,0,0,2,1,0,4,0,0,17,0,0,0,1,0,3,9,12,0,0,2,0,0,0,20,0,0,20,0,0,0.3667428340362933,0,1,0,0,4,2,5,0,0,-0.0571142435073852,1.120902206778574,1,1,0,821.4226421999999,0.0,3.0,700.3296257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.6497902091985,1.2509277287410836,300.025139993322,633.3644605520644,1016.345860451374,1160.1367109550858
16,1,0,15871,0,5,2254,48423,2254,21936,3,3,2,3,True,False,False,False,14950,0,1,0,3,14,0,10,3,1024,137805,23741,6293,128,0,0,0,18107,1141,19498,0,0,160,49,67,7,15,11,4,4,100,33,87,227106,0,4,14634,0,63,428,61,1,1,71193,6205,1361,0,4,5,0,15,4,2,4,True,0,0,59,1,0,300,0,0,0.7569974067379778,3,0.2440495526273155,3,0,0,3,0.0,0.0,0,0,10,3,2,0,0,0,0,0.0,1,0,1687.8306371198928,0.0,0.0,7,2,1,56.000000059604645,1,0,10.0,4,0,1,0,0.0,0,1,0,0,3,12,0.0,1,0,17.19999995827675,0,2.0,0,-45.00000008940697,0,0,3,2,0,3,0,0,28,0,0,0,1,0,3,9,19,0,1,1,0,0,0,30,0,0,12,0,1,0.320553118510109,0,1,0,0,3,4,0,2,0,-0.5420715808868408,0.5664382577993371,2,2,0,841.244461880655,0.0,2.0,1316.1172591493537,1307.4798218313267,1.0,13.95937983859585,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.28727501932039,0.6043260369657253,127.15730789567056,547.2350007676691,1105.1345786582629,965.2508753959024
10,0,0,6898,0,5,561,11793,561,7110,3,3,2,1,False,False,False,False,7450,0,0,0,1,7,0,7,2,688,56741,9042,5011,79,0,0,0,10780,1204,11663,0,0,95,43,39,3,10,11,2,4,100,11,52,102008,0,14,10731,0,38,209,22,1,0,34487,3099,269,0,0,0,0,16,4,2,4,True,0,0,34,0,0,0,1,0,0.6567547777979503,3,0.2845023146264543,3,2,0,1,0.0,0.0,0,0,3,5,0,0,0,0,1,652.4748093930381,0,0,957.1381820642422,0.0,0.0,2,2,1,40.000000059604645,0,0,5.666666666666667,0,0,1,1,0.0,0,1,0,0,6,22,0.0,0,0,54.79999995231629,2,2.0,1,-25.000000089406967,0,0,2,0,0,1,0,0,13,0,0,0,0,0,1,12,12,0,1,1,0,2,0,17,0,0,14,0,0,0.2474764851608738,0,0,0,0,1,0,0,1,0,-0.2454889416694641,1.0046463175910376,2,2,0,633.9210247005942,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.89885376179184,0.5014949868208088,95.34673436930628,547.0056568747972,836.6816986371668,1062.1036952131203
13,1,0,13582,0,6,2468,43435,2468,18222,4,3,0,2,False,False,False,False,11025,0,1,0,1,3,0,3,1,821,104908,11456,7479,137,0,0,0,22262,555,20615,0,0,187,71,78,8,17,11,4,4,200,22,85,194963,0,11,17317,0,20,398,140,1,0,67792,4074,2659,1,6,2,0,21,5,1,5,True,0,0,57,1,0,0,1,0,0.6705742345687176,3,0.2934246900240932,4,15,0,2,0.0,0.0,0,0,7,11,0,0,0,0,0,0.0,0,0,1655.5403669661994,0.0,1.0,5,2,1,64.00000008940697,0,0,4.0,2,0,1,2,0.0,0,0,0,0,1,6,0.0,0,0,32.400000005960464,5,3.0,0,-51.50000008940697,0,0,0,0,0,0,0,0,12,0,0,0,2,0,4,80,13,0,0,2,0,0,1,16,0,0,2,0,1,0.1939277099946144,0,2,0,0,2,6,5,0,0,-0.1813993453979492,0.7729578334279078,1,0,0,626.4119223338764,0.0,0.0,0.0,1277.3200598964015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.21288982981449,0.217451659399707,88.57530926214733,412.215862335378,582.9878988506146,1114.620964139665
4,0,0,8392,0,1,0,4476,0,10628,2,0,0,0,False,False,False,False,7200,0,0,0,1,3,0,2,1,610,72266,6645,4470,111,0,0,0,16444,474,17115,0,0,122,49,37,4,11,11,2,4,100,10,96,138126,0,4,12791,0,23,246,16,1,0,49415,1890,393,0,0,4,0,8,0,1,3,False,0,0,65,0,0,150,0,0,0.0,0,0.3255856894394872,2,0,0,0,0.0,0.0,0,0,3,6,0,0,0,0,0,0.0,0,0,1188.361046327078,0.0,0.0,1,2,1,54.00000008940697,0,0,3.5,0,0,0,0,0.0,0,1,0,0,1,4,0.0,0,0,4.000000029802322,0,1.0,0,-47.500000059604645,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,6,7,0,1,3,0,0,0,7,0,0,5,0,0,0.2132372190421564,0,0,0,0,0,0,0,0,0,-0.5385312438011169,0.4463077272278958,1,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.98009181195613,-0.2019588245018456,-16.76258243365319,376.9561459326949,454.91225219040734,1109.7132509315163
