assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,0,13411,0,5,576,25063,576,52119,7,4,0,2,True,False,False,False,9900,0,1,1,1,3,3,2,1,388,117663,13050,17785,115,0,0,0,26376,1633,22360,0,0,139,66,92,11,5,4,16,11,200,69,88,177364,0,8,22725,2267,39,576,224,5,0,33325,584,694,0,3,6,0,37,4,3,7,True,0,0,61,0,0,0,0,0,0.8720827790215345,4,0.2672432689646994,7,18,0,3,0.0,2267.3037109375,0,0,96,4,1,1,0,0,1,668.8620039991789,1,4,2020.2081382529825,0.0,0.0,13,2,1,39.6000000834465,0,0,2.142857142857143,3,0,0,0,0.0,0,0,0,10,0,6,0.0,0,1,16.600000083446503,1,1.0,0,-31.50000002980232,0,0,0,0,0,1,0,0,13,0,0,0,0,0,2,95,17,0,0,3,0,4,0,15,0,0,3,0,0,0.1132692382783281,0,0,0,0,0,3,0,1,0,0.054141879081726,1.1196911636074909,3,1,3,369.5531613280924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.9808367690825,-0.2375992804459693,-92.15882090298037,312.59155333672845,453.4582267311325,1212.9443266766737
5,0,1,8533,0,3,0,14763,0,13961,2,2,1,1,True,False,False,False,6450,0,0,0,1,3,0,2,2,549,79691,5672,4442,104,0,0,0,18765,1348,12121,0,0,101,33,57,5,3,4,14,11,100,47,71,124277,0,8,11479,713,5,442,43,4,0,25820,625,281,0,0,2,0,19,2,3,4,True,0,0,55,0,0,0,0,0,0.6557152500213159,2,0.3138350692062346,2,0,0,1,0.0,713.27392578125,0,0,53,2,0,1,0,0,0,0.0,0,0,1221.7945075915973,0.0,1.0,8,2,1,52.500000059604645,0,0,4.0,1,0,0,2,0.0,0,0,0,6,1,1,0.0,0,0,8.0,3,1.0,0,-53.00000008940697,0,0,1,0,0,0,0,0,7,0,0,0,1,2,3,7,17,0,0,2,0,1,0,8,0,0,4,0,0,0.1946537713786099,0,1,0,0,0,0,0,0,0,-0.089948296546936,0.9673354559634252,3,3,0,766.3987493062261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.66256786535568,0.0,-47.585743460744176,356.5247652476808,375.43138158657297,827.2258499445155
9,0,3,7863,0,4,0,21759,0,12886,0,3,0,1,False,False,False,False,7425,0,0,0,1,3,0,3,1,0,78294,5873,3445,99,0,0,0,16526,741,10038,0,0,89,45,64,6,12,11,2,4,100,41,68,126447,0,2,10008,0,19,424,0,1,0,31625,1106,162,1,1,1,0,27,3,5,4,True,0,0,48,0,0,0,0,0,0.2197465522211008,3,0.2345997752919681,0,0,0,2,0.0,0.0,0,0,50,5,0,0,0,0,1,832.8915334999999,0,0,1162.5742521,0.0,0.0,12,2,0,52.000000059604645,0,0,12.0,2,0,1,0,0.0,0,1,0,7,1,6,0.0,0,0,4.0,0,1.0,0,-54.100000113248825,0,1,0,0,0,0,0,0,10,0,0,0,2,0,3,2,11,0,0,1,0,4,0,12,0,0,7,0,0,0.1739372309642227,0,2,0,0,1,1,10,0,0,0.5023828744888306,1.4434729239227186,5,5,0,548.159421,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.44353614108396,0.3096576406622794,-34.47521732706711,422.06336422268686,398.47777392557657,704.2646940795775
4,0,0,8269,0,6,669,15258,669,27419,6,4,0,0,False,False,False,False,8125,0,0,1,1,4,0,2,1,541,81758,7547,11549,92,0,0,0,16081,276,15091,0,0,81,22,59,11,2,4,15,11,200,31,74,131227,0,4,10479,0,6,405,131,1,0,33388,691,1387,0,2,10,0,20,5,2,12,False,0,0,60,0,0,300,1,0,0.5960641519484723,4,0.2980502110437844,6,2,0,0,0.0,0.0,0,0,39,1,0,0,0,0,0,0.0,0,0,1442.1344419776929,0.0,0.0,7,1,0,39.75000008940697,0,2,1.3333333333333333,0,0,0,2,0.0,0,1,0,5,1,2,0.0,0,0,4.000000029802322,0,1.0,0,-46.500000059604645,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,11,22,0,0,8,0,0,1,8,0,0,5,0,0,0.1731776951007207,0,1,0,0,4,2,5,0,0,-0.4379050731658935,0.8665662320266392,2,2,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.1983181292462,-0.582469966425636,-162.1762806519378,349.35716486257604,354.26655457959214,1166.0632677865212
21,1,0,13839,0,7,517,26076,517,43787,8,4,0,2,False,False,False,False,10100,1,2,1,0,1,0,0,1,671,118369,13954,8853,128,0,0,0,27828,870,34148,0,0,159,43,93,13,21,11,9,6,200,71,83,186507,0,14,28226,4282,21,628,200,5,0,40310,3640,4987,1,3,10,0,27,6,4,4,False,1,0,44,1,0,0,1,0,0.8640269964486123,4,0.294539847300155,8,5,0,3,0.0,4282.74169921875,0,0,91,14,1,1,0,0,0,0.0,1,13,2106.7127930289653,0.0,0.0,12,2,1,44.000000059604645,0,0,2.75,1,0,0,0,0.0,0,0,3,7,2,4,0.0,0,0,11.000000029802322,0,1.0,0,-26.0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,3,32,31,0,0,0,0,0,0,22,0,0,3,0,1,0.1366661862764414,0,1,0,0,1,3,0,0,0,-0.2501067519187927,0.7959252053371262,4,3,0,389.9130183057332,0.0,0.0,0.0,1714.2624478149369,0.0,11.267380638666737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.61921052169768,0.085441167204003,19.509066511580688,298.0757519856985,525.8903841406385,1366.7453909843
1,0,0,5,0,1,0,0,0,158,0,0,0,0,True,False,False,False,500,0,0,0,0,0,0,0,0,0,109,45,16,0,0,0,0,612,100,327,0,0,0,2,0,0,1,11,1,4,200,1,0,1480,0,0,179,23,0,3,0,3,0,759,0,0,0,0,0,0,0,0,0,1,True,0,0,0,0,0,0,0,0,0.0,0,0.5071201300774403,0,0,0,0,0.0,23.03717041015625,0,0,1,0,0,0,0,0,0,0.0,0,1,104.74803718933649,0.0,1.0,1,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0.174792885358385,0,0,0,0,0,0,0,0,0,0.0,0.3879621522734224,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7761393191515,0.5728030959811444,2.8640154799057225,312.1776873097237,83.6292520132471,197.0442650175137
5,0,0,8882,0,4,0,18646,0,20017,7,2,0,0,False,False,False,False,6875,0,0,1,0,0,0,0,0,554,95816,8242,8987,95,0,0,0,16594,1032,17934,0,0,110,46,45,6,11,4,17,11,100,45,73,149175,0,4,11143,0,25,472,184,1,0,36764,349,590,0,0,5,0,25,3,7,2,False,0,0,55,0,0,0,0,0,0.7307746789167725,2,0.2580683374408308,7,8,0,0,0.0,0.0,0,0,64,6,1,1,0,0,1,682.6748525439777,0,0,1425.557451227475,0.0,0.0,2,1,1,37.6000000834465,0,0,0.7142857142857143,0,0,0,0,0.0,0,0,3,2,1,8,0.0,0,0,5.000000029802322,0,1.0,0,-41.00000002980232,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,45,15,0,0,0,0,0,0,5,0,0,2,0,0,0.1457832672427624,0,2,0,0,0,0,0,0,0,-0.0713789463043212,1.084594634154492,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-122.14169260598662,-0.5050655793493588,-135.27339766906994,293.65354559337305,405.0625946381858,1157.9470182549633
17,0,0,14032,0,10,0,29635,0,56231,14,7,0,2,False,False,False,False,11975,0,0,3,1,4,0,2,1,381,187903,24716,18721,132,0,0,0,21458,1524,38239,0,0,168,42,101,20,21,11,6,4,200,89,90,262509,0,10,25540,2214,43,973,319,4,0,53146,3700,6324,0,0,8,0,38,9,8,9,False,1,0,77,0,0,600,0,0,0.2862773339885958,7,0.3358816110394393,14,21,0,2,0.0,2214.32666015625,0,0,120,8,0,1,0,0,0,0.0,0,0,2140.5892853378145,0.0,1.0,16,2,1,54.80000007152557,0,0,1.5,0,0,0,0,0.0,0,0,1,11,3,1,0.0,0,0,4.000000029802322,0,1.0,0,-40.70000007748604,0,0,0,0,0,1,0,0,17,0,0,0,1,0,4,108,34,0,0,2,0,0,0,21,0,0,9,0,0,0.253474711561457,0,1,0,0,2,0,0,1,0,0.054436445236206,1.0761418924891486,8,2,1,400.3549445684288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.55477882332158,-0.1681779884006039,-98.15988589648585,360.8819334429626,839.236191783747,1773.8293029906365
1,0,0,4551,0,2,0,1186,0,9952,7,1,0,0,False,False,False,False,3675,0,0,0,0,0,0,0,0,214,40314,2623,6351,60,0,0,0,15111,807,8728,0,0,51,19,35,4,10,11,3,4,200,18,54,71020,97,0,6423,106,7,256,113,4,0,15594,404,685,0,0,4,0,13,1,0,8,False,0,0,38,0,0,0,0,0,0.7450918548412983,1,0.3319207400355409,7,2,0,0,0.0,203.71046447753903,0,0,21,0,0,0,0,0,0,0.0,0,0,981.1374907,0.0,0.0,1,2,1,40.750000059604645,0,0,0.1428571428571428,0,0,0,0,0.0,0,0,0,1,1,3,0.0,0,0,4.0,0,1.0,0,-41.00000008940697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,7,0,0,0,1,0,0,1,0,0,0.1323379240382106,0,0,0,0,1,0,0,0,0,-0.0640535950660705,0.8183559006325836,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.0108063647557,-0.7949956121272086,-197.4646793506736,249.99554325969453,234.52370557752656,964.1462169844284
8,0,0,11181,0,4,0,21191,0,27922,7,3,0,0,False,False,False,False,9075,0,0,2,1,3,4,2,1,432,128440,19797,20057,89,0,0,0,14923,1549,19538,0,0,129,29,74,10,17,11,5,4,200,82,64,176491,0,0,15526,1644,32,576,225,5,0,33127,3084,1961,1,1,10,0,25,3,4,5,False,0,0,60,0,0,0,0,0,0.2904646765349011,3,0.2461903095660639,7,3,0,0,0.0,1644.509033203125,0,0,104,2,0,0,0,0,0,0.0,0,2,1866.727168186,0.0,0.0,4,1,2,40.00000008940697,0,0,1.5714285714285714,0,0,0,2,0.0,0,0,0,4,0,5,0.0,0,0,9.000000059604645,0,1.0,0,-125.10000017285348,0,0,0,0,0,0,0,0,9,0,0,0,1,0,4,19,38,0,0,2,0,0,0,11,0,0,3,0,0,0.2085975383462981,0,1,0,0,0,1,5,1,0,-0.1257781386375427,0.8267576031001703,5,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263.0164752340921,-0.6749781229275248,-224.96056582713075,302.1330645485111,785.2566914877312,1335.7174216428166
