assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,15430,0,6,600,53379,600,39343,8,5,3,3,True,False,False,False,13375,0,1,0,5,13,0,3,2,431,257,257,13731,167,0,0,0,202567,18349,13885,0,0,89,60,53,9,20,11,4,4,100,9,93,268990,0,34,9967,0,22,246,227,1,0,66166,6896,507,2,3,1,0,33,5,6,6,True,0,0,49,0,0,0,2,0,0.7473821381301777,5,0.2187751885868641,8,23,0,4,0.0,0.0,0,0,0,26,0,3,0,0,1,645.837862568142,0,4,1987.166538429372,0.0,0.0,0,3,1,44.00000002980232,1,0,2.5,3,0,2,7,0.0,0,0,0,0,0,4,0.0,0,0,9.199999988079073,0,2.0,0,-16.500000059604645,0,0,3,0,0,2,0,0,16,0,0,0,2,0,5,117,0,0,2,1,0,0,0,20,0,0,9,0,0,0.2388956942137309,0,2,0,0,2,3,15,0,0,0.582277774810791,1.0046834393436967,6,4,0,869.3052456909988,2.0,2.0,0.0,0.0,0.0,31.644552069157044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15726005723024,0.0603874902678495,-20.682715416738475,445.7804531572655,770.0310821504837,849.1386944013666
9,1,6,14817,0,5,2682,42954,2682,23682,4,3,0,2,False,False,False,False,11925,0,0,0,1,8,562,6,1,551,105,105,4367,131,1,0,0,128963,11437,17328,0,0,67,38,39,8,15,11,3,4,100,7,61,169204,0,24,10138,0,28,165,79,1,0,40135,5285,1035,1,5,1,0,46,4,11,4,True,0,0,34,1,0,0,2,0,0.7477047181898901,3,0.2257299815145845,4,8,0,3,0.0,0.0,0,0,0,6,3,0,1,1,1,763.8873781713095,0,0,1571.80911889507,0.0,0.0,0,3,1,47.60000002384186,0,1,4.25,1,0,1,3,0.0,0,0,0,0,0,4,0.0,0,0,4.249999970197678,3,3.0,0,-39.50000011920929,0,0,0,0,0,2,0,0,12,0,0,0,2,0,5,43,0,0,3,1,1,2,1,17,0,0,5,0,1,0.2012778283666059,0,2,0,0,5,5,5,0,0,2.824416399002075,1.7713186002831804,11,4,0,476.70976355407146,0.0,0.0,0.0,1293.1284003500425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,126.00766697372876,0.1145177221815165,143.71974133780333,499.9080298963804,642.4062488642476,867.7007809693512
5,0,0,11924,0,11,0,5818,0,23486,11,6,1,0,False,False,False,False,11225,0,0,1,2,8,514,2,2,220,112,112,7544,127,0,0,0,122721,10900,18429,0,0,52,45,34,8,13,11,3,4,200,5,107,160212,0,8,8763,0,31,101,317,1,0,37378,5007,1990,0,0,8,0,32,6,8,7,False,0,0,72,0,0,300,1,0,0.5996646988567523,6,0.2324781117762792,11,5,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0.0,0,0,1569.4555837500736,0.0,0.0,0,2,1,64.00000008940697,0,0,1.181818181818182,0,0,0,3,0.0,0,0,1,0,0,5,0.0,0,0,10.400000005960464,0,1.0,0,-49.000000059604645,0,0,1,0,0,2,0,0,9,0,0,0,0,0,1,33,0,0,4,1,0,0,0,13,0,0,9,0,0,0.2084997799789807,0,0,0,0,0,0,0,1,0,0.431713342666626,1.2577076670652156,8,2,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228.5760767710437,-0.7645963431043441,-166.79669224821268,444.1157858921583,612.4416708265796,1069.058606928494
5,0,2,7777,0,5,5595,35997,5595,8002,2,4,0,2,False,False,True,False,9400,0,0,0,3,7,0,3,1,486,47,47,2511,96,0,0,0,93488,7836,9117,0,0,46,46,29,6,11,11,3,4,100,5,56,125115,0,6,6319,0,25,153,37,1,0,31579,3121,397,2,3,1,0,18,4,1,5,True,0,0,30,0,0,0,1,0,0.7004052699823773,4,0.2686705870975522,2,0,0,2,0.0,0.0,0,0,0,3,0,3,0,0,1,569.4745878,0,0,1037.5141715,0.0,0.0,0,2,1,48.00000002980232,0,1,6.0,1,0,1,2,0.0,0,0,0,0,0,8,1.0,0,0,20.99999997019768,1,2.0,0,-37.40000003576279,0,0,0,0,0,0,0,0,7,0,1,0,2,0,4,1,0,0,3,1,0,2,0,12,0,0,10,0,0,0.2367515744162318,0,2,0,0,5,3,10,0,0,0.0800815820693969,1.0924451404067408,1,1,2,391.8270081,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.51534705374385,0.2891526768894838,90.09997411876316,587.5004089040532,636.4250418337539,695.4121879192086
3,0,0,9482,0,4,3351,12704,3351,17781,6,2,0,0,False,False,True,False,8450,0,0,1,0,4,398,0,1,614,0,0,2911,105,0,0,0,110100,4637,13556,0,0,55,50,38,6,16,11,3,4,100,3,94,155346,0,0,6282,0,26,107,145,1,0,45245,3060,563,1,2,7,0,15,3,3,5,False,0,0,62,0,0,150,0,0,0.0,2,0.1912931900491369,6,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,870.7976964443069,0,0,1498.8338281616489,0.0,0.0,0,2,1,47.500000059604645,1,0,1.1666666666666667,2,0,0,0,0.0,0,1,1,0,0,1,0.0,0,0,3.9999999701976776,0,1.0,0,-45.00000011920929,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,25,0,0,1,3,0,0,0,7,0,0,4,0,0,0.1597374589276116,0,0,0,0,0,2,0,1,0,-0.5293271541595459,0.6340269729215104,3,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.32421643374433,-0.2802178547805655,-111.04633273732696,365.80439385497255,308.1195468922876,681.7700406811159
12,1,1,19842,0,11,2289,43494,2289,46223,8,7,1,1,False,False,False,False,19125,0,1,2,1,10,424,7,2,771,690,458,8596,160,0,0,0,186852,18556,25452,0,0,78,78,54,13,4,4,23,11,200,12,122,267826,0,10,14123,0,38,216,270,1,0,80283,11171,391,0,3,10,0,42,9,8,9,True,0,0,84,1,0,1050,2,0,0.7846559486048128,7,0.2225269116261957,8,3,0,1,0.0,0.0,1,0,0,4,1,0,0,0,0,0.0,0,6,2423.155710530368,0.0,0.0,0,2,1,56.000000059604645,1,0,2.75,4,0,1,2,0.0,0,0,1,0,0,3,0.0,0,1,20.49999997019768,19,2.0,0,-43.50000008940697,0,0,1,0,0,1,0,0,14,0,0,0,1,0,2,23,0,0,1,2,0,4,0,22,0,0,5,0,2,0.1943816341495638,1,1,0,0,3,3,0,1,0,-0.1575336456298828,1.0513879109839692,8,4,2,2180.745765405136,0.0,1.0,0.0,1486.6748855270885,0.0,9.699241789217922,0.0,0.0,0.0,0.0,1.0,0.0,2180.745765405136,0.0,128.75771814585988,0.1485665978606075,61.97703240751679,474.5217135667805,747.4385538367167,852.7970328195308
4,0,0,12265,0,5,896,33430,896,24873,7,3,2,1,False,False,False,False,11925,0,0,1,3,8,0,3,2,524,187,187,8310,144,0,0,0,153505,12993,18046,0,0,63,61,46,9,14,11,3,4,100,11,110,209105,0,0,10518,0,33,188,253,1,0,55413,5279,228,1,1,5,0,25,3,6,4,False,0,0,66,0,0,375,0,0,0.6289232142398002,3,0.2312723330459344,7,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,1,874.9627894175421,0,0,1718.8744806203435,0.0,0.0,0,2,1,60.000000059604645,0,0,1.7142857142857142,0,0,1,1,0.0,0,1,1,0,0,4,0.0,0,0,28.80000001192093,0,1.0,0,-40.000000059604645,0,0,2,0,0,5,0,0,8,0,0,0,1,0,5,5,0,0,2,1,0,2,0,12,1,0,7,1,0,0.2242346844060323,0,1,0,0,1,1,5,1,0,-0.1227771043777465,0.9044931523374726,6,3,1,1101.9326093253785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.52697205752963,-0.4188787535784179,-137.2526049225283,433.5046033908644,644.3751492547996,927.9560654273886
12,1,4,12549,0,6,1035,51785,1035,17656,3,5,1,3,True,False,False,False,10275,0,1,0,2,7,0,4,2,441,173,173,5941,122,0,0,0,118808,10640,13232,0,0,59,57,40,6,4,4,14,11,100,5,78,168895,0,6,10445,0,17,155,77,1,0,49913,3201,1417,0,1,1,0,28,5,3,7,True,0,0,44,1,0,0,1,0,0.4749658088159703,5,0.2741766890318649,3,0,0,3,0.0,0.0,0,0,0,2,0,0,0,0,1,749.903811750221,1,0,1404.0492429627095,0.0,0.0,0,2,1,42.000000059604645,0,0,6.333333333333333,4,0,1,1,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,2.0,0,-57.00000011920929,0,0,1,0,0,1,0,0,15,0,0,0,2,0,3,5,0,0,1,2,0,0,0,19,0,0,9,1,1,0.1977198246422091,0,2,0,0,2,1,0,0,0,0.4163892269134521,1.2283239986169765,3,3,0,542.322763342722,0.0,0.0,0.0,1265.8536384532538,0.0,19.816327501753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.45738376600325,0.5128025271255552,123.37174131762316,504.8540879551091,598.9106181387214,879.9264030035256
9,0,1,12330,0,1,1670,29454,1670,14428,3,0,1,3,False,False,False,True,11300,0,0,0,3,10,0,4,2,565,134,134,4095,147,0,0,0,150264,9593,13291,0,0,72,51,46,8,4,4,14,11,200,7,108,197875,0,10,10762,0,12,255,84,1,0,47476,4325,1614,1,1,1,0,12,0,2,1,True,0,0,69,1,0,0,0,0,0.0,0,0.2921675655322599,3,2,0,3,1.0,0.0,0,0,0,14,0,1,0,0,1,916.257544936608,1,0,1323.5909758418331,0.0,1.0,0,2,1,60.000000059604645,0,0,6.333333333333333,2,0,2,7,0.0,0,0,0,0,0,2,1.0,0,0,29.000000089406967,1,3.0,0,-45.000000059604645,0,0,1,0,0,1,0,0,14,0,0,0,0,0,2,15,0,0,1,1,0,0,1,19,0,0,10,0,1,0.2857435833023983,0,0,0,0,1,1,0,0,0,-0.2119779586791992,0.5480833925756258,2,2,0,624.456174571067,0.0,2.0,0.0,1231.5934487190648,1.0,16.547325472080047,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,170.85338607432703,0.7706308207120084,166.5922509480371,537.7189879579909,637.0850326050921,861.3386014322866
0,0,0,4743,0,1,0,1593,0,7504,4,0,0,0,False,False,False,False,3025,0,0,0,0,0,0,0,0,297,0,0,4658,76,0,0,0,50680,1078,7461,0,0,32,12,21,3,9,11,2,4,200,2,65,71426,0,0,5101,0,0,66,79,1,0,20745,815,117,0,0,2,0,7,0,0,2,False,0,0,42,0,0,0,0,0,0.0,0,0.308669316801317,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,926.3870335466988,0.0,0.0,0,2,1,60.000000059604645,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,4.0,0,1.0,0,-53.50000008940697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0930883393902229,0,0,0,0,0,0,0,0,0,-0.4201031327247619,0.4833321204191473,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0149830850671,-0.3238387295334236,-100.26047066354792,261.0787837498461,122.60534300135416,792.5629066601009
