assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
14,0,0,17937,0,8,4820,36706,4820,47569,5,6,0,2,False,False,False,False,13150,1,1,0,2,7,0,4,1,823,30213,2921,8262,175,1,0,0,161616,20485,29300,0,0,195,50,111,23,21,11,5,4,200,27,121,252644,0,14,17912,0,22,162,130,1,0,60814,1308,2182,1,3,3,0,34,6,5,8,True,0,0,89,0,0,0,1,0,0.7209862890175103,6,0.2760327510237323,5,20,0,2,0.0,0.0,0,0,34,5,2,0,1,1,0,0.0,0,3,2061.5752096,0.0,0.0,8,2,1,62.00000002980232,1,0,4.2,1,0,1,0,0.0,0,1,1,0,0,0,0.0,0,0,39.70000004768372,7,3.0,0,-34.500000059604645,0,0,0,0,0,1,0,0,11,0,0,0,2,0,4,105,0,0,2,2,0,6,0,21,0,0,4,0,0,0.1941036490771835,0,2,0,0,1,3,0,0,0,-0.1818045973777771,0.9947226948810896,5,2,0,1528.6183664,0.0,1.0,0.0,0.0,0.0,14.11490189999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.49008888120846,0.2037277117246142,125.26343875181996,407.3972155315929,719.3043421819772,1156.7368432135418
15,0,0,12959,0,8,0,20415,0,39839,6,6,0,1,False,False,False,False,10250,0,0,2,0,4,0,0,1,574,19694,1745,11858,117,0,0,0,99220,11054,19714,0,0,137,35,93,21,18,11,5,4,200,17,104,153863,0,0,13342,0,29,207,127,1,0,34948,693,1394,0,0,7,0,24,6,4,8,False,0,0,63,0,0,600,0,0,0.7201675022846651,6,0.2324098764112984,6,6,0,1,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,1,1737.597372629716,0.0,0.0,9,2,1,50.000000059604645,0,0,3.1666666666666665,2,0,0,1,0.0,0,0,0,0,0,17,0.0,0,0,12.0,0,1.0,0,-41.50000011920929,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,35,0,0,0,2,0,4,0,19,0,2,7,1,0,0.1844666410906657,0,0,0,0,0,0,0,0,0,-0.1714464426040649,0.8346350260078061,4,2,0,1514.4671647141515,0.0,1.0,0.0,0.0,0.0,17.214819092208927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.02227488114488,-0.1726521947636084,-90.53881093403626,366.1953050936135,465.9537432280264,1138.330450515423
22,1,0,17782,0,6,1646,32060,1646,56630,9,5,1,2,False,False,False,False,13025,0,0,1,2,9,0,3,2,383,30248,3519,13799,140,0,0,0,138262,20955,24226,0,0,189,41,114,37,21,11,5,4,200,29,95,217702,0,8,16763,0,35,129,214,1,0,49191,1046,3404,0,1,5,0,42,5,10,7,True,0,0,59,1,0,150,0,0,0.3660065527872241,5,0.2742449452833549,9,2,0,3,0.0,0.0,0,0,43,7,1,1,0,0,0,0.0,1,6,2021.823570892832,0.0,0.0,13,1,1,36.0,2,0,3.4444444444444446,0,1,1,0,0.0,0,1,1,0,0,3,0.0,0,1,21.999999940395355,6,2.0,0,-32.000000059604645,0,0,1,0,0,3,0,0,21,0,0,0,0,0,5,15,0,0,0,2,0,6,0,31,0,0,7,0,1,0.1809918965433928,0,0,0,0,0,1,0,1,0,0.2586556673049927,1.2702648897436664,10,6,3,708.2510628041912,0.0,1.0,0.0,1864.3944188666887,0.0,17.150763664204533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.96578478197543,0.1780570793528858,80.33341896804366,427.7821331453082,757.3361108476078,1229.4841329316766
14,1,0,15993,0,6,7554,38913,7554,32736,4,5,0,1,True,False,False,False,12175,1,1,0,3,9,0,3,1,805,16876,1248,8372,127,0,0,0,142210,18035,19616,0,0,170,57,95,16,24,11,5,4,100,24,89,204012,0,10,15178,0,37,150,114,1,0,44925,1621,4281,4,5,4,0,39,5,9,6,True,0,0,56,1,0,150,0,0,0.4977791773500447,5,0.232299044457866,4,5,0,4,0.0,0.0,0,0,34,3,2,0,0,0,0,0.0,0,2,1998.7446319,0.0,0.0,14,1,1,38.00000002980232,0,0,5.75,11,0,3,1,0.0,0,0,0,0,0,9,0.0,0,0,15.599999904632568,0,2.0,0,-37.500000059604645,0,0,0,0,0,2,1,0,9,0,0,0,0,0,4,34,0,0,1,1,0,0,0,23,0,0,7,1,1,0.1792712239943688,0,0,0,0,0,5,0,1,0,-0.1877461671829223,1.1924738462395963,9,2,1,557.8956021,0.0,0.0,0.0,1858.0627995,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.87444381313413,0.2701695811368748,108.84832235581202,420.5039436183714,627.5438992962631,968.708042587439
13,1,7,16368,0,5,1928,50858,1928,31931,2,3,1,2,False,False,True,False,14150,0,0,0,2,14,0,7,3,546,18089,1875,10977,150,0,0,0,145537,20664,20361,0,0,194,63,107,24,19,11,3,4,100,28,91,211926,0,22,17796,0,23,263,40,1,1,48299,1599,2917,2,4,4,0,30,4,6,5,True,0,0,61,1,0,450,3,0,0.7633666109227123,3,0.3215113590755932,2,1,0,2,0.0,0.0,0,0,33,9,1,0,0,0,1,830.7729075409964,0,0,1628.2678122244229,0.0,0.0,14,3,1,56.000000059604645,1,1,13.5,1,0,2,2,0.0,0,2,0,0,0,1,1.0,0,0,13.0,3,3.0,0,-29.000000089406967,0,1,2,0,0,2,0,0,11,0,0,0,2,0,3,10,0,0,5,2,0,2,0,27,0,0,14,0,1,0.264570328767581,0,2,0,0,2,4,10,0,0,0.12839937210083,1.1146455804536692,10,3,0,732.4233392484545,0.0,2.0,0.0,1530.4987970980972,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,195.29956780609157,0.5527346258662968,160.84577612709236,558.9252536759993,889.4974089191026,1262.298489578391
10,2,0,15947,0,9,1356,21787,1356,43260,8,7,1,2,False,False,False,False,11950,0,0,1,1,5,0,3,2,753,26974,3255,10332,158,1,0,0,109571,9854,22337,0,0,153,48,95,16,19,11,6,4,100,18,102,185607,0,14,12245,0,22,170,260,1,0,49061,632,2312,1,2,5,0,38,8,7,9,True,0,0,72,2,0,150,2,0,0.8752520852367669,7,0.2113529371019436,8,3,0,2,0.0,0.0,0,0,24,6,1,0,1,0,1,1124.2740787062733,0,0,2096.57000045618,0.0,0.0,6,3,2,42.80000004172325,0,0,1.875,0,0,1,2,0.0,0,1,1,0,0,8,0.0,0,1,49.79999998211861,4,2.0,0,-20.70000004768372,0,0,1,1,0,1,0,0,7,0,0,0,1,0,5,20,0,0,0,2,0,7,0,15,0,0,3,0,2,0.1184748434582727,0,1,0,0,0,2,0,0,0,3.286769390106201,1.1075876720330402,7,1,0,1011.8653808723684,0.0,1.0,0.0,1466.343761737134,0.0,28.24902985698759,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.93624347667261,-0.3434180589454869,16.85610305990765,362.7353247611706,393.27091383574015,1001.120878169252
11,0,3,12559,0,3,1369,25537,1369,24369,2,1,4,2,False,True,False,True,9750,0,0,0,2,12,4,8,2,836,20550,2401,7086,116,0,0,0,106361,18426,17092,0,0,142,43,90,14,5,4,16,11,100,19,68,160220,0,17,15370,0,25,182,45,1,0,33307,832,630,2,3,1,0,17,2,3,2,True,0,0,36,1,0,0,1,0,0.1091619867836294,1,0.3169634189415332,2,0,0,2,0.0,0.0,0,0,22,12,0,0,0,0,1,958.4971962,0,1,1361.2013447,0.0,0.0,11,1,1,48.00000002980232,0,0,11.5,3,0,2,2,0.0,0,0,0,0,0,6,1.0,1,0,43.24999994039536,1,3.0,0,-36.00000008940697,0,0,4,1,0,1,0,0,14,0,0,0,1,0,3,8,0,0,1,1,0,6,1,23,0,0,7,0,1,0.3214613691560825,0,1,0,0,0,3,5,0,0,-0.0304645895957946,0.7789134430782693,3,2,0,356.8881961,0.0,1.0,1063.1565835,1343.5372637,1.0,22.116457299999865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.4143739249863,0.7934167889306817,214.8396349582301,563.1055265883033,954.7448693465868,1093.54872869896
9,1,0,13468,0,10,2018,37671,2018,38224,5,8,0,2,False,False,False,False,13025,0,0,1,1,6,0,4,1,761,13263,1480,15891,131,0,0,0,116084,18640,27605,0,0,158,42,92,18,24,11,3,4,200,20,73,179476,0,14,18801,0,22,174,160,1,0,50127,1608,1200,1,2,8,0,45,9,8,9,False,0,0,50,1,0,900,1,0,0.7219062573103389,8,0.3010431163483212,5,3,0,2,0.0,0.0,0,0,22,6,0,0,0,0,1,943.1498272,0,1,2009.5370773,0.0,0.0,6,2,1,52.00000002980232,1,0,3.0,0,0,1,3,0.0,0,0,1,0,0,0,0.0,0,0,11.249999970197678,0,1.0,0,-42.500000059604645,0,0,0,0,0,1,0,0,11,0,0,0,2,0,5,22,0,0,0,1,0,7,0,15,0,0,5,0,1,0.2414956213482339,0,2,0,0,1,2,5,0,0,-0.1118900179862976,1.3475652102258031,8,3,6,422.5652732,0.0,0.0,0.0,1617.2028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.285720682034617,0.0,-60.84983520895995,388.8656789801248,648.7762852087786,1334.5461650318366
10,1,0,12790,0,5,1145,41678,1145,23037,3,4,0,3,True,False,False,False,9500,0,1,0,1,4,0,3,1,740,19800,1204,6653,146,0,0,0,113011,8996,18990,0,0,156,41,84,15,19,11,2,4,100,13,73,188178,0,34,12911,0,21,171,43,1,0,55366,564,590,1,2,1,0,33,4,7,5,True,0,0,49,1,0,0,2,0,0.7981638930362037,4,0.2696079106830139,3,18,0,3,0.0,0.0,0,0,18,28,0,3,0,0,1,654.8433164026965,0,4,1629.7743027374258,0.0,0.0,8,2,1,51.6000000834465,0,0,4.666666666666667,2,0,1,1,0.0,0,0,1,0,0,9,0.0,0,0,46.20000010728836,0,2.0,0,-36.400000005960464,0,1,0,0,0,1,0,0,6,0,0,0,2,0,3,94,0,0,0,1,0,0,0,14,0,2,4,0,1,0.1081638887802734,0,2,0,0,0,2,10,0,0,0.8308558464050293,1.2161518725256828,7,4,0,888.7727532439194,1.0,0.0,0.0,1484.468953677519,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.665992053303743,0.0736298270247873,81.8027378245387,396.27572904740526,396.3125439609177,965.8024410841352
11,0,3,11505,0,3,4048,32795,4048,22676,1,2,1,3,False,True,False,False,8550,2,2,0,2,8,0,5,2,1279,16333,1768,10318,109,0,0,0,104800,12524,17615,0,0,142,28,84,15,17,11,4,4,100,11,65,156097,0,14,16050,0,24,179,39,1,0,34963,542,1333,2,4,4,0,24,2,4,5,True,0,1,40,1,0,0,0,0,0.0420996389843328,2,0.3101839988208495,1,3,0,3,0.0,0.0,0,0,15,11,0,0,0,0,1,802.3189044834901,2,0,1542.8296513263438,0.0,0.0,5,2,1,60.000000059604645,0,0,19.0,3,0,2,4,0.0,0,1,0,0,0,0,0.0,0,0,23.599999994039536,0,3.0,0,-41.00000008940697,0,0,1,0,0,3,1,0,10,0,0,0,0,0,3,17,0,0,0,3,1,2,0,19,0,0,8,0,1,0.1534674873962031,0,0,0,0,2,4,0,0,0,1.1179580688476562,0.96347617207805,4,2,0,399.18652520014905,0.0,2.0,0.0,1245.185464581417,0.0,40.70230446980463,0.0,0.0,1.0,0.0,1.0,1524.7221654109044,0.0,0.0,114.4131497915203,0.5833437276929995,154.66386700233727,423.50754630511767,576.9269466883765,1138.1813918927344
