assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,12320,0,7,426,5535,426,39304,7,5,0,0,False,True,False,False,11975,0,0,1,3,10,0,3,1,398,4153,1288,16968,106,0,0,0,135627,18587,12941,0,0,113,31,57,10,5,4,18,11,200,45,96,166930,0,0,10303,0,25,649,138,1,0,27149,1842,707,0,1,7,0,30,5,7,8,False,0,0,74,0,0,1000,0,0,0.6624202308037792,5,0.2563240529937044,7,12,0,0,0.0,0.0,0,0,53,0,0,0,0,0,0,0.0,0,1,1842.9206584959743,0.0,0.0,9,2,1,32.00000002980232,0,0,2.0,1,0,2,3,0.0,0,0,0,9,0,6,0.0,0,0,5.0,0,1.0,0,-41.000000059604645,0,0,0,0,0,2,0,0,12,0,0,0,0,0,1,67,0,0,1,3,0,4,0,14,0,0,6,2,0,0.2042766041141583,0,0,0,0,0,1,0,0,0,0.3769876956939697,0.9858803487272202,7,3,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.105973582051075,-0.097671052288762,-144.26014423050148,398.335108251001,707.0733045357777,996.830759659105
8,0,0,8594,0,7,0,17844,0,27243,5,5,0,0,False,True,False,False,7675,0,0,2,2,7,0,5,1,592,8765,1104,12445,80,0,0,0,67002,6846,9268,0,0,79,26,31,4,4,4,13,11,200,21,62,105614,0,4,5036,0,14,973,113,1,0,29846,700,875,0,0,10,0,21,5,0,6,False,0,0,47,0,0,300,1,0,0.2012767856006708,5,0.2690421571044279,5,7,0,0,0.0,0.0,0,0,26,1,0,0,0,0,1,592.7973105152134,0,0,1451.6954310919311,0.0,1.0,9,1,1,36.000000059604645,0,0,3.0,1,0,1,3,0.0,0,1,0,10,0,2,0.0,0,0,1.2000000178813934,0,1.0,0,-32.00000002980232,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,42,0,0,3,1,0,0,0,15,0,0,12,0,0,0.1456982303134395,0,1,0,0,2,0,5,0,0,1.1831910610198977,0.9001967336272283,0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.3285079169208,0.0413309835623505,-114.07351463208752,369.0856832117904,357.51300781433224,933.6255876899368
13,1,0,11256,0,7,226,24592,226,32575,6,5,1,2,False,False,False,False,11250,0,0,0,5,11,0,3,2,381,4134,1748,8144,95,1,0,0,96102,13808,16692,0,0,108,39,47,7,17,11,18,4,200,43,56,131790,0,11,9616,0,21,510,156,1,0,31553,507,1100,1,1,1,0,29,6,5,7,True,0,0,45,1,0,0,0,0,0.7536165049822448,5,0.2681780538680664,6,0,0,2,1.0,0.0,0,0,49,8,3,1,1,1,1,740.9017038157859,0,0,1476.474508419691,0.0,0.0,15,2,2,40.00000002980232,1,0,4.0,5,0,1,2,0.0,0,0,0,11,0,4,0.0,0,0,28.600000083446503,3,2.0,0,-26.500000059604645,0,0,1,0,0,2,0,0,17,0,0,0,2,0,3,9,1,0,1,2,0,0,0,24,0,0,9,0,1,0.1775572126305286,0,2,0,0,2,1,0,0,0,0.2817574739456177,1.1924328683315193,5,4,1,749.446902881416,1.0,2.0,0.0,1313.8124805741147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,143.40918098655888,0.3657360807251431,120.12398384705811,471.718269450829,652.7982667520777,1053.9701099652568
22,0,0,20561,0,20,504,19787,504,78724,8,19,0,2,True,False,False,False,11975,0,1,0,0,3,0,0,1,589,7611,1872,16857,128,0,0,0,155477,11819,32978,0,0,154,50,73,15,35,4,31,11,100,52,86,210244,0,12,13422,0,31,2603,329,1,0,47154,1790,2338,2,3,9,0,68,19,8,20,True,0,0,76,0,0,0,0,0,0.7477347389829357,18,0.2368203055586303,8,21,0,4,0.0,0.0,0,0,56,11,1,1,0,0,1,823.85102629196,0,4,2813.47490057167,0.0,1.0,18,1,1,38.40000003576279,0,0,3.125,1,0,0,0,0.0,0,2,0,16,0,1,0.0,0,0,3.600000023841858,1,1.0,0,-45.600000113248825,0,0,0,0,0,0,0,0,19,0,0,0,1,0,3,110,4,0,0,1,0,0,0,25,0,0,5,0,0,0.0822378423074187,0,1,0,0,0,3,5,0,0,0.1776419878005981,1.4635991160271986,8,1,0,702.4345411470962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.2065764191153,0.0,-76.26156535336553,277.8556865181766,330.16822002259653,1112.6596506561782
4,0,0,9125,0,3,0,10728,0,31481,10,2,0,1,False,True,False,False,9150,0,0,2,2,7,0,3,1,303,3064,1101,9836,68,0,0,0,85093,15146,18894,0,0,92,27,43,7,16,11,4,4,200,36,50,110148,0,0,6680,0,25,500,229,1,0,21990,1304,1058,0,0,10,0,20,2,5,4,False,0,0,40,0,0,450,0,0,0.1567552473938622,2,0.2566245600243051,10,5,0,1,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,0,2,1668.7975001330526,0.0,0.0,8,1,1,32.40000006556511,0,0,1.1,1,0,1,0,0.0,0,4,1,8,0,2,0.0,0,0,4.000000029802322,0,0.0,0,-46.10000005364418,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,26,3,0,0,2,0,2,0,11,0,0,5,0,0,0.1820780150771376,0,0,0,0,0,0,0,0,0,-0.4920737147331238,0.7490588991825186,5,5,0,853.6645973830468,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.32813446760323,-0.3954943604286191,-242.61781310657463,339.11843705115774,631.065183113011,1071.034682073467
8,0,0,9143,0,5,0,7718,0,28043,8,2,0,0,False,False,False,False,8775,0,0,1,2,8,0,5,1,653,5273,1854,8744,89,0,0,0,100384,15648,14045,0,0,104,35,49,7,12,11,3,4,200,32,75,126936,0,5,6324,0,16,622,231,1,0,21278,1069,4287,0,0,9,0,11,3,3,4,False,0,0,51,0,0,0,0,0,0.6708666782570649,2,0.2675457162514257,8,9,0,0,0.0,0.0,0,0,34,6,0,0,0,0,1,686.508370350518,0,1,1507.612960481423,0.0,0.0,8,2,0,46.750000059604645,0,0,2.0,0,0,1,3,0.0,0,1,1,6,0,10,0.0,0,0,10.45000010728836,0,1.0,0,-31.00000002980232,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,46,0,0,0,2,1,0,0,16,0,0,11,0,0,0.2182542972782604,0,0,0,0,0,0,0,0,0,-0.2369193434715271,0.4610254041784938,3,3,2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.68212463462356,0.0,-124.88616437727951,360.8485826669195,739.1286949696735,1077.6107944052255
7,1,0,10734,0,5,557,28004,557,28838,7,4,0,1,False,False,False,False,9300,0,2,0,1,4,0,2,1,340,3804,793,5786,123,0,0,0,121133,7534,16178,0,0,110,41,40,4,11,11,3,4,100,28,91,158040,0,0,7031,0,7,601,121,1,0,33101,802,394,2,2,1,0,18,4,0,5,True,0,0,73,1,0,0,0,0,0.7349759803583006,4,0.249821241478166,6,0,0,2,0.0,0.0,0,0,29,0,1,1,0,0,1,711.4631779306318,0,1,1420.9999201685432,0.0,0.0,8,2,1,52.00000008940697,1,0,1.5714285714285714,1,0,0,2,0.0,0,0,1,6,0,4,0.0,0,0,18.20000004768372,1,2.0,0,-42.50000008940697,0,0,0,0,1,2,0,0,9,0,0,0,1,0,3,5,0,0,0,1,1,4,0,11,0,0,5,0,1,0.1295282826183357,0,1,0,0,0,2,5,0,0,-0.428189754486084,0.7702996876649406,0,0,1,709.104424487425,0.0,1.0,0.0,1217.379468185644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.4419452403356,0.0,117.71992216590633,398.00142981916537,385.5031884414364,944.0394619029172
11,0,0,9717,0,5,0,19486,0,31095,7,4,0,2,False,False,False,False,7950,0,0,1,1,2,0,2,1,618,3444,623,13784,114,0,0,0,98808,8104,13624,0,0,116,35,56,7,19,11,14,4,200,32,90,135739,0,0,7111,0,8,1512,229,1,0,33486,1065,482,0,0,7,0,22,4,3,5,False,0,0,53,0,0,0,0,0,0.7930131699823165,4,0.2235785302036854,7,4,0,2,0.0,0.0,0,0,34,0,0,0,0,0,0,0.0,0,0,1569.4409880393514,0.0,1.0,11,2,1,51.750000059604645,0,0,1.8571428571428568,0,0,0,1,0.0,0,1,0,10,0,1,0.0,0,0,6.0,0,1.0,0,-41.000000059604645,0,0,0,0,0,0,0,0,11,0,0,0,1,0,2,24,1,0,0,1,0,4,0,13,0,0,8,0,0,0.1261294789998351,0,1,0,0,0,0,0,0,0,-0.1598916053771972,0.8586948529495837,3,3,0,598.097804521728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.30045954869072,-0.1529206907612523,-113.88768444444268,316.1635281488892,374.38808115623607,1066.3159766782126
8,0,0,9603,0,6,0,15902,0,20520,7,5,0,1,False,False,False,False,8575,0,0,3,2,5,0,2,1,314,2248,900,7329,71,0,0,0,79458,9833,14904,0,0,82,31,37,5,16,11,7,4,100,27,63,106757,0,0,7174,0,24,443,111,1,0,25049,993,2830,0,0,11,0,27,5,7,6,False,0,0,46,0,0,900,0,0,0.6787785051239545,5,0.2513765294469658,7,2,0,2,0.0,0.0,0,0,29,0,0,0,0,0,0,0.0,0,1,1496.2333084842178,0.0,0.0,11,1,0,39.750000059604645,0,0,1.8571428571428568,0,0,0,0,0.0,0,3,0,8,0,9,0.0,0,0,4.000000029802322,0,1.0,0,-49.000000059604645,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,0,1,0,0,0,13,0,0,5,0,0,0.1958463794186847,0,0,0,0,0,0,0,0,0,0.1278599500656128,1.0924548261427782,7,4,0,705.9117820921383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-328.5450184891303,-0.4010069797255344,-233.98757266984933,359.26215313610624,470.2608851241342,1005.123994682052
11,1,0,13154,0,8,544,15153,544,47715,7,7,1,1,True,False,False,False,11675,0,0,2,1,8,0,8,2,1076,5071,1267,16670,133,0,0,0,120125,9766,15770,0,0,133,45,43,12,16,11,8,4,100,42,91,161327,0,10,8473,0,19,2374,288,1,0,36131,765,2374,0,2,4,0,37,7,7,8,True,0,0,59,1,0,0,1,0,0.6566817430966488,7,0.2200187016704878,7,25,0,1,0.0,0.0,0,0,36,9,1,0,0,0,1,689.4077764202207,0,5,2106.7127930289653,0.0,0.0,10,2,1,47.25000002980232,0,0,2.7142857142857144,1,0,1,2,0.0,0,0,1,9,0,1,0.0,1,1,9.950000017881392,0,1.0,0,-24.000000059604645,0,0,1,0,0,1,0,0,13,0,0,0,0,0,4,129,3,0,0,1,0,18,0,19,0,0,11,0,1,0.0892997084467066,0,1,0,0,0,2,5,0,0,0.333523154258728,1.0613846947921424,7,3,0,800.250218015907,0.0,4.0,914.769392011228,1294.7260013335654,0.0,19.278338076335785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61921052169768,-0.085441167204003,-19.509066511580688,345.69496250739616,336.0401106133438,991.5447454024549
