assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
20,0,0,13377,0,10,214,26265,214,73774,6,9,0,1,False,False,False,False,11775,1,1,1,2,5,69,2,1,640,37516,6085,13269,116,0,0,0,91564,11452,26581,0,0,52,123,98,12,21,11,4,4,200,38,81,178146,0,14,15420,2128,23,471,186,5,0,49065,2256,4266,0,1,6,0,39,9,3,11,False,0,0,52,0,0,450,1,0,0.8384637451470712,9,0.2903649545183611,6,8,0,2,0.0,2128.84912109375,0,0,41,15,0,0,0,0,1,859.4571932760396,0,4,2058.519131674075,0.0,0.0,11,2,1,52.00000008940697,0,0,4.166666666666667,5,0,0,1,0.0,0,0,0,0,0,2,0.0,0,0,5.000000029802322,0,1.0,0,-29.00000002980232,0,0,0,0,0,1,0,0,19,0,0,0,2,4,2,40,9,0,1,2,0,6,0,25,0,0,6,0,0,0.1264948867923051,0,2,0,1,3,1,5,0,0,-0.1596664190292358,1.1527479553532187,3,2,0,1182.3794805083228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.95138117763386,-0.2040301659273082,-165.73078906609638,358.88906186613514,576.9390149093056,1285.8564000070185
13,1,0,13633,0,6,48,17398,48,57131,6,5,0,2,False,False,False,False,9375,0,0,2,0,1,0,0,1,1004,41527,5599,13388,127,0,0,0,77236,8198,22722,0,0,53,113,78,9,4,4,20,11,100,31,91,162505,0,6,15935,2513,26,268,197,5,0,43741,809,2969,0,0,9,0,41,5,9,7,False,1,0,65,2,0,0,0,0,0.6343136988699654,5,0.2511997831247825,6,3,0,2,0.0,2513.162109375,0,0,32,3,1,0,0,0,1,688.369005,0,2,2061.5752096,0.0,0.0,9,2,1,47.500000059604645,0,0,2.333333333333333,0,0,0,0,0.0,0,0,2,0,0,5,0.0,0,0,4.0,0,1.0,0,-48.50000002980232,0,0,0,0,0,0,0,0,12,0,0,0,0,7,4,19,6,0,0,2,0,14,0,14,0,0,4,0,2,0.1310933151904404,0,0,0,0,1,0,0,0,0,0.2222019433975219,1.2157519764842768,9,2,1,460.3093023,0.0,1.0,0.0,1267.7944581,0.0,24.092526200000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.49008888120846,-0.2037277117246142,-125.26343875181996,311.9071266503844,425.1215264516343,1137.3827105997034
20,1,0,17967,0,6,1124,25108,1124,77373,4,3,0,1,False,True,True,False,14275,0,1,0,2,11,0,9,1,1265,45346,8729,19187,146,1,0,0,121555,9419,30303,0,0,64,133,111,15,23,11,6,4,200,46,94,218509,0,8,19474,4588,37,729,187,5,0,51607,1730,3932,0,4,5,0,29,3,2,6,True,0,0,66,2,1,150,1,0,0.7158343602853035,3,0.3482363452720703,4,3,0,2,0.0,4588.3896484375,0,0,42,7,1,1,1,1,1,832.6166081425836,0,6,2164.419690854467,0.0,1.0,19,2,1,52.000000059604645,0,1,7.75,7,0,1,1,0.0,0,1,1,0,0,1,0.0,1,0,4.0,1,2.0,0,-57.00000008940697,1,0,0,0,0,1,0,0,25,0,0,0,1,2,7,24,12,0,0,3,0,13,0,31,0,0,10,1,2,0.1497292657279368,0,1,0,0,3,4,0,1,0,0.5540313720703125,0.8264624884042708,2,1,1,376.0948880857588,1.0,2.0,1017.7193565886256,1719.2163847664797,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.303198431823475,0.4158158437584252,38.44910501952905,428.3180401274285,551.0945982611662,1480.9419880737566
4,0,0,7021,0,3,346,9677,346,16143,3,2,0,0,False,False,False,False,6650,0,0,0,1,4,0,4,1,687,18922,2888,9439,72,0,0,0,51082,4362,9282,0,0,23,61,55,5,3,4,11,11,200,19,52,91664,0,4,5949,461,28,185,75,5,0,21659,407,357,0,0,4,0,11,2,2,3,False,0,0,27,0,0,600,0,0,0.0958705567574767,2,0.2239853025397597,3,0,0,0,0.0,461.7300415039063,0,0,21,6,0,0,0,0,0,0.0,0,0,1140.9823032264148,0.0,0.0,5,2,1,48.00000002980232,0,0,2.6666666666666665,0,0,1,1,0.0,0,1,0,0,0,4,0.0,0,0,23.0,0,1.0,0,-26.500000059604645,0,0,0,0,0,1,0,0,6,0,0,0,1,0,3,4,5,0,2,1,0,2,0,8,0,0,7,0,0,0.1559540375198282,0,1,0,0,3,0,0,1,0,0.059049367904663,0.610731555315529,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-20.824161718207737,-0.4732764026865395,-29.76382710228681,404.7564968309216,402.65304615231474,1003.2933874284984
3,0,0,9555,0,5,0,25586,0,33246,4,4,0,1,False,True,False,False,6900,0,0,1,0,1,4,0,1,658,40337,3194,7346,119,0,1,0,67885,3407,15655,0,0,33,78,76,5,15,11,3,4,100,16,94,147430,0,0,10518,1527,14,296,133,5,0,39207,428,865,1,1,8,0,21,4,3,5,False,0,0,64,0,0,0,0,0,0.8045836978754058,4,0.3080089671648194,4,11,0,4,0.0,1527.987548828125,0,0,13,0,0,1,0,0,0,0.0,0,2,1556.9927805,0.0,0.0,2,2,1,55.60000005364418,0,0,1.0,0,0,0,1,0.0,0,0,0,0,0,2,0.0,0,0,8.0,0,1.0,0,-49.40000012516976,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,56,5,0,0,1,0,0,0,4,0,0,2,0,0,0.1401343837510582,0,1,0,0,0,1,5,0,0,-0.5218149423599243,0.8458119032611496,3,1,1,531.1302292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.8465058586057,-0.308286593240244,-123.4302447685627,286.32117347187665,270.94537963401945,919.734515108113
14,0,0,11545,0,6,43,18837,43,40562,7,3,0,2,True,False,False,False,11225,0,0,2,2,6,0,2,1,278,38203,6645,14296,96,1,0,0,67222,8181,27111,0,0,38,95,70,8,16,11,4,4,200,32,64,142077,0,6,8901,654,44,263,137,5,0,36651,997,1325,0,0,10,0,27,5,7,4,False,0,0,36,0,0,750,0,0,0.7098184400804399,3,0.3468552993706198,7,31,0,2,0.0,654.7424926757812,0,0,30,4,2,0,1,1,0,0.0,0,0,1561.728352836926,0.0,0.0,11,2,1,42.00000002980232,0,0,2.857142857142857,2,0,0,1,0.0,0,2,1,0,0,1,0.0,0,0,10.0,0,1.0,0,-34.500000059604645,1,0,0,0,0,1,0,0,18,0,0,0,2,0,2,156,8,0,1,1,0,6,0,20,0,1,12,0,0,0.2163921035070218,0,2,0,0,3,0,0,1,0,-0.0454957485198974,1.0490757320415496,7,3,1,492.2489556330808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.9354965838642,-0.0384189733707582,-11.17992125089065,444.1233321659653,607.9418346188785,1641.7579890526122
23,0,0,19681,0,5,1283,18560,1283,76145,4,2,0,1,False,False,False,False,12750,0,1,4,0,3,32,0,1,914,83992,6262,10356,146,0,0,0,144867,7302,24627,0,0,71,149,94,13,22,11,4,4,100,33,106,278645,0,8,14598,667,77,2705,71,5,0,49786,1338,9859,0,2,11,0,27,2,6,2,False,1,0,80,0,0,150,0,0,0.0906144275683639,2,0.265812947850542,4,3,0,2,0.0,667.3778076171875,0,0,26,2,0,0,0,0,0,0.0,0,4,2066.4557029441908,0.0,1.0,14,2,1,48.000000059604645,0,0,6.5,3,0,0,2,0.0,0,0,0,0,0,3,0.0,0,0,59.6000000834465,0,2.0,0,-37.70000001788139,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,18,8,0,0,0,0,5,0,26,0,0,7,0,0,0.1375242450426412,0,0,0,2,0,2,0,3,0,-0.1460367441177368,0.7968608032213906,6,3,0,688.9089782462586,0.0,1.0,0.0,0.0,0.0,21.405968213322467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.27026015332902,0.1451761097867105,89.6898006262298,415.6682375413097,432.6828776083122,1302.0264582330924
9,0,0,12136,0,9,0,5863,0,59857,8,8,0,0,False,False,False,False,10050,0,0,1,1,4,0,3,1,609,29083,4984,12900,131,0,0,0,96156,7232,18642,0,0,44,120,80,10,4,4,17,11,100,28,97,170638,0,11,11781,1868,15,344,255,5,0,45398,890,3910,0,0,9,0,47,8,10,11,False,0,0,82,0,0,0,0,0,0.6740253773031253,8,0.2704719302785418,8,3,0,0,0.0,1868.33447265625,0,0,27,12,0,0,0,0,0,0.0,0,2,1952.7303731,0.0,0.0,7,2,1,55.600000113248825,0,0,1.625,2,0,1,1,0.0,0,1,0,0,0,3,0.0,0,0,4.0,0,1.0,0,-41.39999997615814,1,0,0,0,0,1,0,0,12,0,0,0,0,12,3,21,9,0,0,3,0,5,0,13,0,0,5,0,1,0.1517653214853782,0,0,0,0,0,0,0,0,0,1.3766703605651855,1.4565626172931432,10,2,0,0.0,0.0,0.0,0.0,1577.6263423,0.0,13.76681540000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-145.76513169512907,-0.3379882901868507,-151.66456366929955,321.7341260496831,402.7591370699308,1089.3055330640211
16,1,0,12902,0,8,512,23099,512,58344,7,7,0,3,False,True,False,False,9575,0,0,1,1,3,4,2,1,598,41895,6010,15225,111,0,0,0,64288,5399,19398,0,0,42,93,75,12,21,11,4,4,100,30,72,140068,0,8,13540,1864,26,241,213,5,0,33884,827,646,0,2,10,0,49,7,10,13,False,1,0,53,1,0,0,0,0,0.2901750539580775,7,0.2553171845941289,7,8,0,3,0.0,1864.738525390625,0,0,26,2,1,0,0,0,0,0.0,1,3,1952.0392955,0.0,0.0,10,2,1,48.00000008940697,0,0,2.7142857142857144,3,0,0,1,0.0,0,0,0,0,0,3,0.0,0,0,4.0,0,1.0,0,-47.50000008940697,0,0,0,0,0,1,0,0,16,0,0,0,0,0,3,43,12,0,0,6,1,8,0,19,0,0,6,0,1,0.1120810368153315,0,0,0,0,0,2,0,0,0,0.4550930261611938,1.5137595165807638,10,5,3,491.2180609,0.0,1.0,0.0,1403.4394571,0.0,32.70249879999983,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-163.0909791282939,-0.0307370861530896,-113.20468830182934,337.2473092717001,376.12972325535856,1084.0970286194731
14,1,1,13096,0,3,0,14926,0,38982,2,2,0,1,False,False,False,False,9550,0,0,0,2,6,0,3,1,1117,46189,6428,9429,166,0,0,0,104667,9141,19890,0,0,48,123,86,8,15,11,4,4,100,30,110,202168,0,17,13875,1546,19,340,55,5,0,51311,1562,765,0,0,2,0,45,2,11,8,True,0,0,82,1,0,0,0,0,0.2933066404804539,2,0.3252553238845704,2,11,0,1,0.0,1546.7962646484375,0,0,32,18,1,0,0,0,0,0.0,0,6,1629.771537348866,0.0,0.0,11,1,1,56.00000008940697,0,0,10.0,2,0,1,2,0.0,0,1,0,0,0,4,0.0,0,0,56.80000019073486,1,3.0,0,-32.0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,6,59,5,0,1,6,0,10,0,20,0,0,7,0,1,0.2528582595967972,0,0,0,0,0,0,0,0,0,0.5394010543823242,1.6897932694095106,11,8,0,1005.4995611158946,0.0,2.0,0.0,1439.8437739851397,0.0,21.177206537833623,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,70.8320137850641,0.4049647357773935,128.9260458811302,414.5366295321319,630.7141684853005,1107.5785523511713
