assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,1,5,11522,0,9,43,22963,43,5358,3,8,0,1,False,True,False,False,9000,0,0,0,2,8,518,5,1,445,43226,5105,3203,104,0,0,0,65579,9139,7447,0,0,50,59,47,93,9,11,3,14,100,22,76,130316,0,0,4035,0,20,524,51,1,0,21510,913,210,0,0,3,0,27,8,6,8,True,0,0,52,1,0,300,0,0,0.7892044774028376,8,0.192536141447197,3,0,0,1,0.0,0.0,0,0,20,0,1,1,0,0,0,0.0,0,0,1376.4288279212633,0.0,0.0,3,2,1,40.000000059604645,0,0,5.333333333333333,3,0,1,3,0.0,0,2,0,0,0,5,0.0,0,0,21.0,6,3.0,0,-28.000000059604645,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,5,0,0,2,0,0,4,0,16,0,0,8,0,1,0.2835249719598226,0,0,0,0,0,0,0,0,0,-0.1167680621147155,1.2077897557471933,6,4,0,1129.994332722559,0.0,2.0,0.0,1258.7031784348462,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.36065392867442,0.3487285286845632,151.60972784561386,426.1898531186218,660.7533797250762,473.4861598214657
13,2,1,19565,0,9,7737,54642,7737,18245,6,8,0,2,False,True,False,False,14600,1,2,0,2,8,1240,3,1,494,87019,8068,6315,206,1,0,0,169473,4261,23584,0,0,76,104,97,115,17,11,6,14,200,26,110,303225,0,37,10887,0,46,900,217,1,0,46735,1495,980,4,9,5,0,43,8,10,8,True,0,0,77,2,0,0,4,0,0.7939988584735713,8,0.204469686876433,6,2,0,3,0.0,0.0,0,0,38,24,2,0,1,1,0,0.0,0,3,2061.568182630321,0.0,0.0,6,3,1,56.00000008940697,1,0,3.5,4,0,1,2,0.0,0,0,0,0,0,12,1.0,0,0,102.25000011920928,4,4.0,0,-24.00000002980232,0,0,0,0,0,1,1,0,17,0,0,0,2,0,6,12,0,0,1,0,0,6,0,21,0,0,9,0,2,0.0998085873947966,0,2,0,0,2,9,5,1,1,0.2176789045333862,1.2800071166327374,10,5,0,823.278284518224,1.0,0.0,0.0,1309.521679975731,0.0,27.71866211398583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.24694345956536,0.3201446382228876,175.8467185584261,493.7212402557332,402.3927061881494,898.704207607686
6,0,0,17270,0,7,0,16749,0,24968,7,6,1,1,False,False,False,False,15050,0,0,3,3,13,1048,5,2,938,74431,8795,14948,187,0,0,0,144959,12793,22726,0,0,75,107,110,246,9,14,22,11,200,32,141,259208,0,4,14250,0,27,933,274,1,0,39820,3503,960,0,0,10,0,45,6,12,8,False,0,0,97,0,0,0,0,0,0.2004925161666551,6,0.2189450747440088,7,37,0,1,0.0,0.0,0,0,50,6,0,0,0,0,0,0.0,0,1,2369.065795310996,0.0,0.0,3,2,1,52.000000059604645,0,0,2.7142857142857144,1,0,2,2,0.0,0,1,1,0,0,6,1.0,0,0,28.500000089406967,0,2.0,0,-47.50000008940697,0,0,1,0,0,0,0,0,11,0,0,0,1,0,7,191,0,0,4,2,0,0,0,19,0,0,5,0,0,0.17004912037382,0,1,0,0,2,0,5,0,0,-0.0793925523757934,1.14897847945884,12,4,0,624.0700111802267,0.0,2.0,0.0,0.0,0.0,24.728728012569263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7360440652207005,-0.1772850719601331,-78.15739029556728,412.11181299075525,635.491003660523,978.5122914645292
8,2,5,16869,0,5,322,38056,322,15003,1,4,1,4,False,True,False,False,10450,0,0,0,2,7,0,5,2,783,148801,20312,4402,177,0,0,0,38824,1778,19000,0,0,84,132,120,226,21,11,5,14,100,31,95,245557,0,29,13204,0,27,873,27,1,0,57933,4136,135,1,2,0,0,39,4,11,5,True,0,0,63,2,0,0,2,0,0.6900307626883041,4,0.2343719805255426,1,1,0,4,0.0,0.0,0,0,45,25,1,3,0,0,1,757.7538992929591,0,2,1949.724921223429,0.0,1.0,2,1,1,54.00000011920929,0,0,15.0,3,0,1,1,0.0,0,0,0,0,0,2,0.0,0,0,14.000000149011612,0,2.0,0,-44.0,0,0,1,0,0,1,0,0,10,0,0,0,1,0,4,10,0,0,0,1,0,4,0,15,0,0,6,1,2,0.2866568252329499,0,1,0,0,0,2,5,0,0,-0.1458282470703125,1.213098255684621,11,5,1,505.4941789540631,0.0,2.0,0.0,1350.1947705814127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.246752918767843,0.2154150031259051,100.38339145667176,405.81109231733006,807.0984695690162,724.3483347967934
11,1,3,22198,0,5,5545,46204,5545,24799,5,4,0,3,False,False,False,False,14300,2,2,0,3,9,844,4,1,910,58948,6418,7163,181,0,0,0,178951,11086,26705,0,0,105,101,104,25,9,14,23,11,100,27,131,303231,0,6,17753,0,62,991,231,1,0,65333,6044,2846,2,4,5,0,38,4,10,6,True,0,0,97,1,0,150,1,0,0.7926852732966573,4,0.2270542026063357,5,5,0,4,0.0,0.0,0,0,26,4,2,1,0,0,0,0.0,0,4,2412.3851528583486,0.0,1.0,3,2,1,47.75000008940697,1,0,4.0,1,0,2,0,0.0,0,0,0,0,0,3,0.0,0,0,31.55000004172325,4,2.0,0,-33.500000059604645,0,0,0,0,0,0,1,0,15,0,0,0,1,0,3,32,0,0,2,2,0,3,0,20,0,0,5,0,1,0.1433844696193326,1,1,0,0,0,4,0,2,0,-0.2324087619781494,0.9620387633479516,10,4,0,738.0329829616733,0.0,1.0,0.0,2101.3615808921363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2390.596929147628,2245.347778783064,0.0,71.33189316644093,0.1492299020218429,105.53041237977996,416.3016833402679,585.6776221350597,913.1377704716572
13,1,0,11382,0,6,3954,44346,3954,7860,3,5,0,3,False,False,False,False,8650,1,3,0,1,4,656,2,1,404,54246,1937,4372,139,0,0,0,74380,3612,10362,0,0,55,66,71,135,14,11,5,14,100,16,69,162670,0,22,6715,0,9,652,75,1,0,34043,1685,522,1,6,0,0,33,5,4,7,True,0,1,48,1,0,0,1,0,0.6160373871443757,5,0.1914125682557312,3,2,0,3,0.0,0.0,0,0,6,19,0,1,0,0,1,726.4631985,1,2,1377.2252912,0.0,0.0,0,2,2,64.00000005960464,0,0,5.666666666666667,4,0,0,1,0.0,0,0,0,0,0,0,1.0,0,0,40.25000008940697,0,2.0,0,-35.500000059604645,0,0,0,0,0,0,0,0,10,0,0,0,2,0,5,16,0,0,0,2,0,0,0,17,0,0,11,1,1,0.1112399588271899,0,2,0,0,2,6,5,0,0,0.7339917421340942,1.446838521701784,4,3,0,477.3424371,0.0,2.0,0.0,1281.8660203,0.0,20.82805230000008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.53665258452814,0.5227902831879101,127.90935595330868,470.8597817245777,315.1554090484452,664.640713359563
5,0,0,10234,0,10,1297,24960,1297,7592,2,3,1,3,False,False,False,False,8075,0,1,0,1,6,622,5,2,649,47485,3900,3974,111,0,0,0,69307,6083,9972,0,0,47,52,55,12,11,11,4,14,100,14,70,140217,0,12,5581,0,24,551,59,1,0,23424,1159,244,1,2,2,0,27,6,6,3,True,0,0,49,0,0,0,1,0,0.6829059678908543,3,0.1763647341675981,2,1,0,3,0.0,0.0,0,0,19,8,0,1,0,0,1,798.8080096665585,0,0,1324.9725715617774,0.0,0.0,0,2,1,43.500000059604645,0,0,5.5,0,0,1,0,0.0,0,0,0,0,0,4,0.0,0,0,60.500000059604645,0,3.0,0,-30.500000059604645,0,0,1,0,0,2,0,0,8,0,0,0,0,0,3,10,0,0,2,0,2,4,0,11,0,0,6,1,0,0.1408631782299488,0,0,0,0,0,2,0,0,0,2.38869309425354,1.2298305374092435,6,4,0,605.2093594790612,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.93619964792888,0.2717037376673082,144.8633761329532,400.1743216276672,504.6444087607472,642.6246235394619
10,1,3,14289,0,5,258,29533,258,9750,5,4,1,1,False,False,False,False,11600,0,1,0,2,10,845,4,2,317,55167,4754,4018,114,0,0,0,72792,5605,13622,0,0,55,90,70,94,5,14,17,11,100,18,76,166815,0,12,6728,0,18,630,90,1,0,38856,1621,981,1,2,2,0,37,4,4,6,True,0,0,48,2,0,0,2,0,0.8491415438559357,4,0.2384244816439569,5,2,0,3,0.0,0.0,0,0,18,8,0,1,0,0,1,898.5281649181044,0,1,1691.215367023222,0.0,1.0,1,2,2,39.75000008940697,0,0,4.0,1,0,2,4,0.0,0,0,0,0,0,3,0.0,0,0,8.750000059604645,0,2.0,0,-37.00000002980232,0,0,1,0,0,1,0,0,19,0,0,0,1,0,3,14,0,0,1,2,0,0,0,20,0,0,11,1,2,0.1326769411568295,0,1,0,0,0,2,5,0,0,1.154331922531128,1.3335852497151195,4,4,0,656.9640507545594,0.0,4.0,0.0,1214.0588715177328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.60377186440435,0.3547744490141931,95.75362378893072,443.4680612677414,425.0552673639048,660.6609789542305
12,0,1,12356,0,5,1602,22123,1602,9457,4,4,0,4,True,False,False,False,10900,0,1,0,3,12,773,5,1,494,43210,8209,2674,130,0,0,0,87050,8819,15587,0,0,73,66,64,8,6,14,17,11,100,27,91,159866,0,6,6213,0,17,667,124,1,0,29605,1556,364,1,2,2,0,33,4,8,6,True,0,0,70,0,0,525,0,0,0.7116656317281986,4,0.2069537091380519,4,2,0,4,0.0,0.0,0,0,30,2,3,1,0,0,0,0.0,1,1,1610.2210114,0.0,1.0,2,1,2,54.00000008940697,2,0,6.0,1,0,2,5,0.0,0,1,0,0,0,2,0.0,0,0,18.000000059604645,3,2.0,0,-36.500000059604645,0,0,0,0,0,2,1,0,17,0,0,0,1,0,2,14,0,0,2,2,0,0,0,24,0,0,8,1,0,0.1938842966399981,0,1,0,0,0,2,0,0,0,0.4832260608673095,1.2592483026901853,9,8,0,489.7590881,1.0,1.0,0.0,0.0,0.0,17.62831129999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.60236603716697,0.3726196564025286,156.79835141418403,455.1921722613289,692.5136314240993,694.0413720153497
12,1,7,16803,0,3,3867,41542,3867,18672,6,2,1,2,False,False,False,False,13850,0,1,0,2,12,1068,7,2,523,73765,8338,11979,173,0,0,0,117430,17859,16084,0,0,75,90,80,14,21,11,7,14,100,27,100,237002,0,22,11361,0,23,757,189,1,0,45807,2641,1901,2,5,2,0,41,2,5,11,True,0,0,75,1,0,0,3,0,0.4745574882850931,2,0.2072796502478237,6,2,0,2,0.0,0.0,0,0,37,17,1,2,0,0,1,993.5755176317545,0,3,1966.8969412340743,0.0,0.0,7,2,2,65.60000011324883,0,0,4.0,3,0,1,1,0.0,0,0,1,0,0,1,0.0,0,0,55.95000022649765,2,3.0,0,-34.799999952316284,0,0,1,0,0,3,0,0,20,0,0,1,2,0,5,11,0,0,1,4,0,0,0,24,0,0,2,0,1,0.237782236959142,0,2,1,0,2,5,5,0,0,0.740837812423706,1.2766283899166937,6,0,1,1376.1716698257162,0.0,0.0,0.0,1585.5827423895796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.69457677509126,0.3660588335392175,153.10410712777772,468.4332873190186,879.7003868003295,914.079412250221
