assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,9502,0,6,1012,34810,1012,20174,3,5,0,2,False,False,False,True,8825,0,0,0,2,5,0,3,1,552,0,0,2936,128,0,0,0,134833,6795,10057,0,0,77,0,77,4,3,4,13,11,200,10,94,165971,0,9,5771,0,16,288,59,1,0,31137,785,909,1,1,2,0,21,5,2,7,False,0,0,64,0,0,0,1,0,0.5582888637773951,5,0.2708914298154918,3,4,0,2,0.0,0.0,0,0,20,5,1,1,0,0,1,790.8170862256419,0,0,1221.7945075915973,0.0,0.0,4,2,1,64.00000008940697,0,1,2.6666666666666665,3,0,1,1,0.0,0,1,0,4,0,0,0.0,0,0,40.00000002980232,0,3.0,0,-41.500000059604645,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,20,0,0,2,2,0,2,1,8,0,0,6,1,0,0.2038236873426383,0,1,0,0,3,1,5,0,0,0.0988386869430542,1.0629455684770452,2,2,0,382.8102933238043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.66256786535568,0.0,47.585743460744176,452.18733311303646,372.2884635458221,682.7498362587475
4,0,0,11346,0,4,1464,16724,1464,34132,10,3,0,1,False,False,False,False,8375,0,0,2,0,2,0,0,1,291,241,0,9596,104,0,0,0,127751,9667,22496,0,0,130,0,104,12,5,4,14,11,100,24,77,156651,0,8,10267,0,44,142,249,1,0,28657,600,1578,1,1,11,0,25,3,3,4,False,0,0,52,0,0,0,0,0,0.3743119836332308,3,0.2934691565486188,10,2,0,1,0.0,0.0,0,0,60,4,1,0,0,0,1,896.8234121689176,0,2,1813.083309573935,0.0,0.0,4,1,0,24.00000002980232,0,0,0.6,0,0,0,0,0.0,0,1,1,3,0,19,0.0,0,0,0.0,0,1.0,0,-45.00000008940697,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,0,0,1,1,0,0,0,6,0,0,2,0,0,0.108910479893272,0,0,0,0,3,1,0,1,0,-0.405037522315979,0.8344536569935344,3,2,0,638.7810896478211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.94820229512368,-0.1985567889236144,-114.03778243846251,295.81652269803146,339.76375864645814,1114.26760664117
8,1,0,12367,0,17,516,29695,516,40750,10,14,1,0,False,False,False,False,12150,0,0,2,2,6,0,2,2,593,0,0,8509,138,0,0,0,141982,13002,30880,0,0,152,0,107,19,24,11,6,4,200,29,98,182799,0,8,11050,0,10,297,317,1,0,40815,1122,3834,1,2,11,0,48,16,7,15,False,0,0,72,1,0,600,1,0,0.8697102276380103,14,0.3025626069407178,10,3,0,0,0.0,0.0,0,0,67,7,1,0,0,0,1,741.1081553,0,0,1998.7446319,0.0,0.0,10,3,1,56.000000059604645,0,0,1.4,3,0,0,2,0.0,0,0,0,9,0,0,0.0,0,0,22.40000009536743,0,1.0,0,-28.50000002980232,0,0,1,0,0,0,0,0,11,0,0,0,2,0,3,18,0,0,0,1,0,0,0,14,0,0,5,0,1,0.1316975684328403,0,2,0,0,3,2,5,0,0,0.2311421632766723,1.4681048861477153,7,2,0,0.0,0.0,2.0,0.0,1410.0618348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.87444381313413,-0.2701695811368748,-108.84832235581202,365.6294998052372,423.9861293308022,1297.5044228310155
19,0,0,18915,0,6,0,20929,0,76989,12,3,1,0,True,False,False,False,15575,0,0,7,1,7,0,2,2,483,0,0,16831,105,0,0,0,199535,23245,27228,0,0,168,0,132,19,8,4,26,11,100,49,91,236661,0,0,14309,0,55,304,442,1,0,37125,2180,5815,0,0,11,0,39,3,9,4,False,0,0,80,1,0,1300,0,0,0.5881109789139641,3,0.1778160313226426,12,9,0,2,0.0,0.0,0,0,116,0,0,0,0,0,0,0.0,0,5,2712.322342940993,0.0,0.0,18,2,1,40.000000059604645,0,0,2.1666666666666665,1,0,0,0,0.0,0,0,2,16,0,7,0.0,0,0,2.0,0,1.0,0,-42.500000059604645,0,0,1,0,0,2,0,0,19,0,0,0,0,0,2,48,0,0,0,1,0,10,0,26,0,0,3,0,1,0.1434640974771197,0,0,1,0,0,0,0,2,0,-0.2757158279418945,0.869614701460577,10,2,2,906.9572741718432,0.0,1.0,0.0,2335.8906665551563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.70745914680698,0.0442425290313698,-44.97253076038746,367.7660225732619,562.455271575805,1103.298067719786
8,1,0,11233,0,6,4162,48470,4162,25328,4,5,0,2,False,False,False,False,9275,2,3,0,2,7,0,3,1,666,386,137,6751,124,0,0,0,129821,14201,12200,0,0,79,0,93,10,16,11,4,4,200,26,69,166183,0,23,8285,0,10,257,84,1,0,35976,1349,2266,3,6,1,0,22,5,3,7,True,0,0,40,1,0,0,3,0,0.8050396685378669,5,0.2958817521352262,3,1,0,2,0.0,0.0,0,0,55,16,0,0,0,0,1,712.8752296,0,2,1472.0984850999998,0.0,0.0,12,2,1,52.00000002980232,0,0,3.75,2,0,2,3,0.0,0,0,0,9,0,1,0.0,0,0,34.79999998211861,1,2.0,0,-21.00000002980232,0,0,0,0,1,2,0,0,9,0,0,0,2,0,2,10,0,0,1,2,0,0,0,15,0,0,7,0,1,0.1968168120155058,0,2,0,0,2,6,5,0,0,-0.1749717593193054,0.920988742625057,3,2,0,905.4167079,0.0,0.0,0.0,1329.4797172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1437.3494429999998,0.0,0.0,112.08489219305972,0.4075814261565808,53.1893761134338,450.5405084734844,639.4137413544439,864.8062700190331
2,0,1,5318,0,2,0,7108,0,8673,2,0,0,1,False,False,False,False,4775,0,0,0,0,2,0,0,1,513,0,0,1511,68,0,0,0,52371,2366,7403,0,0,40,0,40,4,9,11,2,4,200,8,53,68694,0,4,3922,0,5,140,30,1,0,16322,0,563,0,0,3,0,6,1,0,2,False,0,0,35,0,0,150,1,0,0.0,0,0.2328830806072623,2,0,0,1,0.0,0.0,0,0,22,1,0,0,0,0,0,0.0,0,0,966.788826248603,0.0,0.0,3,2,1,40.00000002980232,0,0,2.0,1,0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,8.000000029802322,0,1.0,0,-30.50000002980232,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,4,1,0,0.1082931658425736,0,0,0,0,0,0,0,0,0,-0.6264867186546326,0.3778383432495591,0,0,0,451.4191063431843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.02299855943275,-0.1861833681905982,-65.28830111216979,311.60889722833133,146.83661637965184,588.2153212368302
10,2,0,16665,0,4,2771,37809,2771,50539,4,2,1,2,True,False,False,False,13350,0,2,0,2,10,0,5,2,679,0,0,10772,148,0,0,0,171557,20205,16733,0,0,130,0,116,7,16,11,5,4,100,30,96,203041,0,7,11519,0,29,275,162,1,0,31483,1269,5111,2,4,3,0,35,3,11,3,True,0,0,51,2,0,0,0,0,0.6967061828776199,2,0.2884117093961093,4,2,0,3,0.0,0.0,0,0,54,6,1,1,0,0,1,649.8072151615787,0,0,1830.9907646479207,0.0,0.0,16,2,1,52.000000059604645,1,0,5.0,1,0,2,0,0.0,0,0,0,16,0,0,0.0,0,0,4.4000000059604645,0,3.0,0,-49.500000059604645,0,0,1,0,0,4,0,0,15,0,0,0,2,0,5,14,0,0,2,1,0,2,0,20,0,0,8,0,2,0.178895716309616,0,2,0,0,1,4,5,1,0,0.5598965883255005,1.1630996042727533,11,5,0,412.0864714674987,0.0,1.0,0.0,1236.667318623068,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,121.7046007563286,0.4587680157750674,147.75607022355564,469.9750630175726,703.7173670549695,1068.863938467939
1,0,0,2776,0,3,0,1625,0,4500,4,2,0,0,False,False,False,False,2400,0,0,0,0,1,0,0,1,203,0,0,1526,44,0,0,0,27465,1423,4885,0,0,26,0,21,1,1,4,5,11,200,6,37,36841,0,0,1735,0,7,115,50,1,0,9376,130,30,0,0,0,0,10,2,2,2,False,0,0,26,0,0,0,0,0,0.5908635940715934,2,0.1898544829412911,4,0,0,0,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,0,673.9615406108477,0.0,0.0,1,2,1,44.000000059604645,0,0,0.5,0,0,0,1,0.0,0,0,0,1,0,7,0.0,0,0,12.000000029802322,0,1.0,0,-34.50000002980232,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0.0896486873843839,0,0,0,0,0,0,0,0,0,-0.0935955643653869,0.9491614239789836,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162.47217890319715,-0.4451292572690332,-138.16812145630792,295.12069756936904,138.25714730776173,573.4155092139687
4,1,2,14353,0,5,0,13232,0,39153,6,3,2,2,False,False,False,False,12675,0,0,2,3,8,0,3,2,450,1445,77,6651,126,1,0,0,154157,12097,19060,0,0,116,0,102,10,20,11,4,4,100,29,110,190360,0,0,8910,0,37,305,172,1,0,34756,2072,2770,0,0,10,0,18,4,4,5,False,0,0,77,1,0,950,0,0,0.1908513919806916,3,0.238588421068958,6,4,0,2,0.0,0.0,0,0,55,0,2,0,1,1,0,0.0,0,1,1808.768730666985,0.0,0.0,8,1,0,56.00000008940697,0,0,2.0,1,0,2,0,0.0,0,0,0,8,0,4,0.0,0,0,4.0,0,1.0,0,-49.000000059604645,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,23,0,0,1,2,0,0,0,12,0,0,5,1,1,0.1981941634396992,0,0,0,0,0,0,0,1,0,-0.5003652572631836,0.611927394391337,4,3,0,1186.6618156963268,0.0,0.0,0.0,1275.2863683070275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818834049309878,-0.0663434733061478,-4.245982291593461,424.9631182625299,472.597732096344,944.7974033528512
10,1,5,17245,0,4,3261,51904,3261,54891,5,3,2,2,False,False,False,False,13925,1,1,1,3,12,0,5,3,418,0,0,8570,142,0,0,0,194044,22510,20339,0,0,126,0,124,10,6,4,22,11,100,33,106,237549,0,6,14862,0,36,366,144,1,1,43504,1521,2488,0,3,6,0,19,3,2,4,True,0,0,71,1,0,975,1,0,0.6204320722326182,3,0.2264781612979456,5,5,0,3,0.0,0.0,0,0,71,2,0,2,0,0,0,0.0,1,2,1817.874669887297,0.0,0.0,12,2,0,48.00000008940697,0,0,4.4,3,0,2,1,0.0,0,0,0,14,0,3,0.0,0,1,4.0,2,2.0,0,-49.000000059604645,0,0,3,0,0,6,0,0,14,0,0,0,1,0,2,34,0,0,3,1,0,2,0,22,0,0,6,0,1,0.1816358592817818,0,1,0,2,0,3,0,1,0,-0.2666184306144714,0.6284586750505422,2,1,0,656.9932333310904,0.0,1.0,0.0,1607.0267739601854,0.0,40.51114200462962,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.90017338734128,0.3300557568345447,115.61853161914102,504.6552522000189,793.189994824778,1036.2760597334202
2,0,0,5128,0,3,0,8812,0,11244,4,1,0,1,False,True,False,False,4850,0,0,0,0,2,0,0,1,465,0,0,4948,88,0,0,0,76424,4975,6547,0,0,48,0,42,3,6,11,2,4,200,9,75,91211,0,0,4926,0,4,119,86,1,0,14786,0,148,0,0,5,0,2,2,0,1,False,0,0,46,0,0,0,0,0,0.0,1,0.283140259484964,4,0,0,1,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,0,921.126928220658,0.0,0.0,3,2,1,68.00000008940697,0,0,1.0,0,0,0,0,0.0,0,0,0,3,0,2,0.0,0,0,14.500000029802322,0,1.0,0,-39.000000059604645,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,1,0,0,0,0,4,1,0,4,1,0,0.1806169881451535,0,0,0,0,0,0,0,0,0,-0.8325899839401245,0.1652721093275523,0,0,0,523.5209892744211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.34402644188819,-0.3908256169379527,-42.14402902647591,352.4595688752104,324.05957404438584,758.3971096680973
11,0,3,16752,0,9,4198,57544,4198,51381,9,8,2,3,False,False,False,False,13100,0,1,0,3,7,0,3,2,356,0,0,10956,155,0,0,0,199644,17488,27169,0,0,171,0,122,12,18,11,4,4,200,36,110,248561,0,8,14687,0,27,284,255,1,0,48916,1279,619,3,3,5,0,29,8,5,8,True,0,0,74,2,0,300,0,0,0.722451680133521,8,0.2354506229437014,9,30,0,4,0.0,0.0,0,0,82,8,0,0,0,0,1,780.9624696830309,0,0,1980.7517559132343,0.0,0.0,10,2,1,56.6000000834465,0,0,2.0,3,0,1,1,0.0,0,0,1,7,0,0,0.0,0,0,12.000000059604645,5,1.0,0,-35.0,0,0,2,1,0,2,0,0,15,0,0,0,2,0,3,158,0,0,1,0,0,0,0,18,0,0,3,0,2,0.1416810145201703,0,2,0,0,4,3,5,0,0,-0.3503285646438598,0.9054782731299134,5,2,0,426.800780828271,0.0,0.0,0.0,1309.343867799007,0.0,20.296112585248693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.513058346357636,-0.0302915293755914,38.34907618949872,428.0496016064822,568.481131791724,1173.645305657289
7,0,0,15403,0,6,0,29791,0,34080,8,5,0,2,False,False,False,False,12425,0,0,4,2,7,0,2,1,503,0,0,11472,143,0,0,0,179992,13252,20316,0,0,120,0,125,9,18,11,6,4,200,34,99,211440,0,10,10046,0,39,300,264,1,0,31448,1182,2522,0,0,10,0,33,5,3,7,False,0,0,60,0,0,0,1,0,0.6824444481475327,5,0.1996224321351745,8,12,0,2,0.0,0.0,0,0,68,4,1,1,0,0,1,867.9091849791715,1,1,2116.0513161966355,0.0,0.0,7,3,1,47.50000002980232,1,0,1.75,2,1,0,0,0.0,0,1,1,6,0,3,0.0,0,0,15.499999970197678,0,2.0,0,-22.500000089406967,0,0,0,0,0,3,0,0,12,0,0,0,2,0,3,61,0,0,0,2,0,8,0,14,0,0,8,1,1,0.1057599842366866,0,2,0,0,2,0,0,1,0,-0.0578940510749816,0.9510802606944696,3,2,1,844.9100049647715,0.0,1.0,0.0,1800.7868755925604,0.0,29.37993996656201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.93822467469426,-0.4536751980691527,-56.99294675743732,383.1287047693995,409.30009275801376,972.8497528595394
16,0,13,15981,0,3,5503,51500,5503,53206,4,1,3,3,True,False,False,False,14300,0,0,0,3,17,34,13,2,877,3062,720,6944,134,0,0,0,173450,26402,19874,0,0,176,0,124,13,17,11,4,4,100,48,84,215481,0,14,14480,0,22,390,68,1,0,38968,1382,2525,3,6,4,0,34,2,6,2,True,0,0,61,0,0,675,3,0,0.5219165575738354,1,0.2806276227403443,4,11,0,4,1.0,0.0,0,0,94,6,1,0,0,0,1,854.8731233999999,2,3,1612.1360246,0.0,0.0,22,3,1,52.00000008940697,0,0,8.25,3,0,1,4,0.0,0,4,0,24,0,2,0.0,1,0,41.800000101327896,0,3.0,0,-24.50000002980232,0,0,3,0,0,1,1,0,24,0,0,0,1,0,3,56,0,0,2,1,0,8,0,33,0,0,14,0,0,0.3055722214894236,0,1,0,0,1,6,5,0,0,-0.0868979096412658,1.272272609922769,6,5,0,368.7003491,0.0,1.0,1149.2685858999998,0.0,1.0,9.064632399999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.147236105501,0.7071363598384042,156.53765944633307,591.5381738563998,1060.8906282733533,1092.1162812156913
2,0,3,6295,0,4,45,17201,45,9959,1,2,0,1,False,False,False,True,5600,0,0,0,1,4,0,3,1,542,0,0,2321,100,0,0,0,76899,5248,7410,0,0,69,0,56,3,11,11,2,4,200,13,42,102315,0,32,4904,0,8,181,16,1,0,25416,415,150,1,1,0,0,20,2,1,8,True,0,0,31,0,0,0,3,0,0.579137116201408,2,0.2962547854015419,1,0,0,1,0.0,0.0,0,0,25,17,0,0,0,0,1,668.6320849073137,0,0,925.1541805690772,0.0,0.0,4,2,1,56.000000059604645,0,1,6.0,0,0,1,1,0.0,0,0,1,4,0,0,1.0,0,0,32.00000002980232,0,2.0,0,-14.000000059604645,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,6,0,0,0,6,0,0,1,6,0,0,6,0,0,0.2077817566135382,0,1,0,0,3,1,5,0,0,4.542745113372803,1.3372305482172535,1,1,0,714.6573698394131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.44893177555787,0.3891243292859123,79.31650911944513,418.6977783116417,367.33336684590125,640.8877703338976
