assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,1,0,13142,0,5,876,19104,876,45683,2,4,0,1,False,False,False,False,8550,1,2,0,0,1,0,0,1,805,116869,10522,7211,153,0,0,0,24156,511,27598,0,0,59,202,72,8,5,4,20,11,200,44,92,187679,0,24,52946,1815,19,491,48,5,0,46654,653,4066,0,1,1,0,28,4,4,5,True,0,0,83,1,0,0,4,0,0.7513358379758903,4,0.3521277169367363,2,22,0,1,0.0,1815.552734375,0,0,95,8,0,1,0,0,1,810.0684414867068,0,0,1698.1359797364723,0.0,0.0,9,3,1,56.00000008940697,0,0,6.5,2,0,0,0,0.0,0,0,0,7,5,2,0.0,0,0,30.65000012516976,3,1.0,0,-33.000000059604645,0,0,0,0,0,0,0,0,11,0,0,0,1,0,4,115,19,0,0,1,0,9,0,13,0,0,7,0,1,0.1348386058592315,0,2,0,0,2,1,0,0,0,0.1417840719223022,1.0218490782329432,4,1,0,1503.7291615900772,0.0,0.0,0.0,1308.659848038748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.1693177709967,0.0,0.0,-51.267979148236726,0.1059985785284012,50.879317693632586,366.437085972683,412.9351290871417,1373.600246290042
9,1,0,13920,0,5,1551,32262,1551,49987,9,4,0,2,False,False,False,False,11250,0,0,1,1,5,0,3,1,663,121678,12519,7937,108,0,0,0,20684,1240,33835,0,0,68,216,83,7,17,11,4,4,100,42,70,184192,0,10,50513,1655,52,502,244,5,0,41827,961,4945,1,3,8,0,34,4,6,5,False,0,0,63,1,0,0,1,0,0.7961616129585586,4,0.3453734219490046,9,13,0,2,0.0,1655.97119140625,0,0,94,9,2,0,0,0,0,0.0,0,3,1937.2983683958428,0.0,1.0,10,2,0,40.00000008940697,0,0,1.5555555555555556,2,0,1,1,0.0,0,0,2,5,1,11,0.0,0,0,4.0,0,1.0,0,-32.00000002980232,0,0,0,0,0,1,0,0,12,0,0,0,1,3,1,69,15,0,0,1,0,2,0,14,0,0,1,0,1,0.1323811554348535,0,1,1,0,0,3,0,2,0,-0.2054088711738586,1.0834857951176644,7,2,0,487.8707569548458,0.0,1.0,0.0,1483.3730648460012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-41.77983181135977,-0.0619419300390804,-60.0527011728885,359.2322232616471,455.9235760526517,1446.9325147479
8,0,3,9224,0,6,1700,29340,1700,21069,2,4,2,3,False,False,False,True,9925,0,1,0,3,11,0,6,3,644,76620,13253,2229,104,0,0,0,15977,825,20244,0,0,53,176,65,5,13,11,3,4,100,42,67,122245,0,0,32784,1886,20,380,40,5,1,29646,905,1980,4,4,0,0,19,5,3,5,True,0,1,44,0,0,0,0,0,0.7498338481070076,4,0.3410531917605223,2,5,0,3,0.0,1886.91357421875,0,0,121,0,1,2,0,0,1,678.5244786999999,2,0,1238.0212545,0.0,1.0,17,2,1,52.000000059604645,0,1,9.5,3,0,2,6,0.0,0,0,0,15,3,9,1.0,0,0,35.0,1,2.0,0,-34.50000002980232,0,1,3,2,0,2,0,0,13,0,0,0,2,0,3,30,13,0,0,1,0,3,1,19,0,0,10,1,0,0.2349315773140268,0,2,0,0,3,4,15,0,0,0.0546550750732421,0.9685176598906466,3,3,0,405.2957487,0.0,3.0,0.0,0.0,0.0,17.214737799999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.97475821890265,0.5815732140162542,104.87703626093118,537.7613652270297,726.1910865682961,1185.1492812961233
7,0,0,6442,0,4,333,7405,333,10986,2,3,0,1,True,False,False,False,5975,0,0,0,0,1,0,0,1,425,62248,4102,2963,92,0,0,0,15335,750,12122,0,0,39,158,39,5,10,11,3,4,200,21,63,96525,0,6,20935,326,15,358,37,4,0,18941,494,1034,0,1,0,0,20,3,3,5,True,0,0,46,0,0,0,0,0,0.4760000962378947,3,0.3663367103475861,2,0,0,1,0.0,326.9266662597656,0,0,49,8,0,0,0,0,1,866.1045030763703,0,0,953.7159018982828,0.0,1.0,4,2,1,60.000000059604645,0,0,4.0,1,0,0,0,0.0,0,0,0,2,2,11,0.0,0,0,16.0,0,1.0,0,-45.00000008940697,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,5,9,0,0,2,0,2,1,8,0,0,8,1,0,0.1457475362705834,0,0,0,0,1,1,0,0,0,1.3470323085784912,1.2935259550907197,3,3,0,748.760917075804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774709001742065,15.916689624012372,379.9244610253388,336.3894838719137,1014.1384851347012
2,0,0,8802,0,5,0,7940,0,25079,3,4,0,1,False,False,False,False,6400,0,0,1,0,0,0,0,0,834,72439,4358,7807,103,0,0,0,19530,531,16008,0,0,39,169,42,4,2,4,9,11,100,15,89,115593,0,0,25035,188,25,348,104,5,0,23623,894,2505,0,0,7,0,17,4,2,5,False,0,0,59,0,0,0,0,0,0.7315095146798078,4,0.2819555117969798,3,8,0,1,0.0,188.1432342529297,0,0,29,0,0,0,0,0,0,0.0,0,0,1459.8266812644574,0.0,0.0,1,2,1,52.000000059604645,0,0,0.6666666666666666,0,0,0,0,0.0,0,0,0,1,2,0,0.0,0,0,12.0,0,1.0,0,-45.00000008940697,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,43,8,0,0,1,0,2,0,2,0,0,2,0,0,0.122950416327172,0,0,0,0,1,0,0,0,0,0.0057164430618286,0.7331695325842236,2,2,0,404.77715445717314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.3255069313458,-0.6165115431514427,-149.77120421625716,277.9234036526704,237.76795180873972,1081.8133551526082
20,1,3,15775,0,5,914,30710,914,50969,5,4,1,4,True,False,False,False,11750,0,1,0,1,5,4,3,2,853,145783,15268,8762,152,0,0,0,27992,1071,28763,0,0,68,271,87,8,17,11,4,4,200,55,99,213356,0,18,54446,675,28,533,118,5,0,39579,1231,4793,1,4,3,0,28,4,6,5,True,1,0,76,2,0,150,2,0,0.6763945160843436,4,0.3149714994289477,5,4,0,4,1.0,675.9489135742188,0,0,125,13,1,2,0,0,1,1114.313779516334,2,1,1924.197308152144,0.0,1.0,17,3,0,56.000000059604645,0,0,5.0,4,0,1,1,0.0,0,0,0,14,5,4,0.0,0,0,10.399999976158142,1,1.0,0,-28.600000083446503,0,0,1,0,0,1,0,0,16,0,0,0,0,4,2,26,24,0,1,1,0,1,0,25,0,0,8,0,2,0.1763151533192943,0,0,0,0,0,4,0,1,0,-0.2172045111656189,0.8845009493010649,6,1,0,458.7584415337564,1.0,0.0,0.0,1391.106381401502,0.0,17.743251467857363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.1179316819746,0.4365456683892119,64.20339508667053,411.1324741222685,547.8959956619173,1319.6151918736748
13,2,3,15217,0,3,243,27378,243,38104,2,2,0,2,True,False,False,False,10650,0,2,0,1,3,0,3,1,754,111380,4871,7855,140,0,0,0,21861,440,16796,0,0,54,189,87,4,18,11,4,4,100,13,90,175054,0,12,39257,621,12,344,40,5,0,41813,1481,1786,0,1,2,0,27,2,6,4,True,0,0,81,2,0,0,0,0,0.7148148903025318,2,0.2264409761303271,2,2,0,3,0.0,621.6126098632812,0,0,18,10,0,2,0,0,0,0.0,1,1,1957.24754,0.0,0.0,6,1,2,48.00000008940697,0,0,8.0,0,0,1,0,0.0,0,0,0,4,1,0,0.0,0,0,4.0,4,1.0,0,-45.000000059604645,0,0,0,0,0,0,0,0,10,0,0,0,1,0,3,14,12,0,0,2,0,2,0,16,0,0,2,0,2,0.0722180821023505,0,1,0,0,2,1,0,0,0,0.0111005306243896,0.8466009747397096,6,2,0,696.333547,0.0,0.0,0.0,1214.9636766,0.0,31.9801309999998,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.5136428783045,0.0919658838861026,40.71023126691476,349.8995328919918,208.24141641276503,810.4646793935937
14,2,3,16628,0,15,207,33209,207,94654,2,9,0,2,False,False,False,False,13875,0,0,1,2,10,77,7,1,1446,151584,25140,19923,152,0,0,0,24799,1679,32160,0,0,83,274,98,10,23,11,4,4,200,61,104,232052,0,8,74391,4331,42,543,89,5,0,55668,2329,5427,1,1,7,0,35,15,5,10,True,0,0,87,2,0,300,1,0,0.7652741002297269,9,0.3090886259151202,2,5,0,2,0.0,4331.82421875,0,0,119,2,1,0,0,0,0,0.0,0,1,1989.014932698127,0.0,1.0,15,2,1,48.00000008940697,0,0,12.0,2,0,2,3,0.0,0,1,0,11,3,6,0.0,0,1,34.000000059604645,8,1.0,0,-30.500000059604645,0,0,0,0,0,1,0,0,16,0,0,0,1,17,3,30,17,0,1,1,0,11,0,24,0,0,9,0,2,0.2355563181681302,0,1,0,1,1,1,5,1,0,-0.2510462403297424,1.0627023535476532,6,4,2,607.2610639048468,0.0,2.0,0.0,1429.959842404742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-21.176311604088173,0.0301656860457096,34.20788797583474,450.6150181508107,879.2995825463905,1734.8587701748074
1,0,0,3221,0,3,0,986,0,6405,6,2,1,0,False,False,False,False,4550,0,0,0,1,2,0,2,2,398,22545,2237,2518,36,0,0,0,6419,481,9056,0,0,11,52,22,2,7,11,3,4,100,9,29,39661,0,0,6782,114,14,145,97,3,0,10696,280,1483,0,0,4,0,14,2,2,4,False,0,0,29,0,0,0,0,0,0.0,2,0.2726545523741848,6,1,0,0,0.0,114.92660522460938,0,0,27,0,0,0,0,0,0,0.0,0,0,915.5063401479088,0.0,0.0,1,1,1,36.00000008940697,0,0,0.5,1,0,0,1,0.0,0,0,0,1,3,7,0.0,0,0,4.000000029802322,0,1.0,0,-42.500000059604645,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,10,5,0,0,2,0,0,0,3,0,0,3,0,0,0.1252109909597059,0,0,0,0,1,0,0,0,0,0.021002173423767,0.9689918551600212,2,2,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.68033058587532,-0.1310750070617893,-136.18693233719907,265.4924268036542,196.54697308915303,855.7231836028914
9,0,0,9680,0,3,1491,14648,1491,47335,6,2,1,2,False,False,False,False,10050,0,0,1,2,6,4,3,2,724,96633,14315,12290,104,0,0,0,19336,1075,25521,0,0,62,213,74,9,12,11,4,4,200,49,93,142657,0,0,40672,2128,22,498,142,5,0,26687,631,3109,1,1,9,0,12,2,1,2,False,0,0,58,0,0,975,0,0,0.2692293864190902,2,0.3410159445262797,6,20,0,2,0.0,2128.780517578125,0,0,121,0,0,1,0,0,1,767.9311837636502,0,0,1618.1035208713645,0.0,0.0,11,2,0,48.000000059604645,0,0,2.5,2,0,1,2,0.0,0,2,0,11,3,3,0.0,0,0,2.0000000298023224,0,1.0,0,-26.500000059604645,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,105,22,0,1,0,0,2,0,15,0,0,10,0,0,0.2394280120411406,0,0,0,0,0,1,0,0,0,-0.5655730366706848,0.4480248576926754,1,1,0,541.4377181584632,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.40020770431768,-0.4078849044494901,-161.8932266205885,404.3622620928808,594.1399839994709,1517.3689249979625
