assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,13709,0,4,2197,2197,2197,8388,7,4,0,0,False,False,False,False,9700,0,0,1,1,4,0,2,1,323,70657,16462,14049,0,0,0,0,14784,2574,8247,0,0,92,78,28,28,4,4,3,12,100,28,0,128148,0,0,3781,0,194,70,196,1,0,42706,3172,472,2,2,7,0,21,4,3,7,False,0,0,1,0,0,0,0,0,0.8646219762808891,4,0.2004860240150412,7,2,0,0,1.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,1,1813.931468693631,0.0,0.0,3,0,0,0.0,0,0,1.1428571428571428,0,0,0,0,0.0,0,2,0,0,11,71,0.0,0,0,51.400000005960464,0,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,73,0,2,3,0,0,0,8,0,0,3,0,0,0.2372967531474458,0,0,0,0,0,2,0,9,0,0.6846034526824951,0.706605552115551,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.9165610907058,-0.2646185968346916,-44.48900159283253,330.04554490206914,734.6143021377083,753.1376039161368
7,0,0,19802,0,3,1513,6184,1513,20292,2,1,0,0,False,False,False,False,14525,0,0,2,2,6,0,4,1,1154,115183,14219,8686,8,0,0,0,34808,2241,12761,0,0,122,122,36,44,6,12,5,4,100,26,4,221270,0,0,6544,0,286,115,41,1,0,71278,4463,1203,1,1,10,0,38,1,12,6,False,0,0,1,0,0,0,0,0,0.4424698309907435,1,0.1688368012716992,2,1,0,1,0.0,0.0,0,0,26,0,0,0,0,0,1,980.2026365,0,0,2258.5714589,0.0,0.0,7,0,0,0.0,1,0,6.5,1,0,1,1,0.0,0,0,0,0,8,78,0.0,0,0,12.599999994039536,0,1.0,0,0.0,1,0,0,0,0,0,1,0,12,0,0,0,1,0,1,12,81,0,1,5,0,0,0,13,0,0,3,0,0,0.1946045008944629,0,2,0,0,0,1,0,13,0,-0.1419808268547058,1.0273003485478704,12,1,1,1399.4164830999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.717267354555606,0.2125237163112723,2.895635634741085,389.07779363686177,555.8557800121328,601.7609027353675
8,0,0,13393,0,6,3705,6649,3705,8876,4,3,1,0,True,False,False,True,11400,0,1,0,2,6,0,2,2,914,63323,11208,4934,0,0,0,0,14839,1590,9091,0,0,73,84,30,32,4,14,2,4,200,18,0,113861,0,0,2667,0,184,58,163,1,0,35698,3028,709,1,2,0,0,29,4,4,11,True,0,1,0,1,0,0,0,0,0.7362760792921099,3,0.1477102325618638,4,3,0,0,1.0,0.0,0,0,16,0,0,0,0,0,1,795.7750570999999,3,1,1531.4825823,0.0,0.0,6,0,0,0.0,0,1,3.5,0,0,0,3,0.0,0,0,0,0,8,78,1.0,0,0,73.59999999403954,0,3.0,0,0.0,0,0,1,1,0,2,0,0,8,0,0,0,0,0,0,20,72,0,1,4,0,2,1,14,0,0,4,0,1,0.1667161090111943,0,2,0,0,3,2,0,8,0,0.1662884950637817,1.165225272420312,4,4,0,0.0,0.0,0.0,0.0,1230.5045886,0.0,10.777688500000068,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,130.10921724016526,0.0391777227462105,83.8403266768906,451.954209600285,620.0658179042745,577.3229223881588
3,0,0,11695,0,7,2880,4140,2880,9638,5,4,1,0,False,False,False,False,9175,0,0,1,1,7,0,3,2,560,62847,15127,3397,0,0,0,0,10047,1126,12970,0,0,64,70,22,30,2,4,3,12,200,26,0,102406,0,0,3125,0,167,89,119,1,0,29511,4193,907,1,1,7,0,28,5,5,8,False,0,0,0,0,0,300,0,0,0.5994124114853816,4,0.2029490267284371,5,6,0,0,0.0,0.0,0,0,20,0,0,0,0,0,1,816.1240242505156,0,2,1394.19298000184,0.0,0.0,4,0,0,0.0,0,0,2.0,0,0,1,0,0.0,0,2,0,0,14,76,0.0,0,0,6.0,0,2.0,0,0.0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,38,96,0,2,4,0,2,0,10,0,0,4,1,0,0.3007460565126492,0,2,0,0,3,1,10,8,0,1.1040496826171875,1.2192720082022623,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.337817308441437,0.0430356491967997,6.369276081126359,419.64061531799416,879.949919126964,743.4408398747153
5,0,0,12608,0,3,1523,2873,1523,9741,6,3,0,0,False,False,False,False,9425,0,0,2,0,3,0,0,1,370,72663,15073,6083,1,0,0,0,14274,2422,10535,0,0,109,130,44,39,3,12,4,4,100,33,0,144265,0,0,2277,0,190,89,151,1,0,57327,5485,771,0,0,11,0,29,3,6,8,False,0,0,1,0,0,150,0,0,0.7650541031243494,3,0.1515698297656735,6,4,0,0,0.0,0.0,0,0,30,0,0,0,0,0,1,896.8234121689176,0,2,1813.083309573935,0.0,0.0,5,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,1,0,0,14,69,0.0,0,0,45.79999998211861,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,109,0,0,5,0,2,0,8,0,0,1,0,0,0.2437742449391837,0,0,0,0,4,0,0,9,0,2.2650604248046875,0.9812071965150956,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.87705230733374,-0.3309279815393573,-127.10943770926714,325.434577045804,760.505594375597,575.4837598969424
5,0,0,14826,0,1,1686,2680,1686,11834,7,1,0,0,False,False,False,False,11525,0,0,1,0,4,0,0,1,826,84116,15592,10165,4,0,0,0,13818,1366,11364,0,0,134,148,28,36,5,12,3,4,100,23,4,138143,0,0,2743,0,199,109,239,1,0,40208,5798,762,1,1,5,0,28,1,5,13,False,0,0,1,0,0,300,0,0,0.7698932288164431,1,0.1600401615548646,7,7,0,0,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,0,0,1949.4232145226288,0.0,0.0,5,0,0,0.0,0,0,1.2857142857142858,0,0,0,0,0.0,0,2,0,0,4,60,0.0,0,0,15.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,42,87,0,1,7,0,1,0,9,0,0,4,0,1,0.2556556908753804,0,1,0,0,1,1,0,9,0,-0.4852903485298157,0.8654819226470374,5,3,1,0.0,0.0,0.0,0.0,1433.7648713592591,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-60.387092511785376,-0.3693400153626017,-35.27197146712846,367.6164286242429,700.4225608005605,686.0798568706462
10,0,0,15364,0,5,5212,8784,5212,7617,3,2,0,0,False,False,False,False,9130,0,1,1,0,1,0,0,1,769,84723,12855,9128,0,0,0,0,19295,1702,6493,0,0,82,137,25,32,4,12,2,4,100,18,0,140906,0,0,4613,0,226,72,117,1,0,36887,3181,676,0,4,6,0,19,2,2,7,True,0,0,0,1,0,0,0,0,0.6278725002935048,2,0.1439021700489155,3,1,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,1,1766.107958061843,0.0,0.0,6,0,0,0.0,0,0,3.6666666666666665,0,0,0,0,0.0,0,0,0,0,5,89,0.0,0,1,19.99999997019768,3,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,66,0,0,5,0,0,0,11,0,0,2,0,1,0.1786136364452016,0,1,0,0,2,4,0,10,0,-0.3279841542243957,0.6550313710822575,2,1,2,0.0,0.0,0.0,0.0,1268.5064633117156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-55.13819217873096,0.0,-15.627583735191768,361.4048603803696,602.6471910403625,553.6920863394683
12,0,4,15433,0,6,5615,12190,5615,11614,3,3,3,0,False,True,False,False,11400,0,1,0,4,13,0,4,2,446,80815,15761,9238,4,0,0,0,15902,2765,13555,0,0,90,138,38,48,4,3,4,4,100,28,2,133961,0,0,8975,0,180,115,89,1,0,37242,4859,1580,3,5,3,0,31,4,6,5,True,0,0,2,1,0,0,0,0,0.2016943289111503,3,0.2337108675794075,3,3,0,2,1.0,0.0,0,0,22,0,0,0,0,0,1,770.7668109338974,1,1,1569.4555837500736,0.0,0.0,11,0,0,0.0,0,0,8.333333333333334,1,0,4,2,0.0,0,0,0,0,13,67,0.0,0,0,50.0,0,3.0,0,0.0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,22,80,0,4,2,0,0,0,25,0,0,12,1,1,0.2358527568668687,0,1,0,0,2,5,0,8,0,0.6666293144226074,1.1956487462546808,6,3,1,767.5023780333657,0.0,0.0,0.0,1245.1745238135968,0.0,31.34439458133056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,137.62734175878194,0.6116770744834753,195.1249867602286,521.5311656314731,894.0425039919096,931.775333524109
0,0,0,10552,0,4,696,1222,696,7886,5,2,0,0,False,False,False,False,7050,0,0,2,0,1,0,0,1,533,55510,6850,4479,0,0,0,0,15076,1140,10476,0,0,78,47,23,22,3,12,3,4,200,14,0,104310,0,0,2272,0,190,43,120,1,0,33723,2677,855,1,1,10,0,19,2,5,5,False,0,0,0,0,0,150,0,0,0.4969342160378418,2,0.1390576213144841,5,1,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,0,1353.3540922919717,0.0,0.0,0,0,0,0.0,0,0,0.2,1,0,0,1,0.0,0,0,0,0,12,85,0.0,0,0,30.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,57,0,0,3,0,4,0,1,0,0,1,0,0,0.2497188067763238,0,0,0,0,1,1,0,9,0,-0.0898072719573974,0.8694593172437719,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.13588884550998,-0.4876772485183516,-52.13713129614377,334.5022581882693,472.9582624721613,700.9695433021507
15,0,0,22372,0,13,734,2831,734,17801,9,10,0,0,False,False,False,False,16900,0,0,0,3,7,0,2,1,736,152314,24033,17595,1,0,0,0,24052,2387,17260,0,0,131,285,72,55,6,4,10,14,100,16,0,235966,0,0,8510,0,299,66,306,1,0,59599,6097,1357,0,0,9,0,56,10,12,13,True,0,0,1,0,0,150,0,0,0.8135231175627474,10,0.1643790629432026,9,12,0,1,0.0,0.0,0,0,15,0,0,0,0,0,1,823.85102629196,0,4,2813.47490057167,0.0,0.0,8,0,0,0.0,0,0,2.4444444444444446,0,0,0,0,1.0,0,1,0,0,10,56,0.0,0,0,3.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,63,88,0,2,3,0,0,0,22,0,0,5,0,0,0.1727244596793601,0,1,0,0,1,0,5,14,0,0.284192681312561,1.211810417312278,12,4,1,1968.0107730814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.50865257894926,0.0853037643773663,-80.63338327770555,370.8367896895059,693.4769525057999,772.2976307904863
