assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,24538,0,6,8778,10739,8778,34432,7,0,1,0,False,False,False,True,22800,0,1,3,4,18,0,8,2,794,197314,49893,24581,12,0,0,0,19992,1510,20877,0,0,191,61,170,39,7,14,6,4,100,2,4,227314,0,4,6771,0,235,123,236,1,0,10007,1239,1597,3,5,10,0,17,0,4,4,False,0,0,1,0,0,300,0,0,0.0,0,0.2035538400718234,7,10,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,984.5156448806538,0,1,2660.34973680319,0.0,0.0,0,0,0,0.0,0,0,3.571428571428572,1,0,2,6,0.0,0,1,1,0,12,62,0.0,1,0,40.0,0,3.0,0,0.0,1,0,1,0,0,3,0,0,15,0,0,1,0,0,1,56,55,0,8,4,0,2,1,25,0,0,6,0,0,0.308725209886646,0,0,0,0,3,5,0,11,0,-0.6646906137466431,0.3868030710882373,5,3,0,0.0,0.0,0.0,1740.0228679195648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.47062272994576,0.1578739795710819,38.83699897448616,443.5131154664752,1187.2799866514952,1061.2739975281188
11,0,0,18192,0,2,8233,8883,8233,19009,5,0,2,0,False,True,False,False,15000,0,1,1,3,14,0,8,2,1078,134480,33571,11036,0,0,0,0,17778,1906,18956,0,0,158,40,128,29,8,14,5,4,200,2,0,158042,0,0,3250,0,204,58,140,1,0,5784,1288,1316,1,4,6,0,10,0,2,4,True,0,0,0,0,0,300,0,0,0.0,0,0.2048777199764218,5,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,668.8620039991789,1,4,2020.2081382529825,0.0,0.0,0,0,0,0.0,0,0,5.0,5,0,2,3,0.0,0,2,0,0,10,61,0.0,1,1,10.0,1,2.0,0,0.0,0,0,2,0,0,1,0,0,19,0,0,0,0,0,0,28,50,0,3,4,0,2,0,25,0,0,8,0,0,0.2727401769763026,0,0,0,0,3,4,0,9,0,-0.580213189125061,0.3259677121877916,2,1,1,0.0,0.0,0.0,1543.5612482608135,0.0,0.0,40.59122461547827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.66279212081916,0.4157987407804464,116.423647418525,476.2380577438898,1091.9468931095637,929.8744839353568
0,0,0,10995,0,3,576,576,576,14745,7,0,0,0,False,False,False,False,8650,0,0,2,1,6,0,3,1,603,71629,16595,14567,0,0,0,0,10991,1010,8369,0,0,110,27,50,17,4,4,3,12,200,2,0,83172,0,0,17,0,160,90,225,1,0,552,54,595,0,0,9,0,6,0,1,1,False,0,0,0,0,0,300,0,0,0.0,0,0.2766514540521593,7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,883.6059017607431,0,0,1393.6392227138413,0.0,0.0,0,0,0,0.0,0,0,0.8571428571428571,0,0,1,2,0.0,0,2,0,0,12,77,0.0,0,0,16.0,0,2.0,0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,46,0,4,1,0,0,0,6,0,0,5,0,0,0.4103726982909874,0,0,0,0,0,0,0,7,0,-0.6624364256858826,0.2875579096825669,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22891106030493,-0.0861054984993342,-44.55959547340547,369.8231160546406,760.3115517491213,1013.1172953431668
2,0,8,12260,0,3,1008,1008,1008,6709,3,2,1,0,False,False,False,False,8535,0,0,0,1,8,0,8,2,460,69321,11485,1780,8,0,0,0,13198,1290,11342,0,0,124,30,55,18,2,12,3,4,100,1,0,82525,0,0,486,0,130,51,58,1,0,5,0,684,0,1,3,0,21,2,3,6,True,0,0,0,0,0,825,0,0,0.7136892090844303,2,0.2447488291865923,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1376.4288279212633,0.0,0.0,0,0,0,0.0,0,0,3.333333333333333,0,0,1,1,0.0,0,1,0,0,8,36,0.0,1,0,9.0,6,2.0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2,15,36,0,1,4,0,2,0,10,0,0,3,0,1,0.2389736217387927,0,0,0,0,2,1,0,5,0,0.0659801959991455,0.9226714682981516,3,2,0,0.0,0.0,0.0,1362.9958191093845,1258.7031784348462,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,103.22364449063072,0.1307731982567112,110.85208105560554,448.3777057561772,556.9194603092475,601.8618494434705
7,0,0,19636,0,6,0,1088,0,33795,8,4,1,0,False,False,False,False,14150,0,0,6,2,12,0,7,3,668,158947,24874,13683,4,0,0,0,19710,1415,29244,0,0,182,31,92,29,3,12,4,4,200,2,4,183022,0,0,777,0,239,101,368,1,1,4364,486,1109,0,0,11,0,23,4,4,8,False,0,0,6,1,0,375,0,0,0.7731716750697072,3,0.2467108126785154,8,10,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,2200.1277841,0.0,0.0,0,0,0,0.0,0,0,2.375,2,0,2,3,2.0,0,2,0,0,11,75,1.0,0,0,14.599999994039536,0,2.0,0,0.0,0,0,2,1,0,8,0,0,11,0,0,0,0,0,0,55,51,0,3,4,0,0,0,19,0,0,8,0,1,0.2498562574926781,0,0,0,0,0,0,0,11,0,-0.3359213471412658,0.6436307729590943,4,2,0,0.0,0.0,0.0,0.0,1640.4220901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.70678459284859,0.2181691461145527,-28.961954146706876,411.0306712798173,730.2121320454079,1200.9393359308197
3,0,0,9513,0,3,593,593,593,7385,2,1,2,0,False,False,False,False,7925,0,0,0,2,5,0,3,2,1018,54240,9716,6655,0,0,0,0,11717,876,7511,0,0,79,20,40,10,2,4,2,12,200,0,0,65957,0,0,1372,0,134,40,76,1,0,0,0,82,1,1,0,0,12,1,1,5,True,0,0,0,0,0,0,0,0,0.1527853797658775,1,0.2210093121970559,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,719.2554432999999,0,0,1139.9371816,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,1,3,0.0,0,0,0,0,4,73,0.0,0,0,19.0,0,2.0,0,0.0,0,0,2,1,0,2,0,0,6,0,0,0,0,0,0,3,23,0,1,4,0,0,0,8,0,0,4,0,0,0.1902329056000644,0,2,0,0,1,1,5,6,0,0.199735403060913,0.6516111955663831,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,117.00644750686146,0.2631723965516452,53.73980337584595,398.8114497343632,557.5570393343156,749.9886956928785
3,0,13,16409,0,1,182,182,182,14724,1,0,3,0,True,False,False,False,12665,0,0,0,1,14,0,13,2,396,109634,20863,7038,8,0,0,0,17885,1668,15204,0,0,132,22,81,26,4,14,3,4,200,1,8,132387,0,0,3521,0,195,64,16,1,0,4867,556,257,0,0,3,0,14,0,2,9,True,0,0,2,0,0,0,0,0,0.0,0,0.2075628484061539,1,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1582.0476738,0.0,0.0,0,0,0,0.0,1,0,17.0,1,0,1,4,0.0,0,0,0,0,12,63,0.0,1,0,1.0,0,2.0,0,0.0,0,0,3,2,0,3,0,0,6,0,0,0,0,0,0,34,42,0,10,9,0,2,0,17,0,0,6,0,1,0.2705992110864396,0,2,0,0,0,0,5,8,0,-0.3083956837654114,0.5620900848210751,2,2,0,0.0,0.0,0.0,1073.0120361,1354.2568202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.36170305084772,0.4551063864406789,138.57989467118674,497.3554293152553,875.6246875118663,853.324474576273
7,0,0,17125,0,4,1405,5686,1405,20240,4,0,2,0,False,False,False,False,13275,0,0,1,3,14,0,7,2,1001,111037,35996,11277,4,0,0,0,13878,1533,17979,0,0,146,24,87,26,4,12,4,4,100,2,0,127611,0,0,3773,0,177,97,190,1,0,2695,72,618,0,1,6,0,11,3,1,3,True,0,0,0,0,0,0,0,0,0.0,0,0.2154937580744673,4,7,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,2,1817.874669887297,0.0,0.0,0,0,0,0.0,1,0,5.25,2,0,2,1,1.0,0,0,1,0,14,83,1.0,0,1,10.0,2,2.0,0,0.0,1,0,2,0,0,2,0,0,14,0,0,0,0,0,1,38,69,0,4,3,0,2,0,21,0,0,9,1,1,0.2841999758505825,0,1,0,0,2,1,0,8,0,-0.3901371955871582,0.3821201437359998,1,0,0,1323.198833623958,0.0,0.0,0.0,1607.0267739601854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-43.864410083311,0.4290724838849082,20.628484802159047,435.4095544161314,1241.0756568492552,986.0415735432024
3,0,6,7845,0,4,0,710,0,4160,0,1,2,0,True,False,False,False,5475,0,0,0,1,6,0,6,2,0,43914,10149,5704,0,0,0,0,8379,922,3412,0,0,89,19,36,9,2,4,3,12,100,1,0,52294,0,0,285,0,112,45,0,1,0,0,0,0,0,0,1,0,16,1,1,7,True,0,0,0,0,0,0,0,0,0.7344304405797201,1,0.1951834077786239,0,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1010.0295630753322,0.0,0.0,0,0,0,0.0,0,0,9.0,0,0,1,1,2.0,0,0,0,0,14,62,0.0,0,0,9.0,3,1.0,0,0.0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,33,40,0,1,5,0,0,0,9,0,0,7,0,0,0.2948863446357818,0,1,0,0,0,0,0,5,0,0.0610891580581665,0.9568487663264112,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.16535568412762,0.4752336144879747,53.04795221722018,398.1863647391118,657.7233224513569,541.5881079108582
5,0,5,14530,0,6,1755,1755,1755,11868,5,4,5,0,True,False,False,False,11705,1,1,0,4,16,0,5,3,384,97207,22833,7615,0,0,0,0,11394,1412,13291,0,0,126,27,55,19,4,14,3,4,200,1,0,114031,0,0,1434,0,158,42,166,1,1,5429,534,740,0,0,2,0,20,5,4,6,True,0,0,0,0,0,375,0,0,0.7175045708449516,4,0.2567173464861015,5,11,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,854.6183030860584,1,3,1493.1217016278026,0.0,0.0,0,0,0,0.0,0,0,4.2,1,0,3,4,3.0,0,2,0,0,9,57,0.0,0,0,2.5999999940395355,3,3.0,0,0.0,1,0,6,1,0,6,0,0,8,0,0,0,0,0,0,57,47,0,5,2,0,4,0,21,0,1,9,0,1,0.3306596274031442,0,1,0,0,1,0,5,7,0,-0.063951551914215,0.814541916698154,4,4,0,0.0,0.0,0.0,0.0,1407.4689250115946,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.33649797223737,0.6027639937312673,164.91622868487474,503.4686718306032,995.7661176440536,869.8688114867163
