assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,9717,0,3,1564,1564,1564,12482,7,2,0,0,False,False,False,False,7475,0,0,0,1,3,364,3,1,462,3821,1111,8708,0,0,0,0,75432,10825,7848,0,0,81,8,72,6,3,14,3,4,200,0,0,88217,0,0,2009,0,143,0,214,1,0,8963,874,373,0,0,3,0,19,2,4,6,False,0,0,0,0,0,150,0,0,0.7707117270441012,2,0.23112611185097,7,67,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,799.3391569791754,0,0,1376.4288279212633,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,1,0,0.0,0,1,0,0,12,52,0.0,0,0,16.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,339,47,0,2,4,0,0,0,7,1,0,7,0,0,0.3197814390504426,0,2,0,0,1,0,0,6,0,-0.06189626455307,0.8655615412576947,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.22364449063072,-0.1307731982567112,-110.85208105560554,345.1540612655465,558.4451476222424,737.9967488287069
5,0,8,14702,0,6,1846,15191,1846,8247,2,3,1,0,False,False,False,False,10995,0,0,0,1,9,414,8,2,335,14718,3268,3250,3,0,0,0,112608,14381,6118,0,0,66,24,101,9,7,14,2,4,200,2,0,139978,0,2,3067,0,217,34,44,1,0,12650,3049,1451,1,2,1,0,29,3,6,11,True,0,0,0,1,0,0,0,0,0.6710545322260738,3,0.1789672727094163,2,0,0,2,0.0,0.0,0,0,0,2,0,0,0,0,1,706.545963186266,0,0,1442.9178841606667,0.0,0.0,0,0,0,0.0,0,0,7.0,0,0,1,2,1.0,0,2,0,0,13,87,0.0,1,0,51.75,1,2.0,0,0.0,0,0,1,0,0,3,0,0,8,0,0,0,0,0,0,1,47,0,4,8,0,0,0,14,0,0,2,0,1,0.2591728064091432,0,1,0,0,2,2,5,10,0,1.347236156463623,1.2079227575886793,6,6,1,1064.368373793974,0.0,0.0,1425.4342066647914,1293.688119169448,0.0,20.55630821048157,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,158.13789717682403,0.3742416709417345,101.75215208826936,522.4829550425438,860.714260758107,449.88007087984727
6,0,0,12264,0,5,1660,6459,1660,15326,8,2,0,0,False,True,False,False,11200,0,0,0,1,6,449,3,1,391,16842,3829,5429,6,0,0,0,104222,11986,11749,0,0,69,11,74,7,4,14,4,4,200,0,5,127014,0,0,2387,0,179,11,263,1,0,5949,1591,1611,0,1,6,0,18,2,6,9,False,0,0,5,0,0,450,0,0,0.7093825366606843,2,0.1621379751830489,8,6,0,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,1628.2678122244229,0.0,0.0,0,0,0,0.0,0,0,1.5,3,0,1,1,0.0,0,3,1,0,16,78,0.0,0,0,12.400000005960464,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,32,52,0,2,5,0,0,0,12,0,0,6,0,0,0.2294495580350468,0,0,0,0,3,1,0,8,0,-0.349415123462677,0.6939125848619876,6,2,0,1055.9184207229218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-37.88074635937021,-0.2210938503465187,-92.1224376443828,415.87753250180174,641.4669578053663,692.3922413351811
0,0,0,7313,0,5,1576,3163,1576,5307,3,1,1,0,False,False,False,False,4525,0,0,0,1,2,0,2,2,539,3335,915,2897,0,0,0,0,57895,8380,3509,0,0,50,9,42,7,3,14,2,4,200,0,0,64980,0,0,1322,0,130,1,51,1,0,3749,508,1380,0,0,2,0,13,2,1,6,False,0,0,0,0,1,0,0,0,0.4766420483683751,1,0.1727808176127916,3,3,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,948.7265570769172,0.0,0.0,0,0,0,0.0,0,0,0.6666666666666666,0,0,0,2,0.0,0,0,0,0,16,86,0.0,0,0,52.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,21,51,0,0,4,0,0,0,2,0,0,2,0,0,0.2759394977011753,0,0,0,0,2,0,0,6,0,-0.2022913694381714,0.8558933215851926,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.601003038369079,-0.3794560163986358,45.09202328203789,355.8032580431209,620.0311307953709,492.4706666160296
13,0,5,12259,0,4,5170,6747,5170,11610,1,2,0,0,True,False,False,False,8925,2,2,0,2,7,401,5,1,960,8920,3012,4304,8,0,0,0,88493,15520,8004,0,0,103,12,107,11,5,14,2,4,100,1,4,108775,0,4,3369,0,150,29,35,1,0,11361,2302,325,3,4,2,0,18,3,4,4,True,0,0,1,1,0,0,0,0,0.6116867982620303,2,0.1891860510189055,1,3,0,0,0.0,0.0,0,0,0,6,0,0,0,0,1,581.9704147635366,0,0,1376.1852531899403,0.0,0.0,0,0,0,0.0,1,0,20.0,4,0,1,1,0.0,0,0,0,0,12,76,1.0,0,0,16.0,1,2.0,0,0.0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,18,60,0,3,2,0,0,0,20,0,0,9,0,1,0.2673552730583161,0,2,0,0,2,4,10,7,0,0.667566180229187,0.8178541896980543,4,3,0,0.0,0.0,0.0,0.0,1317.4454120549622,1.0,33.77621510453196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.37144423061002,0.6975805021705906,73.94353323008261,489.134728365741,908.380610170266,550.8706028078383
8,0,0,13877,0,4,3056,7483,3056,14798,5,4,1,0,False,False,False,False,9950,0,1,0,1,7,411,3,2,342,9831,2249,5701,4,0,0,0,100427,14059,9395,0,0,65,21,99,13,4,14,3,4,100,0,2,115395,0,0,3349,0,178,0,166,1,0,5137,1432,1499,1,4,1,0,40,4,5,14,True,0,0,2,1,0,0,0,0,0.8127780557194096,4,0.1668415065935127,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,3,1696.497776311243,0.0,0.0,0,0,0,0.0,1,0,3.0,0,0,1,1,1.0,0,1,0,0,6,82,0.0,0,0,31.0,3,1.0,0,0.0,0,0,1,0,0,4,0,0,9,0,0,0,0,0,0,10,58,0,3,4,0,5,0,15,0,0,4,1,1,0.2167913825407958,0,0,0,0,0,4,0,8,0,1.5010995864868164,1.4197670196975152,5,5,0,0.0,0.0,0.0,0.0,1370.2077080020483,0.0,29.13570032605492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.48019455051573,0.1061009348278549,61.46780824360396,392.007587210648,627.4809285719341,586.9503714676935
6,1,3,15935,0,4,5124,23826,5124,17142,7,0,1,0,False,False,True,False,14000,0,1,0,1,5,453,3,2,430,16287,3684,2617,12,0,0,0,139753,14885,18532,0,0,79,32,142,10,4,14,2,4,100,2,0,160833,0,0,5315,0,187,48,224,1,0,4792,949,1187,2,5,5,0,28,0,8,13,True,0,0,2,2,0,850,0,0,0.0,0,0.1831031002789274,7,2,0,1,0.0,0.0,0,0,0,0,1,0,0,0,1,721.310628318027,0,0,2047.816978781192,0.0,0.0,0,0,0,0.800000011920929,0,1,1.5714285714285714,1,0,1,2,0.0,0,0,0,0,16,69,0.0,0,0,5.0,8,1.0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,2,14,70,0,0,5,0,0,0,11,0,0,2,0,2,0.1987092206888915,0,1,0,0,4,5,5,8,0,0.3090484142303467,0.8477208612093701,8,3,0,1725.259253882696,0.0,0.0,0.0,1423.5405249933065,0.0,24.531555346204183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.63963561811146,0.0292994933735291,9.141441932541092,399.2934956944552,571.8675116645418,654.4334839911469
14,0,0,15415,0,4,3692,18923,3692,15439,4,3,0,0,False,False,True,False,11675,0,0,0,2,8,439,5,1,564,11586,3865,1722,4,0,0,0,120243,15666,13135,0,0,129,24,131,13,5,14,4,4,100,1,0,140127,0,0,3370,0,161,20,120,1,0,8297,794,1616,2,5,2,0,26,3,1,12,True,0,0,0,1,0,150,0,0,0.6581524417196754,3,0.1746845017126155,4,0,0,2,0.0,0.0,0,0,0,0,1,0,0,0,1,823.5680188,0,3,1724.8485084,0.0,0.0,0,0,0,0.0,1,1,5.5,3,0,2,1,1.0,0,1,0,0,13,66,0.0,0,0,5.999999970197678,5,3.0,0,0.0,0,0,0,0,0,1,0,0,17,0,0,0,2,0,0,0,62,0,1,4,0,2,0,22,0,0,5,0,1,0.1929328118765336,0,2,0,0,0,5,0,7,0,0.540764331817627,0.916162492409114,1,0,0,601.9856988,0.0,0.0,0.0,1326.8922246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.62543796185363,0.4869992906097005,138.30779853315494,430.29865891728537,707.0881843016701,573.0242367295426
9,0,0,9756,0,7,1853,11473,1853,8959,5,6,0,0,False,True,False,False,8700,0,0,2,1,3,344,2,1,642,5978,1009,5526,4,0,0,0,74009,8495,7767,0,0,116,24,109,6,5,14,4,4,100,1,4,88607,0,0,286,0,132,6,113,1,0,8619,1263,1386,0,0,9,0,36,6,7,14,False,0,0,1,0,0,500,0,0,0.8849040456892732,6,0.1515983857189186,5,4,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1625.8886424,0.0,0.0,0,0,0,0.0,0,0,2.4,5,0,0,2,0.0,0,0,0,0,22,54,0.0,0,0,21.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,23,55,0,1,4,0,2,0,12,0,1,6,0,0,0.1887389385307959,0,1,0,0,3,0,5,6,0,0.3459762334823608,1.3405875504304436,7,2,1,1054.4385803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.443519658846716,-0.0369028963210131,-95.35708409349792,352.3119511767124,397.3703875846694,541.7345179924728
8,0,0,12326,0,5,3132,4428,3132,10849,6,2,1,0,False,False,False,False,9450,0,0,0,1,4,432,2,2,410,5869,1095,5233,4,0,0,0,92311,9603,11115,0,0,91,17,109,7,3,4,5,14,100,0,0,103703,0,4,1881,0,163,1,146,1,0,5522,967,141,1,2,2,0,13,2,3,4,True,0,0,0,0,0,0,1,0,0.4806907018138534,2,0.1905175913358313,6,2,0,1,0.0,0.0,0,0,0,1,0,0,0,0,1,627.2238136964013,1,0,1302.1280251810936,0.0,0.0,0,0,0,0.0,0,0,2.0,2,0,0,1,0.0,0,1,0,0,11,71,0.0,0,0,31.0,0,2.0,0,0.0,0,1,1,0,0,2,0,0,8,0,0,0,0,0,0,10,38,0,2,2,0,0,0,12,0,0,7,0,1,0.1584344815765614,0,2,0,0,2,2,15,7,0,-0.2797789573669433,0.6261641427214347,3,3,0,1204.7837330287068,0.0,0.0,0.0,1222.724057562216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.628423053589128,0.0921568368696395,72.57350903484118,444.149875293228,537.5508294606077,759.8331199901784
