assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,4,12533,0,5,3028,8019,3028,7402,4,3,1,0,False,False,False,False,8810,0,1,0,3,9,0,4,2,440,94682,16462,6013,8,0,0,0,9337,1871,10109,0,0,81,17,85,100,4,4,3,12,200,39,4,109442,0,4,2693,0,135,945,97,1,0,5422,707,108,2,4,1,0,17,3,4,8,True,0,0,1,1,0,0,0,0,0.6696171066015444,3,0.1678223497406103,4,0,0,1,0.0,0.0,0,0,42,7,0,0,0,0,1,740.9017038157859,0,0,1476.474508419691,0.0,1.0,10,0,0,0.0,0,0,4.5,2,0,2,1,1.0,0,0,0,0,6,69,0.0,0,0,22.00000002980232,3,1.0,0,0.0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,7,18,0,0,5,0,0,0,18,0,0,4,0,1,0.2104571446242408,0,2,0,0,0,4,0,6,0,-0.3555308580398559,0.717634841318481,4,3,0,1403.7107199564375,0.0,0.0,0.0,1313.8124805741147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.11695592664532,0.1625493692111747,73.63486425266214,427.789302421509,773.7349974451917,659.5440655743414
3,0,0,17160,0,7,408,3834,408,28448,5,2,0,0,False,False,False,False,10650,0,0,2,0,2,0,0,1,717,133489,12588,14856,8,0,0,0,16965,1226,22069,0,0,98,22,66,152,3,12,4,4,100,43,0,156868,0,0,8614,0,223,1286,170,1,0,6413,108,1195,0,0,10,0,22,3,4,7,False,0,0,0,0,0,600,0,0,0.3129560201767704,2,0.3122663572932617,5,13,0,1,0.0,0.0,0,0,44,0,0,0,0,0,0,0.0,0,0,2032.9411607055283,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,0,1,0.0,0,0,0,0,1,72,0.0,0,0,25.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,69,16,0,1,5,0,0,0,5,0,0,0,0,0,0.1699177905451618,0,1,0,0,0,0,5,10,0,-0.4726742506027221,0.6600638811647406,4,2,0,786.9865495195279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.20659788298268,-0.2656250020598698,-21.279514053907345,328.69618310453,410.8923642975008,1125.098967058255
8,0,1,13897,0,5,5327,8881,5327,12884,4,2,0,0,False,False,False,False,9250,0,1,0,1,7,0,4,1,477,105876,16238,7550,12,0,0,0,12677,1176,14774,0,0,80,18,66,89,4,14,4,4,100,37,0,121342,0,10,2573,0,149,1039,142,1,0,2787,1766,1398,2,4,2,0,16,2,0,9,True,0,0,0,1,0,0,0,0,0.5834257666463069,2,0.2449764057150047,4,2,0,0,0.0,0.0,0,0,41,14,0,0,0,0,1,859.660368457227,0,1,1355.1010014689025,0.0,1.0,9,0,0,0.0,1,0,3.75,2,0,1,1,0.0,0,1,0,0,3,66,0.0,0,0,11.000000029802322,0,1.0,0,0.0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,15,18,0,2,6,0,2,0,15,0,0,8,0,1,0.248921350044633,0,2,0,0,1,4,5,7,0,-0.1615801453590393,0.722447643223718,0,0,0,0.0,0.0,0.0,0.0,1296.0689536277018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.82926505678169,0.2656628543627133,69.33800498866817,470.53319221875904,849.2798682552007,1050.3423718653808
6,0,0,6559,0,6,600,600,600,4055,3,2,0,0,False,False,False,False,4650,0,0,0,1,2,0,2,1,355,38490,6673,2917,0,0,0,0,9037,760,7681,0,0,50,9,39,42,2,4,2,12,100,21,0,47528,0,0,1010,0,115,551,69,1,0,0,0,134,1,1,2,0,8,2,0,6,False,0,0,0,0,0,0,0,0,0.0218299564393587,2,0.2168868926656952,3,2,0,0,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,0,954.4913042602265,0.0,1.0,3,0,0,0.0,0,0,2.6666666666666665,0,0,0,0,0.0,0,0,0,0,3,66,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,11,9,0,0,4,0,2,0,8,0,0,8,0,0,0.2943969869465705,0,1,0,0,2,1,0,4,0,0.2107083797454834,0.5500479882689205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.60287064368247,0.0628607088741397,-34.00764350090958,435.3732696622917,467.3065097703546,674.6839883461415
6,0,3,14400,0,5,4778,4778,4778,8404,3,3,1,0,False,False,False,False,9525,1,1,0,3,8,0,3,2,378,90811,12708,6130,4,0,0,0,9582,1449,9911,0,0,55,10,53,71,2,12,4,4,100,28,4,101460,0,0,1807,0,168,786,83,1,0,1067,687,2478,4,5,1,0,13,3,3,6,True,0,0,1,0,0,0,0,0,0.7251482484437078,3,0.2354381524170175,3,2,0,0,0.0,0.0,0,0,35,0,0,0,0,0,1,849.0217864178354,0,0,1305.982362923478,0.0,1.0,5,0,0,0.0,0,0,4.666666666666667,1,0,2,2,0.0,0,1,0,0,3,72,0.0,0,0,55.0,0,3.0,0,0.0,0,1,1,0,0,2,0,0,7,0,0,0,0,0,0,11,14,0,3,3,0,4,1,14,0,0,7,1,1,0.2099442767216019,0,2,0,0,4,5,10,8,0,0.5354820489883423,0.6081056274959302,3,3,0,0.0,0.0,0.0,0.0,1245.2881250907608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,171.04365751154376,0.2756545648856466,250.79971161845756,540.4667168857912,682.0153359545708,850.8537569470294
5,0,0,15768,0,3,3234,16335,3234,16453,3,1,0,1,False,False,False,True,12110,0,0,1,1,3,0,2,1,1498,151646,20639,13368,8,0,0,0,15203,1665,10461,0,0,71,16,86,155,4,4,2,12,200,39,0,173714,0,4,4895,0,230,1048,95,1,0,6865,960,267,1,3,8,0,17,1,0,9,False,0,0,0,0,0,150,0,0,0.791144211798316,1,0.1623022817565828,3,2,0,2,0.0,0.0,0,0,37,6,0,0,0,0,1,943.1498272,0,1,2009.5370773,0.0,1.0,3,0,0,0.0,0,0,2.6666666666666665,1,0,0,0,0.0,0,0,0,0,1,78,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,14,0,0,2,0,4,1,8,0,0,1,0,1,0.2585616284852423,0,2,0,0,2,3,5,10,0,-0.3472767472267151,0.5134986275726977,0,0,0,1127.6028804,0.0,0.0,0.0,1617.2028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.40104941595944,-0.1492881138590774,-56.34133417041581,369.3686513101293,694.6375937862872,719.4791359324377
20,0,2,20044,0,3,3775,11660,3775,28047,7,1,3,1,True,False,False,False,13625,0,1,1,4,12,0,4,2,429,154294,33803,20005,16,0,0,0,13818,2103,15184,0,0,113,27,88,130,3,12,5,4,100,62,10,172533,0,0,7040,0,196,1233,279,1,0,4420,1700,3456,1,3,6,0,29,1,10,6,True,0,0,6,0,0,375,0,0,0.4477280683690354,1,0.2068890971258593,7,12,0,1,0.0,0.0,0,0,81,0,0,0,0,0,1,866.3343611328326,0,4,2035.5143079041973,0.0,0.0,12,0,0,0.0,0,0,4.571428571428571,5,0,1,1,0.0,0,1,1,0,6,62,0.0,0,1,19.0,0,2.0,0,0.0,0,0,3,0,0,3,0,0,20,0,0,0,0,0,0,63,31,0,2,5,0,0,0,32,0,2,8,0,1,0.2001366117733688,0,2,0,0,2,3,0,9,0,0.0290395021438598,0.8703308098404282,10,4,0,1662.389358226584,0.0,0.0,0.0,1861.7058317705992,0.0,14.719967656818651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.4829098115797,0.0884297395017239,130.61072524404622,457.9186677197603,1108.5257378137771,1139.1519042612074
18,0,0,22944,0,12,1919,11555,1919,39755,7,9,1,1,False,False,False,False,18135,0,2,1,3,10,0,4,4,814,252126,42488,27465,20,0,0,0,16068,1390,24246,1,0,144,35,134,207,4,12,5,4,100,90,9,270936,0,0,11351,0,263,1829,327,1,1,2741,2521,2600,0,1,6,0,87,9,7,25,True,0,0,5,0,0,750,0,0,0.8174637373854401,9,0.2060565861597426,7,1,0,2,0.0,0.0,0,0,89,0,0,0,0,0,0,0.0,1,10,2763.1032874,0.0,0.0,14,0,0,0.0,0,0,4.0,6,0,1,2,0.0,0,1,0,0,3,80,0.0,0,1,61.0,10,2.0,0,0.0,0,0,3,0,0,1,0,0,24,0,0,0,0,0,1,14,34,0,0,4,0,2,0,28,0,0,3,0,0,0.2590811240316885,0,1,0,0,2,1,0,12,0,0.6690001487731934,1.8980640872370689,8,2,1,1215.1858283,0.0,0.0,0.0,0.0,0.0,28.45363569999972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.93897620122675,0.1302882891282538,71.39798244228312,393.7094950307285,1007.541054543642,1179.3695931889542
12,0,5,20058,0,6,3224,10479,3224,27847,3,4,0,0,False,False,False,False,13000,0,1,0,1,6,0,5,1,879,181099,22255,14122,34,0,1,0,14065,1366,17788,0,0,143,30,123,161,5,12,4,4,200,60,22,203764,0,11,10393,0,235,1495,90,1,0,8600,1914,1271,0,4,3,0,52,4,6,16,True,0,0,13,2,0,300,1,0,0.8482740445408626,4,0.2025644196858444,3,18,0,1,0.0,0.0,0,0,76,6,0,0,0,0,0,0.0,0,4,2140.635966102752,0.0,1.0,11,0,0,0.0,0,0,6.0,3,0,1,2,0.0,0,1,0,0,1,73,0.0,0,0,35.000000059604645,10,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,95,25,0,0,4,0,20,0,18,0,0,2,0,1,0.2394854601503679,0,1,0,0,3,4,0,11,0,0.4730252027511596,1.475647699657937,6,2,0,771.4881830256776,0.0,0.0,0.0,1704.9046510637747,0.0,18.458757105961013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.07784822570537,0.1962033744414064,67.69016418228522,394.6210441086515,715.7499099622506,930.0600529592496
10,0,3,21161,0,4,1809,2308,1809,19913,1,2,1,0,False,False,False,False,12850,0,0,3,1,4,0,3,2,1188,223400,23756,23681,4,0,0,0,15467,759,10913,0,0,89,19,100,138,2,4,3,12,100,42,4,238867,0,0,10143,0,299,1524,39,1,0,0,0,577,0,0,11,0,24,2,8,8,False,0,0,1,0,0,0,0,0,0.0,1,0.2111167518069948,1,5,0,0,0.0,0.0,0,0,41,0,0,0,0,0,0,0.0,0,0,1941.240765380136,0.0,1.0,6,0,0,0.0,0,0,14.0,0,0,1,0,1.0,0,3,0,0,2,66,0.0,0,0,77.24999997019768,0,1.0,0,0.0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,32,17,0,3,2,1,4,0,14,0,0,4,0,0,0.2222272836834146,0,1,0,0,0,0,0,14,0,-0.2965295314788818,0.7579789513122385,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.358037473184504,-0.0618161343714114,103.26385246744276,424.21322212381074,757.7112670575752,1087.098539055641
