assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,12052,0,4,633,4220,633,4682,2,1,0,0,False,False,False,False,7100,0,0,0,0,0,0,0,0,862,69080,7462,3611,4,0,0,0,12773,392,6192,0,0,89,4,327,3,3,4,3,12,100,11,2,86284,0,0,2436,0,163,62,71,1,0,4430,0,390,1,1,5,0,10,2,1,8,False,0,0,2,0,0,0,0,0,0.6543394180239703,1,0.1190857067350425,2,0,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,1373.2093305171295,0.0,0.0,1,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,0,79,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,0,7,0,0,0,3,0,0,0,0,0,0.15558013332343,0,1,0,0,0,1,0,7,1,-0.5942089557647705,0.4749499589649836,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.77143696578938,-0.480625921578507,-2.00989021751012,316.55770925784395,343.166908007054,445.4528427720799
5,0,0,13942,0,2,876,932,876,36710,9,0,1,0,False,False,False,False,11700,0,0,2,3,10,0,3,3,257,100134,24957,9584,0,0,0,0,12225,553,22418,0,0,118,18,376,9,3,12,4,4,200,31,0,114990,0,0,6882,0,191,200,276,1,1,2631,0,1559,0,0,10,0,8,0,4,3,False,0,0,0,0,0,750,0,0,0.0,0,0.2452462813295833,9,5,0,0,0.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0,1,1572.8865300558289,0.0,0.0,3,0,0,0.0,0,0,1.6666666666666667,3,0,1,6,1.0,0,1,0,0,1,83,0.0,0,0,42.0,0,3.0,0,0.0,0,0,2,1,0,1,0,0,12,0,0,0,0,0,0,25,14,0,2,3,0,0,0,15,0,2,6,0,0,0.2825208561096359,0,0,0,0,1,0,0,9,0,-0.6124404668807983,0.3275465508125187,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.26316053871969,-0.1144392787149184,39.863015419029935,451.80627236649815,973.1534797654284,1280.2703574100312
9,1,5,18745,0,10,5964,24829,5964,22853,1,7,1,0,False,True,False,False,13700,0,1,0,2,12,0,7,2,877,148145,28908,8478,16,0,0,0,13754,132,15016,0,0,180,26,529,10,5,1,4,4,200,37,8,168396,0,0,9525,0,208,237,32,1,0,6496,0,3892,2,5,3,0,46,8,9,14,True,0,0,2,2,0,375,0,0,0.8304433066447167,7,0.2038361271930098,1,2,0,3,1.0,0.0,0,0,5,0,0,1,0,0,1,1114.313779516334,2,1,1924.197308152144,0.0,0.0,2,0,0,0.0,0,0,21.0,5,0,2,3,0.0,0,1,0,0,3,72,1.0,0,0,43.0,1,4.0,0,0.0,0,0,1,0,0,3,0,0,11,1,0,0,0,0,1,17,22,0,2,7,0,5,0,21,0,0,8,0,2,0.2914096771953293,0,0,0,0,1,5,0,9,0,0.5097825527191162,1.4466042173144318,9,3,2,1149.4469972838224,0.0,0.0,0.0,1391.106381401502,1.0,17.743251467857363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,166.57335432394072,0.4677275018455841,213.78265017688835,463.82977266353765,905.5516254065074,853.9768728696675
6,0,3,12939,0,6,1334,15635,1334,6770,2,3,0,0,False,False,False,False,8175,0,0,0,1,5,0,3,1,558,71776,11699,6160,4,0,0,0,8622,271,7521,0,0,98,19,306,8,3,12,3,4,200,11,0,82094,0,4,5586,0,134,106,55,1,0,1695,0,836,0,0,1,0,24,3,4,10,True,0,0,0,1,0,0,0,0,0.4464401684344441,3,0.2232244303806059,2,3,0,2,0.0,0.0,0,0,2,6,0,0,0,0,1,916.257544936608,1,0,1323.5909758418331,0.0,0.0,0,0,0,0.0,0,0,5.5,1,0,1,1,0.0,0,2,0,0,1,67,0.0,0,0,24.00000002980232,1,3.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,12,0,2,7,1,4,0,11,0,0,4,0,1,0.2433829894643686,0,0,0,0,1,0,0,5,0,3.889340400695801,1.1273820639236274,4,3,0,624.456174571067,0.0,0.0,0.0,1231.5934487190648,0.0,16.547325472080047,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.17737130105081,0.2719873484865912,202.0412687007895,384.4994483105445,542.6147602307494,658.0733896633075
2,0,0,10563,0,6,0,0,0,12361,7,3,0,0,False,False,False,False,8025,0,0,2,0,2,0,0,1,433,48136,9270,4314,0,0,0,0,9200,335,14729,0,0,77,14,258,6,4,3,3,4,200,26,0,60176,0,0,2463,0,157,182,218,1,0,2840,0,2697,0,0,10,0,11,3,2,5,False,0,0,0,0,0,750,0,0,0.6529787806686934,3,0.239505185390617,7,0,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,1,1376.1852531899403,0.0,0.0,2,0,0,0.0,0,0,0.5714285714285714,1,0,0,0,0.0,0,0,0,0,2,82,0.0,0,0,8.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,11,0,0,2,0,0,0,4,0,0,0,0,0,0.2538142871186146,0,0,0,0,0,0,0,7,0,-0.4003236293792724,0.490447829978515,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.37144423061002,-0.6975805021705906,-73.94353323008261,354.763284135131,418.7662952092827,947.8811061056756
6,0,0,16340,0,9,0,9623,0,12555,4,3,0,1,False,False,False,False,9750,0,0,3,1,2,0,2,1,583,141182,12183,7393,4,0,0,0,11919,345,10773,0,0,138,19,427,5,3,12,4,4,200,32,0,159660,0,0,6163,0,235,632,74,1,0,6558,0,600,0,0,11,0,19,6,2,10,False,0,0,0,0,0,0,0,0,0.6926322688134228,3,0.1882683137085872,4,1,0,2,0.0,0.0,0,0,3,0,0,1,0,0,0,0.0,0,1,1522.2945986999998,0.0,0.0,2,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,78,0.0,0,0,67.24999997019768,0,2.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,11,8,0,0,7,0,3,0,8,0,0,3,0,0,0.2126447874120191,0,1,0,0,2,0,0,11,0,-0.1492084860801696,0.7653364092532197,2,2,1,809.9253269999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.374974466629171,-0.1182425531521397,147.44846378071827,414.7160480889382,493.82031614771967,739.7254125197863
7,0,3,20317,0,5,4340,10994,4340,15410,3,3,0,0,False,False,False,False,13610,0,0,0,2,6,0,3,1,644,181203,24846,9779,11,0,0,0,6750,286,11826,0,0,181,28,503,8,5,3,3,4,200,23,4,187954,0,7,8366,0,267,487,127,1,0,0,0,897,2,5,5,0,32,3,5,15,True,0,0,1,1,0,750,0,0,0.7574299660191981,3,0.1456349310828353,3,18,0,0,0.0,0.0,0,0,3,3,0,0,0,0,0,0.0,0,1,1910.3839967915271,0.0,0.0,2,0,0,0.0,0,0,4.333333333333333,2,0,1,1,0.0,0,0,0,0,1,81,0.0,0,0,69.0,1,3.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,95,10,0,1,12,0,0,0,13,0,0,0,0,1,0.196005092004721,0,0,0,0,2,5,0,12,0,0.0198472738265991,1.0095688072433355,5,4,0,0.0,0.0,0.0,0.0,1458.7168492340911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.98552763787994,0.0628145965426526,141.80395169503836,459.6458102008608,789.3282201549731,706.7584329996563
6,0,0,17187,0,5,2836,3708,2836,32005,8,3,3,0,False,False,False,False,14675,0,0,2,3,9,0,2,2,414,150847,31530,21549,8,0,0,0,11380,559,12276,0,0,175,25,412,15,5,4,5,6,200,57,4,162240,0,2,6807,0,230,434,321,1,0,12,0,1719,1,1,10,0,33,3,6,12,False,0,0,1,0,0,300,0,0,0.7773920605017018,3,0.2125044324949238,8,9,0,0,0.0,0.0,0,0,15,2,0,0,0,0,1,866.5898919651889,0,0,2102.702799158044,0.0,0.0,5,0,0,0.0,0,0,1.875,1,0,0,1,0.0,0,0,0,0,2,80,0.0,0,0,12.799999952316284,0,1.0,0,0.0,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,49,15,0,1,4,0,4,0,15,0,0,6,0,1,0.2400303305157995,0,1,0,0,2,1,0,11,0,0.0012514591217041,0.9479114411449464,8,2,1,0.0,0.0,0.0,0.0,1228.1189257266851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.7835418796324,-0.4850899520409753,-82.49382655002704,422.5418829307507,915.6500865319329,1014.2374856084956
3,0,0,13280,0,7,0,1706,0,8388,4,4,1,0,False,False,False,False,9875,0,0,2,2,6,0,3,2,536,97910,12223,5062,3,0,0,0,8245,80,9406,0,0,106,16,344,6,3,1,4,4,100,18,2,106182,0,0,4115,0,206,322,143,1,0,26,0,2576,0,0,9,0,18,5,4,10,False,0,0,2,0,0,1000,0,0,0.8596795406492321,4,0.18461783429688,4,2,0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,1469.263049992055,0.0,0.0,0,0,0,0.0,0,0,2.25,0,0,1,2,0.0,0,1,0,0,1,82,0.0,0,0,44.099999994039536,0,2.0,0,0.0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,16,9,0,3,5,0,0,0,9,0,0,6,0,0,0.2359912118129841,0,0,0,0,0,0,0,9,0,-0.4844911098480224,0.7372168994774563,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.89855587829074,-0.1633471964065916,14.5787372792883,429.23559535742106,502.45597614667577,696.0632406875884
1,0,0,8561,0,4,977,977,977,4017,3,1,0,0,False,False,False,False,5125,0,0,0,0,0,0,0,0,591,65859,8553,3129,4,0,0,0,11913,180,4931,0,0,119,5,263,6,2,6,2,4,200,3,4,77772,0,0,931,0,161,42,95,1,0,0,0,709,0,0,6,0,9,1,1,7,False,0,0,1,0,0,0,0,0,0.0,1,0.181117760624146,3,1,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,1132.2079292344092,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,0,91,0.0,0,0,32.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,2,0,0,5,0,0,0,1,0,0,1,0,0,0.2713724904759856,0,1,0,0,2,0,0,7,0,-0.2932283282279968,0.4856599192397691,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.790088527258434,-0.1059875990103188,15.580177054516868,327.6606623404007,462.7948510785572,464.7026278607429
