assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
0,0,4,10232,0,4,818,2222,818,2986,0,1,0,0,False,False,False,False,6260,0,0,0,1,4,0,4,1,0,44287,4851,3724,0,0,0,0,12970,1121,1922,0,0,29,82,72,4,2,14,1,4,200,3,0,60328,0,0,876,0,154,88,0,1,0,3070,230,277,0,0,1,0,24,1,6,9,True,0,0,0,0,0,0,0,0,0.2356739626002962,1,0.1051850748995657,0,29,0,1,0.0,0.0,0,0,2,0,0,0,0,0,1,926.8758651757151,0,0,1166.2135193031074,0.0,0.0,1,0,0,0.0,0,0,4.0,0,0,1,1,0.0,0,0,0,1,0,76,0.0,0,0,10.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,147,1,0,1,8,0,11,0,4,0,0,1,0,0,0.1405752302808555,0,1,0,0,2,0,0,7,0,0.1685863733291626,1.2674288756294148,6,6,1,996.7380122294512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.366633514632285,0.1028971093318385,50.52248068193271,381.645378511789,319.0839360380312,304.8326863955716
4,0,0,8482,0,1,651,651,651,5994,6,1,0,0,False,False,False,False,9175,0,0,0,0,1,0,0,1,521,34711,6227,6579,0,0,0,0,12181,1591,5247,0,0,27,72,49,6,4,4,3,14,100,6,0,47336,0,0,0,0,114,86,175,0,0,444,444,372,0,0,3,0,5,1,2,1,False,0,0,0,0,0,0,0,0,0.5348785119733671,1,0.1809679772448421,5,7,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,1,1323.5909758418331,0.0,0.0,0,0,0,0.0,0,0,0.8333333333333334,0,0,0,0,0.0,0,0,0,0,0,67,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,40,4,0,0,0,0,0,0,5,0,0,3,0,0,0.207809922979235,0,2,0,0,1,0,0,5,0,-0.7954734563827515,0.2305795735431162,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.17737130105081,-0.2719873484865912,-202.0412687007895,299.3220770094936,374.57191009078383,553.0409419227354
0,0,2,7936,0,2,1194,1194,1194,3068,1,2,0,0,False,False,False,False,5700,0,0,0,2,6,0,4,1,793,36456,4139,3974,0,0,0,0,12200,1119,2310,0,0,26,81,71,4,1,14,1,4,100,5,0,48992,0,0,341,0,114,112,32,1,0,335,334,155,0,0,0,0,10,2,0,6,True,0,0,0,0,0,0,0,0,0.5064597999173723,2,0.1420963215847076,1,2,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,2,0,0,0.0,0,0,6.0,0,0,1,4,0.0,0,1,0,0,0,73,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,11,4,0,0,4,0,0,0,6,0,0,6,0,0,0.1562986661977438,0,1,0,0,3,0,0,5,0,0.2777556180953979,0.6747296980394402,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.01131794158364,0.3278548703624893,29.24465443633405,443.2597847300856,366.7384579874806,422.2770730268863
1,0,1,7289,0,0,0,1747,0,4985,5,0,0,0,False,False,False,False,3485,0,0,0,0,1,0,0,1,246,25224,3224,4718,0,0,0,0,9881,1146,5507,0,0,22,65,36,4,2,12,2,4,200,4,0,36801,0,0,72,0,104,78,116,1,0,1695,0,278,0,0,3,0,7,0,1,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1861641810753544,5,2,0,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0,0,930.4343302135684,0.0,0.0,0,0,0,0.0,0,0,0.4,0,0,0,0,0.0,0,0,0,0,1,69,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,3,0,0,4,0,2,0,2,0,0,1,0,0,0.2058521544700348,0,0,0,0,0,0,0,4,0,-0.5658981800079346,0.4940853524756577,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.42159374834023,-0.4514020886391786,5.545797088995623,293.99173172943074,281.86836134883566,677.3610770094189
2,0,0,10769,0,3,5421,5421,5421,7168,3,2,0,0,False,False,False,False,9105,0,0,0,3,8,0,3,1,496,75184,11048,3924,4,0,0,0,14094,2632,7913,0,0,43,60,61,8,3,14,2,4,200,13,4,89746,0,0,611,0,147,158,101,1,0,468,468,497,2,2,0,0,8,3,2,2,True,0,0,1,0,0,0,0,0,0.513000269149588,2,0.201982334812788,3,0,0,0,1.0,0.0,0,0,7,0,0,0,0,0,1,735.7276210142644,0,0,1218.0753059166243,0.0,0.0,0,0,0,0.0,0,0,3.333333333333333,1,0,2,4,0.0,0,0,0,0,1,70,1.0,0,0,63.0,1,3.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,7,0,5,0,0,2,0,10,0,0,7,0,0,0.2795098422560773,0,2,0,0,3,2,5,6,0,-0.4671182036399841,0.4042319595613394,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171.31945700431422,0.0985160764832169,147.2815343424093,488.6397393567559,696.9519830805181,607.5979017102403
1,0,2,14957,0,5,3712,5784,3712,10000,6,5,0,0,False,True,False,False,12125,0,0,0,4,12,0,3,1,389,99162,16672,12711,6,0,0,0,19585,3482,5875,0,0,55,98,115,12,6,14,4,4,200,14,4,124132,0,2,1860,0,190,184,217,1,0,5384,1268,2270,2,2,2,0,20,5,4,8,True,0,0,1,1,0,150,0,0,0.7726839346199371,5,0.1989907689239072,6,99,0,0,0.0,0.0,0,0,8,1,0,0,0,0,0,0.0,0,0,1655.5403669661994,0.0,0.0,3,0,0,0.0,0,0,2.1666666666666665,2,0,1,3,0.0,0,2,0,0,1,67,0.0,0,0,21.0,5,1.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,0,500,8,0,4,3,0,0,0,13,0,0,5,1,1,0.2582558270655193,0,2,0,0,1,2,5,9,0,0.4755560159683227,0.7347734490079944,4,2,1,0.0,0.0,0.0,0.0,1277.3200598964015,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.63024240569541,0.1087258296998535,12.865889847816,477.5963279282232,776.3749079434207,755.8982100166149
7,0,1,15605,0,6,3307,8591,3307,23286,10,5,0,0,False,False,False,False,11150,0,1,0,1,5,0,2,1,560,90892,20738,4375,4,0,0,0,18821,3064,22639,0,0,53,95,179,12,8,14,4,4,200,17,4,116524,0,0,2486,0,167,194,395,1,0,6810,3560,2981,0,4,4,0,47,5,12,9,True,0,0,1,1,0,0,0,0,0.8216168901253051,5,0.2683167608758153,10,1,0,2,0.0,0.0,0,0,10,0,0,0,0,0,1,909.6285776847508,1,5,2332.263706110756,0.0,0.0,1,0,0,0.0,0,0,1.2,2,0,0,3,0.0,0,0,0,0,1,57,0.0,0,0,6.0,4,1.0,0,0.0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,10,9,0,2,4,0,2,0,12,0,0,1,0,2,0.2102801970170195,1,2,0,0,2,4,0,7,0,0.2045832872390747,1.2246561144939172,12,5,2,1094.379990891611,0.0,0.0,0.0,1270.6831234779752,0.0,51.50637853339731,0.0,0.0,1.0,0.0,1.0,0.0,2247.705832106083,0.0,23.179197042923395,-0.0514521576979431,-21.712810548532016,324.045689181646,703.9426955444094,771.6794611537516
7,0,0,20264,0,5,5202,16020,5202,13451,4,3,3,0,False,False,False,False,19650,1,1,0,4,21,0,7,3,940,166130,34492,7400,8,0,0,0,26552,5245,12104,0,0,72,128,194,16,5,14,5,4,200,23,0,197616,0,8,1297,0,235,278,130,1,1,4933,1704,584,2,3,3,0,34,3,7,7,True,0,0,0,1,0,550,2,0,0.7947038107324688,3,0.1474840130672836,4,4,0,2,0.0,0.0,0,0,13,2,0,0,0,0,1,896.320694351994,0,0,2031.4486958756363,0.0,0.0,5,0,0,0.0,1,0,7.0,1,0,4,2,2.0,0,5,0,1,0,78,1.0,0,0,77.0,0,2.0,0,0.0,1,0,4,1,0,9,0,0,18,0,0,3,0,0,0,25,11,0,8,4,0,0,0,28,1,0,8,1,1,0.2855604248594102,0,2,0,0,2,3,0,11,0,0.674512505531311,1.0075007556659965,7,5,0,1234.171369441776,0.0,0.0,0.0,1546.9223406305705,1.0,49.60394846835584,0.0,0.0,0.0,0.0,1.0,1986.821455222675,0.0,0.0,119.94395944859082,0.2658201514497211,105.11710211217304,555.2982963784674,1223.9836551364324,593.3401136081608
15,0,0,19656,0,9,2337,7795,2337,26349,8,9,2,0,False,False,False,False,16325,0,0,2,1,7,0,5,2,635,160785,29884,11451,4,0,0,0,24073,4051,17041,0,0,71,131,194,16,7,14,5,4,200,23,0,190680,0,4,2944,0,225,262,322,1,0,5821,1457,1269,1,2,7,0,52,9,9,14,False,0,0,0,3,0,150,0,0,0.820811614152184,9,0.1421997965708036,8,11,0,0,0.0,0.0,0,0,15,6,0,0,0,0,1,1125.7458163,0,7,2763.1032874,0.0,0.0,2,0,0,0.0,0,0,2.75,4,0,1,1,0.0,0,0,0,0,1,76,0.0,0,0,6.0,0,1.0,0,0.0,0,0,2,0,0,2,0,0,19,0,0,0,0,0,0,61,13,0,0,5,0,4,0,22,0,0,6,0,3,0.1565321332732819,0,1,0,0,3,2,0,10,0,-0.4008388519287109,1.1372462298879746,9,4,1,0.0,0.0,0.0,0.0,1655.2146146,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-34.93897620122675,-0.1302882891282538,-71.39798244228312,358.7705188295018,768.548902852715,646.2733435058486
8,0,0,13219,0,6,3141,5828,3141,10508,5,6,4,0,False,False,False,False,11400,0,0,0,3,13,0,6,2,656,84721,19776,6762,9,0,0,0,17063,3805,11732,0,0,42,87,129,11,6,14,4,4,100,12,3,119742,0,2,2149,0,149,193,128,1,0,17957,912,1058,1,1,1,0,32,6,4,14,True,0,0,5,1,0,0,0,0,0.7086318356138974,6,0.2759575583875385,5,2,0,0,0.0,0.0,0,0,6,5,0,0,0,0,1,636.7261091241963,1,1,1431.10634606378,0.0,0.0,1,0,0,0.0,0,0,4.2,0,0,3,6,0.0,0,0,0,0,0,75,0.0,0,0,18.0,0,2.0,0,0.0,0,1,4,1,0,4,0,0,15,0,0,0,0,0,1,19,4,0,2,3,0,4,0,21,0,0,5,0,1,0.3211118716245127,0,2,0,0,0,1,15,7,0,1.1450691223144531,1.375230037070842,4,2,1,0.0,0.0,0.0,0.0,1330.606678694597,0.0,14.166526771648932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.922812818923,0.7127352923879368,67.9614064094615,493.2966735433215,1026.9257795147132,819.7713630624311
