assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,0,9838,0,8,0,0,0,11937,9,1,0,0,False,False,False,False,7500,0,0,0,2,8,0,2,1,246,9541,2762,14468,0,0,0,0,62471,10866,7551,0,0,132,15,47,5,4,14,4,4,200,13,0,75909,0,0,4049,0,126,57,224,1,0,3897,722,501,0,0,4,0,15,2,2,7,False,0,0,0,0,0,150,0,0,0.7920721827799438,1,0.297578701470051,9,1,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,1233.1450565834607,1.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,2,1.0,0,0,0,0,7,48,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,11,16,0,6,6,0,7,0,9,0,0,6,0,0,0.3183281988876476,0,0,0,0,0,0,0,6,0,0.3566014766693115,0.7417797428832692,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.945264546350867,-0.2432803816537018,1.654306595245172,389.783827485561,698.2146953461241,1095.7834950446036
1,0,0,7007,0,5,0,0,0,7419,6,2,1,0,False,False,False,False,6275,0,0,0,2,5,0,2,2,266,6085,2645,8611,0,0,0,0,45376,8085,4264,0,0,106,8,38,5,4,14,3,4,100,10,0,52001,0,0,2985,0,97,32,107,1,0,540,540,349,0,0,0,0,12,3,0,6,False,0,0,0,0,0,600,0,0,0.4282066653251231,2,0.2353204669570981,6,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,0,926.5337951137844,0.0,0.0,1,0,0,0.0,0,0,1.0,1,0,0,0,2.0,0,0,0,0,5,64,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,1,0,2,0,0,4,0,0,0,0,0,0,2,15,0,2,4,0,0,0,6,0,2,6,0,0,0.2754410798984221,0,0,0,0,0,0,0,4,0,0.4579957723617553,0.7964296512072165,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.39138814358148,-0.3885449207557395,-48.69763006805269,405.25235234823634,729.8816336396568,856.4177628324426
6,0,0,20698,0,7,5615,7361,5615,44737,10,2,1,0,False,False,False,False,15525,1,2,0,2,5,630,2,2,616,29013,6650,14898,18,0,0,0,227646,17657,15641,0,0,299,38,69,8,7,14,5,4,100,13,5,271912,0,4,12390,0,313,65,300,1,0,15252,1322,5224,3,4,4,0,35,3,2,8,True,0,0,5,0,0,0,0,0,0.8006865334508823,2,0.2532586400624895,10,80,0,0,0.0,0.0,0,0,14,1,0,0,0,0,1,583.2066998,0,1,2200.1277841,0.0,0.0,2,0,0,0.4000000059604645,0,0,1.1,0,0,0,0,0.0,0,0,0,0,3,72,0.0,0,0,90.7999999821186,6,1.0,0,0.0,0,0,1,1,0,1,0,0,10,0,0,0,0,0,2,401,19,0,1,6,0,0,0,11,0,0,1,0,1,0.1953272622649418,0,2,0,0,0,4,10,15,0,0.5058457851409912,0.9692086542447048,2,1,0,0.0,0.0,0.0,0.0,2013.899076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1835.8401259,0.0,0.0,39.70678459284859,-0.2181691461145527,28.961954146706876,450.7374558726659,698.9594018644982,975.325167705108
3,0,0,13201,0,2,2106,7254,2106,19657,6,0,0,0,False,False,False,False,10250,0,0,1,0,2,405,0,1,474,10943,2725,4800,0,0,0,0,103512,9024,14189,0,0,184,10,54,6,7,14,3,4,200,8,0,119596,0,0,5588,0,221,53,138,1,0,5140,1302,794,1,1,8,0,16,0,4,5,False,0,0,0,1,0,300,0,0,0.0,0,0.1797253656732476,6,6,0,1,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,1,1657.459687919472,0.0,0.0,2,0,0,0.0,0,0,0.8333333333333334,0,0,0,0,0.0,0,0,0,0,4,75,0.0,0,0,40.99999997019768,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,38,12,0,1,5,0,2,0,5,0,0,2,0,1,0.1907602622430391,0,0,0,0,0,1,0,10,0,-0.3534186482429504,0.5921674766282381,4,3,0,740.7297899784037,0.0,0.0,0.0,1410.239526195962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.50453656857188,-0.4705996807554914,-85.4681420202858,375.5747452183249,472.4458795030707,716.1803141589726
3,0,0,12755,0,4,2494,7501,2494,18633,10,3,0,1,False,False,False,False,9675,0,0,1,0,2,407,0,1,233,15001,3304,11629,16,0,0,0,133746,10700,13871,0,0,242,22,45,6,3,12,3,4,100,11,0,151133,0,8,6763,0,222,56,282,1,0,2385,0,2916,1,1,8,0,21,3,6,5,False,0,0,0,0,0,0,1,0,0.723196671533831,3,0.2607977116383888,10,68,0,1,0.0,0.0,0,0,12,2,0,1,0,0,1,642.7728763,0,0,1582.0476738,0.0,0.0,1,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,1,2,0,5,83,0.0,0,0,66.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,344,18,0,2,2,0,0,0,5,0,0,1,0,0,0.1805503485880458,0,0,0,0,0,1,0,10,0,0.4459134340286255,0.8127336054596482,6,4,0,942.3878463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-121.36170305084772,-0.4551063864406789,-138.57989467118674,375.9937262644076,531.1470785084757,1077.7298486237312
1,0,8,12405,0,3,3285,3366,3285,12486,2,2,1,0,False,False,True,False,10875,0,0,0,1,9,483,8,3,206,13283,3157,5537,4,0,0,0,105646,8653,11970,0,0,178,17,52,6,5,14,3,4,200,13,0,120506,0,4,8809,0,177,71,28,1,1,1576,692,566,1,2,2,0,18,2,4,7,True,0,0,0,0,0,0,0,0,0.770448117031922,2,0.2792508280487891,2,17,0,1,0.0,0.0,0,0,14,3,0,0,0,0,1,750.936259167784,0,0,1289.7568129469846,0.0,0.0,3,0,0,0.0,0,1,5.0,0,0,1,3,1.0,0,0,0,0,4,55,0.0,1,0,3.0,2,2.0,0,0.0,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,87,19,0,3,5,0,18,0,10,0,0,4,0,1,0.2224672038779434,0,1,0,0,3,2,0,8,0,-0.4010666608810425,0.8747367696023617,4,4,1,369.59977236638974,0.0,0.0,1273.7409055848923,1266.8627956281268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.73476228454703,0.3256427845807115,111.27679153100888,542.7069607026544,581.644533658948,840.8096697873973
15,0,0,18084,0,3,1156,27853,1156,51849,12,1,0,0,False,False,False,False,12780,0,0,1,0,3,493,0,1,484,30046,9653,17170,24,0,0,0,141557,23982,29947,0,0,252,30,109,13,8,4,12,14,200,28,12,177633,0,0,17921,0,184,91,431,1,0,6029,2816,3375,0,1,5,0,41,2,3,19,True,0,0,5,2,0,0,0,0,0.7516277580484769,1,0.2227399275541658,12,4,0,3,0.0,0.0,0,0,32,0,0,0,0,0,1,929.8503178054696,0,1,2712.322342940993,0.0,0.0,7,0,0,0.0,0,0,1.5,1,0,0,0,0.0,0,0,1,0,5,79,0.0,0,1,36.0,3,2.0,0,0.0,0,1,0,0,0,0,0,0,18,0,0,0,1,0,3,25,45,0,0,18,0,7,0,18,0,0,4,0,2,0.1556851745819469,1,2,0,0,0,1,10,8,0,0.2356905937194824,0.9197709118884108,3,2,2,1565.6977373467046,0.0,0.0,0.0,1521.92214526295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.5086058375848,2669.7846696875927,0.0,-119.1672519459947,-0.1548488516097945,-141.99639692618155,319.2762107548806,806.3643341257471,1116.969009190479
2,0,0,10324,0,2,3275,12710,3275,19293,17,0,0,0,False,False,False,False,8895,0,0,2,0,1,380,0,1,149,10158,2010,9197,12,0,0,0,104570,7141,23256,0,0,191,11,44,4,2,4,4,14,100,12,9,124971,0,0,5361,0,175,36,422,1,0,10242,590,900,0,0,9,0,19,0,1,10,False,0,0,5,0,0,0,0,0,0.0,0,0.2442102457946588,17,5,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,1736.7657412785836,0.0,0.0,1,0,0,0.0,0,0,0.1764705882352941,0,0,0,0,1.0,0,0,0,0,2,62,0.0,0,0,11.499999970197678,0,0.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,30,14,0,0,10,0,0,0,3,0,0,1,0,0,0.1079951321387171,0,0,0,0,2,0,0,8,0,0.1272797584533691,0.6599898652029684,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161.6798358731321,-0.6909394695432995,-179.09151050562326,304.3933833073006,336.5566156145412,1152.2797533573607
0,0,0,7683,0,1,1984,1984,1984,7577,8,0,0,0,False,False,False,False,5250,0,0,0,0,0,0,0,0,172,6038,1117,11817,0,0,0,0,63252,5359,3227,0,0,146,12,32,5,2,14,4,4,100,5,0,69711,0,0,1591,0,138,18,187,1,0,420,420,347,0,0,3,0,3,0,0,2,False,0,0,0,0,0,0,0,0,0.0,0,0.2480643015610219,8,4,0,0,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,0,1174.1451089656975,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,2,68,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,2,0,0,0,0,0,0,0,0,0,0.1862133436080042,0,1,0,0,0,0,0,6,0,-0.7992499470710754,0.165896746750383,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157.90211838749516,-0.715414128616483,-154.88715884546858,280.3401363992876,352.44366036199165,786.5978344138231
9,0,0,16359,0,9,0,9917,0,19104,4,3,0,0,False,False,False,False,12200,0,0,2,1,3,525,2,1,782,21142,4869,6581,4,0,0,0,151065,11754,14486,0,0,292,19,68,5,3,12,5,4,100,10,2,182971,0,0,9858,0,261,66,147,1,0,10763,613,3833,0,0,10,0,25,4,2,11,False,0,0,2,1,0,150,0,0,0.3000191172548604,3,0.2085882712033495,4,1,0,1,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,1,1808.768730666985,0.0,0.0,6,0,0,0.0,2,0,3.0,1,0,0,1,1.0,0,0,0,0,4,84,0.0,0,0,27.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,8,23,0,0,8,0,0,0,12,0,0,2,0,1,0.2397814672630746,0,0,0,0,0,0,0,12,0,-0.1230202317237854,0.8619860087659139,2,2,0,1186.6618156963268,0.0,0.0,0.0,1275.2863683070275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.4654343825438,-0.0995152099592217,2.1561628824498045,407.514784783013,571.7812246890351,825.9762426615404
