assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,0,14487,0,5,3934,8167,3934,34772,7,2,1,0,False,False,False,False,11710,0,0,0,3,10,0,3,2,481,529,529,15135,0,0,0,0,77489,17283,11015,0,0,179,33,67,9,4,4,5,6,200,52,0,81574,49,0,2616,0,137,1293,216,1,0,3555,1326,2450,0,2,2,0,20,4,4,6,True,0,0,0,1,0,150,0,0,0.6351524480063167,2,0.224168792652905,7,4,0,0,0.0,49.27510452270508,0,0,96,0,0,0,0,0,1,955.0618139711344,0,1,1536.52618209659,0.0,1.0,12,0,0,0.0,0,0,3.142857142857143,1,0,1,2,0.0,0,0,0,11,0,74,0.0,0,0,5.0,2,2.0,0,0.0,0,0,1,0,0,5,0,0,16,0,0,0,0,0,0,26,0,0,1,4,0,0,0,22,0,0,5,0,1,0.2108505023999534,0,0,0,0,2,2,0,6,0,0.6810585260391235,0.7929180772721386,4,4,0,0.0,0.0,0.0,0.0,1262.8782260510968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,129.1744991479247,0.4295403538776215,93.75694451456084,445.160003109535,747.3611666239816,1116.8439692048958
5,0,0,10687,0,4,2233,2233,2233,18408,5,0,0,0,False,True,False,False,8775,0,0,0,1,5,0,2,1,717,953,881,5611,0,0,0,0,87334,12893,10275,0,0,161,23,31,8,3,4,5,6,100,33,0,90431,0,0,1657,0,141,1499,141,1,0,2143,1501,1784,0,0,4,0,11,1,1,6,False,0,0,0,0,0,675,0,0,0.0,0,0.2585487019984497,5,0,0,0,0.0,0.0,0,0,49,0,0,0,0,0,0,0.0,0,0,1158.3503306167788,0.0,1.0,4,0,0,0.0,0,0,2.0,0,0,0,3,0.0,0,0,0,6,0,77,0.0,0,0,28.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,7,0,0,3,6,0,0,0,10,0,0,6,0,0,0.3458206569696322,0,1,0,0,4,0,0,6,0,0.4407964944839477,0.5942666157397472,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.463155817071806,0.0517978010746129,30.81969163939468,465.0924558489492,791.2632092157867,915.3189427894846
4,0,3,13534,0,2,6455,6868,6455,31432,2,0,1,0,False,False,False,True,11450,0,1,1,3,7,4,3,2,988,11887,3498,13065,4,0,1,0,121433,20415,10107,0,0,208,42,64,9,5,6,3,4,100,50,0,136132,0,4,6107,0,197,2323,74,1,0,2811,2125,1985,3,4,5,0,13,1,4,5,False,0,0,0,0,0,0,1,0,0.0,0,0.2266629480045697,2,5,0,2,0.0,0.0,0,0,87,1,0,0,0,0,1,879.5138443057319,0,0,1596.1614143864,0.0,1.0,4,0,0,0.0,0,0,5.5,1,0,1,0,0.0,0,0,0,1,0,80,0.0,0,0,39.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,1,5,1,7,1,11,0,0,3,0,1,0.2914678224970229,0,1,0,0,3,4,5,9,0,-0.4071071147918701,0.5173610230315965,4,3,1,1082.7381495814548,0.0,0.0,0.0,1251.089494932599,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.71586617449216,0.2255410992618137,-69.57942912226953,460.9684167079369,978.8107806130612,945.6938292047848
6,0,5,12645,0,2,120,5095,120,20373,3,1,1,0,False,False,False,False,8925,0,1,0,1,6,0,5,3,363,3058,985,6314,4,0,0,0,76521,8986,7726,0,0,166,22,41,6,4,6,3,4,100,24,0,82379,482,4,3554,0,158,325,71,1,1,2799,1229,1380,0,0,0,0,23,1,2,8,True,0,0,0,1,0,0,1,0,0.5168450253092779,1,0.1830360088112707,3,4,0,1,0.0,482.3068542480469,0,0,51,1,0,0,0,0,1,662.3562105,1,2,1388.9324605,0.0,0.0,7,0,0,0.0,0,0,4.0,4,0,1,1,0.0,0,0,0,3,0,82,0.0,0,0,13.0,1,2.0,0,0.0,0,1,2,0,0,2,0,0,6,0,0,0,1,0,0,23,0,0,2,7,0,2,0,12,0,0,4,0,1,0.1430795058654029,0,2,0,0,0,0,10,7,0,0.4384883642196655,1.01423346511712,2,1,0,882.8924436,0.0,0.0,0.0,1306.1956792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1354.8631203999998,0.0,0.0,66.95789942624067,0.172794579164492,118.66667724121491,414.27500354686975,483.8680203053689,666.1663013239081
2,0,0,10841,0,1,1835,2408,1835,25636,7,0,0,0,False,False,False,False,8850,0,0,1,1,6,3,3,1,401,16400,3703,11846,0,0,0,0,88399,15006,11279,0,0,163,31,49,11,3,12,4,4,200,45,0,108505,0,0,1423,0,174,972,183,1,0,3706,1211,1674,0,0,8,0,12,0,1,7,False,0,0,0,0,0,450,0,0,0.0,0,0.2439543695641239,7,2,0,0,0.0,0.0,0,0,77,0,0,0,0,0,0,0.0,0,1,1386.132621210042,0.0,1.0,4,0,0,0.0,0,0,1.1428571428571428,0,0,1,3,0.0,0,0,0,3,0,83,1.0,0,0,62.5,0,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,16,0,0,2,7,0,3,0,8,0,0,6,0,0,0.317931929376236,0,0,0,0,2,0,0,8,0,0.0754283666610717,0.544684545168422,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.281477155062944,-0.3030013099564424,-31.815137545426456,410.0473441739113,862.2551563331905,1073.4470693728308
6,0,0,10415,0,5,846,3838,846,30209,7,2,0,1,False,True,False,False,7000,0,0,2,0,3,0,0,1,279,816,816,10402,8,0,0,0,76288,8330,11891,0,0,140,39,95,8,4,4,4,12,200,24,2,77699,1261,0,1401,0,141,349,178,1,0,594,371,1481,0,0,9,0,17,2,1,10,False,0,0,2,0,0,150,0,0,0.8060555383254207,2,0.2255500139849177,7,0,0,1,0.0,1261.40771484375,0,0,53,0,0,0,0,0,0,0.0,0,1,1472.0801509044918,0.0,0.0,4,0,0,4.0,0,0,1.2857142857142858,3,0,0,1,0.0,0,0,1,4,0,71,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,8,0,4,0,9,0,1,6,0,0,0.1334148238677978,0,0,0,0,1,0,0,6,0,-0.2399992942810058,0.7168552618899314,1,1,0,474.7228179178556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.73880257751966,-0.3260692019419411,-65.58066824057292,331.97920622713883,387.9408330104245,968.9961508709636
12,0,1,13246,0,4,4187,5977,4187,29413,4,2,1,0,False,False,False,False,10905,0,1,0,2,9,0,4,3,658,3190,906,5694,0,0,0,0,80856,8755,11119,0,0,153,24,83,7,1,12,4,4,200,31,0,88604,1304,0,213,0,145,1498,144,1,1,4558,203,728,2,6,4,0,18,3,3,6,True,0,0,0,1,0,450,0,0,0.2482180462466484,2,0.1889389757240171,4,3,0,1,0.0,1304.6610107421875,0,0,61,0,0,0,0,0,1,842.4679004827149,0,10,1709.2318978094977,0.0,1.0,15,0,0,0.0,0,0,5.25,2,0,2,3,2.0,0,1,0,12,0,57,0.0,0,0,2.0,9,1.0,0,0.0,0,0,2,2,0,4,0,0,16,0,0,0,0,0,0,21,0,0,1,4,1,4,0,21,2,0,6,2,1,0.1244627842302179,0,0,0,0,0,6,0,6,0,-0.2987828850746155,0.6641488741624895,3,1,0,1651.0785576942817,0.0,0.0,0.0,1302.809991720325,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.8982846138673235,0.3510348717274366,5.651661434811729,397.3714747954582,346.33100444628894,615.7502684970965
11,0,0,13579,0,5,2991,2991,2991,35076,4,3,0,0,True,False,False,True,9300,0,0,1,0,2,4,0,1,1180,9242,2101,7149,0,0,0,0,94430,14625,20137,0,0,187,32,40,9,4,12,4,4,100,38,0,104586,387,0,4934,0,194,1826,70,1,0,913,794,1012,1,1,8,0,19,4,0,4,False,0,0,0,0,0,0,0,0,0.7566405910631362,3,0.2346647198241104,4,16,0,0,0.0,387.2645568847656,0,0,71,0,0,0,0,0,1,1008.1067058,0,0,1633.7633611,0.0,1.0,4,0,0,0.0,0,0,3.25,0,0,0,1,0.0,0,0,0,5,0,72,0.0,0,0,18.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,85,0,0,1,1,0,4,1,13,0,0,7,0,0,0.1983924691422485,0,0,0,0,1,1,0,9,0,-0.1320722699165344,0.7016628236856559,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.78057488009853,0.1101750744849654,-6.426879344956317,370.3718753936255,643.4591600170265,1039.281477616679
8,0,0,12154,0,1,917,1281,917,39334,6,0,0,0,False,False,False,False,8950,0,0,1,0,1,0,0,1,615,1998,1846,11222,5,0,0,0,88047,11840,16693,0,0,195,36,74,8,3,12,3,4,100,29,0,96494,183,4,3215,0,160,308,164,1,0,6448,632,2350,0,0,10,0,9,0,0,5,False,0,0,1,0,0,0,0,0,0.0,0,0.2399571029515459,6,9,0,0,0.0,183.0619964599609,0,0,66,1,0,0,0,0,0,0.0,0,0,1628.292336934622,0.0,0.0,3,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,1,0,65,0.0,0,0,36.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,53,0,0,0,5,2,4,0,9,0,0,4,0,0,0.1866290095926635,0,1,0,0,1,0,0,7,0,-0.2121068835258484,0.3653840972250455,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.3067854605991,-0.2210905203163493,5.379869327697834,325.44524590566624,527.6693751550205,1115.2542813157715
1,0,5,8821,0,1,6022,6022,6022,14662,0,0,1,0,False,False,True,False,6750,0,0,0,1,5,0,5,2,0,4046,1008,1296,0,0,0,0,80932,7888,9131,0,0,144,13,43,5,1,4,2,12,200,19,0,86390,282,0,1073,0,149,351,0,1,0,1411,399,139,1,2,0,0,4,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2516027274008516,0,8,0,0,0.0,282.6000061035156,0,0,35,0,0,0,0,0,1,600.7190361222273,0,0,944.1355968220986,0.0,0.0,1,0,0,0.0,0,1,6.0,0,0,1,2,2.0,0,1,0,3,0,80,0.0,0,0,21.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,47,0,0,2,4,0,2,0,6,0,0,6,1,0,0.3372889683173062,0,1,0,0,9,2,5,7,0,-0.4569233059883117,0.3017575407781573,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6863414160738,0.3813011618370682,68.7613095179513,551.7427811782377,590.7626000728977,671.5348961887166
