assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,15421,0,0,1306,1584,1306,17453,10,0,3,0,False,True,False,False,12750,1,1,1,5,17,0,7,2,542,125237,34331,11605,0,0,1,0,8039,1422,14479,0,0,78,66,0,13,5,4,5,14,100,3,0,143796,0,0,1930,0,166,29,328,1,0,10520,1106,416,1,2,7,0,18,0,3,8,True,0,0,0,0,0,525,0,0,0.0,0,0.212962276523511,10,25,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1926.4700713427933,0.0,0.0,0,0,0,0.0,1,0,2.0,1,0,1,6,1.0,0,3,0,0,0,63,0.0,0,1,1.0,5,1.0,0,0.0,0,0,3,0,0,4,0,0,14,0,0,0,0,0,0,132,2,0,2,8,0,0,0,20,0,0,3,0,1,0.3709902493268036,0,1,0,0,0,2,0,7,0,-0.4356969594955444,0.5674193016288633,3,1,2,1556.9144027136645,0.0,0.0,0.0,1858.484748182787,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-48.77314285734413,0.0934351395734561,-68.76826272606375,474.8685243588288,1148.0064148925317,825.3748779453875
6,0,3,15054,0,0,4063,9023,4063,12171,6,0,2,0,False,False,False,False,10300,0,1,0,3,10,0,3,3,819,119301,18131,13259,0,0,0,0,8759,969,7907,0,0,80,52,0,6,3,4,4,14,200,2,0,133560,0,0,2473,0,157,57,177,1,2,5499,1330,1182,1,4,3,0,12,0,2,2,True,0,0,0,1,0,0,0,0,0.0,0,0.187957812007202,6,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,804.2351939814524,1,5,1813.931468693631,0.0,0.0,0,0,0,0.0,0,1,2.6666666666666665,3,0,3,0,0.0,0,0,0,0,0,52,0.0,0,0,0.0,4,1.0,0,0.0,0,0,4,0,0,2,0,0,9,0,0,0,0,0,0,29,1,0,1,2,0,6,0,16,0,0,5,0,1,0.2222585373693655,0,2,0,0,5,4,0,7,0,-0.4063884615898132,0.4194491920227715,2,2,1,0.0,0.0,0.0,0.0,1417.5628303748097,0.0,13.09965311238966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96.9165610907058,0.2646185968346916,44.48900159283253,426.9621059927749,675.8358963158024,739.2451275823154
4,0,0,14847,0,5,311,5295,311,19565,6,0,1,0,False,False,False,False,11300,0,0,2,3,7,0,2,2,527,81015,10329,4684,0,0,0,0,36432,7005,19960,0,0,83,48,0,10,5,14,4,3,100,1,0,121169,0,0,4620,0,162,11,237,1,0,3721,586,1575,0,0,11,0,9,2,0,6,False,0,0,0,0,0,1100,0,0,0.0,0,0.186973903534556,6,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1838.54117575054,0.0,0.0,0,0,0,0.0,0,0,1.8333333333333333,0,0,0,1,0.0,0,0,0,0,0,58,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,6,0,0,0,1,0,0,23,1,0,4,6,0,0,0,11,0,0,2,0,0,0.2419326433633379,0,2,0,0,2,0,5,7,0,-0.6773636341094971,0.3069627581871988,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.221396283121976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.60477619015634,-0.0652691392407966,-73.19933965855346,382.9014053561336,584.8441221671584,855.6784154468442
4,0,0,10329,0,2,1502,4383,1502,7520,12,2,0,0,False,False,False,False,10250,0,0,1,2,5,0,2,1,265,67230,14469,7066,0,0,0,0,14960,2426,13041,0,0,59,42,0,10,5,14,4,4,200,0,0,94473,0,0,362,0,142,0,302,1,0,12283,676,1516,1,1,8,0,18,2,5,6,False,0,0,0,0,0,450,0,0,0.7379986218090857,2,0.1797687880043067,12,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1569.4555837500736,0.0,0.0,0,0,0,0.0,0,1,0.75,0,0,0,0,1.0,0,0,0,0,0,58,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,19,1,0,1,4,0,0,0,9,0,0,4,0,0,0.2286812926491297,0,0,0,0,3,1,0,6,0,-0.3999865651130676,0.7174053187895306,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.62734175878194,-0.6116770744834753,-195.1249867602286,383.9038238726912,671.7361172343216,826.6433363472617
9,0,0,16563,0,2,1692,1692,1692,16189,7,1,4,0,False,False,False,False,14675,1,1,0,4,14,0,5,2,476,141021,31395,14228,4,0,0,0,12211,1441,11603,0,0,77,75,0,12,5,14,4,4,100,2,0,156911,0,0,4789,0,188,23,194,1,0,3679,1032,494,1,1,5,0,26,1,5,8,True,0,0,0,0,0,450,0,0,0.0437648283694539,1,0.1830627721523558,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,2049.307916040212,1.0,0.0,0,0,0,0.0,0,0,3.2857142857142856,1,0,2,4,2.0,0,0,0,0,2,50,0.0,0,0,1.0,7,0.0,0,0.0,0,0,4,2,0,5,0,0,14,0,0,0,0,0,1,9,2,0,2,7,0,0,0,23,0,0,6,0,1,0.3222909678030633,0,0,0,0,0,1,0,8,0,-0.3218337893486023,0.7660488424812245,9,5,0,0.0,0.0,0.0,0.0,1588.9710474445408,0.0,21.254783324367963,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-68.54021247885711,0.0,-46.28879791929649,461.0727322157376,991.622578575998,770.7772890723589
15,0,0,16309,0,5,2570,7014,2570,20865,5,5,2,1,False,False,False,False,14775,0,1,1,3,13,0,6,3,1061,153089,37888,7146,8,0,0,0,11552,1584,22307,0,0,91,78,0,16,6,14,3,4,200,0,0,166386,0,0,4492,0,198,12,188,1,1,1745,1643,3123,2,2,6,0,32,5,6,6,False,0,0,0,0,0,150,0,0,0.5042841890599331,5,0.2144196622680309,5,4,0,2,0.0,0.0,0,0,0,0,0,1,0,0,1,859.4571932760396,0,4,2058.519131674075,0.0,0.0,0,0,0,0.0,0,0,5.6,2,0,3,4,0.0,0,0,0,0,0,78,0.0,0,0,28.0,0,2.0,0,0.0,0,0,3,0,0,2,0,0,21,0,0,0,0,0,1,27,1,0,3,1,0,4,0,28,0,0,8,0,0,0.2627504492862151,0,2,0,0,2,2,5,9,0,0.1660470962524414,0.9399514241718044,6,2,0,1182.3794805083228,0.0,0.0,0.0,0.0,0.0,27.92486541700873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.76211851530358,0.2914716656104403,7.37423313994414,438.4316794112243,1198.4149003238865,949.5563922256924
1,0,1,9667,0,0,867,867,867,6294,4,0,0,0,False,False,False,False,7200,0,0,1,1,3,0,2,1,439,64976,4999,6005,0,0,0,0,5301,817,5166,0,0,48,44,0,3,3,12,2,14,200,0,0,73291,0,0,168,0,134,12,91,1,0,3014,626,667,0,0,6,0,9,0,1,3,False,0,0,0,0,0,375,0,0,0.0,0,0.1785786747674807,4,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1191.3155491344626,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,1,2.0,0,0,0,0,6,67,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,8,0,3,3,0,0,0,4,0,0,3,0,0,0.166568311492662,0,0,0,0,2,0,0,6,0,-0.4265387654304504,0.4789451771577245,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.7892752651106,-0.5036448994860543,-71.87012715665995,413.9961073775367,324.4984087388648,596.3155609914883
3,0,0,9258,0,0,0,401,0,7607,5,0,0,0,False,False,False,False,6520,0,0,1,1,4,0,3,1,372,62119,8766,8750,0,0,0,0,7729,857,5734,0,0,53,39,0,5,3,4,5,14,100,0,0,74771,0,0,442,0,110,27,145,1,0,4923,530,962,0,0,7,0,11,0,1,7,False,0,0,0,0,0,0,0,0,0.0,0,0.2109653908500625,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1294.4783282386943,0.0,0.0,0,0,0,0.0,0,0,1.4,1,0,1,1,0.0,0,0,0,0,1,36,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,10,2,0,0,7,0,4,0,7,0,0,3,0,0,0.2368386885261548,0,1,0,0,0,0,0,4,0,-0.4995255470275879,0.5408425110982913,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.06904294560528,-0.4635071803916392,-78.00825845991287,320.6079166768968,470.59884025163126,715.979541550965
11,0,2,13183,0,4,50,5524,50,20294,3,3,1,0,False,False,False,False,10125,0,1,0,4,11,0,4,2,759,70892,17134,12367,0,0,0,0,25332,8748,10855,0,0,81,64,0,11,7,14,3,4,200,2,0,102094,0,0,5573,0,144,39,108,1,0,5869,965,579,0,0,2,0,17,4,5,5,True,0,0,1,0,0,450,0,0,0.7789284556729275,3,0.207286736466263,3,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,3,1637.350081732268,0.0,0.0,0,0,0,0.0,0,0,7.333333333333333,1,0,2,3,0.0,0,2,0,0,0,70,0.0,0,0,2.0,3,1.0,0,0.0,0,0,1,0,0,2,1,0,11,0,0,0,0,0,0,20,4,0,1,2,0,0,0,22,0,0,3,0,1,0.2715999074360157,0,0,0,0,0,0,0,6,0,-0.5165274143218994,0.6571397987160235,5,2,0,0.0,0.0,0.0,0.0,1414.1859302652688,1.0,23.92781596174177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.45029667520704,0.5496686445013803,37.59733528389441,419.1406637204525,983.8335845048704,872.2508496710904
1,0,0,8906,0,1,623,2537,623,7356,5,1,0,0,False,False,False,False,5625,0,0,1,0,1,0,0,1,342,39565,3095,3515,0,0,0,0,16900,834,7499,0,0,46,26,0,4,2,14,2,4,200,0,0,58423,0,0,225,0,121,0,127,1,0,1957,261,183,0,0,8,0,14,1,3,7,False,0,0,0,0,0,0,0,0,0.7811978417855184,1,0.1425288287222069,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1238.0212545,0.0,0.0,0,0,0,0.0,0,0,0.4,0,0,0,0,0.0,0,1,0,0,0,57,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,6,0,1,0,2,0,0,2,0,0,0.1047161748548896,0,0,0,0,0,0,0,5,0,-0.3133164644241333,0.6956925146643164,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.07129054342096,-0.3877154760108361,-82.1472164797959,283.71079957092934,203.1144449951768,542.7047375461678
