assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,1,14193,0,4,3039,3039,3039,11257,5,4,0,0,False,False,False,False,11450,0,1,0,2,8,0,4,1,715,87239,17911,6648,0,0,0,0,16576,2063,14935,0,0,112,159,53,27,5,12,4,4,200,14,0,107910,0,0,1136,0,183,89,195,1,0,4095,0,1625,0,1,1,0,38,4,5,12,True,0,0,0,0,0,500,0,0,0.7745526908954843,4,0.2102239839093206,5,14,0,0,0.0,0.0,0,0,12,0,0,0,0,0,1,810.0684414867068,0,0,1698.1359797364723,1.0,0.0,3,0,0,0.0,0,0,2.6,1,0,1,2,1.0,0,0,0,0,3,66,0.0,0,0,17.0,3,1.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,73,19,0,1,2,0,6,0,13,0,1,6,0,1,0.2304457555570995,0,2,0,0,3,1,0,8,0,0.7540098428726196,1.3744923632530903,5,4,0,0.0,0.0,0.0,0.0,1308.659848038748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.1693177709967,0.0,0.0,33.56621653399372,0.035332859509467,20.4930585154909,422.3336697166599,705.7385358420953,820.0403363552213
5,0,3,12030,0,5,3543,6510,3543,6897,3,5,0,0,False,False,False,False,9125,0,1,0,1,3,0,3,1,348,60732,12197,11053,0,0,0,0,16212,1683,5289,0,0,101,123,48,28,4,12,3,4,100,16,0,79664,0,0,2345,0,150,38,69,1,0,2720,0,110,2,4,3,0,19,5,1,8,True,0,0,0,1,0,0,0,0,0.7868749049275389,5,0.258051418043035,3,93,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,1,1393.6392227138413,0.0,0.0,1,0,0,0.0,0,0,2.6666666666666665,1,0,1,0,0.0,0,1,0,1,6,71,0.0,0,0,7.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,469,20,0,0,3,0,0,0,8,0,0,2,1,1,0.2203241572684506,0,2,0,0,2,4,5,6,0,1.962404727935791,0.8518629346350308,1,0,0,0.0,0.0,0.0,0.0,1278.2421657631123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.22891106030493,0.0861054984993342,44.55959547340547,395.05202711494553,597.5721595853797,708.3468834047732
1,0,0,5629,0,8,481,2753,481,4018,6,2,0,0,False,False,False,False,4275,0,0,0,0,1,0,0,1,330,23718,2825,4604,0,0,0,0,7749,1076,5276,0,0,51,46,18,7,3,14,2,4,200,9,0,35141,0,0,425,0,97,16,120,1,0,3673,542,209,0,0,2,0,9,4,1,6,False,0,0,0,0,0,0,0,0,0.4529895279188313,2,0.188084831072732,6,2,0,0,0.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0,0,912.6785329247988,0.0,0.0,2,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,1,1,0,4,69,0.0,0,0,21.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,6,0,0,4,0,0,0,2,0,0,2,0,0,0.1984311354659845,0,0,0,0,1,0,0,4,0,0.0668407678604126,0.6556293463356377,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.15516167061622,-0.3287028117541128,-154.0958781503281,290.70476671533737,292.08531852470463,663.3222741197997
9,0,13,15004,0,5,5120,7082,5120,9883,0,2,2,0,False,False,False,False,11025,0,0,0,1,13,0,13,2,0,91013,22215,966,0,0,0,0,12171,1852,12176,0,0,88,121,36,23,5,14,2,4,100,22,0,112539,0,0,1644,0,169,83,0,1,0,9354,962,492,3,3,2,0,12,3,0,6,True,0,0,0,0,0,500,0,0,0.761615291882309,2,0.1863010607252047,0,5,0,0,0.0,0.0,0,0,14,0,0,0,0,0,1,750.9048925,0,1,1378.3526955,0.0,0.0,6,0,0,0.0,1,0,22.0,2,0,1,1,0.0,0,0,0,0,3,69,1.0,1,0,28.0,0,4.0,1,0.0,0,0,2,0,0,1,0,0,13,0,0,1,0,0,0,29,19,0,5,4,0,2,0,22,0,0,9,0,1,0.2924859437608474,0,1,0,0,2,3,0,7,0,0.4936088323593139,0.5582295177453319,7,6,0,0.0,0.0,0.0,1003.8918228,1321.3067387,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.42100617308944,0.9576649026838284,260.44132330715206,542.9524695988814,1089.561477917101,593.5345885497272
7,0,7,13332,0,5,2949,4057,2949,6790,2,3,2,0,False,True,True,False,11575,0,1,0,2,12,0,7,3,620,67860,17125,4044,4,0,0,0,13229,1295,10988,0,0,90,112,34,18,6,14,4,4,100,20,4,87280,0,0,3265,0,148,45,62,1,1,6191,614,839,0,4,2,0,23,3,6,6,True,0,0,6,1,0,0,0,0,0.2457312952268132,3,0.1583387051113045,2,10,0,0,1.0,0.0,0,0,15,0,0,0,0,0,1,912.0083017017386,0,0,1617.7924479528006,0.0,0.0,4,0,0,0.0,0,0,9.5,2,0,2,5,2.0,0,0,0,0,2,64,0.0,0,0,62.00000002980232,1,3.0,0,0.0,1,0,3,0,0,1,0,0,14,0,0,0,0,0,0,55,18,0,2,3,0,4,0,19,0,1,8,0,1,0.1859778801569125,0,1,0,0,2,4,0,6,0,1.364682674407959,0.8578832745702116,6,1,0,0.0,0.0,0.0,0.0,1465.6644718109744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.76718821441906,0.2967006061917308,127.65543581399216,459.2925383847992,705.9249172816754,588.6169151086199
4,0,0,18753,0,3,3413,7553,3413,19681,7,2,0,0,False,False,False,False,15100,0,0,1,3,9,0,3,1,809,138541,24624,11300,14,0,0,0,21755,1639,19030,0,0,116,200,81,46,7,14,4,4,100,16,10,161819,0,4,8413,0,212,48,304,1,0,1522,1522,4875,2,2,6,0,46,3,17,6,False,0,0,3,0,0,0,1,0,0.7438100876054545,2,0.1812457288473294,7,3,0,2,0.0,0.0,0,0,15,1,0,0,0,0,1,827.8820608735485,0,0,2423.155710530368,0.0,0.0,4,0,0,0.0,0,0,1.8571428571428568,0,0,1,0,0.0,0,2,0,0,5,70,0.0,0,0,11.0,0,1.0,0,0.0,1,0,0,0,0,2,1,0,8,0,0,1,0,0,0,20,27,0,2,4,0,0,0,13,0,0,3,0,1,0.2181779304521295,0,1,0,0,1,2,5,10,0,0.1524323225021362,1.1625762468511702,17,10,0,1421.9285544575532,0.0,0.0,0.0,1858.222404567892,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-107.01747265892432,-0.2971331957212151,-176.19998506268058,385.6541269464938,688.0119146924736,871.7145129471148
7,0,0,20189,0,6,5322,12735,5322,19393,4,3,1,0,False,False,False,False,16825,0,0,1,1,13,0,11,2,1063,163270,41416,11540,12,0,0,0,23519,1578,18285,0,0,148,209,68,40,6,12,3,4,100,17,4,194017,0,4,4884,0,260,93,107,1,0,7227,401,370,1,3,6,0,44,3,16,9,False,0,0,1,0,0,0,1,0,0.7423907952561765,3,0.1879193035300521,4,5,0,1,0.0,0.0,0,0,11,1,1,0,0,0,1,958.8613689,1,1,2193.459154,0.0,0.0,4,0,0,0.0,1,0,5.0,3,0,1,1,0.0,0,2,0,0,2,73,0.0,1,0,62.0,0,3.0,0,0.0,0,0,1,1,0,4,0,0,13,0,0,1,1,0,0,27,25,0,4,6,0,10,0,20,0,0,4,0,1,0.2876717542147909,0,1,0,0,1,3,0,12,0,0.973362922668457,1.2243952689269852,16,3,0,1702.7270164,0.0,0.0,1854.9041199,1429.8614699999998,0.0,19.67260729999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92.64818067362106,0.1914783775362702,41.74228630290692,476.0973087169692,1187.056524509141,826.0103666375362
9,0,0,13361,0,7,1580,1897,1580,11920,8,3,1,0,False,False,False,False,11885,0,0,1,3,9,0,3,2,682,72473,19832,15414,2,0,0,0,16485,1990,8415,0,0,107,118,40,25,6,14,3,4,100,14,2,89761,0,0,3230,0,163,24,264,1,0,802,802,979,0,0,6,0,17,5,3,6,False,0,0,1,0,0,825,0,0,0.7579928062279869,3,0.1734302397123713,8,9,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,1,1733.2237808387486,0.0,0.0,5,0,0,0.0,0,0,2.25,2,0,1,2,0.0,0,0,0,0,3,73,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,3,0,0,15,0,0,0,1,0,0,46,25,0,1,3,0,3,0,18,0,0,5,0,0,0.2455378753906332,0,1,0,0,1,0,0,7,0,-0.5198389291763306,0.5991570037868345,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.774453141726863,0.3807932981860024,-62.86551177325276,433.3773909082331,783.2225792234822,858.8619752722473
7,0,6,12375,0,7,4934,7275,4934,5689,1,4,1,0,False,False,False,False,10000,1,2,0,2,9,0,6,2,819,84395,15141,7053,4,0,0,0,16207,1735,4411,0,0,106,134,37,23,4,14,2,4,100,11,0,104021,0,4,965,0,175,22,35,1,0,3419,414,51,3,6,0,0,24,5,6,7,True,0,1,0,1,0,0,1,0,0.5473246384716116,4,0.1444936470506709,1,0,0,0,0.0,0.0,0,0,8,1,0,0,0,0,1,726.4631985,1,2,1377.2252912,0.0,0.0,4,0,0,0.0,0,0,16.0,1,0,2,4,0.0,0,0,0,0,1,84,1.0,0,0,41.0,0,2.0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,8,10,0,1,3,0,2,0,16,0,0,7,0,1,0.2658643578373175,0,2,0,0,3,6,5,8,0,-0.1659244298934936,1.0619642960809306,6,5,0,0.0,0.0,0.0,0.0,1281.8660203,0.0,11.640348000000015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.66407848726269,0.3920927123909326,94.0586851168915,524.3586540374739,753.2972322168462,501.7479742895968
13,0,0,16167,0,6,2364,3617,2364,14067,5,5,1,1,False,False,False,False,13850,1,1,0,2,7,0,3,2,780,91190,28629,15974,8,0,0,0,17528,2535,10283,0,0,106,157,42,30,6,14,6,4,100,18,4,123663,0,0,4873,0,186,28,193,1,0,14945,1186,1708,1,1,6,0,45,6,12,9,True,0,0,1,0,0,0,0,0,0.8249499306940254,5,0.1960841668316819,5,4,0,2,0.0,0.0,0,0,14,0,1,0,0,0,0,0.0,1,2,2258.4980137432703,0.0,0.0,6,0,0,0.0,0,0,4.0,1,0,1,1,0.0,0,0,0,0,4,85,0.0,0,0,34.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,14,0,0,1,0,0,0,26,31,0,1,4,0,4,0,20,0,0,4,0,0,0.2703137081856634,0,0,0,0,0,1,0,8,0,1.5398426055908203,1.2050193859855536,12,2,1,1116.8306381079392,0.0,0.0,0.0,0.0,0.0,31.871532709537405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.683199171805363,0.2922296127708811,-32.25152271853179,363.16170968890407,859.4472911591613,742.9539409773147
