assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,16542,0,3,3035,8480,3035,18300,3,1,0,0,False,False,False,False,14005,0,0,1,2,6,0,3,1,1025,3205,691,8101,0,0,0,0,165100,20333,12008,0,0,142,22,36,5,7,14,3,4,200,19,0,174610,0,0,3360,0,234,57,130,1,0,6305,1354,1016,1,1,9,0,13,1,1,6,False,0,0,1,0,0,450,0,0,0.0,1,0.1841204137985997,3,7,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1738.9414075999998,0.0,0.0,7,0,0,0.0,0,0,4.333333333333333,2,0,1,1,0.0,0,0,0,0,1,75,0.0,0,0,34.650000005960464,0,2.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,38,4,0,3,5,0,0,0,13,0,0,3,0,0,0.2799482851351879,0,1,0,0,5,1,0,11,0,-0.2246195077896118,0.4722336222154868,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.3411669790639,0.0690075004687006,74.35558175502497,481.3963232696559,772.1594264945262,728.9262274508852
3,0,0,9890,0,0,632,2508,632,17945,8,0,1,0,False,False,False,False,9500,0,0,1,2,8,0,2,2,353,1317,1309,12137,4,0,0,0,59857,13024,8834,0,0,80,20,22,5,5,14,4,4,200,16,0,62723,0,0,392,0,87,37,196,1,0,1548,1148,731,0,1,8,0,9,0,0,5,False,0,0,0,0,0,1500,0,0,0.0,0,0.1866304370901003,8,5,0,1,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1617.7924479528006,0.0,0.0,5,0,0,0.0,0,0,1.375,0,0,0,2,1.0,0,1,0,0,1,33,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1,1,0,3,0,0,5,0,0,0,0,0,1,31,1,0,2,5,0,0,0,11,0,0,4,0,0,0.2087575624486304,0,0,0,0,0,1,0,3,0,-0.5771102905273438,0.3627900142908959,0,0,0,1044.526715566546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.76718821441906,-0.2967006061917308,-127.65543581399216,385.5253501703802,574.152760556773,804.9116570223916
3,0,0,9986,0,5,0,573,0,15439,6,3,0,0,False,False,False,False,9175,0,0,1,2,7,0,4,1,703,8347,402,6973,4,0,0,0,71196,14207,13041,0,0,92,23,24,6,5,14,5,4,200,15,0,80663,0,0,1710,0,121,36,178,1,0,1120,936,1778,0,0,7,0,20,3,5,6,False,0,0,0,0,0,450,0,0,0.6897534713165524,3,0.1744335047495278,6,2,0,0,0.0,0.0,0,0,15,0,0,0,0,0,1,841.2181502,0,0,1610.2210114,0.0,0.0,5,0,0,0.0,0,0,1.6666666666666667,2,0,1,3,0.0,0,1,0,0,0,51,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,11,5,0,1,3,0,6,0,10,0,0,4,0,0,0.2351713490844281,0,1,0,0,0,0,5,5,0,-0.2770863771438598,0.7690780641270175,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.02213004224123,-0.26083375948177,-119.90900543033368,365.8752406216428,579.2745178433709,812.0500171980306
10,0,0,16978,0,7,5699,13899,5699,24781,6,6,2,0,False,True,False,False,15250,0,1,0,3,15,0,6,2,521,11844,4237,13641,5,0,0,0,176898,35070,18963,0,0,184,33,34,10,5,4,8,14,100,26,1,196373,0,4,9923,0,198,76,201,1,0,7630,1758,2396,3,5,2,0,26,6,5,8,True,0,0,4,1,0,750,0,0,0.7293743704357274,6,0.2421196413130619,6,0,0,1,0.0,0.0,0,0,26,6,0,0,0,0,1,993.5755176317545,0,3,1966.8969412340743,0.0,0.0,15,0,0,1.600000023841858,0,0,4.166666666666667,3,0,2,1,1.0,0,1,0,0,1,70,0.0,0,0,19.599999994039536,2,1.0,0,0.0,0,0,2,0,0,4,0,0,21,0,0,0,0,0,0,5,5,0,1,2,0,0,0,25,1,0,4,0,1,0.3386021123328417,0,2,0,0,2,5,5,9,0,-0.2822297811508178,0.8084425294952444,6,1,0,1683.7449050346354,0.0,0.0,0.0,1585.5827423895796,1.0,30.77593708967516,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.85026231554863,0.1525245139746739,-37.03295199305084,491.0679251928602,1252.714338176792,1067.7021027255123
5,0,0,12600,0,8,0,2504,0,20892,11,4,1,0,True,False,False,False,12575,0,0,2,4,14,0,5,2,325,1844,773,8748,6,0,0,0,92511,19067,19576,0,0,108,25,40,5,7,14,4,4,100,23,2,95712,0,2,1770,0,129,36,316,1,0,1356,1356,701,0,0,11,0,34,5,5,7,False,0,0,2,0,0,375,0,0,0.8972332769711598,4,0.215684302489499,11,6,0,0,0.0,0.0,0,0,23,1,0,0,0,0,0,0.0,0,2,1724.7164534971023,0.0,0.0,13,0,0,0.0,1,0,1.7272727272727273,3,0,2,3,2.0,0,4,0,0,0,52,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,4,0,0,16,0,0,0,0,0,0,34,2,0,2,3,0,0,0,19,0,1,11,1,0,0.2497497372906742,0,2,0,0,0,0,5,5,0,0.731535792350769,1.194085198820008,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.91207519972184,-0.1391533080776069,-137.4138917266369,441.1507749330336,737.4081678302589,1009.7659800651552
9,0,3,16724,0,4,1732,4644,1732,18606,5,1,0,0,True,False,False,False,11400,0,0,0,1,5,0,3,1,757,1793,828,10944,18,0,0,0,162288,22340,12958,0,0,179,38,71,6,6,14,5,4,100,19,0,170395,0,14,4990,0,172,45,203,1,0,6313,1210,836,2,3,5,0,19,2,2,5,True,0,0,0,1,0,375,2,0,0.4950252194375761,1,0.2081805489667104,5,2,0,0,0.0,0.0,0,0,19,12,0,0,0,0,1,620.8858128857095,0,2,1989.707922929952,0.0,0.0,8,0,0,0.0,0,0,2.8,3,0,1,1,1.0,0,0,0,0,2,65,0.0,0,0,3.0,5,1.0,0,0.0,0,0,0,0,0,2,0,0,14,0,0,0,1,0,1,15,18,0,0,4,0,2,0,14,0,0,7,0,2,0.2121918002314805,0,2,0,0,1,3,5,8,0,-0.4913461208343506,0.5871699297736995,3,1,0,0.0,0.0,0.0,0.0,1233.5204779091152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.9325040543448,0.120620718867414,14.172934466921143,405.55701201196274,735.1531263171714,745.9788358355219
9,0,2,15069,0,2,2917,7241,2917,11800,5,0,0,1,False,True,False,False,12000,0,1,0,3,13,0,5,1,473,1276,520,8397,20,0,0,0,146733,22386,8941,0,0,153,38,50,5,7,14,4,4,100,17,0,151488,0,16,4836,0,164,38,138,1,0,3479,874,1833,1,1,0,0,13,0,2,5,True,0,0,0,0,0,550,1,0,0.0,0,0.2042550770725586,5,6,0,1,0.0,0.0,0,0,18,11,0,0,0,0,1,741.1050727626543,0,1,1530.2208957935998,0.0,0.0,10,0,0,0.0,0,0,4.4,2,0,2,4,0.0,0,0,0,0,2,66,0.0,0,0,30.00000002980232,0,3.0,0,0.0,0,0,0,0,0,4,1,0,13,0,0,2,0,0,0,35,12,0,8,5,0,0,0,22,0,0,10,0,1,0.2350487454659247,0,2,0,0,1,1,0,7,0,-0.4451408982276916,0.5240862528377725,2,2,0,1110.8945379635124,0.0,0.0,0.0,1228.5031436523086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1475.5351671273454,0.0,0.0,226.16342578469155,0.5881503791210771,132.25541525169288,550.234284680405,932.4536110585556,751.734604567286
2,0,6,7796,0,2,1750,1750,1750,4241,1,0,0,0,False,False,False,True,5050,0,0,0,2,8,0,6,1,377,2075,475,2826,0,0,0,0,56161,10716,3963,0,0,88,21,24,2,4,14,3,4,100,19,0,59352,0,0,560,0,115,51,16,1,0,1116,794,357,1,1,0,0,12,0,3,5,True,0,0,0,0,0,0,0,0,0.0,0,0.1478663350351789,1,2,0,0,0.0,0.0,0,0,17,0,0,0,0,0,1,811.6214625134003,0,0,923.6969063386224,1.0,0.0,7,0,0,0.0,0,1,10.0,0,0,1,2,3.0,0,1,0,0,0,68,0.0,0,0,15.0,2,1.0,0,0.0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,12,2,0,3,5,0,0,1,10,0,0,10,0,0,0.3406644159002074,0,1,0,0,2,1,0,5,0,-0.0964552760124206,0.7921356906954033,3,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,237.0258019677049,0.5846073493311439,67.22984517308156,522.6389703020427,778.5021201926401,464.3081481132241
12,0,1,16068,0,3,726,2263,726,28444,17,1,0,0,False,False,False,False,13125,0,0,1,0,7,0,0,1,290,3524,915,17247,12,0,0,0,141039,25119,15813,0,0,166,42,64,9,7,14,6,4,100,26,4,152055,0,0,3128,0,155,46,486,1,0,7490,2022,3392,0,1,7,0,15,1,2,5,True,0,0,1,0,0,700,0,0,0.0,0,0.2299262958491405,17,6,0,1,0.0,0.0,1,0,25,0,0,0,0,0,0,0.0,0,1,2060.791992123275,0.0,0.0,9,0,0,0.0,0,0,1.1176470588235294,1,0,0,2,0.0,0,0,0,0,1,34,0.0,0,1,0.0,18,0.0,0,0.0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,2,33,8,0,2,4,1,1,0,19,0,0,7,0,0,0.2059097630291591,1,1,0,0,0,1,5,7,0,-0.3700065612792969,0.4422514490120299,2,0,0,1896.3699429963865,0.0,0.0,0.0,0.0,0.0,36.66536921196644,0.0,0.0,0.0,0.0,0.0,0.0,1896.3699429963865,0.0,-99.22398805001184,-0.3202652196449913,-133.75440173173547,407.697624608074,816.880115234502,1061.3298228835336
5,0,0,11439,0,3,1859,1859,1859,21396,9,1,0,0,False,True,False,False,9200,0,0,1,0,3,0,0,1,437,5431,751,2027,4,0,0,0,94930,11678,23378,0,0,112,29,15,6,5,4,7,14,200,20,4,101880,0,0,2287,0,161,31,277,1,0,1518,1518,690,0,0,9,0,17,2,2,10,False,0,0,6,0,0,300,0,0,0.0,1,0.2090792214648346,9,22,0,0,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,0,0,1724.8485084,0.0,0.0,3,0,0,0.0,0,0,0.8888888888888888,1,0,0,2,0.0,0,0,0,0,0,81,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,116,6,0,2,8,0,0,0,8,0,0,2,0,0,0.205336583220744,0,0,0,0,3,0,0,7,0,-0.3509714603424072,0.5946155796636783,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.62543796185363,-0.4869992906097005,-138.30779853315494,338.6732209554317,485.1904361017216,907.7666776964816
