assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,15897,0,5,7095,14143,7095,16627,11,2,0,0,False,False,False,False,16600,0,0,3,3,11,0,4,1,385,21775,3230,16153,9,0,0,0,169807,36399,14961,0,0,143,195,43,11,7,14,4,4,100,29,7,194618,0,0,2208,0,191,98,380,1,0,3035,1301,2078,2,2,10,0,22,2,6,4,False,0,0,6,0,0,1475,0,0,0.7973910396559228,2,0.1952719323255449,11,9,0,0,0.0,0.0,0,0,35,0,0,0,0,0,1,957.6454299462696,0,1,2061.568182630321,0.0,0.0,7,0,0,0.0,1,0,1.7272727272727273,1,0,1,2,0.0,0,0,2,7,4,47,0.0,0,0,33.20000001788139,0,1.0,0,0.0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,50,32,0,5,2,0,0,0,19,0,0,6,0,0,0.3247643692559677,0,0,0,0,2,2,0,9,0,-0.2451897263526916,0.6598658810854193,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.78601899250984,-0.4074568122836751,-62.60282880158466,487.1146190851336,1191.2581988273648,966.0509978665734
11,0,0,22766,0,7,9788,24074,9788,40078,6,4,1,1,False,False,False,False,18450,1,1,0,4,17,0,8,2,696,28636,5491,16199,22,0,0,0,204895,40399,15925,0,0,187,230,61,13,7,14,4,4,200,22,10,239508,0,2,6775,0,230,171,201,1,0,5976,1860,7593,4,4,5,0,32,4,9,6,True,0,0,4,0,0,975,0,0,0.7470850493211506,4,0.2863483649477253,6,6,0,1,0.0,0.0,0,0,23,2,0,1,0,0,1,884.0730082831857,0,1,2138.4927878695967,0.0,0.0,3,0,0,0.0,2,0,4.666666666666667,0,0,2,3,0.0,0,0,0,8,3,65,0.0,1,0,23.0,1,4.0,0,0.0,0,0,1,0,0,7,1,0,12,0,0,2,1,0,1,33,29,0,12,2,0,0,1,28,0,0,6,0,2,0.4145173446932632,0,1,0,0,5,4,0,11,0,0.090463638305664,0.9133343999001186,9,3,1,1418.3608815373263,0.0,0.0,1587.5162911105572,1510.194119703664,1.0,23.93496916540585,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.36983615079464,0.6172571670512887,171.4572067204739,551.2667644647146,1339.7566810848225,1114.3455865352744
6,0,0,10481,0,8,0,4967,0,7036,7,4,0,0,False,False,False,False,8550,0,0,2,1,5,0,2,1,571,6823,1223,8542,0,0,0,0,62398,10124,5394,0,0,82,127,23,7,3,14,4,4,100,9,0,71771,0,0,0,0,133,17,185,0,0,2549,641,1091,0,0,9,0,17,4,2,7,False,0,0,0,0,0,0,0,0,0.1431688613359272,4,0.1334944703437634,7,4,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,2,1481.3840864492358,0.0,0.0,5,0,0,0.0,0,0,1.5714285714285714,2,0,0,1,0.0,0,1,1,4,2,60,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,13,0,1,3,0,0,0,11,0,0,3,0,0,0.1638847510855437,0,0,0,0,0,0,0,6,0,-0.2923786044120788,0.6909149926215068,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.00233546737823,-0.1620106508469803,-136.93950262841008,360.7572167735133,485.5864232511117,608.6740152321049
4,0,2,14211,0,11,2685,15097,2685,11219,4,5,2,0,False,True,False,False,12685,0,1,0,4,16,0,7,2,425,13343,2309,6457,5,0,0,0,114874,23451,14796,0,0,114,169,38,11,4,14,5,4,200,22,0,136460,0,1,2786,0,155,165,108,1,0,8242,923,408,1,3,1,0,38,5,8,10,True,0,0,0,1,0,0,0,0,0.742690527909157,5,0.261792254787704,4,2,0,2,0.0,0.0,0,0,29,3,0,0,0,0,1,804.6387058464846,1,2,1619.1767832283738,0.0,0.0,7,0,0,0.0,0,0,5.0,5,0,3,4,3.0,0,0,0,5,1,63,1.0,0,0,35.19999998807907,0,3.0,0,0.0,0,0,2,0,0,6,0,0,8,0,0,1,1,0,1,11,16,0,7,5,0,6,0,20,0,0,13,0,1,0.3286247664584462,0,2,0,0,3,3,10,7,0,0.7516549825668335,1.4201580848552668,8,4,0,1201.073171723807,0.0,0.0,0.0,1442.394023199817,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,292.18551358963776,0.4817262747831694,273.10174193476604,513.7054882553138,988.7617069261008,802.7041972579243
2,0,1,6862,0,5,0,0,0,3837,4,0,0,0,False,False,False,False,5800,0,0,0,1,5,0,4,1,273,2126,499,1992,0,0,0,0,30151,6135,5370,0,0,49,57,11,4,3,14,2,4,200,6,0,32540,0,0,0,0,74,23,71,0,0,262,262,365,0,0,4,0,9,2,4,3,False,0,0,1,0,0,525,0,0,0.0,0,0.1823190088979537,4,9,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,918.110215,0.0,0.0,2,0,0,0.0,0,0,1.75,0,0,1,0,0.0,0,1,0,3,4,54,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,50,11,0,2,3,0,0,0,7,0,0,7,0,0,0.2480797899029998,0,0,0,0,0,0,0,3,0,0.4664794206619262,0.6469836150664937,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-205.6615827980957,-0.0653516310130587,-151.9425421053615,385.63997460805945,450.6648474660528,505.10275609993073
1,0,0,11598,0,6,2381,3539,2381,7933,7,3,0,0,False,False,False,False,8175,0,0,1,0,3,0,0,1,357,9444,843,6930,0,0,0,0,90107,9753,9045,0,0,90,133,27,4,5,14,5,4,200,13,0,101907,0,0,100,0,177,55,185,1,0,2356,786,618,1,1,6,0,15,3,2,6,False,0,0,0,0,0,300,0,0,0.5891773851731967,3,0.1869596736239054,7,0,0,0,0.0,0.0,0,0,17,0,0,0,0,0,0,0.0,0,0,1431.10634606378,0.0,0.0,2,0,0,0.0,0,0,0.5714285714285714,0,0,0,0,0.0,0,2,0,2,3,64,0.0,0,0,18.39999994635582,0,1.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,12,0,1,3,0,0,0,4,0,0,2,0,0,0.2168065647883279,0,0,0,0,0,1,0,8,0,-0.533814549446106,0.6411122364981535,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.922812818923,-0.7127352923879368,-67.9614064094615,357.3738607243984,477.197241056441,695.6715709760609
7,0,0,22144,0,12,3257,16944,3257,26864,10,8,0,0,False,False,False,False,16350,1,1,1,4,12,0,3,1,565,19130,1586,17146,43,0,0,0,239216,29163,20983,0,0,170,230,74,19,6,4,8,14,100,27,21,273340,0,16,6315,0,220,154,344,1,0,14994,922,2154,1,1,6,0,33,8,5,12,False,0,0,15,1,0,600,1,0,0.8942944110683294,8,0.2024417295315252,10,3,0,0,0.0,0.0,0,0,36,15,0,0,0,0,1,668.2105066480545,0,0,2458.4897184764823,0.0,0.0,7,0,0,0.0,2,0,1.9,1,0,2,3,0.0,0,1,1,3,2,68,0.0,0,0,53.20000007748604,0,2.0,0,0.0,0,0,0,0,0,3,0,0,11,0,0,1,0,0,0,17,32,0,5,4,0,2,0,19,0,0,5,0,2,0.2053233637178543,0,2,0,0,0,1,10,10,0,0.0770210027694702,0.8162883009766262,5,1,1,0.0,0.0,0.0,0.0,1444.9236188408177,0.0,44.80228766369237,1.0,0.0,0.0,0.0,0.0,2214.626524399516,0.0,0.0,-48.73723859795194,-0.1952418171174839,-44.02702975999264,436.8291605732307,772.962353968119,983.1401700950904
13,1,0,14504,0,1,481,2168,481,17763,9,1,0,0,False,False,False,False,10375,0,0,3,1,5,0,2,1,459,11496,1769,6986,4,0,0,0,102309,17688,17860,0,0,110,152,52,12,4,4,6,14,100,25,0,115534,0,0,2297,0,168,121,298,1,0,1729,1271,443,0,0,10,0,23,1,3,6,False,0,0,0,1,0,0,0,0,0.5755680361760592,1,0.1593445536181811,9,19,0,0,0.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,3,1751.4323813,0.0,0.0,4,0,0,0.0,0,0,2.0,2,0,0,2,1.0,0,0,0,3,3,63,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,96,31,0,0,5,0,8,0,18,0,0,8,1,1,0.1672508523183919,0,0,0,0,1,0,0,7,0,0.3617392778396606,0.7932125559946412,3,1,0,0.0,0.0,0.0,0.0,1234.950166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.12541352098158,0.1027730227680243,-6.200639040337468,378.2732391348416,710.1273296527922,866.3765819344452
0,0,0,6004,0,1,0,0,0,3829,2,1,0,0,False,False,False,False,4725,0,0,0,0,2,0,0,1,581,3306,232,2486,4,0,0,0,42024,3470,4985,0,0,51,70,15,2,2,4,2,12,100,8,0,48050,0,0,0,0,95,49,51,0,0,2719,114,112,0,0,1,0,9,1,0,7,False,0,0,0,0,0,0,0,0,0.3216259971315701,1,0.1570211564126311,2,0,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,0,951.9780132512768,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,1,0,0,3,55,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,11,0,1,6,0,0,0,2,0,0,2,0,0,0.1663303183644939,0,0,0,0,0,0,0,4,0,-0.0474109053611755,0.6196142095151514,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.8352777908183,-0.1260533314106338,-148.99503772736924,313.49463521824646,240.63580966290007,477.9312060434184
8,0,0,13553,0,9,399,399,399,12498,8,4,2,0,False,False,False,False,10400,0,0,1,3,7,0,3,2,471,12117,1755,9182,0,0,0,0,95102,14344,14027,0,0,105,133,18,8,3,12,4,4,100,31,0,107435,0,0,581,0,172,75,262,1,0,216,216,1289,0,0,7,0,18,4,4,6,False,0,0,0,0,0,450,0,0,0.6843917979328946,4,0.1767211342234278,8,2,0,0,0.0,0.0,0,0,41,0,0,0,0,0,1,698.7194031,0,2,1706.8731309,0.0,0.0,9,0,0,0.0,0,0,1.875,0,0,1,1,1.0,0,2,0,7,4,70,0.0,0,0,0.0,0,1.0,0,0.0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,19,19,0,1,2,0,0,0,15,0,0,5,0,0,0.190954508126891,0,1,0,0,0,0,5,8,0,-0.0342661142349243,0.6441421438668683,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.36479395751674,-0.2460639823760905,-101.69472871628996,385.1604364135462,573.5399909211847,861.1887863188344
