assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,4,8328,0,4,984,984,984,10510,3,1,2,0,False,True,False,False,6475,0,0,0,3,9,0,4,3,654,44170,14290,4034,0,0,0,0,6463,483,13777,0,0,42,35,74,10,3,4,3,12,100,14,0,56253,0,0,4702,0,108,136,87,1,1,5619,24,1319,1,1,0,0,11,1,1,6,True,0,0,0,0,0,0,0,0,0.0441528229174542,1,0.2645430950798494,3,4,0,0,0.0,0.0,0,0,30,0,0,0,0,0,1,875.9524480942288,0,0,1140.9823032264148,0.0,0.0,10,0,0,0.0,0,0,5.0,1,0,2,2,3.0,0,1,0,0,5,69,0.0,0,0,21.0,0,1.0,0,0.0,0,0,3,1,0,3,0,0,10,0,0,0,0,0,0,25,16,0,0,5,0,6,0,15,0,1,7,0,0,0.2112141995246828,0,0,0,0,0,1,0,5,0,0.4146595001220703,0.6089485160931172,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.61474725760722,0.4206901357213684,89.39665384079079,435.309117937686,778.1189922836361,1006.0278733106874
1,0,0,13904,0,5,0,583,0,19179,8,3,1,0,False,False,False,False,10475,0,0,1,2,6,0,2,2,535,101353,13218,23411,1,0,0,0,9135,68,8773,0,0,66,73,142,18,5,14,3,4,200,15,0,115044,0,0,9832,0,174,315,283,1,0,4556,725,1911,0,0,9,0,22,3,3,7,False,0,0,1,0,0,450,0,0,0.0,3,0.2860411510113412,8,0,0,0,0.0,0.0,0,0,28,0,0,0,0,0,0,0.0,0,0,1949.724921223429,0.0,0.0,5,0,0,0.0,0,0,0.875,1,0,0,0,1.0,0,1,0,0,2,54,0.0,0,0,2.0,0,1.0,0,0.0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,5,12,0,1,4,0,7,0,7,0,0,4,0,0,0.1946413779686628,0,1,0,0,0,0,0,8,0,-0.4172293543815613,0.6962022895259545,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.743080475137575,-0.1230942875005172,-51.20722360021516,324.29190042011254,431.1992891143117,1049.2249330825334
7,0,0,17757,0,3,4042,13771,4042,30533,6,2,2,0,False,False,False,False,15560,0,0,1,3,12,0,5,2,881,138035,27222,12848,8,0,0,0,8793,604,23424,0,0,79,94,213,38,6,12,5,4,100,31,4,154804,0,0,9843,0,187,374,294,1,0,7974,520,4139,2,3,5,0,23,2,7,6,True,0,0,1,1,0,750,0,0,0.5302616846632535,2,0.2441576742538963,6,6,0,2,0.0,0.0,0,0,46,0,0,0,0,0,1,1124.2740787062733,0,0,2096.57000045618,0.0,0.0,7,0,0,0.0,1,0,3.1666666666666665,0,0,2,3,0.0,0,1,0,0,1,66,1.0,0,1,19.0,4,3.0,0,0.0,0,0,2,0,0,2,0,0,10,0,0,0,0,0,1,31,38,0,3,4,0,4,0,19,0,0,5,0,2,0.2443757099786071,0,1,0,0,3,3,0,9,0,-0.7287730574607849,0.6694612205154001,7,2,0,1011.8653808723684,0.0,0.0,0.0,1466.343761737134,0.0,28.24902985698759,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.56672085618705,0.0858545147363717,89.43178618372056,468.3363778869078,811.2393097439766,1156.517549842085
4,0,0,14149,0,3,385,5745,385,23729,5,1,0,0,True,False,False,False,10910,0,0,1,2,6,0,3,1,829,96942,14586,18070,0,0,0,0,9760,632,11340,0,0,75,58,160,25,5,12,3,4,100,32,0,115274,0,0,3107,0,185,412,174,1,0,8571,302,771,1,1,7,0,16,1,5,5,False,0,0,0,0,0,375,0,0,0.2235752668491368,1,0.2431822068707744,5,10,0,1,0.0,0.0,0,0,45,0,0,0,0,0,1,1097.655884758051,0,0,1769.8046090733235,0.0,0.0,8,0,0,0.0,0,0,2.0,2,0,1,1,0.0,0,1,0,0,4,66,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,57,20,0,0,4,0,6,0,10,0,1,3,0,0,0.1624962530434979,0,1,0,0,0,1,0,8,0,-0.4618862271308899,0.5571186387404785,5,5,2,1041.2567875360655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.92330426666496,-0.0678040950875545,-89.67091575329094,370.8544980813798,526.1597778794236,1023.2315989662862
5,0,8,13954,0,2,4751,7314,4751,15239,1,1,1,0,False,False,False,False,9075,1,1,0,1,9,0,8,2,616,89978,17452,10104,4,0,0,0,7602,93,11867,0,0,64,52,146,15,4,12,3,4,100,27,4,102178,0,0,6585,0,139,323,27,1,0,4597,0,472,2,4,1,0,15,1,1,7,True,0,0,1,1,0,0,0,0,0.5260260413934534,1,0.2507754858979655,1,0,0,0,0.0,0.0,0,0,45,0,0,0,0,0,1,711.4631779306318,0,1,1420.9999201685432,0.0,0.0,8,0,0,0.0,0,0,14.0,1,0,1,3,0.0,0,3,1,2,4,61,0.0,1,0,6.0,1,3.0,0,0.0,0,0,1,0,0,3,0,0,7,0,0,0,0,0,0,2,16,0,5,6,0,2,0,14,0,0,7,0,1,0.2489146047492189,0,1,0,0,1,4,5,6,0,0.3122953176498413,0.6594771823469682,1,1,0,0.0,0.0,0.0,1383.7231901258372,1217.379468185644,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,118.90218824217798,0.3377903075061874,168.17734934964307,462.4349309759706,740.8585919379456,947.6707077086088
1,0,2,15385,0,8,2462,3548,2462,15900,3,5,1,0,False,False,False,False,8725,0,0,1,1,4,0,2,2,638,111765,17741,6664,4,0,0,0,10063,392,19482,0,0,68,62,133,18,3,4,3,12,200,18,2,124740,0,0,6268,0,185,372,105,1,0,2911,0,886,0,1,7,0,23,5,2,9,True,0,0,2,0,0,800,0,0,0.7965902800785147,5,0.2151922336369091,3,0,0,0,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,0,1596.1614143864,0.0,0.0,0,0,0,0.0,0,0,1.6666666666666667,1,0,0,0,0.0,0,1,0,0,2,65,0.0,0,1,0.0,13,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,8,0,1,4,0,12,0,5,0,0,0,0,0,0.227595438501508,0,1,0,0,0,1,0,8,0,0.6866453886032104,0.8726045583996805,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.71586617449216,-0.2255410992618137,69.57942912226953,402.2525505334447,681.6603823356216,1016.1754227241016
7,0,6,12008,0,3,3985,12325,3985,14175,1,1,3,0,False,False,False,False,9325,0,1,0,2,14,0,8,3,1006,82145,23185,9903,4,0,0,0,4996,530,8841,0,0,48,52,124,22,3,12,4,4,200,22,0,92521,0,0,5729,0,117,224,35,1,1,5378,561,322,1,4,0,0,21,1,7,6,True,0,0,0,0,0,0,0,0,0.6988415180265928,1,0.2176694810620126,1,2,0,0,0.0,0.0,0,0,34,0,0,0,0,0,1,899.3142710730656,0,2,1397.877853503732,0.0,0.0,5,0,0,0.0,0,0,21.0,3,0,2,6,1.0,0,0,0,0,3,51,0.0,1,0,0.0,1,1.0,0,0.0,0,0,4,0,0,0,0,0,16,0,0,0,1,0,0,12,18,0,2,5,1,2,0,21,0,0,9,0,0,0.3049570611818937,0,1,0,0,2,4,0,5,0,0.2853169441223144,0.9138620887878826,7,6,0,0.0,0.0,0.0,999.5489713511076,0.0,1.0,33.09466504570537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.63310910544857,0.686755282368766,69.61981675013367,490.3003494061509,1041.9794521740102,818.4406077629769
0,0,0,7795,0,5,0,1781,0,5847,2,3,0,0,False,False,False,False,3975,0,0,0,0,2,0,0,1,685,41158,5964,3506,0,0,0,0,7600,188,6927,0,0,32,30,75,9,2,12,3,4,200,10,0,50457,0,0,2600,0,128,204,30,1,0,1697,0,1056,0,0,3,0,17,3,1,7,False,0,0,0,0,0,150,0,0,0.6467954124393731,3,0.282304560417868,2,0,0,0,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,0,0,966.788826248603,0.0,0.0,1,0,0,0.0,0,0,1.0,1,0,0,0,1.0,0,1,0,0,4,79,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,10,0,1,4,0,1,0,2,0,0,2,0,0,0.2815082251187281,0,0,0,0,0,0,0,5,0,0.6093916893005371,1.0565173184168974,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.154683610560117,-0.1241222454603988,2.482444909207977,330.53753966104216,381.80002703618686,713.0823001699914
8,0,0,10530,0,3,570,637,570,18494,8,1,0,0,False,True,False,False,9590,0,0,1,4,11,0,3,1,392,59281,18786,5519,0,0,0,0,4831,400,19163,0,0,42,45,117,26,6,14,3,4,200,33,0,65660,0,0,5223,0,91,234,213,1,0,1548,1000,4130,0,0,7,0,16,1,1,7,False,0,0,2,0,0,600,0,0,0.4056973322748498,1,0.2666867948414544,8,1,0,0,1.0,0.0,0,0,51,0,0,0,0,0,0,0.0,0,0,1305.230302610986,0.0,0.0,8,0,0,0.0,0,0,2.375,2,0,1,1,1.0,0,0,0,0,3,51,0.0,0,0,7.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,9,18,0,4,6,0,2,0,19,0,0,10,0,0,0.3280034777088391,0,0,0,0,1,0,0,4,0,0.6795648336410522,0.7578119710182625,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.514856316707403,0.3677511922913579,-16.13508356178333,454.1267535807906,927.9741648482052,1324.5478568353983
2,0,4,6026,0,3,0,0,0,5045,0,0,0,0,False,False,False,False,3975,0,0,0,1,4,0,4,1,0,23424,7119,0,0,0,0,0,5253,609,6951,0,0,22,18,53,10,2,3,2,4,100,11,0,28678,0,0,1980,0,84,120,0,1,0,0,0,246,0,0,0,0,3,1,0,3,True,0,0,0,0,0,0,0,0,0.0,0,0.2496208867015762,0,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,0,673.9615406108477,0.0,0.0,1,0,0,0.0,0,0,6.0,0,0,1,4,1.0,0,0,0,1,2,73,0.0,0,0,28.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,2,3,0,0,0,6,1,0,6,0,0,0.2810174886295324,0,1,0,0,0,0,0,3,0,-0.4593040347099304,0.3387653178060362,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.7745244101535,0.5341551087228399,149.7414821453028,392.96010831710254,687.9917800350178,640.7190529130464
