assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,0,13613,0,4,418,2502,418,8452,5,3,0,0,True,False,False,False,10900,0,0,4,1,6,0,3,1,607,123938,17292,10011,5,0,0,0,11976,1494,6528,0,0,158,181,41,11,4,14,4,4,100,19,5,144246,0,0,1503,0,191,365,116,1,0,8331,1128,121,0,0,9,0,22,4,3,12,False,0,0,3,0,0,450,0,0,0.6781016361250634,3,0.152867011111796,5,0,0,2,0.0,0.0,0,0,51,0,0,0,0,0,0,0.0,0,0,1698.1359797364723,0.0,0.0,3,0,0,0.0,0,0,2.4,0,0,1,0,1.0,0,1,0,5,4,59,0.0,0,0,20.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,9,0,3,5,0,6,0,12,0,1,5,0,0,0.2454386877821437,0,0,0,0,1,0,0,9,0,-0.429877758026123,0.7836286514693646,3,2,0,508.6168842203062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.56621653399372,-0.035332859509467,-20.4930585154909,388.7674531826662,703.6538971310367,588.6807722872309
7,0,8,13198,0,6,2999,4574,2999,4079,1,4,0,0,False,False,True,False,9500,1,1,0,2,10,0,8,1,1012,91809,17642,4586,4,0,0,0,13174,1293,2838,0,0,147,144,34,7,3,12,3,4,100,33,4,110673,0,0,0,0,165,270,35,0,0,5689,713,538,1,4,3,0,29,4,3,14,True,0,0,1,0,0,375,0,0,0.5083440541496179,4,0.0805699580803322,1,0,0,1,0.0,0.0,0,0,81,0,0,0,0,0,1,851.0729379999999,0,1,1569.9501064,0.0,0.0,10,0,0,0.0,0,0,17.0,0,0,1,1,0.0,0,3,0,10,4,68,0.0,1,0,18.0,3,1.0,0,0.0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,7,15,0,0,5,0,2,0,17,0,0,4,1,0,0.2504469246072708,0,2,0,0,4,4,10,7,0,0.1582375764846801,1.1289436335505605,3,2,0,1247.2094764,0.0,0.0,1495.1948563,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.29688014752824,0.4586133005532308,33.364117615247544,461.9000292071957,750.9792796559154,304.2899249170687
3,0,0,10149,0,9,1608,1608,1608,8528,10,5,0,0,False,False,False,False,7575,0,0,2,0,3,0,0,1,439,86299,10146,4602,0,0,0,0,10866,429,12841,0,0,114,96,36,4,6,6,4,4,200,21,0,104337,0,0,176,0,154,361,273,1,0,7171,798,2647,0,0,10,0,14,5,1,8,False,0,0,0,0,0,0,0,0,0.7612616301733972,5,0.204556847114723,10,1,0,0,0.0,0.0,0,0,60,0,0,0,0,0,0,0.0,0,0,1571.80911889507,0.0,0.0,3,0,0,0.0,0,0,0.6,0,0,0,0,1.0,0,0,0,3,11,57,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,49,0,0,3,0,0,0,6,0,0,6,0,0,0.1553218922726663,0,0,0,0,1,0,0,7,0,-0.494162917137146,0.5698672510811907,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.22349787501673,-0.3053805924840442,-155.47689414843902,327.864238605682,434.1748573641899,766.9251854496166
1,0,0,9250,0,3,2041,2041,2041,3839,2,1,0,0,False,False,False,False,6875,0,0,0,0,1,0,0,1,671,67485,7985,4120,0,0,0,0,9924,847,3029,0,0,85,93,22,3,3,12,2,4,100,18,0,80067,0,0,0,0,160,206,68,0,0,2657,606,234,1,1,2,0,21,1,3,8,False,0,0,0,0,0,0,0,0,0.3659901013685048,1,0.1211259558805366,2,0,0,0,0.0,0.0,0,0,42,0,0,0,0,0,0,0.0,0,0,1166.2135193031074,0.0,0.0,2,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,0,0,2,5,78,0.0,0,0,16.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,4,0,0,0,2,0,0,2,0,0,0.2522326711547556,0,1,0,0,3,1,0,7,0,-0.1442652344703674,1.0845829253819488,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366633514632285,-0.1028971093318385,-50.52248068193271,384.0120120264213,485.67435604627775,379.8446790984818
9,1,0,14420,0,2,1351,8681,1351,11129,9,0,1,0,False,False,False,False,15400,0,0,2,2,8,0,3,3,525,99578,23538,12776,4,0,0,0,13855,1071,8609,0,0,155,168,34,10,4,12,4,4,100,33,0,120333,0,0,149,0,180,272,311,1,1,6899,993,1202,0,1,9,0,18,0,6,3,False,0,0,0,2,0,1150,0,0,0.0,0,0.1451933582441714,9,3,0,1,0.0,0.0,0,0,76,0,0,0,0,0,1,688.369005,0,2,2061.5752096,0.0,0.0,10,0,0,0.0,0,0,1.8888888888888888,1,0,1,1,0.0,0,4,1,10,1,72,0.0,0,0,5.0,0,1.0,0,0.0,0,0,2,0,0,1,0,0,15,0,0,0,0,0,0,15,31,0,0,3,0,0,0,17,0,0,2,0,2,0.229769764137017,0,0,0,0,1,1,0,7,0,-0.2921985387802124,0.5476031576958734,6,2,0,798.9418452,0.0,0.0,0.0,1267.7944581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.128177668595107,-0.1746237529068122,-128.69770589232058,432.659451785445,745.1486576121854,657.4002217765122
0,0,0,8718,0,6,0,1641,0,4119,7,3,1,0,False,False,False,False,8245,0,0,1,1,3,0,3,3,540,68798,8282,11133,4,0,0,0,8935,493,3874,0,0,125,101,29,5,4,12,4,4,100,27,0,79189,0,0,0,0,150,285,160,0,1,1454,477,579,0,0,7,0,36,4,3,12,False,0,0,0,0,0,375,0,0,0.8543651074037032,3,0.1669699628318275,7,10,0,1,0.0,0.0,0,0,60,0,0,0,0,0,0,0.0,0,0,1459.8266812644574,0.0,0.0,1,0,0,0.0,0,0,0.4285714285714285,0,0,1,2,0.0,0,0,0,1,4,74,0.0,0,0,15.0,0,1.0,0,0.0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,1,56,34,0,0,6,0,0,0,3,0,0,3,0,0,0.1966519864967701,0,0,0,0,0,0,0,7,0,0.1939148902893066,1.483810937328829,3,2,0,404.77715445717314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.84984398864049,-0.4110076954342951,-116.31517780790551,334.10815561853855,380.3054205853533,640.6376948734359
5,0,0,14515,0,4,1009,2150,1009,7112,6,1,0,0,False,False,False,False,10575,0,0,2,1,4,0,2,1,625,124339,18382,7825,0,0,0,0,12035,304,6628,0,0,148,113,37,7,5,4,3,12,200,34,0,138878,0,0,235,0,226,419,179,1,0,2502,148,416,0,0,10,0,20,1,3,11,False,0,0,0,0,0,375,0,0,0.5847434436233607,1,0.1313478907026234,6,0,0,1,0.0,0.0,0,0,90,0,0,0,0,0,1,661.7382861,0,1,1643.8592485,0.0,0.0,4,0,0,0.0,0,0,1.5,1,0,0,1,0.0,0,0,0,4,9,82,0.0,0,0,26.99999997019768,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,24,0,0,9,0,0,0,9,0,0,2,0,0,0.2528765770168908,0,1,0,0,2,0,5,10,0,-0.302294909954071,0.7325851837530146,3,1,0,418.2378011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.32830205809437,-0.4014942280503889,-37.66745848618194,396.7492962643389,687.4676168480978,542.7471973735712
3,0,0,10013,0,4,943,943,943,4558,3,2,0,0,True,False,False,False,6150,0,0,0,0,0,0,0,0,821,67422,6433,3187,0,0,0,0,12348,619,5615,0,0,110,78,20,1,2,12,1,4,100,19,0,91595,0,0,0,0,180,266,87,0,0,11824,113,124,0,0,6,0,31,2,7,9,False,0,0,0,0,0,0,0,0,0.0,2,0.1254294032544562,3,5,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0,0.0,0,0,1289.7568129469846,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,1,1,81,0.0,0,0,37.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,9,0,0,4,0,0,0,3,0,1,2,0,0,0.1987378107740221,0,1,0,0,2,0,0,8,0,0.6696349382400513,1.4604910513225835,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.73476228454703,-0.3256427845807115,-111.27679153100888,345.9721984181074,333.3186502172569,415.2875911360017
14,0,0,16500,0,7,1735,5792,1735,15393,9,4,1,0,True,False,False,False,16000,0,0,1,4,15,0,4,2,479,139305,42560,11793,8,0,0,0,11749,1047,13900,0,0,215,171,60,8,6,12,4,4,200,47,4,158412,0,4,2052,0,192,503,305,1,0,7357,2053,1176,0,1,8,0,26,4,7,7,False,0,0,3,0,0,825,0,0,0.7126515724441101,4,0.1368940271876897,9,7,0,1,0.0,0.0,0,0,129,1,0,0,0,0,0,0.0,0,1,2076.9075608401467,0.0,0.0,13,0,0,0.0,0,0,3.2222222222222223,6,0,2,3,1.0,0,2,2,16,3,73,0.0,0,0,37.0,0,2.0,0,0.0,0,0,1,0,0,4,0,0,19,0,0,1,0,0,0,36,33,0,4,3,0,0,1,29,0,4,8,0,0,0.2690141730917892,0,1,0,0,2,1,0,9,0,-0.002429723739624,0.7693569481676424,7,3,0,888.1759535395951,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.251262402350715,0.028889104710914,-22.30238883682561,464.5079146467863,1319.1342993097553,776.2502435822593
2,0,0,9153,0,11,115,211,115,5991,8,9,0,0,False,False,False,False,6675,0,0,1,0,1,0,0,1,364,76462,11571,6304,0,0,0,0,8778,694,5933,0,0,101,101,23,6,2,12,3,4,200,23,0,91027,0,0,363,0,157,278,177,1,0,5786,109,1980,0,0,8,0,20,9,0,17,False,0,0,0,0,0,300,0,0,0.7602017706004428,9,0.1511706765867517,8,4,0,0,0.0,0.0,0,0,75,0,0,0,0,0,1,775.2171903867647,0,1,1460.93173416865,0.0,0.0,1,0,0,0.0,1,0,0.375,0,0,0,0,0.0,0,0,0,1,3,63,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,14,0,0,6,0,0,0,3,0,0,1,0,0,0.1822614190150267,0,2,0,0,0,0,5,7,0,0.0983139276504516,0.8462889297166872,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268.92426991023655,-0.8213936160972405,-246.54129387158676,307.98153635566035,508.2372999601676,583.9287216835282
