assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,1,11547,0,3,2541,5430,2541,10442,3,0,0,0,False,False,False,False,7350,0,1,0,0,3,442,0,1,336,0,0,5003,2,0,0,0,99109,10214,11383,0,0,55,95,453,6,3,12,3,4,100,3,0,99881,0,2,1386,0,172,180,78,1,0,772,150,2036,2,3,3,0,13,0,3,3,True,0,0,0,1,0,375,0,0,0.0,0,0.1990391556948735,3,4,0,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1,0,1394.19298000184,0.0,0.0,0,0,0,0.0,0,0,3.0,0,0,0,1,0.0,0,0,0,0,15,86,0.0,0,0,20.0,1,1.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,22,41,0,1,3,0,0,0,9,0,0,3,0,1,0.1567395526447657,0,0,0,0,1,3,0,8,0,-0.5247260332107544,0.5794882385234792,3,1,0,1096.423506638556,0.0,0.0,0.0,1240.978028102193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-26.337817308441437,-0.0430356491967997,-6.369276081126359,393.3027980095527,446.02146827563234,792.8888008018382
5,0,0,14308,0,4,2548,2838,2548,15378,7,3,1,0,False,False,False,False,11950,0,0,1,1,6,499,6,2,763,0,0,15606,4,0,0,0,134056,27227,11644,0,0,61,197,136,17,7,14,5,4,200,7,4,136514,0,0,3613,0,189,168,237,1,0,2458,1342,1835,1,2,7,0,17,4,3,6,False,0,0,1,0,0,675,0,0,0.694669176854645,3,0.2434983661193114,7,13,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1842.9206584959743,0.0,0.0,0,0,0,0.0,1,0,1.5714285714285714,2,0,1,1,1.0,0,1,0,0,26,70,0.0,0,0,9.0,0,1.0,0,0.0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,69,103,0,3,3,0,0,0,11,0,0,2,0,0,0.2687210986485684,0,0,0,0,0,2,0,9,0,-0.5135102272033691,0.5619504599506329,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.7692058463282,-0.2278991220071113,-83.73664882889862,374.275472370536,930.15398796331,946.9534089569772
10,0,0,15372,0,4,4075,7763,4075,19803,4,4,0,0,False,False,False,False,14450,0,0,0,2,12,581,8,1,902,0,0,9481,16,0,0,0,153173,31203,15109,0,0,76,104,241,15,5,4,3,12,200,5,8,156572,0,5,6526,0,196,140,154,1,0,3398,2258,1560,2,2,4,0,28,4,5,7,True,0,0,2,0,0,300,0,0,0.5498899513344495,4,0.187407093783324,4,5,0,1,0.0,0.0,0,0,0,4,0,0,0,0,1,900.4193161860303,0,0,1937.2983683958428,0.0,0.0,0,0,0,0.0,1,0,5.5,0,0,1,3,1.0,0,0,0,0,11,82,0.0,1,0,36.0,1,2.0,0,0.0,1,0,0,0,0,3,0,0,12,0,0,0,0,0,0,29,70,0,4,3,1,9,0,22,0,0,9,0,1,0.2948901373582898,0,1,0,0,0,2,5,9,0,-0.1259311437606811,0.868568192981212,5,3,0,853.5275677237373,0.0,0.0,1209.9620169242817,1860.2489903213789,0.0,23.60901259817365,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.15510509290574,0.1548548250977011,53.23908886858965,466.8872976695689,1036.3194605188355,809.952677191016
15,1,4,18672,0,6,3329,15845,3329,18525,4,4,2,0,False,False,False,False,15310,0,2,0,3,13,687,5,3,752,2042,892,7615,12,0,0,0,175669,34398,21623,0,0,86,158,697,18,4,12,4,4,200,14,6,179810,0,0,4896,0,195,303,140,1,1,2098,1289,2428,1,4,5,0,42,4,4,6,True,0,0,3,1,0,300,0,0,0.7681163653625676,4,0.2064220907066809,4,0,0,1,0.0,0.0,0,0,0,2,1,0,0,0,1,832.6166081425836,0,6,2164.419690854467,0.0,0.0,0,0,0,0.0,1,1,7.0,0,0,3,2,1.0,0,0,1,0,22,62,0.0,0,0,8.0,1,1.0,0,0.0,0,0,3,0,0,4,0,0,22,0,0,0,1,0,0,9,109,0,1,2,1,6,1,28,0,0,8,1,2,0.275506144265743,0,1,0,0,4,4,0,9,0,0.2663581371307373,1.169487347942445,4,1,1,376.0948880857588,0.0,0.0,0.0,1719.2163847664797,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,113.15735161479276,0.4712579562595485,39.94604205705938,506.8795135415203,1014.0362376455462,877.8426882865367
2,0,0,11407,0,0,323,901,323,11789,9,0,1,0,False,False,False,False,8850,0,0,1,1,6,478,2,2,227,0,0,9579,0,0,0,0,89126,10642,13260,0,0,39,82,319,10,3,14,3,4,100,2,0,89571,0,0,899,0,152,109,263,1,0,444,444,1186,0,0,6,0,12,0,3,4,False,0,0,0,0,0,450,0,0,0.0,0,0.2713481456867614,9,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1418.470274119039,0.0,0.0,0,0,0,0.0,0,0,0.8888888888888888,1,0,0,4,1.0,0,0,0,0,13,65,0.0,0,0,3.0,0,0.0,0,0.0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,20,43,0,3,4,0,4,0,8,0,0,5,0,0,0.192649984893552,0,0,0,0,2,0,0,7,0,-0.4583573937416076,0.5378718071138844,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.57353363033208,0.0,-130.323492407911,396.1309660500119,468.9699968602756,1016.2779060670138
0,0,0,131,0,0,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,1,0,0,0,14,0,4,100,0,0,622,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0.0,0,0.047305276348228,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.79764148570298,0.0,75.0998007694909,312.43810243795826,0.0,8.025932906663149
5,0,2,11851,0,4,1666,2196,1666,7812,4,3,0,0,False,False,False,False,9050,1,1,0,3,6,529,2,1,363,0,0,7926,8,0,0,0,95072,12632,7213,0,0,55,77,179,10,4,4,5,14,200,2,0,96675,0,0,2621,0,150,100,99,1,0,1602,1022,1021,1,2,2,0,20,4,1,6,True,0,0,0,0,0,0,0,0,0.5020668048036466,3,0.2279896493433264,4,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1498.8338281616489,0.0,0.0,0,0,0,0.0,1,0,2.75,2,0,0,2,0.0,0,0,0,0,9,65,0.0,0,0,30.19999998807907,1,1.0,0,0.0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,15,49,0,2,3,0,2,0,11,0,0,5,0,1,0.1958028481677876,0,2,0,0,0,2,0,7,0,0.2397477626800537,0.8017229987832941,1,1,1,0.0,0.0,0.0,0.0,1347.1519983334233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.58887323277021,0.1601244884460374,45.15510574178256,419.6062219728411,546.6249724326603,646.9429644441028
4,0,1,11990,0,4,4391,6230,4391,14244,9,1,0,0,False,False,False,False,10225,0,0,3,0,3,512,0,1,727,342,240,9543,1,0,0,0,115776,14077,15180,0,0,55,126,69,10,4,12,4,4,100,5,0,120843,0,0,1685,0,178,147,317,1,0,4724,517,1628,2,2,9,0,7,1,0,2,False,0,0,0,0,0,150,0,0,0.0,1,0.213224317008138,9,11,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1599.2481098937862,0.0,0.0,0,0,0,0.0,0,0,0.7777777777777778,1,0,0,0,0.0,0,2,0,0,29,69,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,63,82,0,1,1,0,0,0,7,0,0,3,0,0,0.1930461729938366,0,0,0,0,2,2,0,8,0,-0.7631562352180481,0.2961754493993954,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39379416332254,-0.0375176307095869,-76.31086086329985,414.007054880292,556.5365339460128,988.6270868283256
4,0,0,10964,0,1,0,0,0,12953,8,1,0,0,False,False,False,False,7425,0,0,1,0,1,407,0,1,542,221,221,5828,4,0,0,0,85430,9470,13591,0,0,51,67,82,12,3,4,3,14,100,1,4,92617,0,0,1570,0,142,126,186,1,0,6965,595,706,0,0,8,0,16,1,1,8,False,0,0,3,0,0,0,0,0,0.5540212885213067,1,0.1474090736826502,8,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1601.086649757617,0.0,0.0,0,0,0,0.0,0,0,0.625,0,0,0,0,0.0,0,0,0,0,18,63,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,40,0,0,7,0,0,0,5,0,0,1,1,0,0.1411318165727272,0,1,0,0,0,0,0,6,0,0.199284553527832,0.6137389448008898,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287.4297903050208,-0.4871691361102046,-175.9055326847154,283.8697081565231,385.50068485889807,754.2127717964598
3,0,0,10768,0,3,2675,2787,2675,9353,7,0,1,0,False,False,False,False,9900,0,0,0,2,8,543,3,3,535,0,0,5854,0,0,0,0,83261,13970,8977,0,0,43,70,179,7,4,14,4,4,100,4,0,84056,0,0,1096,0,144,109,242,1,1,795,795,2475,1,1,4,0,7,0,3,1,False,0,0,0,0,0,825,0,0,0.0,0,0.1847653121482051,7,2,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1436.298484568556,0.0,0.0,0,0,0,0.0,0,0,1.5714285714285714,0,0,1,3,0.0,0,1,0,0,11,69,0.0,0,0,9.0,0,1.0,0,0.0,0,0,2,1,0,3,0,0,6,0,0,0,0,0,0,18,48,0,3,1,0,2,0,11,0,0,4,0,0,0.2587171564767898,0,0,0,0,0,1,0,6,0,-0.2012500166893005,0.3079377246730763,3,3,0,781.0791518693134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1691332024259,-0.0835480934424618,-88.5609790490095,438.37684629259707,616.8355738856955,722.9834266043432
