assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,14272,0,1,976,6825,976,29462,10,0,0,0,False,False,False,False,12715,0,0,1,1,4,619,2,1,480,9752,1392,12934,10,0,1,0,152426,14068,15129,0,0,260,16,102,9,4,4,5,14,100,20,4,163358,0,2,5730,0,198,116,365,1,0,1180,1180,2590,0,0,8,0,26,0,4,12,False,0,0,6,0,0,600,0,0,0.0,0,0.1855715237038755,10,58,0,3,0.0,0.0,0,0,23,2,0,0,0,0,0,0.0,0,2,2020.2081382529825,0.0,0.0,5,0,0,0.0,0,0,1.1,2,0,0,2,0.0,0,1,0,0,3,74,0.0,0,0,19.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,292,11,0,2,12,0,8,0,11,0,0,5,0,1,0.1443540187766494,0,2,0,0,2,0,5,9,0,1.3821613788604736,0.7765077308322424,4,2,0,1108.9876926410548,0.0,0.0,0.0,1657.6832209356255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-101.66279212081916,-0.4157987407804464,-116.423647418525,374.5752656230707,494.236203237672,910.4210428488432
9,0,1,17090,0,4,8407,18544,8407,30152,7,1,0,0,False,False,False,True,12950,1,2,0,0,4,671,0,1,656,12248,2009,4946,16,0,0,0,200406,18204,16666,0,0,300,13,127,8,6,14,3,4,200,27,2,220494,0,8,4312,0,242,150,259,1,0,7839,1183,710,3,3,2,0,29,2,0,9,True,0,0,2,1,0,150,0,0,0.492152887783062,1,0.2208327733534739,7,8,0,0,0.0,0.0,0,0,30,2,0,0,0,0,1,850.6830556908255,0,2,1838.54117575054,0.0,0.0,9,0,0,0.0,0,0,1.8571428571428568,1,0,0,0,0.0,0,0,0,0,5,78,0.0,0,0,107.0,5,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,42,22,0,0,4,0,0,1,13,0,0,2,0,1,0.1943951206241665,0,0,0,0,3,3,0,11,0,2.0994646549224854,0.9514201911329512,0,0,0,0.0,0.0,0.0,0.0,1303.2528411456046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.60477619015634,0.0652691392407966,73.19933965855346,446.50618154629,698.2818861676631,728.4688630665315
9,0,2,15562,0,5,5387,11071,5387,17604,5,2,1,0,False,True,False,False,10070,0,1,0,3,9,590,3,2,451,10628,1968,4207,20,0,0,0,167056,15635,11401,0,0,223,12,113,7,4,4,6,3,100,25,5,180405,0,12,5038,0,203,141,139,1,0,2720,0,1775,1,3,2,0,25,2,3,12,True,0,0,4,0,0,0,1,0,0.7529798148392859,2,0.1729491811009904,4,8,0,0,0.0,0.0,0,0,24,8,0,0,0,0,1,859.5382999453725,1,4,1657.459687919472,0.0,0.0,8,0,0,0.0,0,0,3.6,0,0,1,3,0.0,0,0,0,0,4,61,0.0,0,0,5.0,1,1.0,0,0.0,0,0,1,0,1,1,0,0,10,0,0,0,0,0,0,42,13,0,1,8,0,0,0,18,0,0,3,0,0,0.2002239977244746,0,2,0,0,3,3,5,9,0,0.5465958118438721,0.9158437466926332,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.50453656857188,0.4705996807554914,85.4681420202858,469.0792817868968,637.2643676938209,629.3003730964202
6,0,1,13166,0,4,5484,16795,5484,15818,6,2,1,0,False,False,False,False,11500,0,0,0,4,10,584,3,2,357,7587,1892,7193,28,0,0,0,164771,22974,10633,0,0,235,11,88,5,3,4,4,14,200,23,2,174296,0,20,2900,0,172,142,185,1,0,1938,458,354,2,2,1,0,32,2,4,10,True,0,0,2,1,0,0,1,0,0.6681343785254358,2,0.2824737175427294,6,4,0,1,0.0,0.0,0,0,27,7,0,0,0,0,1,625.5840733263055,1,0,1333.4462934078629,0.0,0.0,8,0,0,0.0,0,1,2.6666666666666665,5,0,1,6,2.0,0,0,1,0,3,76,1.0,0,0,69.19999998807907,0,3.0,0,0.0,0,0,1,0,0,3,0,0,7,0,0,0,0,0,1,25,18,0,6,8,0,2,1,16,0,0,8,0,1,0.4191269753020974,0,0,0,0,5,2,0,8,0,0.779944658279419,1.4660725220066717,4,4,0,1150.4292436960734,0.0,0.0,0.0,1300.2396079440632,1.0,17.006642734979096,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.78773509169187,0.2249809396022211,146.9125535602504,590.3949817041486,1139.5284590852498,818.0756925815964
6,0,0,11127,0,2,4075,6435,4075,19876,10,1,1,0,False,False,False,False,10800,0,0,1,2,9,542,3,2,266,9162,1482,7831,10,0,0,0,95683,13575,12938,0,0,214,12,106,8,5,14,4,4,200,35,4,105794,0,2,2682,0,141,123,270,1,0,948,948,934,1,1,5,0,19,1,5,4,False,0,0,1,0,0,1400,0,0,0.4173371956679953,1,0.1991805601987872,10,1,0,0,0.0,0.0,0,0,39,1,0,0,0,0,0,0.0,0,0,1442.6012831605424,0.0,0.0,9,0,0,0.0,0,0,1.5,3,0,2,3,0.0,0,1,1,0,6,67,0.0,0,0,15.25,0,1.0,0,0.0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,1,11,27,0,1,3,0,2,0,15,0,0,7,0,0,0.2385370179858423,0,0,0,0,4,1,0,6,0,0.6641956567764282,0.8237821369339463,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.97714944182138,0.0,-15.721599768933531,497.5595186131001,665.7140896866406,902.6610576327104
2,0,0,9899,0,1,80,80,80,14147,4,0,0,0,True,False,False,False,7500,0,0,1,0,2,391,0,1,414,9220,633,6719,8,0,0,0,94267,5088,6367,0,0,170,5,114,3,3,14,3,4,200,6,8,119346,0,0,1811,0,169,102,111,1,0,15858,543,1357,0,0,6,0,5,0,1,3,False,0,0,9,0,0,375,0,0,0.0,0,0.2412228956861986,4,4,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,1,1398.1846844,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,1,0.0,0,1,0,0,2,79,0.0,0,0,29.00000002980232,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,5,0,1,3,0,0,0,4,0,1,4,0,0,0.1618472543963958,0,0,0,0,1,0,0,8,0,-0.7923064231872559,0.2286350700010133,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.865978094245534,-0.0858255717852433,-97.66950069160691,350.2541584555781,268.8486036172748,619.8322794330275
3,0,0,11861,0,6,2466,2466,2466,26641,10,4,1,0,True,False,False,False,10925,0,0,1,2,5,590,2,2,469,9731,1782,8726,4,0,0,0,115768,13990,16791,0,0,213,18,124,4,7,14,4,4,200,17,0,126415,0,4,2813,0,183,107,335,1,0,915,915,1729,1,1,10,0,22,5,5,12,False,0,0,0,0,0,675,0,0,0.8035350303913477,4,0.2260624945866431,10,8,0,0,0.0,0.0,0,0,20,6,0,0,0,0,0,0.0,0,0,1655.5254210162173,0.0,0.0,0,0,0,4.000000029802322,0,0,0.8,0,0,0,0,2.0,0,3,0,0,4,82,0.0,0,0,40.00000002980232,0,2.0,0,0.0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,43,11,0,4,4,0,0,0,8,0,1,5,0,0,0.2376910972880315,0,0,0,0,2,1,0,8,0,-0.0699542164802551,0.8177066869334768,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199.51369867655112,-0.6886031380298767,-134.9299727834332,404.64494926860914,604.8110088127676,987.4931422052658
0,0,0,9021,0,2,2080,5978,2080,13601,9,0,0,0,False,False,False,False,6175,0,0,0,0,0,318,0,0,218,8426,552,8557,0,0,0,0,70432,4986,7666,0,0,161,9,109,2,2,14,2,4,200,9,0,86454,0,0,387,0,146,84,240,1,0,7596,366,1119,1,1,5,0,8,1,0,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1653018164619281,9,2,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,1378.3526955,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,67,0.0,0,0,6.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,5,0,2,0,0,0,0,0,0,0,0.1258224111563742,0,1,0,0,2,1,0,6,0,-0.330480694770813,0.3737454479801515,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.42100617308944,-0.9576649026838284,-260.44132330715206,299.5314634257919,257.0459659249093,754.9011246519523
1,1,0,23877,0,4,3624,27229,3624,69175,7,3,1,0,False,False,False,False,18525,0,0,3,1,6,2331,2,2,576,26795,1853,10844,58,0,0,0,396326,19747,22154,0,0,407,15,217,7,5,4,7,14,200,24,16,427788,0,25,15566,0,365,224,227,1,0,4667,1247,8174,1,1,11,0,31,3,3,7,False,0,0,19,1,0,300,2,0,0.7844578243263526,3,0.2042206902679624,7,5,0,0,0.0,0.0,0,0,27,20,0,0,0,0,1,958.9364544922336,0,0,2412.3851528583486,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,2,0.0,0,0,0,0,5,84,1.0,0,0,160.85000014305115,0,3.0,0,0.0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,2,29,17,0,3,4,0,0,0,7,0,0,1,0,1,0.1815415599269354,0,0,0,1,2,1,0,17,0,-0.3061414957046509,0.7835009614826381,3,3,1,0.0,0.0,0.0,0.0,1713.684939594152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.28260385512377,-0.1741015523588167,66.03423164466551,460.2001461850267,568.267466899178,1024.040459324223
4,0,0,13125,0,8,2826,9907,2826,28538,12,6,0,2,False,False,False,False,10450,0,0,1,0,3,438,0,1,311,11492,1151,11440,8,0,0,0,112653,10524,17095,0,0,235,18,135,6,6,14,4,4,200,20,0,129518,0,0,3728,0,174,89,370,1,0,5373,1228,669,0,1,4,0,39,7,5,11,True,0,0,0,0,0,500,0,0,0.8548646190523107,6,0.1754522536421516,12,6,0,2,0.0,0.0,0,0,23,0,1,2,0,0,1,823.215858587049,0,0,1921.66081868455,0.0,0.0,2,0,0,0.0,0,0,0.5833333333333334,0,0,0,0,0.0,0,0,1,0,4,66,0.0,0,1,11.0,16,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,38,16,0,2,5,0,0,0,7,0,0,2,0,0,0.1364013109762977,0,2,0,0,2,1,5,8,0,0.0065640211105346,1.2295870586043904,5,1,0,1031.9114720682508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.45387153060243,-0.655682827973002,-117.17988825631794,331.5257270198732,402.9014862935056,911.8674757595963
