assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,0,16627,0,4,2380,9576,2380,40747,7,2,0,0,False,False,False,False,13175,1,1,1,2,7,0,2,1,614,0,0,21601,6,0,1,0,159024,26306,28592,0,0,212,45,175,13,5,4,3,12,100,25,0,166865,0,6,23528,0,197,206,208,1,0,7841,0,4301,1,2,8,0,21,3,4,6,False,0,0,0,1,0,300,0,0,0.6571468617592197,2,0.3298994896076025,7,42,0,3,0.0,0.0,0,0,61,11,0,0,0,0,0,0.0,0,2,2020.2081382529825,0.0,0.0,13,0,0,0.0,0,1,2.4285714285714284,1,0,0,2,0.0,0,0,0,13,2,64,0.0,0,0,11.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,210,17,0,0,4,0,12,0,17,0,0,5,0,1,0.2281976392039009,0,2,0,0,5,2,5,9,0,-0.0955041646957397,0.6476293770066228,4,2,2,1108.9876926410548,0.0,0.0,0.0,1657.6832209356255,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.77127040834049,-0.0593998201114923,-2.4650925346269323,417.4916356536239,781.2858339264587,1618.5262983979433
8,0,0,8222,0,3,897,4337,897,7779,2,1,1,0,True,False,False,False,7075,0,0,0,1,4,0,4,2,864,119,119,6399,0,0,0,0,52062,11576,6527,0,0,95,22,55,3,2,12,2,4,200,9,0,57325,0,0,5667,0,121,58,6,1,0,5142,0,294,0,0,0,0,16,1,2,6,True,0,0,0,0,0,0,0,0,0.481878714858228,1,0.2507050413307944,2,2,0,1,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,3,926.5337951137844,0.0,0.0,4,0,0,0.0,0,0,6.0,3,0,1,0,0.0,0,0,0,4,4,93,1.0,0,0,23.0,1,2.0,0,0.0,0,0,1,0,0,3,0,0,9,0,0,0,1,0,0,15,10,0,0,5,0,0,0,12,0,3,10,0,0,0.2592538269596633,0,1,0,0,4,0,0,5,0,2.446219682693481,1.0663057684387776,2,2,0,835.3419985911654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.71311803814828,0.3885449207557395,110.21724252104478,471.30498887671206,757.4035655265217,856.1587328852721
2,0,4,10528,0,4,2930,13446,2930,7745,0,1,0,0,False,False,False,True,8575,0,0,0,1,4,0,4,1,0,0,0,4075,4,0,0,0,94930,12794,7359,0,0,139,27,78,4,2,4,2,12,100,20,0,100086,0,2,4467,0,162,139,0,1,0,5156,421,72,2,3,1,0,8,1,1,4,True,0,0,0,0,0,0,0,0,0.2678649832795484,1,0.1978188022956469,0,0,0,1,1.0,0.0,0,0,46,2,0,0,0,0,1,832.8915334999999,0,0,1162.5742521,0.0,0.0,4,0,0,0.0,0,1,6.0,0,0,1,2,0.0,0,0,0,6,5,83,1.0,0,0,63.0,0,2.0,0,0.0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,15,0,2,3,0,17,1,6,0,0,3,0,0,0.2976908755002759,0,2,0,0,5,3,10,7,0,0.0420762300491333,0.4220396147945682,1,1,0,913.721799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.13336801354404,0.2580480338852328,60.38323992914449,472.7956076845237,682.0209535586704,593.8201355766978
9,0,0,17639,0,4,123,12224,123,31969,5,1,0,0,False,False,False,False,10500,0,0,2,0,1,4,0,1,588,2238,329,10674,16,0,0,0,147956,20107,17306,0,0,225,41,89,10,5,4,3,12,200,18,13,158514,0,0,11463,0,194,211,185,1,0,8319,89,3608,0,0,11,0,16,2,3,7,False,0,0,8,0,0,0,0,0,0.7225671967522977,1,0.2460583805628658,5,4,0,2,0.0,0.0,0,0,38,0,0,0,0,0,1,715.6224672073657,0,3,2049.307916040212,0.0,0.0,7,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,7,2,65,0.0,0,0,8.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,26,19,0,0,6,0,1,0,10,0,0,2,0,0,0.1711008457179442,0,2,0,0,0,0,0,9,0,0.0088614225387573,0.4883646930332835,3,2,0,925.9336513916317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.74872292067512,0.0878345311561603,49.45084104091826,313.5985544045444,600.9638621704489,924.8683348973162
6,0,0,8442,0,2,251,3310,251,12257,7,0,0,0,False,False,False,False,6700,0,0,0,0,1,0,0,1,369,0,0,5903,0,0,0,0,49367,7706,11815,0,0,99,22,52,7,3,14,3,4,100,13,0,49835,0,0,3590,0,110,83,137,1,0,468,468,460,1,1,4,0,7,0,2,4,False,0,0,0,0,0,0,0,0,0.0,0,0.2285575718073383,7,0,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,0,2,1333.4462934078629,0.0,0.0,5,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,5,2,37,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,8,11,0,0,4,0,0,0,7,0,0,5,0,0,0.1905272300934799,0,1,0,0,0,1,5,5,0,-0.6565521955490112,0.3206423169192905,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.42996660660918,-0.0899923758408884,-106.68596155937324,296.97484027493186,367.7988400617111,817.9857002057555
2,0,0,11066,0,1,0,1827,0,15191,8,0,0,0,False,False,False,False,7800,0,0,1,0,3,0,0,1,314,0,0,5473,12,0,0,0,89785,14347,16029,0,0,133,44,81,8,2,12,3,4,100,13,10,89785,0,0,5315,0,134,175,199,1,0,0,0,2687,0,0,8,0,10,0,0,6,False,0,0,4,0,0,375,0,0,0.0,0,0.2220028311993464,8,11,0,0,0.0,0.0,0,0,33,0,0,0,0,0,1,642.7728763,0,0,1582.0476738,0.0,0.0,3,0,0,0.0,0,0,0.625,0,0,0,0,0.0,0,1,0,4,3,56,0.0,0,0,14.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63,11,0,1,6,1,0,0,5,0,0,2,0,0,0.1849510621147847,0,0,0,0,0,0,0,6,0,-0.4953690767288208,0.4138761648758202,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.73138440678008,-0.4930319186440688,-126.78505415593249,320.58452371525493,544.1176105220351,917.418624000002
1,0,0,6224,0,1,35,35,35,9375,4,0,0,0,False,False,False,False,4800,0,0,0,1,2,0,2,1,428,0,0,3816,4,0,0,0,40435,8069,10951,0,0,90,17,39,1,2,12,3,4,200,14,0,42930,0,0,2525,0,86,95,63,1,0,2495,0,200,0,0,1,0,8,0,1,4,False,0,0,0,0,0,0,0,0,0.0,0,0.3584285507286157,4,0,0,0,0.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,0,945.639795737602,0.0,0.0,1,0,0,0.0,0,0,0.75,0,0,0,0,1.0,0,1,0,3,3,60,0.0,0,0,16.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,8,0,2,4,0,2,0,3,0,0,3,0,0,0.3683307662876628,0,0,0,0,0,0,0,3,0,-0.0671520829200744,0.5224009262197455,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.39543038330042,-0.1268982127665213,-125.6926797452394,304.68260885241773,511.97083940653033,949.7062243446458
7,0,2,14986,0,6,2728,5549,2728,19131,1,2,0,0,False,False,False,False,8275,0,0,0,1,2,0,2,1,254,1109,587,4316,0,0,0,0,117809,16167,14856,0,0,177,29,83,7,3,12,1,4,200,24,0,129300,0,0,10493,0,201,358,12,1,0,10381,231,2651,2,3,2,0,18,4,2,7,True,0,0,0,1,0,0,0,0,0.2950881482189307,2,0.3057788842623713,1,0,0,0,0.0,0.0,0,0,53,0,0,0,0,0,1,823.8939919065893,0,3,1459.8266812644574,0.0,0.0,8,0,0,0.0,0,0,9.0,0,0,0,1,0.0,0,1,0,8,4,67,0.0,0,0,22.0,1,3.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,18,0,0,5,0,19,0,9,0,0,2,0,1,0.2327669457009085,0,2,0,0,0,3,0,9,0,0.105305790901184,0.750143919615206,2,1,0,0.0,0.0,0.0,0.0,1298.7634576236392,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,55.403837344542985,0.3288061563474361,188.1182222002769,407.1031223276693,698.0965706951504,897.0242952853491
11,0,0,23395,0,5,4842,30032,4842,76697,4,1,0,0,False,True,False,True,18450,0,1,1,1,13,0,10,1,1249,0,0,17531,42,0,0,0,290633,43555,24812,0,0,305,60,148,13,5,4,4,12,100,36,4,315019,0,21,28579,0,278,397,164,1,0,24385,287,14842,3,3,6,0,38,2,3,16,False,0,0,3,1,0,450,1,0,0.6010505266699829,1,0.2944137636704537,4,4,0,0,1.0,0.0,0,0,66,20,0,0,0,0,1,827.8820608735485,0,0,2423.155710530368,0.0,0.0,5,0,0,0.0,0,1,6.0,0,0,1,4,0.0,0,1,0,10,4,88,1.0,1,0,99.7999999821186,0,5.0,0,0.0,0,0,0,0,0,3,1,0,11,0,0,0,1,0,3,22,30,0,9,15,1,7,1,24,0,0,9,0,1,0.3442448151929297,0,1,0,2,4,3,5,13,0,0.3938912153244018,0.9421926932639548,3,0,1,0.0,0.0,0.0,1055.880244132847,1858.222404567892,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,160.67477558624708,0.2476109964343459,99.91103706125858,500.3475404948828,1085.5761305674594,1416.013005309094
5,0,3,15791,0,3,8607,26944,8607,35074,1,2,1,1,False,True,False,True,11750,0,1,0,2,11,0,8,2,1175,0,0,9659,12,0,0,0,160993,30426,18124,0,0,194,49,132,9,2,12,4,4,200,21,6,165695,0,0,17004,0,189,255,41,1,0,4702,0,2752,2,5,1,0,20,2,0,11,True,0,0,3,0,0,525,0,0,0.664566428117379,2,0.3331759874178958,1,1,0,1,0.0,0.0,0,0,49,0,0,0,0,0,1,770.5981649409133,1,0,1503.487284369533,0.0,0.0,6,0,0,0.0,0,1,16.0,0,0,2,6,0.0,0,2,0,12,3,82,1.0,1,0,24.0,4,3.0,0,0.0,0,0,1,0,0,3,0,0,7,0,0,0,0,0,0,12,18,0,7,5,0,2,1,16,0,0,8,0,1,0.4479315754891586,0,1,0,0,5,5,0,8,0,-0.0762629508972168,0.8300383587502262,0,0,0,846.9399462164071,0.0,0.0,1090.4120344780658,1293.3059453146918,1.0,20.49323903590971,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,274.08279689761406,0.5986083217041658,208.51523206028443,570.2342872553884,1214.21711974473,1218.6069141038938
