assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,5,18340,0,2,7601,12632,7601,29615,7,1,1,0,False,False,False,False,12825,0,1,1,3,9,0,5,2,387,1375,1375,13847,4,0,0,0,125215,12927,18814,0,0,184,57,142,8,6,14,4,12,100,26,4,158729,0,0,11155,0,182,241,217,1,0,32138,9145,1909,2,5,7,0,16,1,0,8,True,0,0,6,1,0,1425,0,0,0.4065259697535565,1,0.2778145054492624,7,15,0,0,0.0,0.0,0,0,43,0,0,0,0,0,0,0.0,0,2,1926.4700713427933,0.0,0.0,6,0,0,0.0,0,0,2.2857142857142856,2,0,1,2,0.0,0,1,0,8,0,49,0.0,0,1,25.00000002980232,5,1.0,0,0.0,0,0,1,0,0,2,0,0,12,0,0,0,0,0,0,78,1,0,3,2,0,0,0,16,0,0,3,0,1,0.2360073011709834,0,1,0,0,0,5,0,8,0,0.1687873601913452,0.5267635413485479,0,0,1,0.0,0.0,0.0,0.0,1858.484748182787,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.90475533696366,0.0311450465244853,81.9114723593966,456.6486721420049,730.2890509061335,1076.7154033979846
8,0,0,13095,0,5,2087,2087,2087,19029,7,4,1,0,False,False,False,False,10425,0,0,1,2,8,0,5,2,345,1364,1364,13650,4,0,0,0,82920,13293,10530,0,0,150,38,85,7,3,12,4,4,100,22,0,102418,0,4,6795,0,132,145,229,1,0,18132,5550,3203,0,1,7,0,25,4,3,13,False,0,0,0,0,0,150,0,0,0.7760209590171941,4,0.210788631841784,7,3,0,0,0.0,0.0,0,0,37,6,0,0,0,0,0,0.0,0,0,1661.8206749105982,0.0,0.0,7,0,0,0.0,0,0,2.2857142857142856,1,0,1,2,0.0,0,1,0,8,0,53,0.0,0,0,13.0,0,1.0,0,0.0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,23,0,0,2,7,0,1,0,16,0,0,4,0,1,0.2270165648395713,0,1,0,0,1,1,5,6,0,0.241067886352539,0.906507613743261,3,0,1,0.0,0.0,0.0,0.0,1260.8883199311472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.9593806402856,0.1444199146294237,-169.29624492434203,410.40529239816505,729.609408707849,988.6987355530352
3,0,1,11235,0,4,3597,10096,3597,14457,4,2,1,0,False,False,False,False,7225,0,0,0,1,4,0,2,2,452,744,744,5469,0,0,0,0,61875,8478,12879,0,0,140,36,81,4,4,12,4,4,200,18,0,80430,0,0,3359,0,133,141,122,1,0,17810,3071,1154,1,1,2,0,17,3,2,7,True,0,0,0,1,0,0,0,0,0.2855765030637548,2,0.2539338798771139,4,1,0,2,0.0,0.0,0,0,26,0,0,0,0,0,1,723.057766611481,0,0,1373.2093305171295,0.0,0.0,3,0,0,0.0,0,0,1.75,1,0,0,1,0.0,0,0,0,3,2,49,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,11,3,0,0,5,0,7,0,7,0,1,4,1,1,0.1741497491562025,0,1,0,0,0,1,5,6,0,0.8139995336532593,0.7588728053927364,2,1,0,999.1915613878108,0.0,0.0,0.0,1301.862537191569,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39405210357991,0.0,51.38328034330221,358.54693749756626,537.1213139967806,852.1497589586929
7,0,0,8021,0,3,3759,3759,3759,11905,4,1,0,0,False,False,False,False,6275,0,0,0,1,3,0,2,1,371,702,702,1210,0,0,0,0,43355,6931,11700,0,0,104,31,51,4,2,12,3,4,200,12,0,50783,0,0,1785,0,88,120,104,1,0,6725,2409,2206,0,1,1,0,13,1,0,6,True,0,0,0,0,0,0,0,0,0.1774577150707903,1,0.2474862787813216,4,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,1,685.7260799882001,0,0,1158.3503306167788,0.0,0.0,3,0,0,0.0,0,0,2.5,0,0,0,1,0.0,0,0,0,4,0,46,0.0,0,0,0.0,2,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,2,0,0,1,5,0,0,0,10,0,0,5,0,0,0.2060235990751433,0,1,0,0,2,1,0,4,0,0.3132573366165161,0.6769705691921893,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.52849082171286,0.2071912042984516,-43.30296169837639,359.16595265136584,520.257113993412,783.0273588449232
3,0,0,14126,0,3,8948,11057,8948,21526,6,2,0,0,False,True,False,False,10350,0,1,0,2,6,0,3,1,477,776,776,6972,12,0,0,0,97575,9626,20130,0,0,204,36,95,5,4,12,6,14,100,19,0,124952,0,6,7856,0,162,171,137,1,0,26600,4714,3057,2,6,4,0,26,2,4,8,True,0,0,0,0,0,0,0,0,0.4854458231948538,2,0.276149950751792,6,0,0,0,0.0,0.0,0,0,36,3,0,0,0,0,1,861.465662,2,0,1738.9414075999998,0.0,0.0,3,0,0,0.0,0,0,1.5,0,0,1,3,0.0,0,0,0,5,0,50,0.0,0,0,6.0,1,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,5,1,0,2,6,0,0,0,9,1,0,4,0,1,0.1671524500890196,0,1,0,0,1,6,5,7,0,-0.0054130554199218,0.9296100225573924,5,3,1,0.0,0.0,0.0,0.0,1339.3581276999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.414653759608364,-0.0690075004687006,-20.39171638850105,408.8349365268172,521.5931922926741,1040.6331070680062
5,0,2,11439,0,2,7430,11709,7430,15499,3,0,0,0,False,False,False,False,8950,0,1,0,3,6,0,2,1,308,794,794,3546,4,0,0,0,68164,8268,10526,0,0,147,27,71,6,4,14,3,12,100,14,0,86689,0,4,3064,0,144,101,76,1,0,17730,2443,908,2,5,0,0,12,0,1,6,True,0,1,0,0,0,0,0,0,0.0,0,0.2089310799776445,3,5,0,1,1.0,0.0,0,0,30,1,0,0,0,0,1,678.5244786999999,2,0,1238.0212545,0.0,0.0,4,0,0,0.0,0,0,3.6666666666666665,0,0,0,3,0.0,0,1,0,5,1,65,1.0,0,0,44.0,1,2.0,0,0.0,0,1,0,0,0,2,0,0,4,0,0,0,1,0,0,28,2,0,4,6,0,1,0,11,0,0,4,0,0,0.1803825736701659,0,2,0,0,3,5,15,6,0,0.1014437675476074,0.6216031833731812,1,1,0,1122.0651866,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,158.28484308142384,0.2423221725067725,171.70949143829904,477.4231442728433,557.5833189380837,725.9972288302906
6,0,1,16035,0,4,5165,7729,5165,49885,5,1,0,0,False,False,False,False,12525,0,0,2,1,5,0,2,1,689,1427,1427,16432,4,0,0,0,100151,14154,17824,0,0,187,43,132,6,3,12,4,4,100,24,2,147147,0,0,17046,0,200,164,202,1,0,45568,14026,5412,1,2,7,0,24,1,7,8,False,0,0,2,0,0,300,0,0,0.1883585840349804,1,0.2952299439981492,5,21,0,0,0.0,0.0,0,0,37,1,0,0,0,0,0,0.0,0,1,2113.4101240694413,0.0,0.0,7,0,0,0.0,0,0,2.2,1,0,0,0,0.0,0,1,0,7,0,65,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,109,3,0,0,7,1,6,0,11,0,0,1,0,0,0.2624300568152551,0,1,0,0,1,2,0,9,0,-0.1144031286239624,0.7080159908885755,7,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.106888273474633,-0.170340813597887,-15.784915393404198,362.6272020143018,840.5751348343732,1126.2082891024302
6,0,2,17651,0,2,5426,8788,5426,42920,6,0,0,0,False,False,False,False,12825,0,0,3,2,6,0,2,1,499,1132,1132,18869,5,0,0,0,114946,8379,16634,0,0,193,47,69,10,5,14,4,12,200,19,5,144565,0,0,8487,0,203,241,227,1,0,28486,8360,5451,2,2,9,0,10,1,1,7,False,0,0,4,0,0,450,0,0,0.0,0,0.2954140810547682,6,16,0,1,0.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,1,1830.9907646479207,0.0,0.0,5,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,1,0,6,0,59,0.0,0,0,16.19999995827675,0,2.0,0,0.0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,85,4,0,2,7,0,4,0,12,0,0,3,0,0,0.2104815815933336,0,0,0,0,1,2,0,9,0,-0.6237769722938538,0.3589947201493796,1,0,0,1411.7856652464282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.079217317509674,-0.0655382879678667,44.20557523432614,425.3762580554393,585.6501412808575,1342.0602918619918
6,0,4,14524,0,1,5134,9076,5134,25836,8,0,1,0,False,False,False,False,9205,0,0,0,1,4,0,4,3,654,1126,1126,9600,0,0,0,0,77779,10985,16742,0,0,204,40,67,3,3,12,3,4,100,19,0,111148,0,0,5323,0,184,147,308,1,1,32242,7650,3162,2,5,4,0,10,0,1,9,True,0,0,0,2,0,0,0,0,0.0,0,0.2496049752089827,8,1,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,0,4,1819.7717401758505,0.0,0.0,6,0,0,0.0,0,0,1.25,0,0,1,3,0.0,0,0,1,6,0,90,0.0,0,0,40.0,17,1.0,0,0.0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,10,2,0,0,7,0,0,0,10,0,0,0,0,2,0.2225945490779267,0,1,0,0,1,5,0,8,0,-0.5510046482086182,0.361916785175552,1,0,0,0.0,0.0,0.0,0.0,1233.7848858007103,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.63844604954736,-0.0329711681280433,-26.40990567056273,366.2767067344337,651.5432533782648,972.7813444497912
2,0,1,14142,0,2,5433,7452,5433,21633,3,0,0,0,True,False,False,False,10435,0,0,0,1,6,0,4,1,814,1092,1092,5970,12,0,0,0,99441,8289,15747,0,0,209,40,105,6,3,12,3,14,200,13,0,130268,0,10,7978,0,180,144,108,1,0,29735,6770,3280,2,3,1,0,18,0,4,7,True,0,0,0,0,0,0,1,0,0.0,0,0.2809777169521293,3,8,0,0,0.0,0.0,0,0,21,4,0,0,0,0,1,738.1185691911166,0,0,1478.2596360443104,0.0,0.0,2,0,0,0.0,0,0,2.6666666666666665,0,0,1,6,0.0,0,0,0,5,0,69,0.0,0,0,35.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,43,1,0,5,7,0,0,0,8,0,0,4,0,1,0.2706231381566112,0,2,0,0,2,3,5,8,1,0.3682054281234741,0.7450590527719144,4,2,0,0.0,0.0,0.0,0.0,1371.5051536946787,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,137.39129111546148,0.2029413458130893,132.11481612432118,447.2827261720489,655.5817235146038,1014.6255525271216
