assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,3,11091,0,1,1891,1891,1891,10591,2,0,1,0,False,False,False,False,7800,0,0,0,1,4,0,3,3,763,0,0,6554,0,0,0,0,76074,8428,7246,0,0,55,59,10,3,3,4,4,6,100,14,0,78030,0,0,1810,0,168,99,67,1,1,1956,1956,99,0,0,2,0,6,0,0,3,True,0,0,0,0,0,300,0,0,0.0,0,0.2589776169082355,2,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,1221.7945075915973,0.0,0.0,3,0,0,0.0,0,0,3.0,0,0,1,1,0.0,0,0,0,5,0,88,0.0,0,0,31.0,3,1.0,0,0.0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,5,0,0,2,3,0,2,0,6,0,0,1,0,0,0.2644081439771231,0,1,0,0,0,0,0,7,0,-0.7368742227554321,0.3047262593769048,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.80022709318462,0.1473242831601987,120.75680409697618,415.8473432668541,509.9875602062211,682.6025119755872
1,0,0,8857,0,2,2803,2803,2803,12045,7,0,1,0,False,False,False,False,7800,0,0,0,1,5,0,3,2,302,878,302,4300,0,0,0,0,72415,12103,11096,0,0,44,42,14,10,2,4,4,6,100,19,0,78871,0,0,2319,0,147,103,167,1,0,5577,2572,2051,1,1,4,0,9,0,1,5,False,0,0,0,0,0,150,0,0,0.0,0,0.2552818301043726,7,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1158.3503306167788,0.0,0.0,2,0,0,0.0,0,0,0.8571428571428571,0,0,1,1,0.0,0,0,0,2,0,73,0.0,0,0,62.0,0,1.0,0,0.0,0,0,1,1,0,3,0,0,6,0,0,0,0,0,0,6,0,0,0,5,0,0,0,6,0,0,3,0,0,0.3390846019267377,0,1,0,0,4,1,0,6,0,-0.2385345697402954,0.515489673578836,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.52849082171286,-0.2071912042984516,43.30296169837639,427.6944434730787,775.8792622966266,903.7162353487712
7,0,0,22371,0,8,2647,8902,2647,51623,7,6,1,0,False,True,False,False,15450,0,0,1,2,9,33,3,2,597,4631,1242,14198,7,0,0,0,197925,17554,26980,0,0,95,104,27,12,7,6,5,4,100,33,0,250390,0,2,9176,0,247,318,198,1,0,47834,4113,1936,1,2,8,0,37,6,2,19,True,0,0,0,2,0,0,0,0,0.8239673850634197,6,0.2314303518428088,7,7,0,2,1.0,0.0,0,0,22,1,1,0,0,0,1,652.5370131649926,2,2,2369.065795310996,0.0,0.0,9,0,0,0.0,1,0,2.2857142857142856,1,0,1,2,0.0,0,0,0,11,0,59,0.0,0,1,26.0,6,2.0,0,0.0,0,0,1,0,0,3,0,0,12,0,0,0,1,0,0,40,0,0,3,11,0,5,0,16,0,0,3,0,2,0.1515878604411223,0,1,0,0,0,2,5,12,0,-0.0292478203773498,0.9597704345576624,2,0,0,1089.4106655789294,0.0,0.0,0.0,1783.1022255151704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.547278777731384,0.1013057554057903,90.92191547669688,417.3797122718564,580.2287140866644,1091.9240846413115
2,0,0,22386,0,2,3858,3858,3858,82851,10,1,2,0,False,False,False,True,19125,0,0,3,3,11,5,4,2,586,656,110,17238,4,0,0,0,216368,24155,23388,0,0,117,96,31,11,5,4,7,6,200,47,0,224652,0,4,7409,0,258,461,423,1,0,7627,5242,10076,2,2,11,0,31,1,3,13,False,0,0,0,0,0,525,1,0,0.5437333073864019,1,0.2514931358256313,10,4,0,0,0.0,0.0,0,0,30,1,0,0,0,0,1,958.9364544922336,0,0,2412.3851528583486,0.0,0.0,1,0,0,0.0,0,0,1.3,0,0,2,1,0.0,0,1,0,6,0,65,0.0,0,0,37.0,0,2.0,0,0.0,0,0,2,1,0,5,0,0,1,0,0,1,0,0,0,21,0,0,10,12,0,0,1,13,0,0,4,1,1,0.2344590163659673,0,0,0,0,4,2,0,12,0,-0.3288944959640503,0.7813934405440119,3,0,0,0.0,0.0,0.0,0.0,1713.684939594152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.58928107831625,-0.1741015523588167,-114.53394980176446,436.223875260184,733.9126581434236,1261.0672870355838
0,0,0,8982,0,5,316,5859,316,12276,6,3,2,0,False,False,False,False,8650,0,0,0,1,5,25,4,2,426,796,262,2202,0,0,0,0,71681,6314,10250,0,0,49,60,10,13,5,6,3,4,100,15,0,79025,0,0,1514,0,143,101,143,1,0,6546,2264,2519,0,0,3,0,17,4,2,8,False,0,0,0,0,0,675,0,0,0.7792727193586473,3,0.2220833452476277,6,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,1,1323.5909758418331,0.0,0.0,3,0,0,0.0,0,0,0.8333333333333334,0,0,1,1,1.0,0,0,0,3,0,51,0.0,0,0,8.0,0,1.0,0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,5,0,0,0,5,0,0,4,0,0,0.2223502382098996,0,2,0,0,0,0,0,6,0,0.0209612846374511,0.7714621571643967,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.91781761393698,-0.3173185732343564,-163.82704623842343,393.11238101261984,400.7733579949921,678.6990969235405
4,0,0,18150,0,3,1922,1922,1922,25601,6,2,0,0,False,False,False,False,11000,0,0,3,1,4,0,3,1,662,0,0,11085,4,0,0,0,156261,11549,15470,0,0,76,70,17,4,6,6,5,4,100,18,4,161753,0,0,6440,0,222,260,157,1,0,5491,1566,3892,0,1,11,0,22,2,2,11,False,0,0,1,0,0,0,0,0,0.7599350655521855,2,0.2067024955362413,6,5,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,1922.0608419266323,0.0,0.0,4,0,0,0.0,0,0,1.3333333333333333,1,0,1,2,0.0,0,2,0,7,0,60,0.0,0,0,30.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,30,0,0,3,9,0,0,0,8,0,0,4,0,0,0.148631518809003,0,1,0,0,2,1,0,10,0,-0.3768332004547119,0.7099274807412249,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.60552046867812,-0.343381429767036,-4.713690535892949,354.4945014940419,409.43553025676766,950.4797975951556
1,0,2,15276,0,5,10128,11718,10128,15916,2,4,0,0,False,False,False,False,11300,0,2,0,2,7,0,4,1,1170,613,0,4660,8,0,0,0,143510,6638,10117,0,0,67,118,13,6,4,6,4,4,100,12,0,147248,0,4,2786,0,232,120,86,1,0,3124,3124,1117,3,6,4,0,34,4,9,8,True,0,0,0,0,0,0,0,0,0.7475123569039739,4,0.1938650085054041,2,14,0,2,0.0,0.0,0,0,8,1,0,0,0,0,0,0.0,0,2,1634.8963606262605,0.0,0.0,2,0,0,0.0,0,0,4.0,0,0,1,5,0.0,0,0,0,4,0,80,1.0,0,0,67.0,2,3.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,73,0,0,4,4,0,4,0,8,1,0,3,0,1,0.1519575820391978,0,2,0,0,4,6,0,11,0,6.868137836456299,1.2622246060933433,9,4,0,912.975488636342,0.0,0.0,0.0,1390.2857711454133,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,140.81626551044027,0.183497870094397,119.64061130154684,477.9018528738476,358.2979411463196,583.339729030088
3,0,4,20191,0,2,15684,25908,15684,42815,2,1,5,0,False,False,False,True,15358,2,2,0,3,15,0,6,2,1161,1517,946,6099,16,0,0,0,232345,26850,16527,0,0,101,141,18,15,6,6,2,4,200,22,0,251450,0,13,6699,0,265,256,96,1,0,17587,12313,3842,7,7,1,0,32,1,4,5,True,0,0,0,1,0,300,0,0,0.8171485400282394,1,0.2581433210329826,2,6,0,0,0.0,0.0,0,0,16,7,0,0,0,0,1,630.1300988124488,0,3,1808.768730666985,0.0,0.0,6,0,0,0.0,0,1,9.0,2,0,3,2,0.0,0,0,0,12,0,82,1.0,0,0,83.5,0,3.0,0,0.0,0,0,5,0,0,9,0,0,7,0,0,0,1,0,0,32,0,0,7,4,0,0,1,18,0,0,5,0,1,0.4024089434453309,0,2,0,0,5,7,0,12,0,0.4463330507278442,1.092471964782174,4,2,0,0.0,0.0,0.0,0.0,1707.1444973824755,1.0,27.44444693654032,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,242.94979924711333,0.2653738932245913,178.06588235370077,628.0073183159953,1330.5183571547946,877.9895257335603
0,0,1,11923,0,3,3549,3549,3549,22828,9,0,2,0,False,False,False,False,11800,0,0,1,2,9,0,4,3,194,0,0,11669,12,0,0,0,105927,17593,13263,0,0,63,83,16,10,5,6,3,4,100,21,0,114930,0,4,4314,0,151,232,229,1,1,9002,5135,858,2,2,8,0,13,0,0,7,False,0,0,0,0,0,1775,1,0,0.0,0,0.2550336344275261,9,6,0,0,0.0,0.0,0,0,11,1,0,0,0,0,0,0.0,0,2,1437.1606706159237,0.0,0.0,1,0,0,8.0,2,0,1.0,0,0,1,1,1.0,0,1,0,3,0,54,0.0,0,0,10.0,0,1.0,0,0.0,0,0,3,1,0,3,0,0,5,0,0,0,0,0,2,33,0,0,4,7,0,4,0,9,0,0,3,0,0,0.3678199615250022,0,0,0,0,1,2,0,7,0,-0.4030312895774841,0.5695677778289662,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.97379593762077,-0.3339918840071559,-75.39866781461545,525.9537193402688,948.87094246433,1076.74808505357
6,0,0,17676,0,5,4234,10127,4234,46755,5,0,1,0,False,False,False,False,13083,0,0,1,2,6,0,3,2,414,0,0,3390,11,0,0,0,168380,15278,24701,0,0,83,119,20,7,8,6,3,4,200,22,7,194715,0,0,9526,0,234,170,178,1,0,26335,4882,10530,1,2,8,0,17,0,1,7,False,0,0,5,0,0,500,0,0,0.0,0,0.2745418897504383,5,7,0,1,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,2,1989.707922929952,0.0,0.0,5,0,0,0.0,0,0,2.4,2,0,1,1,0.0,0,1,0,7,0,50,0.0,0,0,24.799999982118607,0,1.0,0,0.0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,37,0,0,3,7,0,0,0,12,0,0,3,0,0,0.2170862227293554,0,0,0,0,2,2,0,11,0,-0.1478406190872192,0.534731327945027,1,1,0,1671.1099454028863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.757402547536724,0.0904655391505605,-15.9520900702155,416.8350492260659,607.9284230917666,1164.653351024316
