assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,0,17918,0,6,15027,19491,15027,17405,1,3,0,0,False,False,False,False,13288,0,2,0,1,4,502,4,1,1659,1997,1171,5547,9,0,0,0,141269,6315,12667,0,0,186,7,59,3,4,12,2,4,100,3,0,162772,0,8,9317,3029,248,116,55,5,0,19505,1385,162,6,6,3,0,25,5,1,8,True,0,0,0,1,0,0,1,0,0.5422824529947754,3,0.1518172869131117,1,2,0,0,0.0,3029.565185546875,0,0,0,2,0,0,0,0,1,971.430439699758,1,0,1754.062657358076,0.0,0.0,0,0,0,0.0,0,0,6.0,0,0,1,1,0.0,0,0,0,0,0,79,0.0,0,0,19.0,0,3.0,0,0.0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,17,3,0,3,5,0,0,0,6,0,0,0,0,1,0.1039319463304202,0,0,0,0,2,6,0,11,0,0.2043137550354004,0.8685606641639744,1,0,0,0.0,0.0,0.0,0.0,1516.6683557969925,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1638.2206238631156,0.0,0.0,54.42222921715887,0.1026189111574334,113.70175356243624,454.1228881753621,303.4783265962498,628.6092434467181
5,0,0,15950,0,2,18265,19899,18265,35661,8,1,0,0,False,False,False,False,13435,1,1,0,0,2,630,0,1,723,2787,1637,11203,4,0,0,0,163813,10556,26278,0,0,181,14,62,6,1,12,2,4,100,5,2,181416,0,0,10658,248,234,82,277,3,0,14814,2924,738,7,7,5,0,16,1,3,7,True,0,0,2,0,0,0,0,0,0.0,1,0.2657610038170677,8,0,0,0,0.0,248.69677734375,0,0,1,0,0,0,0,0,0,0.0,0,0,2049.307916040212,0.0,0.0,0,0,0,0.0,0,0,0.875,1,0,0,0,0.0,0,0,0,0,1,71,0.0,0,0,28.0,7,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,4,7,0,0,6,0,3,0,7,0,0,3,0,1,0.1438677747057835,0,0,0,0,2,7,0,11,0,-0.0087835788726806,0.4840751157550005,3,1,0,0.0,0.0,0.0,0.0,1588.9710474445408,0.0,21.254783324367963,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.74872292067512,-0.0878345311561603,-49.45084104091826,407.3472773252195,442.62748067294393,1119.0119269294826
2,0,0,10446,0,1,1707,5088,1707,15702,7,0,1,0,False,False,False,False,9750,0,0,1,1,5,528,2,2,472,1324,334,5736,0,0,0,0,68718,10250,11647,0,0,164,15,32,7,3,12,4,4,200,8,0,79837,0,0,2399,255,138,89,243,2,0,9794,4671,1264,1,1,9,0,13,0,1,7,False,0,0,0,0,0,450,0,0,0.0,0,0.1842586229378918,7,6,0,0,0.0,255.164306640625,0,0,2,0,0,0,0,0,1,686.508370350518,0,1,1507.612960481423,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,1,0,6,65,0.0,0,0,17.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,34,9,0,1,7,0,0,0,7,0,0,1,0,0,0.1792806549832311,0,0,0,0,1,1,0,6,0,-0.1933687925338745,0.5442933987075897,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.521824431901157,-0.2785860900704132,-122.61767764384902,402.6364961774815,607.158484302032,742.1533439475808
1,0,0,10189,0,2,2285,2285,2285,16059,4,0,0,0,False,False,False,False,7050,0,0,0,0,1,324,0,1,590,2495,1395,5489,0,0,0,0,68297,5263,12679,0,0,106,14,36,3,2,12,2,4,100,5,0,82708,0,0,4243,0,162,81,82,1,0,11914,1469,148,1,1,6,0,6,0,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.2573633229327754,4,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,1289.7568129469846,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,3,78,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,9,0,0,1,0,0,0,2,0,0,1,0,0,0.2254529816021459,0,1,0,0,0,1,0,7,0,-0.762758731842041,0.3039653402479153,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.3312311397179,-0.186081591188978,-128.72194070497557,340.9014750582078,378.11779329600336,852.1141264521276
5,0,0,6902,0,1,4656,4656,4656,9753,4,0,0,0,False,False,False,False,6100,0,0,0,0,1,250,0,1,568,1296,966,2799,0,0,0,0,33536,5340,10064,0,0,80,5,22,4,1,12,2,6,100,4,0,48450,0,0,3366,1419,108,32,85,8,0,13617,912,188,1,1,2,0,9,0,1,5,False,0,0,0,0,0,0,0,0,0.0,0,0.2637424385863797,4,0,0,0,0.0,1419.17236328125,0,0,1,0,0,0,0,0,0,0.0,0,0,954.4913042602265,0.0,0.0,0,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,1,80,0.0,0,0,29.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,1,5,0,0,0,6,0,0,6,0,0,0.2858989419906669,0,1,0,0,1,1,0,4,0,0.1196534633636474,0.5927277656194856,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.21993504845139,0.0,-20.241148257472982,379.67868159980384,453.7914573624146,820.4579722252715
4,0,0,12793,0,1,5964,5964,5964,27902,11,0,0,0,False,False,False,False,9280,0,0,1,0,1,465,0,1,283,3749,2546,17703,0,0,0,0,94690,10596,20762,0,0,203,14,50,8,2,12,1,4,100,6,0,108818,0,0,14020,2505,158,88,285,6,0,10378,5783,94,2,2,8,0,20,0,3,8,False,0,0,0,0,0,150,0,0,0.0,0,0.2824222859718652,11,1,0,0,0.0,2505.58544921875,0,0,0,0,0,0,0,0,0,0.0,0,0,1601.086649757617,0.0,0.0,0,0,0,0.0,0,0,0.4545454545454545,0,0,0,0,0.0,0,0,0,0,3,47,0.0,0,0,16.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,8,0,1,6,0,0,0,5,0,0,1,0,0,0.2596462693986694,0,1,0,0,1,2,0,7,0,-0.4620190262794494,0.756225973228757,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.61345931649804,-0.5246436850417588,-105.00368610621489,343.4917155066258,709.2433130785948,1445.01860680073
0,0,0,8694,0,1,1700,1700,1700,14274,4,0,0,0,False,False,False,False,6925,0,0,2,0,4,313,0,1,505,2338,1678,4369,0,0,0,0,43013,7672,14184,0,0,87,11,25,4,2,12,1,4,100,10,0,50415,0,0,4917,503,104,75,127,3,0,5062,2247,496,0,0,10,0,10,0,1,6,False,0,0,0,0,0,675,0,0,0.0,0,0.2481781174307148,4,0,0,0,0.0,503.0162963867188,0,0,4,0,0,0,0,0,0,0.0,0,0,1140.6830284778464,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,1,0,0,1,52,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,8,0,2,6,0,1,0,4,0,0,3,0,0,0.3253591878738657,0,0,0,0,3,0,0,4,0,0.584153413772583,0.577777671338645,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.6477801166769,-0.4734005736199901,-104.72672689748892,369.5154477422701,610.0555392049606,1002.0312141623124
4,0,2,10145,0,3,4122,4122,4122,11058,2,1,0,0,False,True,False,False,6700,0,0,0,2,5,406,3,1,572,1079,749,4472,0,0,0,0,54643,8082,11252,0,0,101,12,26,6,3,4,3,12,200,7,0,68592,0,0,5173,574,119,185,57,4,0,12869,2209,446,1,1,0,0,19,2,0,7,True,0,0,0,0,0,0,0,0,0.7130918436718148,1,0.271042104217869,2,0,0,0,1.0,574.287353515625,0,0,1,0,0,0,0,0,1,758.9822921293965,0,1,1174.1451089656975,0.0,0.0,0,0,0,0.0,0,0,4.5,0,0,1,3,0.0,0,0,0,0,6,52,0.0,0,0,15.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,9,0,4,3,0,0,0,9,1,0,6,0,0,0.2252885952319285,0,1,0,0,2,1,0,5,0,0.7869488000869751,0.9733608313905804,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.71925084875927,0.4088080734951331,120.24067461675604,407.7349523022084,564.2062424324706,826.3544195612247
0,0,3,6781,0,1,3472,3472,3472,8817,4,0,0,0,False,False,False,True,6000,0,0,0,1,3,272,3,1,176,1029,699,3118,0,0,0,0,37577,6572,8694,0,0,88,10,17,3,3,14,3,4,100,4,0,40463,0,0,5678,1262,87,56,44,8,0,1857,1857,245,1,1,0,0,5,0,0,4,True,0,0,0,0,0,0,0,0,0.0,0,0.315737062897294,4,0,0,0,0.0,1262.2041015625,0,0,0,0,0,0,0,0,1,866.5271730815334,0,0,959.1431204574995,0.0,0.0,0,0,0,0.0,0,0,0.75,0,0,1,3,0.0,0,0,0,0,4,42,0.0,0,0,5.0,2,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,3,4,0,0,1,3,0,0,3,0,0,0.3286413477876382,0,1,0,0,3,1,0,3,0,-0.1263560056686401,0.3329891879279699,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.386948961147192,-0.0625558362670429,-23.95888529027745,384.8435047148483,571.0096734455681,754.298273708004
2,0,3,11356,0,1,8403,8403,8403,15791,2,0,1,0,False,False,False,True,8500,0,0,0,2,5,549,3,2,812,2430,1660,8996,0,0,0,0,72881,12301,12283,0,0,139,13,29,6,3,12,3,4,100,9,0,78660,0,0,7490,1257,146,80,57,7,0,3348,3348,517,2,3,1,0,9,0,1,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2596174765691537,2,4,0,0,0.0,1257.113037109375,0,0,2,0,0,0,0,0,1,896.8771122572218,0,0,1353.3721678332845,0.0,0.0,0,0,0,0.0,0,0,3.5,0,0,1,0,0.0,0,0,0,0,4,68,0.0,0,0,21.0,1,1.0,0,0.0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,24,10,0,1,5,0,4,1,7,0,0,2,0,0,0.2161533821528154,0,1,0,0,3,3,5,6,0,-0.4118150472640991,0.438031494642731,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,128.9667425919023,0.1330011095825737,38.25998585658704,442.00702084608656,767.4164022914503,966.3417285237864
