assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,0,17490,0,1,5889,7736,5889,27373,4,1,1,0,False,False,False,False,11075,1,1,0,2,4,0,2,2,475,152801,17410,7706,12,0,0,0,14954,994,23527,0,0,279,114,82,8,5,4,4,12,200,38,10,179649,0,0,15044,0,203,397,124,1,0,11893,0,2221,5,8,3,0,25,1,3,12,True,0,0,9,0,0,0,0,0,0.0,1,0.2653066539624649,4,1,0,0,0.0,0.0,0,0,54,0,0,0,0,0,0,0.0,0,0,1813.083309573935,0.0,0.0,8,0,0,0.0,0,0,3.5,0,0,0,1,0.0,0,1,0,9,1,50,0.0,0,0,1.75,0,1.0,0,0.0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,10,9,0,2,11,1,0,0,14,0,0,3,0,1,0.21119725833234,0,2,0,0,0,8,5,9,0,-0.1921948194503784,0.8516591499241158,3,1,0,0.0,0.0,0.0,0.0,1602.218140547675,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-23.95918586344947,0.1654639907696786,55.59590089861203,417.3001847211296,609.0398572250332,1107.1195622399198
5,0,2,16399,0,6,2078,2078,2078,18698,2,4,0,0,False,False,False,False,8650,0,0,0,1,2,0,2,1,889,90290,9320,16999,0,0,0,0,11713,1168,9446,0,0,194,78,64,8,3,12,2,4,200,37,0,102285,0,0,14874,0,185,363,67,1,0,280,176,1831,1,2,2,0,26,4,6,10,True,0,0,0,0,0,150,0,0,0.2693162163365973,4,0.2216383363079995,2,2,0,0,0.0,0.0,0,0,52,0,0,0,0,0,1,955.0618139711344,0,1,1536.52618209659,0.0,0.0,7,0,0,0.0,0,0,3.5,1,0,0,0,0.0,0,0,0,7,7,63,0.0,0,0,37.0,2,3.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,14,22,0,0,6,0,2,0,7,0,0,0,0,1,0.1174986473756376,0,0,0,0,0,2,0,8,0,0.2563282251358032,1.0259637067817802,6,5,1,0.0,0.0,0.0,0.0,1262.8782260510968,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-41.58731607996972,-0.3123929846382702,170.44942224325618,366.20267624221225,416.458897645894,1104.2311024501255
13,0,2,16942,0,8,4522,16002,4522,31360,2,6,1,0,False,False,False,False,11600,0,1,0,2,5,0,3,2,975,150111,25733,6815,6,0,0,0,16018,1656,24794,0,0,319,112,110,12,4,12,4,4,100,54,4,171319,0,0,18343,0,201,465,74,1,0,5189,504,571,0,5,4,0,36,6,6,11,True,0,0,4,1,0,0,0,0,0.6964000112794999,6,0.2316583496314268,2,18,0,3,0.0,0.0,0,0,69,0,0,0,0,0,0,0.0,0,2,1998.7446319,0.0,1.0,13,0,0,0.0,1,0,9.0,2,0,1,0,0.0,0,0,0,14,3,66,0.0,0,0,0.0,0,1.0,0,0.0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,90,17,0,1,5,0,0,0,18,0,0,7,1,1,0.2392142349893142,0,0,0,0,2,5,0,9,0,-0.1155518293380737,1.0971530514571366,6,4,0,918.0573446,0.0,0.0,0.0,1858.0627995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.390287922303738,0.4502826352281247,54.30408580851184,391.055459274452,837.3756073125692,966.0363656184188
4,0,0,12110,0,4,2515,4691,2515,25178,8,2,0,0,False,False,False,True,9435,0,0,1,1,3,0,2,1,465,83815,13104,7126,0,0,0,0,12077,1230,24510,0,0,244,60,66,11,3,12,5,4,100,49,0,104001,0,0,6519,0,145,389,294,1,0,8107,238,340,1,1,5,0,19,2,4,6,False,0,0,0,0,0,0,0,0,0.3289877254830918,2,0.2781792108299684,8,0,0,1,0.0,0.0,0,0,62,0,0,0,0,0,1,874.9627894175421,0,0,1718.8744806203435,0.0,0.0,3,0,0,0.0,0,0,0.875,0,0,0,2,0.0,0,0,0,4,1,55,0.0,0,0,12.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,10,0,3,4,0,4,1,7,0,0,4,0,0,0.1770144415059402,0,1,0,0,1,1,5,6,0,-0.255601167678833,0.6840662456818788,4,3,0,1101.9326093253785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.84606775855586,-0.1396262511928059,-26.947866480211555,327.84243780070847,508.6584330953922,1116.172252035291
6,0,0,14942,0,9,4012,4012,4012,21967,2,2,0,0,False,False,False,False,11660,0,0,1,1,3,0,3,1,1747,126812,13121,5873,0,0,0,0,15817,816,19337,0,0,269,111,81,5,5,12,4,4,100,37,0,150099,0,0,10512,0,218,377,50,1,0,7469,217,403,2,2,8,0,23,3,3,6,False,0,0,0,0,0,375,0,0,0.4855699690855645,2,0.2108269232036753,2,2,0,0,0.0,0.0,0,0,54,0,0,0,0,0,0,0.0,0,0,1924.197308152144,0.0,0.0,4,0,0,0.0,0,0,4.5,0,0,1,0,0.0,0,1,0,4,1,51,0.0,0,0,30.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,12,6,0,0,4,0,6,0,9,0,0,3,0,0,0.1471859218606696,0,2,0,0,1,2,0,10,0,-0.1545407772064209,0.7206966441795686,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.98101125734637,-0.0623636669127445,-22.54446558895716,374.8368199790512,441.3788525749496,798.6914821515195
7,1,0,17853,0,5,1170,5548,1170,76429,7,3,0,0,False,False,False,False,12050,0,0,2,2,6,0,2,1,695,122537,15523,9072,5,0,0,0,20385,2970,37331,0,0,301,109,86,14,4,12,5,4,100,50,0,161907,0,0,14813,0,214,452,263,1,0,18985,0,4836,1,2,10,0,21,4,2,9,False,0,0,1,1,0,0,0,0,0.7522189629752851,3,0.3232390383754761,7,6,0,0,0.0,0.0,0,0,70,0,1,0,0,0,0,0.0,0,2,2021.3461761,0.0,0.0,8,0,0,0.0,0,0,1.8571428571428568,2,0,0,1,1.0,0,1,1,10,0,69,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,39,9,0,2,6,0,2,0,13,0,0,4,0,1,0.1981322483847903,0,1,0,1,2,2,0,10,0,-0.4039522409439087,0.6378027746204226,2,1,0,0.0,0.0,0.0,0.0,1791.4355416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.85548348780928,-0.0296831887132586,-81.03510518719604,366.26086553289815,548.9312088742918,1520.9962728560852
8,0,5,10915,0,2,1545,1545,1545,19957,0,0,0,0,False,True,False,False,7050,0,0,0,1,5,0,5,1,0,67784,12919,3093,0,0,0,0,8517,1408,14328,0,0,229,76,49,6,1,12,2,4,200,42,0,76541,0,0,7275,0,134,407,0,1,0,240,146,554,1,1,1,0,13,0,2,6,True,0,0,0,0,0,0,0,0,0.0,0,0.2883827343337485,0,2,0,0,0.0,0.0,0,0,48,0,0,0,0,0,0,0.0,0,0,1142.4553714,0.0,1.0,7,0,0,0.0,0,0,13.0,2,0,1,2,1.0,0,1,0,9,2,62,1.0,0,0,48.0,4,3.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,13,0,3,6,0,9,0,13,0,0,6,0,0,0.2798869399036521,0,1,0,0,2,1,0,6,0,0.3592865467071533,0.7335529182931944,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.91965696000227,0.5251846286693382,174.5188521068211,433.53991096653874,760.0997130731333,944.0718884960024
16,0,0,18184,0,15,254,4522,254,29099,2,12,0,0,False,False,False,False,11400,0,0,0,1,2,0,2,1,1438,118738,18047,15752,16,0,0,0,14846,1798,13985,0,0,277,91,83,10,4,12,4,4,100,33,12,133584,0,0,17619,0,191,400,104,1,0,0,0,2284,0,0,2,0,34,12,3,14,True,1,0,5,1,0,0,0,0,0.7490703026375423,12,0.2215101349735112,2,3,0,1,0.0,0.0,0,0,51,0,0,0,0,0,1,993.5755176317545,0,3,1966.8969412340743,0.0,0.0,13,0,0,0.0,0,0,9.0,1,1,0,0,0.0,0,0,0,13,0,73,0.0,0,0,5.0,2,3.0,0,0.0,0,0,0,0,0,1,0,0,17,0,0,0,1,0,1,16,9,0,0,2,0,0,0,18,0,0,2,0,1,0.1636356848565969,0,2,0,0,0,0,5,9,0,0.4212323427200317,1.0447452102691115,6,3,0,1683.7449050346354,0.0,0.0,0.0,1585.5827423895796,0.0,30.77593708967516,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.409530352686446,0.3965637363341522,131.0185575042449,351.8130439339829,605.4003008682758,976.827997299402
13,0,0,20863,0,6,415,6539,415,45695,4,2,0,0,False,False,False,False,12870,0,0,1,0,0,0,0,0,1237,166989,23366,4434,12,0,0,0,21967,2029,37109,0,0,351,158,101,13,4,4,5,12,200,58,11,190005,0,0,18096,0,207,516,207,1,0,1048,1048,1950,1,1,8,0,43,2,4,18,False,1,0,13,1,0,0,0,0,0.0,2,0.2732876508242678,4,4,0,1,0.0,0.0,0,0,72,0,0,0,0,0,0,0.0,0,2,2370.8982380043644,0.0,0.0,7,0,0,0.0,0,0,3.25,2,0,0,0,0.0,0,0,0,7,4,56,0.0,0,0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,24,67,0,0,12,1,0,0,13,0,0,0,0,2,0.1813531479100423,0,1,0,0,0,1,0,9,0,0.3693890571594238,1.1121330238551204,29,19,0,1428.75077550617,0.0,0.0,0.0,1543.1299314969551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-57.82618494642773,0.0506137286183174,17.993180523811866,337.9478659845059,669.2147197913938,1100.6967562625505
2,0,1,12064,0,2,2831,4737,2831,11927,4,0,0,0,False,False,False,False,7750,0,1,0,0,2,0,0,1,631,83153,6187,2224,5,0,0,0,12084,372,11866,0,0,181,78,36,3,3,12,3,4,200,19,2,101587,0,2,3997,0,145,302,128,1,0,6349,0,861,1,2,2,0,12,0,3,3,True,0,0,2,0,0,0,0,0,0.0,0,0.1619489755540771,4,3,0,0,0.0,0.0,0,0,27,5,0,0,0,0,0,0.0,0,0,1388.564384333401,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,3,1,65,0.0,0,0,2.5000000298023224,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,4,0,0,3,0,0,0,4,0,0,1,0,1,0.0850950830684927,0,1,0,0,1,2,5,6,0,-0.1297377347946167,0.5266349099420707,3,2,0,0.0,0.0,0.0,0.0,1334.5921763562526,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.32756799645719,-0.129630287245493,55.78423361131051,365.168519170554,283.45822811014483,646.0773516315373
