assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
0,0,0,12635,0,2,2693,2918,2693,30582,8,1,1,0,False,False,False,False,11350,0,0,0,2,10,0,6,2,399,538,405,14588,0,0,0,0,138529,22791,18186,0,0,49,102,30,11,3,12,4,4,200,12,0,139072,0,0,5182,0,182,890,226,1,0,5,0,931,1,1,5,0,17,2,1,6,False,0,0,0,0,0,525,0,0,0.5316024767044104,1,0.321272393296831,8,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1378.3526955,0.0,1.0,0,0,0,0.0,0,1,1.25,0,2,1,4,0.0,0,1,1,0,2,67,1.0,0,0,48.0,0,4.0,0,0.0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,12,16,0,8,5,0,0,0,10,0,0,8,0,0,0.4942587910783971,0,1,0,0,4,1,0,8,0,0.7195531129837036,0.7579274289577254,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.05754974380577,0.0,71.65074680989007,507.8235797595246,1009.7705794343984,1467.1861611344743
1,0,0,17154,0,2,5854,6444,5854,42327,8,2,0,0,False,False,False,False,11250,0,0,1,2,7,0,3,1,409,492,347,17134,0,0,0,0,198545,37884,17964,0,0,67,126,32,13,3,4,3,12,200,15,0,199038,0,0,7637,0,225,828,288,1,0,0,0,685,4,4,9,0,23,2,2,10,False,0,0,0,0,0,300,0,0,0.3467527664402085,2,0.3093828122736852,7,95,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1686.6003164374106,0.0,1.0,0,0,0,0.0,1,0,1.0,0,0,1,5,0.0,0,0,1,0,4,72,0.0,0,0,47.0,0,2.0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,479,24,0,6,8,0,5,0,8,0,0,4,0,1,0.5037627976782627,0,0,0,0,1,4,0,10,0,-0.248156189918518,0.8190431011507068,2,1,0,0.0,0.0,0.0,0.0,1473.314185397957,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73211953439284,-0.1422980878522243,0.1778726098152804,457.23933079115983,1360.08512369156,1272.9986939259989
0,0,0,14020,0,0,7516,7845,7516,26219,6,0,0,0,False,False,False,False,10800,0,0,0,2,4,0,2,1,370,414,353,6921,0,0,0,0,166785,20769,16694,0,0,54,102,21,6,2,12,3,4,200,7,0,167728,0,0,3145,0,208,90,172,1,0,529,479,833,3,3,6,0,19,0,3,10,False,0,0,0,0,0,150,0,0,0.0,0,0.2109592850293993,6,13,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1628.2678122244229,0.0,0.0,0,0,0,0.0,0,0,0.6666666666666666,0,0,0,2,0.0,0,1,1,0,3,70,0.0,0,0,5.0,0,1.0,0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,13,0,2,10,0,0,0,4,0,0,2,0,0,0.28471783420794,0,0,0,0,2,3,0,9,0,0.3967649936676025,0.7125979660130992,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.697806745054535,-0.1842448752887656,-68.42854668224754,404.785991009418,795.9747102225251,900.8837422119484
1,0,0,7326,0,2,1092,1092,1092,9662,5,0,0,0,False,False,False,False,3575,0,0,0,0,0,0,0,0,256,727,594,10285,0,0,0,0,68252,8978,4958,0,0,36,64,12,4,2,12,2,4,200,0,0,70620,0,0,3146,0,125,8,79,1,0,1640,0,354,0,0,0,0,6,1,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.3392713778790294,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,0,77,0.0,0,0,14.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,1,0,0,0.3362872524219676,0,0,0,0,1,0,0,5,0,-0.0160847902297973,0.4496276649631801,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.99692953160266,-0.1967129222174936,-113.63449806763882,324.70746360700946,627.6453638219497,1022.7760535828218
6,0,1,20152,0,0,9513,12202,9513,65196,6,0,1,0,False,False,False,False,13700,0,0,0,1,5,0,3,2,661,2469,1587,35079,4,0,0,0,275956,34819,23278,0,0,114,185,60,13,4,12,5,4,100,16,2,288382,0,0,17333,0,289,2514,267,1,0,9957,0,3280,1,2,5,0,32,0,6,14,True,0,0,2,0,0,0,0,0,0.0,0,0.3315251811470865,6,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,767.5324716598113,0,1,2370.8982380043644,0.0,1.0,0,0,0,0.0,0,0,1.8333333333333333,3,0,1,0,0.0,0,0,0,0,3,85,0.0,0,0,78.19999995827675,6,1.0,0,0.0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,27,23,0,1,14,0,12,0,11,0,0,2,0,0,0.2742666588779693,0,1,0,2,3,2,0,14,0,-0.2697473168373108,0.8121381151274577,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.82618494642773,-0.0506137286183174,-17.993180523811866,395.7740509309336,921.3470089035424,1559.8645022879266
5,0,1,12895,0,0,586,1694,586,14045,2,0,0,0,False,False,False,False,7400,0,0,0,0,1,0,0,1,746,204,112,9709,4,0,0,0,135227,12669,7338,0,0,62,104,25,5,4,12,4,4,200,1,4,135431,0,0,3764,0,185,394,53,1,0,0,0,212,0,0,0,0,15,0,0,9,True,0,1,3,0,0,0,0,0,0.0,0,0.2110334866375925,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,925.4800603981532,1,1,1595.7222559288116,0.0,0.0,0,0,0,0.0,0,0,3.0,1,0,0,0,0.0,0,0,0,0,3,72,0.0,0,0,9.0,6,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,9,0,2,0,6,0,0,2,0,0,0.1322947877967752,0,1,0,0,1,0,0,8,0,-0.1344912648200988,0.5892894992131641,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.542794570248589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.39992232060407,0.0376005283983936,-28.914806338364688,320.5445045963056,480.6099539882672,648.9851201562738
0,0,2,10651,0,3,8237,8237,8237,11123,1,2,0,0,False,False,False,False,7150,0,0,0,1,2,0,2,1,868,571,367,2097,0,0,0,0,109373,6689,10540,0,0,55,88,16,4,2,12,2,4,200,1,0,117514,0,0,1268,0,184,15,32,1,0,7570,0,298,3,3,2,0,11,2,0,5,True,0,0,0,0,0,0,0,0,0.4312579446859623,2,0.2191150289484589,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,728.8448262163563,1,0,1158.1711313376222,0.0,0.0,0,0,0,0.0,0,1,2.0,1,0,0,0,0.0,0,0,0,0,3,90,0.0,0,0,43.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,3,0,2,1,2,0,0,0,0,0,0.1457456225598782,0,2,0,0,5,3,10,8,0,-0.3329120278358459,0.5733605730413617,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4431748365101,-0.1036116310906547,63.66934730520737,483.0374241446326,365.5936403033754,670.1600298943551
8,0,1,21704,0,0,11646,13696,11646,51503,8,0,1,0,False,False,False,False,14900,0,1,0,2,7,4,2,2,300,2439,312,8918,7,0,0,0,236108,26371,24040,0,0,82,169,38,13,3,12,3,4,100,9,0,251801,0,6,8629,0,262,880,297,1,0,13253,493,7660,5,5,5,0,14,0,2,8,True,0,0,0,0,0,300,0,0,0.0,0,0.2334214071630216,8,2,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,1,1,2055.488463286443,0.0,0.0,0,0,0,0.0,0,1,1.875,0,0,0,2,0.0,0,0,0,0,3,77,0.0,0,0,61.0,6,2.0,0,0.0,1,0,1,0,0,2,0,0,8,0,0,0,0,0,0,16,18,0,6,8,0,0,0,15,0,0,4,0,2,0.1711674859694928,0,0,0,1,5,5,0,12,0,-0.0342739224433898,0.4374878424936287,2,0,2,0.0,0.0,0.0,0.0,1506.2777635722898,0.0,55.11535267909994,2.0,0.0,0.0,0.0,1.0,2038.8575131320447,0.0,0.0,72.15803087644518,0.058380283880619,97.40750365481291,487.1542788418259,793.3296776537326,1185.674375473433
6,0,0,13534,0,5,2680,4791,2680,25631,5,3,1,0,False,False,False,False,10575,0,0,2,1,8,0,5,2,548,0,0,15489,0,0,0,0,127652,22395,12067,0,0,79,89,33,9,2,12,3,4,100,5,0,129132,0,0,5108,0,180,461,145,1,0,1480,0,1323,1,1,9,0,19,3,2,10,False,0,0,1,0,0,0,0,0,0.6538668321742938,3,0.2565385198680384,5,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1481.3840864492358,0.0,0.0,0,0,0,0.0,0,0,2.8,2,0,1,3,0.0,0,0,0,0,4,74,0.0,0,0,62.400000005960464,0,2.0,0,0.0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,14,16,0,4,7,0,2,0,14,0,0,4,0,0,0.3061280134845461,0,0,0,0,3,1,0,8,0,-0.4267909526824951,0.8009059167288507,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.64776210821634,0.2430159762704704,66.2218535337032,433.4999990038075,907.0571314295308,1169.7168991151975
1,0,0,7677,0,1,994,994,994,10640,3,0,0,0,False,False,False,False,5275,0,0,0,0,0,0,0,0,456,284,166,972,0,0,0,0,78348,9639,10849,0,0,43,58,23,4,2,12,2,4,100,2,0,82153,0,0,1943,0,128,242,43,1,0,3520,0,0,0,0,0,0,6,1,0,4,True,0,0,0,0,0,0,0,0,0.0,0,0.2725663833178037,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,872.1506911701366,0,0,954.2478495851992,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,5,78,0.0,0,0,22.0,7,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,4,0,0,0,1,0,0,1,0,0,0.2776701258728642,0,1,0,0,2,0,0,6,0,-0.3898511528968811,0.424790473928713,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.83371748173082,-0.1257534927138296,-100.47704067834992,333.8755231552178,616.50649802955,743.2660186850903
