assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,0,24459,0,8,3519,15634,3519,104719,6,3,0,0,False,False,False,False,16150,0,0,3,2,5,0,2,1,1043,33805,3915,24648,0,0,0,0,218996,21912,23423,0,0,327,80,166,24,7,12,3,4,100,66,0,272263,309,0,11749,0,329,5119,231,1,0,19462,2168,1628,2,2,10,0,46,4,5,22,False,0,0,0,0,0,300,0,0,0.2310472205376169,3,0.2149903526006681,6,9,0,0,0.0,309.3135986328125,0,0,121,0,0,0,0,0,1,984.5156448806538,0,1,2660.34973680319,0.0,1.0,8,0,0,0.0,0,0,2.333333333333333,0,0,0,1,0.0,0,1,1,8,0,78,0.0,0,0,40.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,51,0,0,0,19,0,6,0,14,0,0,1,0,0,0.1641829327367673,0,0,0,0,1,2,0,15,0,0.916251301765442,1.0548848126042265,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.56533059862974,-0.1353205539180702,-54.3312023981052,382.5060990750785,631.4057045817157,1120.9052549546816
7,0,1,17579,0,7,8961,9697,8961,62829,3,2,1,0,True,False,False,False,14535,1,1,0,1,7,64,4,2,1174,30918,5189,2055,16,0,0,0,166670,19317,23288,0,0,272,44,79,13,4,12,5,4,200,51,0,210139,478,10,3554,0,239,2877,149,1,0,12551,2836,911,3,3,2,0,17,3,0,7,True,0,0,0,0,0,450,2,0,0.5292506435973695,2,0.2597404589841768,3,3,0,0,1.0,478.5265502929688,0,0,80,5,0,0,0,0,1,850.6830556908255,0,2,1838.54117575054,0.0,1.0,5,0,0,0.0,0,0,4.666666666666667,1,0,1,3,0.0,0,0,0,5,0,66,1.0,0,0,83.75,5,3.0,0,0.0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,1,20,0,0,3,5,0,2,0,14,1,0,3,0,1,0.2484108499906749,0,0,0,0,4,3,0,11,0,0.1936511993408203,0.570550672163906,0,0,0,0.0,0.0,0.0,0.0,1303.2528411456046,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,140.4918222158148,0.1305382784815933,54.5976349749264,487.9194503945754,892.2944025609311,856.8206253835581
12,0,4,19925,0,6,2957,7865,2957,55954,2,1,2,0,False,False,False,False,15025,1,2,0,3,13,0,7,2,1131,1010,824,6436,8,0,0,0,190702,24986,17569,0,0,307,52,140,12,7,6,5,12,200,63,5,195302,1557,0,6643,0,255,3194,85,1,0,3588,2677,2076,1,4,3,0,26,3,2,12,True,0,0,4,0,0,600,0,0,0.0,1,0.1811507784041502,2,24,0,1,1.0,1557.109375,0,0,105,0,0,0,0,0,0,0.0,0,3,2061.5752096,0.0,1.0,10,0,0,0.0,0,0,12.5,1,1,2,5,0.0,0,1,0,12,0,88,1.0,0,0,97.0,7,3.0,0,0.0,0,0,2,0,0,5,0,0,11,0,0,0,0,0,0,122,0,0,4,11,0,8,0,25,0,0,3,0,0,0.2237388567093635,0,2,0,1,2,4,0,12,0,-0.2210138440132141,0.7618799220594612,2,1,1,1528.6183664,0.0,0.0,0.0,0.0,0.0,14.11490189999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.4821224121107,0.5820791763560407,135.62444809095746,486.763711227739,829.1135788015442,759.1185578447304
5,0,1,12664,0,5,2687,2687,2687,17774,4,4,0,0,False,False,False,False,8150,0,0,0,1,4,36,2,1,518,3049,877,1441,0,0,0,0,96256,8853,11535,0,0,177,23,50,7,5,6,4,12,200,24,0,107894,258,0,1004,0,167,952,88,1,0,8589,484,167,1,2,3,0,17,4,0,10,True,0,0,0,0,0,0,0,0,0.811925783719852,4,0.2028954697316796,4,3,0,0,0.0,258.5,0,0,51,0,0,0,0,0,1,779.9938529801641,0,0,1294.4783282386943,0.0,1.0,2,0,0,0.0,0,0,2.25,0,0,0,1,0.0,0,1,0,4,0,63,0.0,0,0,34.0,2,2.0,0,0.0,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,21,0,0,3,6,0,0,0,9,0,0,3,0,0,0.1748051202002551,0,1,0,0,3,2,10,8,0,0.4124903678894043,0.8026237084173677,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.495239956161186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1265532410825,0.1390521541174917,161.30049877629042,438.7095462406865,473.4262340520203,609.2338379067705
7,0,0,13599,0,3,2805,4136,2805,51373,4,1,1,0,False,False,False,False,11025,0,0,2,1,4,0,2,2,588,14355,4106,11332,0,0,0,0,121115,19106,19700,0,0,250,34,81,8,3,12,3,4,200,69,0,137284,304,0,3863,0,192,2840,117,1,0,1814,894,1156,1,1,10,0,16,1,1,10,False,0,0,0,0,0,300,0,0,0.6963482410748216,1,0.2773058005662694,4,3,0,0,0.0,304.4766540527344,0,0,102,0,0,0,0,0,0,0.0,0,2,1668.7975001330526,0.0,1.0,4,0,0,0.0,0,0,2.75,0,0,0,0,0.0,0,1,1,3,0,85,0.0,0,0,18.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,19,0,0,2,9,0,6,0,11,0,0,1,0,0,0.2500797003652239,0,0,0,0,3,1,0,9,0,0.1592023372650146,0.6055453978680037,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.90510831758657,-0.0359540327662381,-47.24359905483686,390.9281982673068,866.7438678957018,1157.3603147452045
5,0,0,14230,0,4,1322,2405,1322,36628,4,3,0,0,False,False,False,False,8875,0,0,1,0,1,0,0,1,699,9609,1826,8398,4,0,0,0,111593,12320,15717,0,0,219,27,74,11,4,12,3,4,200,58,0,122282,33,0,2691,0,191,2679,113,1,0,1078,835,3841,1,1,7,0,28,3,5,8,False,0,0,0,0,0,0,0,0,0.6077410014085505,3,0.3091659124934274,4,2,0,1,0.0,33.2409553527832,0,0,90,0,0,0,0,0,0,0.0,0,0,1793.1725078738734,0.0,1.0,2,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,1,0,68,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,17,0,0,0,5,0,3,0,6,0,0,1,0,1,0.1867613338390992,0,0,0,0,1,1,0,9,0,-0.220464825630188,0.960484380913414,5,3,1,843.7808423001404,0.0,0.0,0.0,1690.3107261450616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.11722510012381,-0.2676819981860673,-77.69469997350605,331.2899330050316,501.3014621029576,935.4482029109856
11,0,0,17485,0,2,2444,8101,2444,76283,8,1,1,0,False,False,False,False,13275,1,1,1,2,9,0,3,2,559,11747,2745,12616,4,0,0,0,111812,15135,24414,0,0,235,67,134,15,4,12,5,4,100,42,2,129953,1017,0,5614,0,183,464,244,1,0,6392,1022,2518,1,3,7,0,23,1,7,6,False,0,0,2,1,0,1050,0,0,0.485405519809554,1,0.2315280062728603,8,4,0,1,0.0,1017.8391723632812,0,0,98,0,0,0,0,0,1,800.6958606613621,0,3,2021.823570892832,0.0,0.0,8,0,0,0.0,0,0,2.5,3,0,1,1,0.0,0,1,0,5,0,54,0.0,0,0,9.999999970197678,0,2.0,0,0.0,0,0,1,0,0,3,0,0,15,0,0,0,0,0,0,22,0,0,1,5,0,11,0,20,0,0,4,0,1,0.1608826196246607,0,2,0,0,0,3,5,8,0,-0.1213008165359497,0.6877599932844275,7,3,1,1435.2250464828337,0.0,0.0,0.0,1369.8784212068924,0.0,7.316446312754579,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-40.418957013105086,-0.2077332592450334,-28.993627754628243,404.84244608867806,560.9391523213746,1173.663238554547
1,0,0,12823,0,4,5790,5790,5790,32412,8,2,0,0,False,False,False,False,9085,0,0,1,0,1,0,0,1,412,8000,1268,13408,0,0,0,0,100822,9297,13841,0,0,213,28,69,8,4,12,2,4,200,33,0,113919,106,0,799,0,205,2200,294,1,0,5096,686,767,1,1,8,0,19,3,3,7,False,0,0,0,0,0,0,0,0,0.0733320927391548,2,0.2409187569094771,8,0,0,0,0.0,106.6500015258789,0,0,54,0,0,0,0,0,0,0.0,0,0,1617.7924479528006,0.0,1.0,0,0,0,0.0,0,0,0.25,0,0,0,1,0.0,0,0,0,1,0,69,0.0,0,0,24.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,5,0,0,0,2,0,0,1,0,0,0.151737390111823,0,0,0,0,1,1,0,9,0,-0.4777177572250366,0.7183338855756459,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.0800185348234,-0.7046639397053606,-117.71596550656918,340.6864710596549,417.34649018444327,1039.0455228834412
10,0,3,18766,0,2,3974,9046,3974,52566,6,1,2,0,True,False,False,False,13775,1,1,0,4,16,0,6,2,419,12674,5099,10586,3,0,0,0,103092,25231,17170,0,0,221,35,102,8,5,4,4,12,200,65,0,118266,535,2,6168,0,159,2011,211,1,0,2499,1455,5526,1,1,2,0,19,1,5,4,True,0,0,0,1,0,300,0,0,0.1908891320561364,1,0.284894108905771,6,2,0,0,0.0,535.608642578125,0,0,115,2,0,0,0,0,1,1008.8268806609142,0,0,1733.2237808387486,0.0,1.0,12,0,0,0.0,0,0,4.333333333333333,1,0,3,4,0.0,0,2,0,15,0,59,0.0,0,0,25.0,0,3.0,0,0.0,0,0,2,0,0,7,0,0,13,0,0,0,0,0,0,17,0,0,11,3,0,2,0,26,0,0,5,0,1,0.2747974688537274,0,0,0,1,1,1,0,7,0,0.1835037469863891,0.6585814112651182,6,3,0,0.0,0.0,0.0,0.0,1558.9348775801757,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.61935162020131,0.5538811609978217,190.3966490930012,519.5405290159567,1100.319543894735,1152.1766675931565
3,0,0,9160,0,2,0,2203,0,16369,8,0,0,0,False,False,False,False,6175,0,0,3,0,0,0,0,0,287,906,455,4528,0,0,0,0,60159,6208,11773,0,0,140,25,31,4,2,12,1,6,200,17,0,62785,0,0,405,0,132,377,156,1,0,1719,183,788,0,0,11,0,9,1,0,6,False,0,0,0,0,0,0,0,0,0.0,0,0.2178081005218796,8,0,0,0,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,0,1,1377.2252912,0.0,0.0,0,0,0,0.0,0,0,0.375,1,0,0,0,0.0,0,0,0,1,0,47,0.0,0,0,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,6,0,4,0,3,0,0,1,0,0,0.1203683665922747,0,0,0,0,0,0,0,6,0,0.1819859743118286,0.3996398825317845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-267.8428884199393,-0.5227902831879101,-124.81618011111355,263.660566154436,298.2954224156351,744.5840608303811
