assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,1,0,15203,0,5,4933,8410,4933,41520,5,2,0,0,False,False,False,False,13450,0,0,1,1,5,4,5,1,798,14348,5828,20856,4,0,0,0,146137,19604,21412,0,0,227,31,39,9,4,12,4,4,100,20,0,169423,0,0,17592,0,222,146,179,1,0,8938,0,576,2,2,5,0,27,4,5,13,False,0,0,0,1,0,750,0,0,0.1379494809951512,2,0.3076100377693502,5,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1949.4232145226288,0.0,0.0,0,0,0,0.0,0,0,1.2,0,0,1,1,0.0,0,1,0,0,0,68,0.0,0,0,49.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,23,0,0,1,11,0,16,0,6,0,0,1,0,1,0.285715755757837,0,1,0,0,1,2,0,10,0,0.7088817358016968,0.8326465643273203,5,0,0,0.0,0.0,0.0,0.0,1433.7648713592591,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.45486622516749,-0.430896684589702,-64.6960593576824,412.3681271523448,782.7853842264207,1318.7285248521694
13,0,1,16867,0,3,6197,7852,6197,56676,10,1,0,0,False,False,False,False,11225,0,0,0,1,7,0,2,1,262,17572,4715,22001,0,0,0,0,90517,21659,23705,0,0,173,38,34,11,9,12,7,6,100,22,0,108090,0,0,13491,0,144,157,348,1,0,0,0,1134,1,4,2,0,15,1,1,8,True,0,0,0,1,0,0,0,0,0.4606460191084046,1,0.3271598708706681,10,20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,988.2853436936904,0,1,1842.9206584959743,0.0,0.0,0,0,0,0.0,0,0,2.0,2,0,0,2,0.0,0,0,0,0,0,64,0.0,0,0,6.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,107,0,0,5,4,0,0,0,20,0,0,5,0,2,0.2594773293880967,0,2,0,0,0,4,5,6,0,-0.1682783365249633,0.515194674996672,1,0,1,0.0,0.0,0.0,0.0,1334.364014993119,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.11403485917467,0.3581271917254606,85.49472777009633,412.3997397805827,858.6587776879363,1525.0032534193
2,0,0,8318,0,2,0,190,0,8063,5,0,0,0,True,False,False,False,5300,0,0,1,0,2,0,0,1,350,59257,6610,2056,0,0,0,0,8875,599,8721,0,0,0,21,50,4,5,14,3,4,200,12,0,68892,0,0,956,0,112,107,100,1,0,758,755,1651,0,0,5,0,7,0,0,5,False,0,0,1,0,0,150,0,0,0.0,0,0.1994059052509182,5,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1037.5141715,0.0,0.0,0,0,0,0.0,0,0,0.8,0,0,0,1,0.0,0,1,0,0,0,51,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,0,0,1,5,0,0,0,4,0,1,4,0,0,0.2708892809742299,0,0,0,0,0,0,0,5,0,-0.2472028732299804,0.4256503690055955,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.41253989753335,-0.231322141511587,-50.37039631414808,338.1351403545624,460.5623837495698,718.7757242118788
6,1,1,14182,0,1,7553,10184,7553,38560,4,0,0,0,False,False,False,False,9300,1,1,0,0,2,0,0,1,478,15968,7152,21339,8,0,0,0,115773,17529,17059,0,0,208,20,45,7,4,12,5,6,100,12,0,133382,0,4,16570,0,175,334,99,1,0,1640,0,225,4,6,1,0,10,0,0,6,True,0,0,0,1,0,0,0,0,0.0,0,0.365687915212433,4,11,0,0,0.0,0.0,0,0,0,1,1,0,0,0,0,0.0,0,2,1643.8592485,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,0,1,0.0,0,0,0,0,0,54,0.0,0,0,29.0,0,1.0,0,0.0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,60,0,0,1,5,0,17,0,8,0,0,0,0,1,0.2887281759233524,0,1,0,1,0,6,10,8,0,-0.5192584991455078,0.3651779156901314,0,0,0,0.0,0.0,0.0,0.0,1301.9991717,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.139382986839703,-0.1459979011092323,10.073855176537032,370.9441672432821,900.8435493192408,1409.7557331107475
14,0,1,15845,0,9,1265,2235,1265,27632,3,5,0,0,False,False,False,False,9575,0,1,0,0,1,0,0,1,1169,99342,14575,15802,0,0,0,0,22213,828,9714,0,0,70,42,87,6,3,4,4,12,200,37,0,135704,0,0,3198,0,186,375,129,1,0,14149,354,1491,1,2,4,0,23,5,3,11,True,1,0,0,1,0,0,0,0,0.1383015866155913,5,0.2259738965562682,3,10,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,2,1769.8046090733235,0.0,0.0,3,0,0,0.0,0,0,5.0,1,0,0,0,0.0,0,0,0,0,0,56,0.0,0,0,0.0,4,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,52,0,0,0,6,0,4,0,15,0,0,1,0,1,0.1585751445851843,0,1,0,0,0,2,0,8,0,0.6164141893386841,0.7864864031975584,13,4,0,0.0,0.0,0.0,0.0,1528.7273677686694,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-49.73430374672129,0.4068245705253275,50.514050840228165,332.3417720716488,534.2284651948426,915.5925980147932
5,0,0,7224,0,2,0,0,0,6033,3,0,0,0,False,False,False,False,4100,0,0,0,0,1,0,0,1,412,14355,2763,3539,4,0,0,0,30781,4736,6233,0,0,87,16,28,11,2,12,2,6,200,8,0,47977,0,0,3639,0,90,59,73,1,0,2840,0,1204,0,0,2,0,8,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.3047788722365956,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,513.3660361119632,0,0,954.4913042602265,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,58,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,5,0,0,0,6,0,0,5,0,0,0.2190102286027875,0,1,0,0,0,0,0,3,0,-0.1068665385246276,0.529385009702445,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.21993504845139,0.0,20.241148257472982,330.4587465513525,471.39245584717366,690.0220013114316
1,0,2,9059,0,3,1040,1040,1040,8467,1,0,0,0,False,False,False,False,5350,0,0,0,1,3,0,2,1,259,46187,8614,792,0,0,0,0,19092,3069,9441,0,0,75,11,55,4,1,12,2,4,100,7,0,65322,0,0,1731,0,121,41,12,1,0,42,27,8,0,0,0,0,6,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2259658139336513,1,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,0,71,1.0,0,0,4.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,3,5,0,0,0,4,0,0,4,0,0,0.3272650339451952,0,1,0,0,2,0,0,5,0,0.0163477659225463,0.4569780542443488,20,20,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99692953160266,0.1967129222174936,113.63449806763882,396.70439313861215,767.9016773630226,671.5123454764507
10,0,0,14073,0,5,1030,1030,1030,36938,5,1,0,0,False,False,False,False,9225,0,0,2,0,0,0,0,0,851,8084,2536,1649,0,0,0,0,106486,10630,26024,0,0,185,20,18,9,2,12,3,4,100,14,0,118470,0,0,11129,0,189,334,90,1,0,3900,0,2191,0,0,9,0,14,1,1,8,False,0,0,1,0,0,0,0,0,0.0,1,0.2186642848180833,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1736.7657412785836,0.0,0.0,0,0,0,0.0,0,0,2.0,1,0,0,0,0.0,0,0,0,0,0,54,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,4,0,0,0,10,0,0,3,0,0,0.1459549712492883,0,0,0,0,1,0,0,8,0,0.1135256290435791,0.5104060193080304,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.39909161715478,-0.1036409204314949,-72.13408062032047,332.54916669119007,454.8454528003541,1031.745362895532
5,0,2,12833,0,6,2166,3398,2166,16001,3,3,0,0,False,False,False,False,8125,1,1,0,1,3,0,2,1,647,84983,13456,896,0,0,0,0,21203,2479,12975,0,0,72,23,87,6,3,12,3,4,100,12,0,109881,0,0,2598,0,173,253,86,1,0,3695,0,2642,2,4,0,0,15,3,2,9,True,0,0,0,1,0,0,0,0,0.5558540679847435,3,0.2698811609616168,3,0,0,0,0.0,0.0,0,0,7,1,0,0,0,0,1,802.7308241999999,0,2,1424.0468648,0.0,0.0,1,0,0,0.0,0,0,2.6666666666666665,0,0,0,1,0.0,0,0,0,0,0,55,0.0,0,0,14.400000005960464,1,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,6,0,0,0,8,0,0,2,0,1,0.2366558297411863,0,1,0,0,3,4,0,8,0,-0.2405908107757568,0.6354536320249401,2,1,0,0.0,0.0,0.0,0.0,1314.0413151,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,54.984145490883705,0.0421334448206005,65.39110636157204,402.7957324849412,671.4385766610902,695.7495743225768
18,0,0,17697,0,13,6889,9168,6889,35860,5,9,0,0,True,False,False,False,12600,1,1,1,0,3,0,0,1,724,110652,16155,9641,0,0,1,0,30763,4260,16870,0,0,97,42,91,10,4,12,6,6,200,27,0,141630,0,0,5741,0,199,778,172,1,0,215,205,6304,2,4,8,0,44,10,7,17,False,0,0,0,3,0,0,0,0,0.7651543742942518,9,0.2094655729292279,5,12,0,1,1.0,0.0,0,0,6,0,0,0,0,0,1,824.3020685906098,0,1,2060.791992123275,0.0,1.0,2,0,0,0.0,0,0,4.2,1,0,0,0,0.0,0,0,0,0,0,76,1.0,0,0,35.0,0,3.0,0,0.0,0,0,0,0,0,1,1,0,16,0,0,0,0,0,0,65,0,0,2,6,0,2,0,21,0,0,6,1,1,0.1737030510374647,0,1,0,0,3,4,5,9,0,2.7420597076416016,1.2987818525902444,7,3,1,1182.3371686748133,0.0,0.0,0.0,1863.296941116541,0.0,33.271834436721065,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.187951102055926,0.4367252995158973,23.26290095421346,392.4995841849208,600.3808267544879,955.4384952609124
