assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,2,9189,0,1,3530,4858,3530,7907,2,0,1,0,False,False,False,True,7825,0,1,0,2,4,0,2,2,189,0,0,4913,3,0,0,0,67243,6844,4921,0,0,58,20,33,4,4,6,2,4,100,7,0,72717,0,2,3577,0,138,254,22,1,0,5474,1707,739,2,3,1,0,9,0,4,1,True,0,0,0,0,0,0,0,0,0.0,0,0.2362353259975207,2,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,569.4745878,0,0,1037.5141715,0.0,0.0,0,0,0,0.0,0,1,4.0,0,0,0,2,1.0,0,0,0,0,9,72,0.0,0,0,51.0,1,2.0,0,0.0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,2,19,0,2,1,0,2,1,8,0,0,5,0,0,0.1839703972373746,0,2,0,0,5,3,10,6,0,0.3283791542053222,0.5654250527284996,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,140.41253989753335,0.231322141511587,50.37039631414808,478.5476802520957,494.5089080163952,611.4422505505024
1,0,1,9928,0,1,863,972,863,14925,6,0,0,0,False,True,False,False,8350,0,0,3,0,4,0,0,1,450,0,0,9985,8,0,0,0,69387,7381,8024,0,0,71,12,28,5,3,4,5,6,100,7,4,74706,0,0,3643,0,136,171,155,1,0,5318,1723,3318,0,0,11,0,8,0,0,5,False,0,0,1,0,0,450,0,0,0.0,0,0.2222216162616387,6,14,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1472.0984850999998,0.0,0.0,0,0,0,0.0,0,0,0.8333333333333334,0,0,0,2,0.0,0,1,1,0,8,60,0.0,0,0,5.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,76,31,0,0,5,0,0,0,5,0,0,1,0,0,0.2144475802485923,0,0,0,0,1,0,0,6,0,-0.3069244027137756,0.3347585316479397,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.08489219305972,-0.4075814261565808,-53.1893761134338,338.4556162804247,371.1028885155668,869.2896657067555
14,0,0,14851,0,1,6411,17455,6411,20686,5,0,0,0,True,False,False,True,11350,1,1,0,0,4,0,0,1,334,0,0,6282,8,0,0,0,100803,13445,7393,0,0,106,22,75,9,8,6,4,4,100,13,0,117824,0,4,8667,0,162,311,151,1,0,17020,5041,2832,2,2,1,0,16,0,0,9,True,0,0,0,1,0,0,1,0,0.0,0,0.2073083029699098,5,0,0,1,0.0,0.0,0,0,0,1,0,0,0,0,1,867.6096640086613,0,0,1540.0122708458782,0.0,0.0,0,0,0,0.0,0,0,3.6,0,0,0,2,1.0,0,0,0,0,14,67,0.0,0,0,26.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,3,42,0,3,9,0,0,1,18,0,2,8,0,1,0.2103881279820198,0,1,0,0,1,2,5,7,0,0.3810650110244751,0.6293086403311312,0,0,0,1296.708491095378,0.0,0.0,0.0,1253.209172323291,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.18146614028462,0.389607285187695,53.64892317034561,462.81449407446297,720.2280273979732,643.163706387847
6,0,9,16861,0,5,11396,27300,11396,30269,1,1,1,0,False,True,False,True,12650,0,1,0,2,11,0,9,2,456,0,0,5861,4,0,0,0,143871,13781,10166,0,0,125,21,44,8,5,6,3,4,200,14,0,156456,0,0,9868,0,181,485,21,1,0,12584,5751,2218,4,4,2,0,17,2,1,5,True,0,0,0,1,0,0,0,0,0.4732414663279704,1,0.2163935736241729,1,6,0,2,0.0,0.0,0,0,0,0,0,0,0,0,1,854.6183030860584,1,3,1493.1217016278026,0.0,0.0,0,0,0,0.0,0,0,17.0,1,1,1,4,1.0,0,0,0,0,15,69,1.0,1,0,64.0,3,4.0,0,0.0,0,0,1,1,0,2,0,0,4,0,0,0,1,0,1,32,42,0,5,4,0,0,1,17,0,1,7,0,1,0.2606389254639429,0,1,0,1,3,4,5,8,0,-0.4372506141662597,0.6840882944327376,1,1,0,973.7620138830812,0.0,0.0,1385.4935632987904,1407.4689250115946,0.0,3.5726618869130107,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,254.24585255584856,0.4822111949850138,229.2914232153741,592.5571901040845,784.8790883706075,733.2021219747136
2,0,2,13240,0,3,10691,14576,10691,17583,5,1,0,0,False,False,False,False,10880,0,0,0,1,2,0,2,1,193,57,57,8610,15,0,0,0,120876,4291,6657,0,0,87,32,85,4,2,6,1,4,100,5,2,136417,0,4,8922,0,197,372,100,1,0,15484,2492,697,4,4,3,0,12,2,0,7,True,0,0,2,0,0,0,0,0,0.8197901765319757,1,0.2161568412843853,5,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,1,715.1094600348217,1,0,1442.1344419776929,0.0,0.0,0,0,0,0.0,0,0,0.8,0,0,0,1,0.0,0,0,0,0,8,58,0.0,0,0,3.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,7,18,0,1,6,0,0,0,4,0,0,1,0,0,0.0914616876789117,0,1,1,0,1,4,10,9,0,-0.2081776857376098,0.5149117994432779,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,41.15049951720948,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.102614129464705,-0.2496299856109868,-1.206544930453103,445.963969294028,284.6197885941268,664.265391710836
6,0,0,18367,0,1,4643,12574,4643,68185,10,0,0,0,True,False,False,False,13675,0,0,3,2,7,576,3,1,394,0,0,14302,19,0,0,0,172127,18516,22440,0,0,112,31,92,16,5,4,8,14,200,12,9,200617,0,6,19181,0,209,356,342,1,0,28489,11748,5761,1,1,11,0,15,0,4,4,False,0,0,7,0,0,375,1,0,0.0,0,0.2258881788708259,10,4,0,0,0.0,0.0,0,0,0,3,0,0,0,0,1,800.367216885878,0,1,2055.488463286443,0.0,0.0,0,0,0,0.0,0,0,1.3,2,0,1,0,0.0,0,1,0,0,10,56,0.0,0,0,11.0,0,2.0,0,0.0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,21,46,0,6,4,0,2,0,13,0,0,4,0,0,0.2224073154662489,0,2,0,0,2,1,0,10,0,0.0354902744293212,0.4530144248941488,35,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.15803087644518,-0.058380283880619,-97.40750365481291,414.9962479653807,883.4396458234681,1240.6977930309165
21,0,1,15945,0,1,8261,30156,8261,74300,7,0,1,0,False,False,False,True,14030,0,1,2,2,8,0,4,2,536,744,566,17917,18,0,0,0,144576,28269,15871,0,0,131,48,94,14,7,6,7,3,100,23,6,168597,0,3,22241,0,159,363,285,1,0,23276,8835,9807,3,6,4,0,18,0,3,4,True,0,0,4,1,0,0,0,0,0.0,0,0.2755156539627384,7,47,0,2,0.0,0.0,0,0,0,4,0,0,0,0,1,689.4077764202207,0,5,2106.7127930289653,0.0,0.0,0,0,0,0.0,1,1,4.142857142857143,0,0,1,2,0.0,0,0,1,0,12,75,1.0,0,1,34.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,16,0,0,0,1,0,1,237,71,0,2,4,0,13,1,29,0,0,11,0,1,0.2850912937065677,0,1,0,2,5,6,5,7,0,-0.2277164459228515,0.5403512391109362,3,1,0,800.250218015907,0.0,0.0,0.0,1294.7260013335654,0.0,13.269874801466813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.53876273815182,0.227843112544008,40.38519169842542,430.7658846535152,1072.8562561915978,1241.6595221976395
1,0,0,4773,0,1,0,117,0,7086,7,0,0,0,False,False,False,False,3600,0,0,0,0,0,0,0,0,145,0,0,442,0,0,0,0,33258,5973,8429,0,0,45,6,34,4,3,6,4,3,100,8,0,36612,0,0,1522,0,76,145,120,1,0,3354,1279,512,0,0,3,0,6,0,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.2167024394336011,7,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,926.2566469242056,0.0,0.0,0,0,0,0.0,0,0,0.1428571428571428,0,0,0,0,0.0,0,0,0,0,10,50,0.0,0,0,4.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,24,0,0,4,0,0,0,1,0,0,1,0,0,0.2412799314124037,0,0,0,0,0,0,0,3,0,-0.3266143798828125,0.4118056919386691,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-334.6372747005654,-0.518214904685351,-283.9817677675723,255.60950173604937,469.76181109727065,607.8660831959166
3,0,2,11954,0,2,6293,8383,6293,11081,1,0,0,0,False,True,True,False,8050,0,0,0,2,5,0,3,1,941,0,0,1080,8,0,0,0,98307,10158,8440,0,0,85,15,55,5,4,6,3,4,100,13,0,111318,0,6,7418,0,167,342,37,1,0,13010,3889,901,3,4,0,0,8,0,1,3,True,0,0,0,0,1,0,1,0,0.0,0,0.2194644577845233,1,0,0,0,0.0,0.0,0,0,1,3,0,0,0,0,1,564.3089991754548,0,0,1171.897009018297,0.0,1.0,0,0,0,0.0,0,1,8.0,0,0,1,0,0.0,0,1,0,0,13,75,0.0,0,0,68.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4,36,0,4,3,0,4,0,8,0,0,5,0,0,0.2425442724723283,0,2,0,0,5,4,10,8,1,-0.2899987697601318,0.4257422482631365,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.74699021705527,0.3071942305762632,175.40790565904632,547.4201188869012,719.1928928174617,533.5963785109693
0,0,0,10010,0,5,459,1905,459,9923,3,2,0,0,False,False,False,False,5875,0,0,0,0,0,0,0,0,175,0,0,1778,8,0,0,0,76138,3809,8564,0,0,74,18,42,0,2,12,3,6,100,7,6,88348,0,0,2304,0,145,316,36,1,0,12209,774,456,0,0,4,0,13,3,2,6,False,0,0,3,0,0,0,0,0,0.432383556655054,2,0.1891087221423192,3,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,1261.2165981952749,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,15,58,0.0,0,0,14.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,4,0,0,0,0,0,0,0,0,0,0.1140323864249684,0,0,0,0,1,0,0,6,0,0.4339703321456909,0.6508425780265105,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.67273111984122,-0.4757311320343895,-15.603981130727975,303.89704714356805,218.07515092456416,513.7420494839373
