assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,15810,0,2,2602,7070,2602,65803,5,2,0,0,False,False,False,False,13200,0,0,2,1,6,35,4,1,514,31861,7746,12498,4,0,0,0,145324,22686,20128,0,0,134,44,37,11,5,4,3,12,100,44,0,178484,0,2,6386,0,221,755,133,1,0,1298,484,2338,1,1,11,0,31,2,1,10,False,0,0,0,0,1,600,0,0,0.4701716353090466,2,0.3047475798633683,5,1,0,0,0.0,0.0,0,0,41,2,0,0,0,0,1,896.8234121689176,0,2,1813.083309573935,0.0,1.0,3,0,0,0.0,0,0,1.8,0,0,1,1,0.0,0,0,1,3,0,69,0.0,0,0,40.0,0,1.0,0,0.0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,10,2,0,3,2,0,6,1,9,0,0,4,0,0,0.3279565989706328,0,0,0,1,4,1,0,10,0,0.237922191619873,1.0542877780065711,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.95918586344947,-0.1654639907696786,-55.59590089861203,441.259370584579,1023.1300405252308,1157.0896874523628
0,0,3,8205,0,2,1606,1606,1606,14857,2,2,0,0,False,True,False,False,5150,0,0,0,1,5,0,3,1,278,13314,3160,596,0,0,0,0,43444,8445,9968,0,0,59,20,17,2,2,12,3,4,100,16,0,56758,0,0,535,0,94,312,26,1,0,0,0,80,0,0,0,0,8,2,0,7,True,0,0,0,0,0,0,0,0,0.6527316666583165,2,0.3096390898113318,2,0,0,0,0.0,0.0,0,0,17,0,0,0,0,0,1,817.283129914869,0,0,945.639795737602,0.0,1.0,0,0,0,0.0,0,0,2.5,0,0,1,2,0.0,0,1,0,1,0,44,0.0,0,0,5.0,1,1.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,3,5,0,3,0,5,0,0,4,1,0,0.4284082436953749,0,1,0,0,1,0,0,4,0,0.0719860792160034,0.5600065462559364,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.39543038330042,0.1268982127665213,125.6926797452394,377.07803923571817,736.3268795777401,675.3522883434266
14,0,3,17814,0,0,876,3425,876,50969,6,0,1,0,False,False,False,False,10300,0,0,2,2,5,37,3,2,817,20242,4612,2681,4,0,0,0,108068,17682,17887,0,0,153,32,30,10,5,12,4,4,100,38,2,128311,0,0,3710,0,172,2718,139,1,0,0,0,4916,0,1,7,0,22,0,4,12,False,0,0,2,0,0,150,0,0,0.0,0,0.2094621245317449,6,0,0,1,0.0,0.0,0,0,41,0,0,0,0,0,0,0.0,0,2,1921.66081868455,0.0,1.0,10,0,0,0.0,0,0,3.1666666666666665,0,0,1,1,0.0,0,1,0,10,0,60,0.0,0,0,1.0,0,0.0,0,0.0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,4,0,0,2,12,0,18,0,19,0,0,2,0,1,0.1697475420113957,0,0,0,1,0,1,0,8,0,0.3766810894012451,0.6934808427334733,4,1,1,1675.493064724047,0.0,0.0,0.0,1504.610958903068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-140.75324707153777,0.2497839344659055,-5.089347664742825,351.3523268181044,696.0853793728623,795.7179462329503
10,0,0,11903,0,3,1647,1783,1647,35681,2,2,1,0,False,False,False,False,9350,0,0,0,1,4,4,3,2,619,19953,6556,7535,0,0,0,0,64651,11977,11479,0,0,84,27,27,5,3,12,4,4,200,38,0,86642,0,0,3627,0,147,463,65,1,0,2038,216,925,2,2,1,0,13,2,1,6,True,0,0,0,0,0,0,0,0,0.7015826023418136,2,0.2569520112540646,2,5,0,0,0.0,0.0,0,0,43,0,0,0,0,0,1,676.3200698868444,0,1,1436.298484568556,0.0,0.0,6,0,0,0.0,0,0,7.0,0,0,1,1,0.0,0,0,0,6,0,71,1.0,0,0,58.0,0,3.0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,32,1,0,2,4,0,2,0,14,0,0,4,0,1,0.2624767199282937,0,2,0,1,4,2,10,6,0,0.0765713453292846,0.5788203126840207,1,1,1,0.0,0.0,0.0,0.0,1294.404730895353,1.0,38.71985730675624,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,131.08695861122257,0.4595145139335399,157.02864162510696,397.8560209730031,783.2633760230793,832.9744916213441
5,0,0,13777,0,1,671,671,671,40120,5,0,0,0,False,False,False,False,9200,0,0,2,1,6,0,3,1,671,4568,1953,9670,0,0,0,0,100679,10279,18029,0,0,103,20,27,4,4,4,6,14,200,22,0,117472,0,0,4334,0,177,463,115,1,0,12225,748,643,0,0,10,0,19,0,4,9,False,0,0,0,0,0,0,0,0,0.0,0,0.2340762610356039,5,2,0,0,0.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,1,1836.49996312547,0.0,0.0,7,0,0,0.0,0,0,2.2,1,0,1,1,0.0,0,1,0,8,0,41,0.0,0,0,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,1,9,0,0,0,11,0,0,6,0,0,0.1635637833724181,0,1,0,0,1,0,0,8,0,-0.1767899990081787,0.648611690874905,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.37598860574484,0.163354209650754,-90.82494056581922,337.326442928807,424.06752825335735,925.989672826264
10,0,1,17448,0,2,4054,7462,4054,62108,4,0,0,0,False,False,False,False,12175,0,0,0,1,4,48,3,1,982,30439,6384,7457,4,0,1,0,102647,11681,22981,0,0,123,42,42,11,8,14,4,4,100,47,4,141056,0,0,2801,0,188,1659,111,1,0,7969,2699,1214,2,2,5,0,14,1,6,6,True,0,0,1,2,0,0,0,0,0.0,0,0.2594704656959837,4,2,0,2,0.0,0.0,0,0,42,1,0,0,0,0,1,721.310628318027,0,0,2047.816978781192,0.0,1.0,7,0,0,0.0,0,0,3.5,1,0,1,1,0.0,0,0,0,8,0,57,0.0,0,0,6.25,8,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,2,0,1,2,0,2,0,14,0,0,3,0,2,0.2113939805539943,0,1,0,0,3,2,5,9,0,-0.5938366055488586,0.4393728639812216,6,1,1,1369.7769063060096,0.0,0.0,0.0,1423.5405249933065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5566903740970537,0.2636954403617622,46.41039750367016,374.476824807076,608.3746804079591,927.416863752318
7,0,3,11747,0,3,955,9533,955,18133,3,3,0,1,False,False,False,False,9625,0,0,0,2,7,4,3,1,691,6098,2240,4974,8,0,0,0,81059,13121,9869,0,0,96,20,25,7,3,12,4,4,100,23,0,88326,0,0,2529,0,119,466,68,1,0,1168,926,934,0,1,3,0,23,3,4,8,True,0,0,0,1,0,0,0,0,0.4794482688608982,3,0.2262614552216225,3,1,0,1,0.0,0.0,0,0,25,2,0,0,0,0,0,0.0,0,2,1447.4741616,0.0,0.0,8,0,0,4.0,0,0,4.666666666666667,1,0,2,0,1.0,0,2,0,7,0,52,0.0,0,0,3.0,3,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,11,0,0,1,5,0,8,0,14,0,1,6,0,1,0.2484339152442864,0,1,0,0,1,1,0,5,0,0.1759299039840698,0.9653651546458712,4,3,0,1240.0091569,0.0,0.0,0.0,1428.7240828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.792885219817246,0.4145151712668748,-35.814110797457985,395.9034400769921,675.120859442359,654.0220372248751
3,0,0,10177,0,2,2917,3344,2917,16848,3,1,0,0,False,False,False,False,8550,0,0,1,1,3,0,3,1,862,7572,2899,7528,0,0,0,0,79085,12085,9125,0,0,93,16,28,3,2,12,2,4,100,24,0,91758,0,0,2095,0,144,434,67,1,0,5100,0,865,1,2,7,0,15,2,3,6,False,0,0,0,0,0,300,0,0,0.324955729722891,1,0.2070679058548746,3,0,0,0,1.0,0.0,0,0,23,0,0,0,0,0,0,0.0,0,0,1377.0574315818133,0.0,0.0,4,0,0,0.0,0,1,2.0,0,0,1,2,0.0,0,0,0,5,0,67,0.0,0,0,21.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,2,5,0,3,0,6,0,0,5,0,0,0.3214327700522105,0,1,0,0,5,2,0,6,0,-0.2468236088752746,0.6844244668272457,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.323395723311165,-0.1307135024813276,-48.88684992801654,384.3848396300908,652.8703737267377,763.2797121559659
12,0,3,21703,0,1,4783,6360,4783,87662,7,0,1,0,False,True,False,True,13750,1,2,0,2,9,37,3,2,336,52238,10199,11465,4,0,0,0,138552,28465,26025,0,0,149,39,43,12,6,12,6,4,200,53,4,203221,0,0,6024,0,220,1892,211,1,0,12430,0,388,4,6,3,0,18,0,1,11,True,0,0,6,1,0,0,0,0,0.0,0,0.2780876375773806,7,1,0,1,0.0,0.0,0,0,53,0,0,0,0,0,1,896.320694351994,0,0,2031.4486958756363,0.0,1.0,9,0,0,0.0,0,0,3.0,1,0,2,4,0.0,0,0,0,11,0,53,0.0,0,0,83.00000002980232,0,4.0,0,0.0,0,0,1,0,0,4,0,0,12,0,0,0,0,0,0,11,0,0,6,11,0,16,1,21,0,0,7,0,1,0.2664246580339544,0,2,0,1,1,6,0,10,0,-0.3989595770835876,0.5463812738054975,1,0,0,1586.588891097984,0.0,0.0,0.0,1546.9223406305705,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1986.821455222675,0.0,0.0,162.03215009479666,0.3544268685996281,221.9893620329004,454.9954925647726,1141.9633706280017,1118.7779463071097
9,0,1,13405,0,1,523,6527,523,36270,4,1,0,0,False,False,False,False,8175,0,1,0,1,3,0,2,1,470,19360,5398,6282,4,0,0,0,84318,18093,15274,0,0,95,30,39,4,6,6,5,12,200,49,4,105219,0,0,5989,0,131,1060,90,1,0,1540,0,1020,1,2,3,0,22,1,5,10,True,0,0,6,1,0,0,0,0,0.0,1,0.2427941490744116,4,7,0,1,0.0,0.0,0,0,51,0,0,0,0,0,1,816.139444124528,1,4,1598.2686846898723,0.0,1.0,8,0,0,0.0,0,0,3.0,2,0,0,2,0.0,0,1,0,8,0,54,0.0,0,0,3.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,43,1,0,0,8,0,0,0,12,0,0,2,0,1,0.2535910233203391,0,0,0,0,0,2,0,5,0,0.7449946403503418,0.8570298346294583,5,2,0,1403.675547960553,0.0,0.0,0.0,1302.4635335474495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-14.866086176624542,0.2252437299488567,91.5991168458684,321.009855798779,881.9042839930903,847.5170745542315
