assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,3,22329,0,0,8474,17002,8474,52828,8,0,1,0,False,False,False,False,14660,0,0,0,2,6,0,3,2,521,0,0,15552,12,0,1,0,247798,23549,17450,0,0,516,76,248,17,6,12,4,4,200,36,2,252799,0,8,10789,0,285,149,292,1,0,5000,860,3672,3,3,3,0,18,0,6,3,True,0,0,2,3,0,750,0,0,0.0,0,0.2671083576879052,8,4,0,1,0.0,0.0,1,1,56,7,0,0,0,0,0,0.0,0,0,2258.5714589,0.0,0.0,3,0,0,0.0,0,0,0.875,0,0,1,0,0.0,0,0,0,3,0,62,0.0,0,0,69.00000002980232,15,1.0,0,0.0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,24,12,0,3,3,0,6,0,7,0,0,0,0,2,0.2419092404069323,1,0,0,1,0,3,0,13,0,-0.5436003804206848,0.4795466436454171,7,0,0,2106.9235838,0.0,0.0,0.0,1669.4597276,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2106.9235838,0.0,123.39658278323247,0.0,104.85388853507398,457.5635612181693,648.4629893947696,974.26184649995
4,0,0,17190,0,2,5142,9849,5142,30236,7,0,0,0,False,False,False,False,13380,1,1,1,1,8,0,4,1,868,0,0,15280,8,0,0,0,155929,19510,11058,0,0,385,57,137,30,6,14,5,4,100,27,4,157669,0,2,1456,0,233,125,301,1,0,1740,1068,2066,2,2,7,0,24,0,11,6,False,0,0,6,1,0,300,0,0,0.0,0,0.2141515661196275,7,3,0,0,0.0,0.0,0,0,46,2,0,0,0,0,0,0.0,0,1,1930.385849499874,0.0,0.0,8,0,0,0.0,0,0,1.7142857142857142,1,0,1,4,1.0,0,0,0,5,1,77,1.0,0,0,78.75,0,3.0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,17,11,0,3,6,0,0,0,12,0,0,4,0,1,0.1907397906078485,0,0,0,0,3,2,0,11,0,0.4142017364501953,0.7733355478760485,11,3,0,0.0,0.0,0.0,0.0,1344.4555999233617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5612227134743,0.0,18.400466419292577,433.1880075771632,639.6026992841261,882.9115694365286
16,0,5,18462,0,5,2139,7243,2139,39931,8,4,3,0,False,False,False,False,13675,0,1,1,2,11,0,5,2,410,0,0,11381,13,0,0,0,172418,22037,19811,0,0,462,79,190,24,7,14,5,4,200,49,9,173882,0,0,6975,0,208,154,285,1,0,1464,1464,1628,1,2,5,0,26,4,4,11,True,0,0,10,0,0,300,0,0,0.7018129295657625,4,0.2172620995746247,8,3,0,1,0.0,0.0,0,0,71,0,0,0,0,0,0,0.0,1,6,2021.823570892832,0.0,0.0,16,0,0,0.0,0,0,3.375,5,0,2,4,1.0,0,1,0,7,0,63,0.0,0,1,33.20000004768372,6,1.0,0,0.0,0,0,3,1,0,2,0,0,19,0,0,0,0,0,1,19,9,0,0,3,0,13,0,27,0,0,5,0,1,0.166672626368871,0,0,0,0,0,2,0,10,0,0.1380459070205688,0.782702452316857,4,0,1,1030.0065013242522,0.0,0.0,0.0,1864.3944188666887,0.0,22.03239371672976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.418957013105086,0.2077332592450334,28.993627754628243,445.2614031017832,697.4199036453616,974.0315764200698
3,0,0,18250,0,6,4658,8569,4658,38973,9,4,0,0,False,False,False,False,15500,0,0,1,3,11,0,2,1,486,338,308,11974,4,0,0,0,220388,29058,18656,0,0,443,71,167,23,5,4,9,14,200,30,0,226546,0,4,7630,0,250,151,370,1,0,5819,1745,613,1,1,8,0,34,4,4,9,False,0,0,0,0,0,300,1,0,0.7308040188184425,4,0.2063652228685469,9,4,0,0,0.0,0.0,0,0,47,1,0,0,0,0,0,0.0,0,2,2096.57000045618,0.0,0.0,9,0,0,0.0,0,0,1.5555555555555556,2,0,0,3,0.0,0,0,0,8,0,61,0.0,0,0,48.0,0,2.0,0,0.0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,23,10,0,2,5,0,6,0,14,0,0,4,1,0,0.2452140003932705,0,0,0,0,3,1,0,12,0,0.7329039573669434,0.996760269863948,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.940321569386352,-0.200327201051534,-88.57324103635685,460.3232898448464,890.3685541593325,894.1461528077328
9,0,0,22402,0,11,0,3952,0,64347,9,8,0,0,False,False,False,False,15000,0,0,7,1,4,0,2,1,584,0,0,14817,4,0,0,0,242116,18270,25106,0,0,492,123,206,25,4,4,7,14,100,43,4,266455,0,0,16798,0,260,229,269,1,0,24338,1513,5747,0,0,11,0,60,8,6,25,False,0,0,1,0,0,0,0,0,0.7802016856694974,8,0.1628277067899813,9,6,0,1,0.0,0.0,0,0,66,0,0,0,0,0,0,0.0,0,5,2712.322342940993,0.0,0.0,11,0,0,0.0,0,0,1.4444444444444444,1,0,0,1,0.0,0,0,1,8,0,37,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,35,8,0,0,16,0,4,0,13,0,0,0,0,1,0.1116265852332578,0,0,0,0,0,0,0,12,0,0.4653967618942261,1.3273557000282838,6,0,3,1222.011848517795,0.0,0.0,0.0,2335.8906665551563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.5676009262504,-0.1106063225784246,-73.77441715980923,333.25684992879343,437.62497591379497,1010.3002716958464
4,0,1,11466,0,3,1412,7034,1412,20243,8,0,0,0,False,False,False,False,8100,0,0,2,0,2,0,0,1,463,564,564,8757,7,0,0,0,77206,9447,14900,0,0,266,37,80,12,5,14,4,4,100,19,2,86629,0,4,3863,0,134,80,215,1,0,8858,886,1394,0,0,9,0,17,0,2,9,False,0,0,1,0,0,300,0,0,0.0,0,0.2141664017728998,8,2,0,0,0.0,0.0,0,0,30,6,0,0,0,0,0,0.0,0,0,1660.565978,0.0,0.0,4,0,0,0.0,0,0,0.75,0,0,0,0,0.0,0,1,0,1,1,61,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,5,0,1,9,0,3,0,6,0,0,0,0,0,0.139161049176785,0,1,0,0,2,0,0,5,0,0.012825608253479,0.6299172610583602,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.3275799849008,-0.3251903309800317,-96.1840734520938,312.54404033080823,393.76935855782057,905.185352412417
0,0,0,7608,0,1,850,850,850,5621,1,0,0,0,False,False,False,False,4375,0,0,0,0,1,0,0,1,831,138,138,1377,0,0,0,0,42361,4069,4507,0,0,135,17,46,4,3,14,2,4,200,10,0,44447,0,0,83,0,122,38,32,1,0,1948,408,85,0,0,4,0,8,0,1,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1586756820329339,1,2,0,0,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,0,918.8511358884488,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,77,0.0,0,0,21.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,5,0,2,0,1,0,0,1,0,0,0.2760575820310385,0,0,0,0,1,0,0,5,1,-0.2522850036621094,0.5375212964779629,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.716527193654958,-0.0652989343502146,20.83036005771848,343.4070957477789,301.35458202624073,389.8999370051318
0,0,0,7425,0,1,402,402,402,8145,3,0,0,0,False,False,False,False,3950,0,0,0,0,0,0,0,0,361,0,0,5198,4,0,0,0,43075,1046,3157,0,0,120,15,46,6,0,14,2,4,100,9,0,53545,0,0,574,0,122,39,69,1,0,10470,0,0,0,0,2,0,9,0,0,6,False,0,0,0,0,0,0,0,0,0.0,0,0.1552069604695966,3,0,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,971.8654524649928,0.0,0.0,0,0,1,4.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,67,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0.0413109630999161,0,0,0,0,0,0,0,5,0,-0.3608741164207458,0.5934322256966017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.54021334281805,-0.1852108226951134,-79.02328434991507,297.81900289374244,64.57684017969623,515.812141205891
2,0,0,9899,0,1,3397,4163,3397,16154,7,0,0,0,False,False,False,False,7750,0,0,2,1,2,0,2,1,449,0,0,9073,0,0,0,0,72084,5643,10034,0,0,202,27,57,10,6,14,4,4,200,17,0,72950,0,0,1854,0,140,81,187,1,0,866,866,1072,1,1,10,0,15,0,3,6,False,0,0,0,0,0,0,0,0,0.0,0,0.2180443169778097,7,3,0,0,0.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,1,1388.8884398,0.0,0.0,2,0,0,0.0,0,0,0.5714285714285714,0,0,0,1,0.0,0,0,0,2,1,62,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,6,0,1,6,0,4,0,4,0,0,2,0,0,0.1308513983019288,0,0,0,0,2,1,0,6,0,0.0706048011779785,0.6858389485685497,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.07843753326632,-0.3456001117477225,-163.72805294048356,342.7057108118354,281.18889092074073,871.7762818836301
1,0,1,6276,0,1,1071,1071,1071,8540,5,0,0,0,False,True,False,False,4700,0,0,0,0,2,0,0,1,291,0,0,2691,0,0,0,0,34581,5794,7303,0,0,134,20,39,5,3,4,3,14,200,13,0,38186,0,0,559,0,76,50,99,1,0,3605,430,515,0,0,4,0,5,0,0,5,False,0,0,0,0,0,0,0,0,0.0,0,0.2176724442205468,5,2,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,0,920.6616737659828,0.0,0.0,1,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,0,0,3,0,47,0.0,0,0,13.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,2,5,0,0,0,3,1,0,3,0,0,0.2725499227215294,0,0,0,0,2,0,0,3,0,-0.3003108501434326,0.3412486330331911,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.90728850972732,-0.1303410399491681,-74.75058641084794,327.6773744322088,405.6213163218114,684.8769944129042
