assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
13,0,1,18237,0,15,2520,6338,2520,26327,3,3,0,0,False,False,False,False,12925,0,0,1,1,4,0,3,1,1022,158836,31322,11198,8,0,0,0,13149,825,11711,0,0,145,233,204,14,5,14,5,4,100,29,6,173127,0,0,3806,0,242,386,106,1,0,1141,1136,1078,1,2,9,0,54,3,7,14,False,0,0,3,1,0,0,0,0,0.8146803365339693,3,0.1684786006747725,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,2136.031363842854,0.0,0.0,0,0,0,0.0,0,0,5.666666666666667,1,0,1,0,0.0,0,2,0,0,15,78,0.0,0,0,39.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,24,69,0,0,4,0,2,0,17,0,0,2,0,1,0.2348903775325685,0,2,0,0,4,2,0,11,0,0.6043479442596436,1.5358637198424725,7,3,0,0.0,0.0,0.0,0.0,1690.7131894721435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75826899781918,0.0561789503802568,-26.319838253150323,376.5675043988615,934.902002753044,673.8103308608004
7,0,0,14528,0,6,0,4879,0,24424,7,3,1,0,False,False,False,False,9925,0,0,1,1,5,0,3,2,577,125355,19970,6817,13,0,0,0,13482,662,14682,0,0,120,178,171,9,5,14,4,4,200,15,7,149402,0,0,2044,0,180,244,196,1,0,10563,1391,591,0,0,8,0,39,3,6,10,False,0,0,11,1,0,150,0,0,0.7736731246419484,3,0.2006294093487083,7,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,709.1261712885894,0,1,1864.204860365332,0.0,0.0,0,0,0,0.0,0,0,1.7142857142857142,0,0,1,1,1.0,0,0,0,0,9,68,0.0,0,0,27.20000004768372,0,3.0,0,0.0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,6,41,0,1,7,0,0,0,12,0,0,2,0,1,0.2465824441604595,0,1,0,0,0,0,0,8,0,0.1110037565231323,1.2633636656496752,6,4,0,1329.9486934826764,0.0,0.0,0.0,1365.414057477867,0.0,9.058737302526424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.3758994444814,-0.2252971274400023,-107.30580326928111,350.75544212016365,708.8491335340874,711.0055488967274
9,0,0,12086,0,6,858,1153,858,18718,6,3,0,0,False,False,False,False,7735,0,0,0,1,2,0,2,1,1021,71303,14356,8365,0,0,0,0,7812,600,12383,0,0,91,131,116,10,4,14,3,4,100,17,0,84443,0,0,1707,0,155,228,204,1,0,5327,2444,926,1,1,4,0,20,4,2,11,False,0,0,0,0,0,0,0,0,0.761796582164221,3,0.1962892405160237,6,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1536.52618209659,0.0,0.0,0,0,0,0.0,0,0,1.8333333333333333,1,0,0,1,0.0,0,0,0,0,11,88,0.0,0,0,30.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,35,0,1,4,0,4,0,11,0,0,1,0,0,0.1854864953085828,0,1,0,0,1,1,0,7,0,-0.2040296196937561,0.816636698507743,2,2,0,1198.4121803220482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.1744991479247,-0.4295403538776215,-93.75694451456084,315.9855039616103,679.4937907113175,846.3506936312335
2,0,0,8751,0,4,132,132,132,9643,5,1,0,0,False,False,False,False,6235,0,0,0,0,3,0,0,1,595,51396,8091,3129,0,0,0,0,6725,461,10945,0,0,65,76,90,6,2,12,2,4,100,11,0,75532,0,0,137,0,122,200,152,1,0,17410,0,285,0,0,5,0,13,2,1,6,False,0,0,0,0,0,300,0,0,0.0,1,0.2156802920113163,5,7,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,1139.9371816,0.0,0.0,0,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,1,0,0,18,64,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,38,30,0,0,5,0,0,0,5,0,0,4,1,0,0.2027582499338538,0,0,0,0,0,0,0,5,0,0.6218769550323486,0.7165099498805791,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.11436159650222,-0.4737103137929614,-93.84727661031668,349.0192323067919,450.18270154124434,755.7784884170147
4,0,2,10813,0,5,891,5071,891,9506,3,3,1,0,False,False,False,False,8175,0,0,0,1,5,0,2,2,375,87280,11696,2079,12,0,0,0,8707,242,7091,0,0,110,133,109,7,4,4,3,14,200,11,4,96166,0,2,26,0,163,190,76,1,0,178,178,114,0,0,1,0,20,3,1,10,True,0,0,6,1,0,0,0,0,0.6687587864308037,3,0.1442557904429461,3,0,0,1,1.0,0.0,0,0,0,2,0,0,0,0,1,625.5840733263055,1,0,1333.4462934078629,0.0,0.0,0,0,0,0.0,1,0,3.0,1,0,0,1,1.0,0,1,1,0,9,68,0.0,0,0,71.00000002980232,0,2.0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,9,20,0,1,7,0,4,0,9,0,0,4,0,1,0.2005410666308089,0,0,0,0,2,0,0,7,0,1.911650896072388,0.9335984643848376,1,1,0,1150.4292436960734,0.0,0.0,0.0,1300.2396079440632,0.0,17.006642734979096,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.42996660660918,0.0899923758408884,106.68596155937324,415.40480688154105,545.2188090320226,417.74460865340416
9,0,1,18425,0,6,2288,12315,2288,19926,4,2,1,0,True,False,False,False,11850,0,2,0,2,7,0,3,2,1163,142037,28560,3263,0,0,0,0,12998,725,15901,0,0,148,205,185,14,5,4,7,14,200,16,0,164523,0,0,1446,0,224,304,188,1,0,9487,1306,2294,0,2,5,0,37,4,8,10,True,0,0,0,1,0,0,0,0,0.7280305351441401,2,0.139883517696066,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,832.6166081425836,0,6,2164.419690854467,0.0,0.0,0,0,0,0.0,0,0,4.0,6,0,2,1,0.0,0,1,0,0,4,84,0.0,0,0,42.0,1,3.0,0,0.0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,0,6,37,0,2,8,0,0,0,16,0,0,2,0,2,0.2304019667887427,0,1,0,0,1,2,0,10,0,0.5186370611190796,1.0402567885170475,8,2,0,0.0,0.0,0.0,0.0,1719.2163847664797,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-113.62860957105232,0.0554421125011233,45.98923231968183,364.6704949761389,848.0148317609323,594.8661460808031
4,0,0,10846,0,2,5587,7323,5587,12839,7,0,0,0,False,False,False,False,9700,0,0,1,1,4,0,2,1,315,83128,12214,8749,0,0,0,0,9359,715,7681,0,0,88,131,111,10,3,12,3,4,100,9,0,96325,0,0,853,0,152,234,213,1,0,3837,0,418,2,2,6,0,13,0,1,7,False,0,0,0,0,0,925,0,0,0.0,0,0.1903015460023769,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1418.470274119039,0.0,0.0,0,0,0,0.0,0,0,1.1428571428571428,0,0,0,0,0.0,0,1,0,0,8,67,0.0,0,0,27.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,25,0,0,7,0,2,0,8,0,0,4,0,0,0.2246580585436179,0,0,0,0,3,2,0,7,0,0.1191797256469726,0.5600397235382095,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-222.7470013047904,-0.5498881536198776,-74.65789162608338,427.6860862500448,546.8849183193383,712.6973461801014
4,0,0,9368,0,3,267,643,267,17551,9,0,0,0,True,False,False,False,7000,0,0,3,0,4,0,0,1,293,67607,13324,2065,0,0,0,0,6325,397,17382,0,0,93,137,132,9,7,14,4,4,200,15,0,74936,0,0,0,0,133,230,183,0,0,1003,1003,499,0,0,11,0,8,0,0,3,False,0,0,0,0,0,450,0,0,0.0,0,0.2167338458425323,9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1388.9324605,0.0,0.0,0,0,0,0.0,0,0,0.8888888888888888,1,0,0,0,0.0,0,2,0,0,9,63,0.0,0,0,6.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,40,0,1,3,0,7,0,8,0,1,6,0,0,0.2674870554368172,0,0,0,0,1,0,0,5,0,-0.3405417203903198,0.3503386461709616,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.013834877898297,-0.6911783166579683,8.164543865522251,339.5413480582269,636.1000445492864,861.6833676485309
3,0,0,12016,0,2,9660,9660,9660,14920,9,0,0,0,True,False,False,False,6700,0,0,2,0,0,0,0,0,350,112983,6884,2702,0,0,0,0,12546,685,13346,0,0,92,62,111,13,5,4,4,14,200,7,0,127981,0,0,1,0,187,322,243,1,0,2451,686,2012,3,3,10,0,4,0,0,3,False,0,0,0,0,0,0,0,0,0.0,0,0.2114642799937484,9,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,802.0206668985586,0,1,1634.8963606262605,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,7,56,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,19,0,0,3,0,0,0,3,0,3,3,0,0,0.1450784763528932,0,0,0,0,0,3,0,8,0,-0.8729051351547241,0.1604222835416727,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.81626551044027,-0.183497870094397,-119.64061130154684,337.0855873634073,302.95498352584946,662.8677059289997
6,0,2,16302,0,5,1223,12152,1223,23650,6,3,1,0,False,False,False,False,11375,0,0,0,2,8,0,3,2,499,135610,26540,5628,16,0,0,0,14862,1183,11694,0,0,136,202,170,9,4,4,7,14,100,17,8,153818,0,4,3859,0,177,234,223,1,0,3345,2494,3811,0,1,3,0,29,3,1,11,True,0,0,12,2,0,0,0,0,0.6878726993595603,3,0.1868710137428481,6,0,0,2,0.0,0.0,0,0,0,3,0,0,0,0,1,649.8072151615787,0,0,1830.9907646479207,0.0,0.0,0,0,0,0.0,0,0,2.333333333333333,0,0,1,2,0.0,0,0,0,0,11,84,0.0,0,0,39.0,0,1.0,0,0.0,0,0,1,1,0,4,0,0,9,0,0,0,0,0,1,7,46,0,3,8,0,1,0,14,0,0,3,0,2,0.2517241864045739,0,2,0,0,2,1,5,8,0,1.6579978466033936,0.9542071867548418,1,0,1,1098.7588426576403,0.0,0.0,0.0,1236.667318623068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.079217317509674,0.0655382879678667,-44.20557523432614,420.2970407379296,990.217992906499,692.5430889564482
