assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,0,13241,0,5,2379,4406,2379,10107,3,2,1,0,False,True,False,False,9110,0,0,1,1,4,0,4,2,1111,103250,17849,12007,0,0,0,0,14086,1378,11521,0,0,200,13,63,8,5,14,4,6,200,4,0,118405,0,0,18614,0,189,67,125,1,0,1068,1068,604,1,1,7,0,33,3,4,8,False,0,0,0,0,0,0,0,0,0.1112843078820023,2,0.2297219968722153,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1569.9501064,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,1,1,0.0,0,2,0,0,0,72,1.0,0,0,40.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,21,0,0,3,3,0,18,0,6,1,0,3,0,1,0.2980247010548666,0,0,0,0,2,1,0,9,0,1.4247770309448242,1.2644373850387571,4,3,0,0.0,0.0,0.0,0.0,1297.8743086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.91875205901129,-0.1528711001844102,-7.452466133990001,381.9484438107491,775.6679623356978,922.3095651875932
9,0,0,16598,0,2,2231,5633,2231,15691,6,0,1,0,False,False,False,False,10800,1,1,1,1,3,0,3,2,461,121466,13118,10590,4,0,0,0,14520,1432,17182,0,0,267,14,92,8,2,4,6,6,200,2,0,137940,0,4,22136,0,188,65,209,1,0,1954,0,770,1,3,7,0,17,0,4,9,True,0,0,0,0,0,450,0,0,0.0,0,0.2154420665261521,6,7,0,0,0.0,0.0,0,0,0,6,0,0,0,0,1,762.0444852303865,1,0,1930.385849499874,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,1,0,0.0,0,0,0,0,0,57,0.0,0,1,1.0,12,1.0,0,0.0,0,0,1,1,0,0,0,0,10,0,0,0,1,0,0,38,0,0,0,7,0,3,0,12,0,0,2,0,1,0.1436603236345498,0,2,0,0,0,3,10,8,0,-0.2928873300552368,0.5468353679131416,4,2,0,0.0,0.0,0.0,0.0,1744.756189232917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-69.5612227134743,0.0,-18.400466419292577,363.6267848636889,452.27227511338896,887.1697854828851
0,0,1,8709,0,0,108,108,108,4516,1,0,0,0,False,False,False,False,5250,0,0,0,0,2,0,0,1,667,43476,8427,2151,0,0,0,0,10573,1854,7768,0,0,172,9,30,4,3,6,3,4,200,2,0,55529,0,0,9660,0,126,55,30,1,0,1480,0,210,0,0,0,0,4,0,0,3,True,0,0,0,0,0,0,0,0,0.0,0,0.2237450717197553,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,863.8698390251412,0,0,950.5335306316016,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,0,1,0.0,0,1,0,0,0,71,0.0,0,0,15.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,0,4,0,2,0,0,1,0,0,0.2929075137554704,0,1,0,0,0,0,0,5,0,0.5753532648086548,0.3061782529406207,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74063045475541,0.0631224444656168,81.86981047190507,344.64854678226806,648.9618515510069,639.3672399922332
7,0,0,17721,0,1,722,4718,722,20883,6,0,0,0,False,False,False,False,15500,0,0,4,4,12,0,4,1,659,189790,29014,9348,1,0,0,0,13342,847,26120,0,0,283,14,109,10,5,6,5,4,100,5,0,207977,0,0,27027,0,224,142,195,1,0,4843,522,4358,0,0,11,0,11,0,0,8,False,0,0,1,0,0,750,0,0,0.0,0,0.2360836579359511,6,2,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,4,2066.4557029441908,0.0,0.0,0,0,0,0.0,1,0,3.1666666666666665,4,0,2,1,0.0,0,3,1,0,0,46,0.0,0,0,1.0,0,0.0,0,0.0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,17,0,0,0,8,0,2,0,19,0,0,2,0,0,0.2803954191615976,0,0,0,0,1,0,0,10,0,-0.5794755220413208,0.3346026780339488,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,21.405968213322467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.31620203852177,0.1161408878293684,-83.56336879323061,444.84863560843854,882.2352191738402,1156.3857848950645
3,0,0,13474,0,2,1834,8066,1834,11613,7,0,0,0,False,False,False,False,9350,0,0,2,1,5,0,2,1,408,127108,14260,7803,20,0,0,0,10718,488,15242,0,0,181,12,86,7,6,14,5,6,200,3,10,140344,0,5,20892,0,193,94,163,1,0,2517,1007,3357,1,1,10,0,11,0,0,7,False,0,0,4,0,0,600,0,0,0.0,0,0.2361412591465085,7,5,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0.0,0,0,1540.0122708458782,0.0,0.0,0,0,0,0.0,0,0,1.1428571428571428,0,0,0,1,0.0,0,1,0,0,0,62,0.0,0,0,43.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,28,0,0,4,7,0,0,0,8,0,0,4,0,0,0.2872421521861439,0,1,0,0,0,1,0,9,0,-0.2759211659431457,0.4556690791643586,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.18146614028462,-0.389607285187695,-53.64892317034561,418.6330279341784,613.8262778132136,1028.680115081071
9,0,0,20138,0,1,3589,14032,3589,34935,7,1,0,0,False,False,False,False,14275,0,0,3,1,7,0,3,1,679,256109,36931,20543,7,0,0,0,16863,1868,38684,0,0,380,19,148,15,7,14,9,6,100,7,2,274462,0,4,57481,0,283,155,270,1,0,1489,1489,2144,1,1,10,0,42,1,10,13,False,0,0,2,0,0,0,0,0,0.0,1,0.2669833832385023,7,4,0,0,0.0,0.0,0,0,0,6,0,0,0,0,0,0.0,0,0,2565.283197010885,0.0,0.0,0,0,0,0.0,1,0,2.2857142857142856,1,0,1,2,0.0,0,1,2,0,0,71,0.0,0,0,65.0,0,2.0,0,0.0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,27,0,0,2,9,0,13,0,16,0,0,4,0,0,0.202884378378125,0,1,0,0,2,1,0,13,0,0.21670663356781,1.0029169347427969,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268755358777374,-0.0935569220114381,-84.73918211186007,369.7369557892034,942.3287077297076,1435.443854421495
2,0,0,12140,0,5,2402,3931,2402,10123,3,2,0,0,True,False,False,False,9285,0,0,2,1,3,0,2,1,1102,80784,6674,5454,0,0,0,0,11001,740,15037,0,0,120,6,67,3,5,14,5,6,200,1,0,98452,0,0,12043,0,180,53,80,1,0,6667,623,1451,1,1,9,0,20,3,2,10,False,0,0,0,0,0,150,0,0,0.0,2,0.217779021770005,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,958.4521427,0,1,1547.0943883999998,0.0,0.0,0,0,0,0.0,0,0,1.6666666666666667,1,0,0,1,0.0,0,0,0,0,0,59,0.0,0,0,45.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,23,0,0,2,8,0,0,1,5,0,1,3,0,0,0.1704205403552982,0,1,0,0,3,1,0,8,0,-0.1761669516563415,0.8038723618337896,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.17766681933626,-0.0775647568110589,0.6980828112995308,374.4438635053872,311.6939752452405,851.0017293525335
5,0,0,17422,0,3,1716,8720,1716,26317,8,1,1,0,False,False,False,False,12275,0,0,3,3,7,0,3,3,488,164774,31158,10911,4,0,0,0,8160,645,29340,0,0,214,14,110,12,6,6,6,14,200,4,4,174441,0,0,30636,0,221,94,242,1,1,1506,1506,1450,0,0,9,0,50,1,3,13,False,0,0,1,1,0,450,0,0,0.0,1,0.2610098320066293,8,7,0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,2157.9747862230884,0.0,0.0,0,0,0,0.0,0,0,1.5,0,0,1,3,0.0,0,1,0,0,0,66,0.0,0,0,12.0,0,1.0,0,0.0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,42,0,0,3,3,0,0,0,12,0,0,2,1,1,0.2871747553902001,0,0,0,0,0,0,0,10,0,0.8142355680465698,1.3943776940018706,3,2,1,1211.3191242426476,0.0,0.0,0.0,1479.6843210496984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.599834920440856,0.055607693271535,5.2549270141600655,367.9561063777477,926.1461314374168,1159.476012404778
0,0,0,14687,0,4,5165,12047,5165,18030,4,2,0,0,False,False,False,False,9350,0,0,1,0,1,0,0,1,474,136226,14858,4389,12,0,0,0,15836,1412,21749,0,0,315,10,100,5,3,12,4,6,200,3,7,152063,0,0,25731,0,236,75,88,1,0,0,0,509,2,2,9,0,20,2,1,10,False,0,0,6,0,0,0,0,0,0.0,2,0.222080558782787,4,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,767.9311837636502,0,0,1618.1035208713645,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,0,74,0.0,0,0,82.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,27,0,0,0,8,0,7,0,1,0,0,0,0,0,0.2431225785949039,0,0,0,0,0,2,0,11,0,0.9378126859664916,0.7684063940137821,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.981672165248202,-0.5932871337447129,-26.178794776485454,383.5601319659569,603.2988541266549,988.1568016976782
2,0,0,15372,0,1,3917,9231,3917,11654,3,0,0,0,False,False,False,False,12125,0,1,0,2,5,0,2,1,1083,132037,21215,6175,4,0,0,0,11590,1739,13938,0,0,279,11,93,8,2,6,5,14,200,4,2,144978,0,0,23904,0,223,78,85,1,0,1350,1350,3965,2,3,3,0,7,1,1,4,True,0,0,2,1,0,300,0,0,0.0,0,0.2469194874930244,3,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,776.9604875804968,0,1,1572.2796323188395,0.0,0.0,0,0,0,0.0,0,0,2.333333333333333,0,0,0,3,0.0,0,0,1,0,0,79,1.0,0,0,67.0,5,3.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,5,0,0,2,4,0,1,0,7,0,0,3,0,1,0.2982067119544197,0,1,0,0,3,3,5,10,0,-0.639296293258667,0.2798034988350501,1,0,0,1375.4250678567898,0.0,0.0,0.0,1408.6738236255674,1.0,28.55125943722578,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.3386175951322,0.0763223014108634,98.4176076693084,455.75862287497097,927.4686067448124,918.8441866853848
