assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,14128,0,2,113,7811,113,28729,6,1,0,0,False,False,False,False,10275,1,1,0,4,10,0,4,1,784,25304,9043,9443,8,0,0,0,52256,7628,18497,0,0,47,12,32,10,4,21,5,4,200,21,2,80411,0,0,13117,0,147,151,200,1,0,2850,0,1912,0,1,3,0,17,1,1,6,True,0,0,2,1,0,450,0,0,0.1174528479951791,1,0.2878905753683757,6,3,0,1,0.0,0.0,0,0,37,0,0,0,0,0,1,837.8741106,0,0,1660.565978,0.0,0.0,11,0,0,0.0,0,0,2.5,3,0,1,4,1.0,0,0,0,0,0,62,1.0,0,0,25.0,0,3.0,0,0.0,0,0,0,0,0,1,1,0,7,0,0,0,1,0,1,23,0,0,2,5,0,2,0,15,0,0,5,0,1,0.1693472141123514,0,1,0,0,0,1,0,6,0,-0.012663185596466,0.6219404843293521,1,0,0,1488.4631958999998,0.0,0.0,0.0,1362.7152402,0.0,22.977554099999907,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.3275799849008,0.3251903309800317,96.1840734520938,411.871620315709,602.3970220110098,1078.692460119763
1,0,0,5920,0,1,0,892,0,8456,5,0,0,0,False,False,False,False,3725,0,0,0,0,0,0,0,0,287,11035,4743,805,0,0,0,0,21962,2149,12149,0,0,34,2,10,2,3,21,1,4,100,6,0,32997,0,0,5083,0,84,57,96,1,0,0,0,257,0,0,0,0,8,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2733162127944831,5,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,811.6214625134003,0,0,923.6969063386224,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,0,56,0.0,0,0,8.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,4,0,1,0,0,1,0,0,0.1959228072398844,0,1,0,0,0,0,0,3,0,1.7350361347198486,0.525264386815497,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.96733444214996,-0.2598254885916195,-142.12454225961588,271.06294097320705,447.7442732155084,858.2035888181193
4,0,0,14229,0,6,4577,5551,4577,39315,10,2,0,0,False,True,False,True,12475,0,1,1,3,9,20,2,1,323,36868,11867,14539,4,0,0,0,91333,14798,25851,0,0,59,6,24,12,6,4,7,21,100,26,0,136674,0,0,17560,0,169,128,299,1,0,8471,988,1506,2,2,8,0,23,5,5,6,False,0,0,0,0,0,300,0,0,0.7299725112330117,2,0.2758112744480371,10,1,0,1,0.0,0.0,0,0,30,0,0,0,0,0,1,695.0875806299553,2,1,1989.014932698127,0.0,0.0,6,0,0,0.0,0,1,1.3,0,0,0,2,0.0,0,1,1,0,0,51,0.0,0,0,7.0,0,1.0,0,0.0,1,0,0,0,0,4,0,0,11,0,0,0,1,0,1,10,0,0,2,4,1,6,1,13,0,0,4,1,0,0.1914641291702011,0,1,0,0,5,2,0,8,0,-0.1258837580680847,0.7224373642560382,5,2,0,1360.531045003756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.37669569633511,-0.0904970581371289,-47.99360649872405,407.4479214194002,834.2320475941003,1263.8517482570971
8,0,2,10718,0,1,2560,3567,2560,19368,4,0,0,0,False,False,True,False,9875,0,0,0,2,6,0,4,1,615,27195,6290,1883,2,0,0,0,59340,8092,19128,0,0,58,9,28,7,4,21,4,4,100,18,0,86535,0,2,12586,0,135,68,108,1,0,0,0,490,0,2,2,0,9,0,1,5,True,0,0,0,0,0,375,0,0,0.0,0,0.264004723113536,4,2,0,0,0.0,0.0,0,0,25,1,0,0,0,0,1,668.523016420614,0,2,1378.7811859564688,0.0,0.0,7,0,0,0.0,0,1,3.5,1,0,1,2,0.0,0,0,0,0,0,44,0.0,0,0,12.0,2,2.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,12,0,0,2,5,0,4,0,14,0,0,6,0,0,0.2142463635822442,0,1,0,0,5,2,5,6,0,-0.3599385023117065,0.4225671525727525,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24.619389972001954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.6291618337289,0.3916502527740823,70.06187855180806,447.39513875226,625.9006206277362,935.6959705720352
8,0,0,13089,0,2,2625,6530,2625,20513,7,1,1,0,False,True,False,False,10460,0,1,0,2,7,0,2,2,361,26832,9218,9485,8,0,0,0,62042,7487,12769,0,0,56,12,33,7,3,21,2,4,100,23,2,94284,0,0,11765,0,155,155,188,1,0,5409,397,4699,0,1,2,0,16,1,2,4,True,0,0,2,0,0,0,0,0,0.0869258419398185,1,0.2264892404738128,7,12,0,0,0.0,0.0,0,0,32,0,0,0,0,0,0,0.0,0,4,1782.581214503486,0.0,0.0,5,0,0,0.0,0,0,2.142857142857143,2,0,0,2,0.0,0,2,0,0,0,65,0.0,0,0,11.0,0,1.0,0,0.0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,1,66,0,0,1,3,0,0,0,15,0,0,3,0,0,0.1665107808233126,0,1,0,0,1,1,5,7,0,-0.4445052146911621,0.5418314554507415,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.925922814327123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.09009225829209,0.100977166445758,-84.48422925961754,362.50802754027126,575.6708259072665,907.2461814596538
0,0,2,7340,0,1,3100,6628,3100,4271,1,0,0,0,False,True,False,False,5900,0,0,0,2,4,0,2,1,193,13961,2878,1678,0,0,0,0,43670,2404,5495,0,0,25,5,15,2,2,21,2,4,100,6,0,61836,0,0,4070,0,124,29,10,1,0,4205,0,80,1,1,0,0,7,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.164345800303301,1,0,0,0,1.0,0.0,0,0,11,0,0,0,0,0,1,828.8378002851885,0,0,955.35494865885,0.0,0.0,1,0,0,0.0,0,0,4.0,0,0,0,3,0.0,0,0,0,0,0,67,0.0,0,0,53.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,2,5,0,0,0,4,0,0,3,0,0,0.1707016338288254,0,1,0,0,5,1,0,5,0,-0.2980718612670898,0.4662447805099683,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.52793489749217,0.1256077651227523,42.58103237661306,458.46834269804623,331.79291157175044,455.5793641002229
1,0,1,14156,0,1,4306,6311,4306,17419,1,0,0,0,False,False,False,False,9250,0,0,0,1,5,0,4,1,1269,34085,7468,3389,12,0,0,0,80722,7384,17758,0,0,58,15,30,8,2,21,3,4,200,20,0,124200,0,12,15159,0,176,100,44,1,0,9392,0,554,1,1,1,0,12,0,2,4,True,0,0,0,0,0,0,3,0,0.0,0,0.2593916983769708,1,3,0,1,0.0,0.0,0,0,25,3,0,0,0,0,1,650.4287800765013,0,0,1590.091692130367,0.0,0.0,1,0,0,0.0,0,0,6.0,0,0,1,4,0.0,0,0,0,0,0,71,0.0,0,0,15.0,0,3.0,0,0.0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,21,0,0,3,4,0,0,0,6,0,0,3,0,1,0.2165735727648172,0,2,0,0,3,1,5,8,0,-0.2381978034973144,0.4865021403833443,2,0,1,1457.6271699900628,0.0,0.0,0.0,1334.5296091071723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.91991947944916,0.188668365154507,136.40722800670858,390.31711383164406,560.4582455279785,818.8961721166222
1,0,1,7613,0,1,5392,5392,5392,5880,0,0,0,0,False,False,False,False,5600,0,0,0,0,1,0,0,1,0,13924,3373,2065,0,0,0,0,41889,2939,8042,0,0,27,3,14,3,1,21,1,4,200,5,0,58654,0,0,6243,0,128,69,0,1,0,2840,0,39,1,1,0,0,8,0,1,4,True,0,0,0,0,0,0,0,0,0.0,0,0.2635429846957078,0,0,0,0,0.0,0.0,0,0,9,0,0,0,0,0,1,705.216604740171,0,0,932.7742047444286,0.0,0.0,1,0,0,0.0,0,1,2.0,0,0,0,1,0.0,0,0,0,0,0,74,1.0,0,0,68.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,0,2,0,2,0,0,2,0,0,0.2064769947848084,0,1,0,0,5,1,5,6,0,1.2295122146606443,0.5428986570623422,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.01922572018768,0.1286484975566824,199.9840894518628,419.651399029898,406.0146582888897,652.6981523538282
3,0,2,12279,0,1,4297,4653,4297,14787,4,0,0,0,True,False,False,False,8200,0,0,0,3,9,0,4,1,467,19417,7252,2284,5,0,0,0,44701,6502,16277,0,0,38,8,29,7,3,21,2,4,200,23,4,79107,0,0,8886,0,106,138,114,1,0,14988,0,504,2,2,1,0,14,0,4,4,True,0,0,1,0,0,0,0,0,0.0,0,0.2229878519420321,4,0,0,0,0.0,0.0,0,0,32,1,0,0,0,0,1,685.1231482861288,0,0,1402.2711873169576,0.0,0.0,5,0,0,0.0,1,0,3.0,1,0,1,0,0.0,0,2,0,0,0,34,0.0,0,0,2.0,1,1.0,0,0.0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,7,0,0,5,4,1,0,0,12,0,1,4,0,0,0.1670262053084144,0,2,0,0,3,2,15,4,0,0.1996853351593017,0.6031066852861678,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8817172928518,0.3423018345819473,71.19878159304503,431.3430993025763,588.5452168343356,815.7908472674259
5,0,0,14214,0,1,1252,2587,1252,33972,6,0,1,0,False,False,False,False,12400,0,0,3,3,8,0,3,2,849,36364,15144,14628,4,0,0,0,82119,17079,23251,0,0,61,19,43,10,3,21,3,4,100,24,2,131347,0,0,23352,0,186,190,197,1,0,12863,0,1692,0,0,11,0,20,0,5,5,False,0,0,2,0,0,700,0,0,0.0,0,0.2630907083266914,6,4,0,0,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,1,0,1712.8108231297613,0.0,0.0,10,0,0,0.0,0,0,2.1666666666666665,1,0,1,1,0.0,0,0,0,0,0,77,1.0,0,0,22.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,10,0,0,0,0,0,0,21,0,0,3,5,0,0,0,13,0,0,3,0,0,0.304001167375261,0,0,0,0,2,0,0,8,0,0.3909159898757934,0.733355592333732,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,48.23805707816632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.232082498308568,-0.0350301382906747,-90.2376362367782,429.2593146139285,1128.8111762787034,1386.2126324385815
